player_id,season,salario_real,salario_predicho,residuo
273,2021,3399999.999999998,2415109.376652397,0.34203085500386976
518,2021,7200000.000000007,4252849.00491013,0.5264919135761286
750,2021,57410000.00000007,23951439.908748273,0.874190060678977
750,2122,31023864.000000022,29667213.006541517,0.04471421794245245
750,2223,31023864.000000022,26248324.507387757,0.16715455607721807
770,2021,18000000.000000004,7463370.310600372,0.8803646614414937
770,2122,27699999.99999998,18334422.241914146,0.41265212337924595
791,2021,8433672.000000007,5451946.138024168,0.43625962988224387
791,2122,8433672.000000007,8028199.817020026,0.04927194372501731
791,2223,3614430.999999998,6030197.8697481705,-0.5118453809222636
791,2324,3614430.999999998,4026919.728111462,-0.10806730475038862
791,2526,3614430.999999998,4065359.804151469,-0.11756780829042768
1076,2021,7831266.9999999935,5722648.2986466,0.31369262293086386
1076,2122,7831266.9999999935,8107656.931123786,-0.03468460485233926
1076,2223,3960000.0,5855290.551453305,-0.3911015950530281
1262,2021,3012025.9999999986,3218250.0180133814,-0.06622479711636231
1367,2021,579999.9999999999,801389.1239847535,-0.3233185233001521
1749,2021,1500000.000000001,2623184.503899398,-0.5589239310955296
1749,2122,1500000.000000001,1490084.0280320216,0.0066325950885524065
1749,2223,1500000.000000001,1671398.369007935,-0.10819551465265853
1876,2021,3730000.000000008,1763178.0358066512,0.7492903507630668
1876,2122,3730000.000000008,2683026.2202603496,0.32946288952039104
2009,2021,6480000.000000004,4541850.218488705,0.3553860442195713
2009,2122,5560000.000000005,5173251.841062231,0.07209663467159011
2069,2021,2780000.000000002,2628799.234283802,0.05592375068146893
2089,2021,8970000.000000015,10704904.294162322,-0.1768163056378711
2089,2122,8970000.000000015,7149164.030866341,0.22689024496027344
2614,2021,3800000.0000000005,1777139.002939354,0.759996297243001
2695,2021,929999.9999999994,1836736.6858643538,-0.6805611495800346
2695,2122,929999.9999999994,795245.9427659514,0.15653315736576623
2949,2021,5929999.999999996,6212954.242437171,-0.04661229323507676
2949,2122,5929999.999999996,5450251.403274452,0.0843624763572084
2949,2223,4630000.000000004,4204953.673094579,0.09629359183390207
3041,2021,2839999.9999999953,2075511.5119565756,0.313596417083188
3041,2122,2839999.9999999953,2862155.17540598,-0.00777084671075734
3041,2223,2839999.9999999953,2823368.513537128,0.005873371734066879
3041,2324,2839999.9999999953,2348908.359461645,0.1898533598322114
3041,2425,940000.0000000016,2014661.294216694,-0.7623264927875031
3041,2526,929999.9999999994,870549.4846500095,0.0660599823169381
3305,2021,1199999.9999999998,1307383.0892291886,-0.08570594066169335
3306,2021,18129999.999999978,23245325.33134278,-0.2485360260336158
3306,2122,23999999.99999998,25105729.467146814,-0.045042255364538875
3306,2223,23999999.99999998,30848255.511492644,-0.2510263709651248
3420,2021,430000.0000000002,662795.9727524593,-0.43268200073357477
3504,2021,8939999.999999996,2163432.936580974,1.4188393066345597
3504,2122,1440000.0,4776023.80993804,-1.1989652478203752
3504,2223,1440000.0,1676410.935269242,-0.15201204652642986
3504,2324,1400000.0000000007,1589044.7509608837,-0.12666081350777425
3530,2122,2190000.0000000005,1298543.2488833407,0.5226584854596759
3530,2223,2190000.0000000005,2092979.240721465,0.04531301884590633
3577,2021,1500000.000000001,2037684.508902391,-0.30634901044123275
3577,2122,4549999.999999991,2068526.2483188917,0.7882908365814281
3577,2223,4549999.999999991,4169422.271454353,0.08734975076599838
3577,2324,4549999.999999991,4748528.673409458,-0.042707584133903964
3577,2425,4549999.999999991,4150098.7726654112,0.09199509836121322
3577,2526,4549999.999999991,3367323.434465713,0.3010090372650218
3579,2021,1500000.000000001,1068439.8438066447,0.33926561358220475
3593,2021,800000.0000000003,682844.1648405342,0.1583450568819984
4252,2122,599999.9999999999,744993.3430575946,-0.21644562763033015
4252,2223,829999.9999999995,685456.59808223,0.19134051804182306
4419,2122,155000.0,4166707.362692937,-3.2914562847016438
4581,2021,5600000.000000004,1203910.156683737,1.537191874333308
4581,2122,5600000.000000004,4309275.726818859,0.26199675256817123
4581,2223,2079999.999999998,3072325.6266961363,-0.390066914228262
4697,2122,2250000.0000000037,1518211.675138758,0.39339710352630775
4725,2021,680000.0000000001,1212526.6220833696,-0.5783687807578666
5247,2122,649999.9999999998,542775.7667091368,0.18027608089769842
5247,2223,459999.9999999988,573745.4448546486,-0.22095933260894363
5275,2021,550000.0000000001,456480.6080161346,0.18637205879556795
5585,2021,459999.9999999988,567529.0856993017,-0.21006551089263503
5702,2021,550000.0000000001,1220644.6967607674,-0.7972161598933969
5712,2021,5129999.999999994,3435015.2961128308,0.4010842805014434
5712,2122,1919999.9999999981,2815737.320096455,-0.38289896668939605
5810,2021,60000.00000000002,294258.4173045801,-1.5901137894720314
5810,2122,60000.00000000002,64465.22107968344,-0.07178130808775407
5810,2223,60000.00000000002,77547.43229016272,-0.25654521647398454
6280,2021,2079999.999999998,918227.7821404451,0.8176776841604099
6557,2021,929999.9999999994,1609078.2018962668,-0.5482321624584525
6557,2122,929999.9999999994,1000092.7025579284,-0.07266339109614783
6557,2223,929999.9999999994,923025.9220540717,0.007527267473188104
6562,2021,6024051.000000004,4437260.387981839,0.3057228003280894
6562,2122,6024051.000000004,5822148.494709397,0.03409060580904644
6562,2223,6024051.000000004,5883058.610978369,0.02368315799410503
7058,2021,1299999.9999999974,1191600.0398505554,0.08706728916760298
7472,2021,1299999.9999999974,1059257.0734447485,0.20479647617932173
7635,2021,6450000.000000006,3791063.405962484,0.5314335690209795
7635,2122,6450000.000000006,6391690.455403991,0.009081350393049803
7635,2223,6450000.000000006,5645490.513653908,0.13322304350828418
7635,2324,6450000.000000006,5325240.563716951,0.1916222439477373
7721,2021,629999.9999999999,2894082.22064276,-1.5247034981288667
7721,2122,629999.9999999999,608428.1049788647,0.03484106516459029
8713,2122,1199999.9999999998,1073937.8962529746,0.11098938709709572
8713,2223,1199999.9999999998,1032925.0181757997,0.1499269557616465
8772,2223,599999.9999999999,660011.1556081711,-0.09532708209810359
8959,2021,19999999.999999978,5579729.199433111,1.2765920289059594
8959,2122,20999999.99999998,15333950.427977514,0.3144530854093759
8959,2223,20999999.99999998,18615973.55394726,0.12050243233320401
8959,2324,20999999.99999998,18938946.730488304,0.10330196236250089
8959,2425,20999999.99999998,19689557.632679828,0.06443401192304776
8959,2526,20999999.99999998,17485854.032257035,0.18313022469160245
8978,2021,529999.9999999998,599908.8492618907,-0.12390071923243795
9048,2021,6024051.000000004,8596129.692801759,-0.3555521096450551
9048,2122,6024051.000000004,6567703.27213003,-0.08640423672025044
9048,2223,6024051.000000004,6270856.174756227,-0.040152939723180125
9086,2021,420000.00000000023,668045.9489610303,-0.46410224576339765
9086,2122,200000.00000000006,362750.229297979,-0.5953971573262713
9127,2021,2409619.9999999995,2280344.9081970304,0.05514235167141912
9628,2021,3915632.9999999995,2853572.6723421323,0.3164052237352699
9645,2021,340000.00000000006,1078965.0696110302,-1.15481197419623
9645,2122,200000.00000000006,324578.2310798759,-0.484209222450783
9692,2021,359999.99999999994,428331.3343999085,-0.17379301042952378
9692,2122,637159.0,917771.6608435073,-0.364929392255398
9741,2021,3012025.9999999986,3062782.824063431,-0.016710980282866217
10122,2021,1849999.9999999993,1309914.082218329,0.3452240901209134
10501,2021,4518037.999999999,2329955.640590103,0.6622285997886497
10501,2223,4518037.999999999,2261143.088726714,0.6922073519248801
10507,2021,3012025.9999999986,2300510.439062464,0.2694819136990674
10577,2122,7228860.999999997,4436824.5441577975,0.48814255790975736
10577,2324,3129999.999999999,1119915.0470960962,1.0277801729289333
10577,2425,3129999.999999999,2683691.573376956,0.15383970509446065
10589,2021,3850000.0000000014,2111123.4176371396,0.600852917079397
10589,2122,3012025.9999999986,3325247.142230669,-0.09893105779751465
10589,2223,3012025.9999999986,3130099.633117831,-0.0384518936739795
10589,2324,2409619.9999999995,2765685.1547853067,-0.13781934113863947
10589,2425,2409619.9999999995,2644343.3976675537,-0.09295373292330744
