player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Giangiacomo Magnani,812829,Hellas Verona,2701,italy,2425,1072,17,11,6.67,1,0,1,1.15,0.05,11,0,0.0,28,25,41.67,111,203,314,81.56,30,62.5,18,0,0,0,38,0,1,0,0,73,17,0,0,1,0,30,1,0,8,0,9.09,0,35,29,6,1,0,,31,72.09,1,0,0,71,17,1,0,0,,0,0,0,0,0.0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,1072.0,0.0,0,10,1,9,2,1,25.0,0,20,15,75.0,1,28,4,2,61,67.03,60,163,224,385,113.4,11,0,563,11,2,0
Caleb Ekuban,309156,Genoa,2713,italy,2425,543,18,3,6.67,1,3,4,2.51,0.21,4,1,33.33,33,3,50.0,55,17,71,68.93,12,38.71,19,0,0,0,20,1,5,2,0,6,18,0,0,12,0,49,0,0,15,0,5.56,0,8,7,1,1,0,,15,33.33,0,0,0,32,1,8,1,5,,0,0,0,0,0.0,0,0,0,0,72,5,0,0,0,0,0,0,0,0,0,543.0,0.0,0,14,4,10,6,3,30.0,0,3,3,100.0,8,5,10,3,27,35.53,6,85,21,103,120.0,18,0,197,9,1,0
Jeff Ekhator,1613917,Genoa,2713,italy,2425,787,24,6,6.67,1,1,2,1.38,0.58,4,1,10.0,47,2,50.0,70,39,108,71.52,16,33.33,32,0,0,0,32,2,1,4,0,5,24,0,0,9,5,65,0,0,15,0,10.0,0,11,8,3,1,0,,23,41.07,0,0,0,43,2,11,0,3,,0,0,0,0,0.0,0,0,0,0,107,8,0,0,1,0,0,0,0,0,0,787.0,0.0,0,8,2,3,3,4,40.0,0,7,4,57.14,11,10,10,10,39,37.5,4,114,47,151,160.0,10,0,283,13,1,0
Tomás Palacios,1173598,Monza,2729,italy,2425,455,10,5,6.67,0,0,0,0.04,0.07,6,0,0.0,32,18,51.43,96,238,334,89.54,6,60.0,4,0,0,0,31,0,0,0,0,15,9,0,0,4,4,15,1,1,2,0,0.0,9,15,15,0,0,0,,29,72.5,0,0,0,39,9,0,0,1,,0,0,0,0,0.0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1,0,8,88.89,0,11,5,45.45,0,17,9,1,35,70.0,35,120,254,373,60.0,1,0,455,10,2,0
Antoine Bernede,837080,Hellas Verona,2701,italy,2425,598,14,7,6.66,1,0,1,0.77,0.38,12,3,23.08,60,13,50.0,109,65,171,76.0,6,42.86,8,0,0,0,38,0,0,1,0,3,14,0,0,6,6,36,0,0,16,0,25.0,0,13,13,0,1,0,,21,42.86,0,0,0,54,5,11,0,0,,0,0,0,0,0.0,0,0,0,0,86,2,0,0,1,0,0,0,0,0,0,598.0,0.0,0,1,3,1,2,2,50.0,0,15,8,53.33,11,24,4,13,27,42.86,26,162,76,225,93.3,4,0,317,4,2,0
John Yeboah,879802,Venezia,2688,italy,2425,1231,33,11,6.66,1,1,2,2.82,1.51,8,5,19.23,125,7,63.64,210,46,251,77.47,6,37.5,10,0,0,0,45,3,5,6,0,2,33,0,0,30,9,86,0,0,14,0,3.33,0,23,21,2,1,0,,51,40.16,0,0,1,73,4,20,1,4,,0,0,0,0,0.0,0,0,0,1,198,9,0,0,0,0,0,0,0,0,0,1231.0,0.0,0,19,11,14,10,24,50.0,0,6,3,50.0,20,13,48,26,57,39.86,11,292,58,324,219.9,30,0,583,21,6,0
Daniel Fila,1088870,Venezia,2688,italy,2425,500,10,6,6.66,2,0,2,1.42,0.35,4,0,0.0,29,2,50.0,47,23,70,77.78,7,25.93,20,0,0,0,9,0,2,2,0,5,10,0,0,14,2,50,0,0,13,0,25.0,0,6,6,0,2,0,,11,26.83,0,0,0,20,0,6,1,3,,0,0,0,0,0.0,0,0,0,0,51,3,0,1,1,0,0,0,0,0,0,250.0,0.0,0,7,1,0,6,2,66.67,0,2,0,0.0,6,6,3,0,18,26.47,4,64,26,90,66.6,8,0,167,7,1,1
Marco Silvestri,43970,Empoli,2705,italy,2425,450,5,5,6.66,0,0,0,,0.02,3,0,0.0,9,38,41.3,28,50,78,59.09,1,100.0,0,0,0,0,31,0,0,0,0,6,5,1,0,0,2,2,1,0,0,0,0.0,13,11,8,3,0,0,-2.36,0,0.0,0,1,0,54,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,54,0,3,0,0,3,11,5,16,0,6,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,5,0,0,1,33.33,92,72,60,132,33.3,0,0,172,0,0,0
Jonathan Ikoné,802142,Como,2704,italy,2425,864,27,6,6.66,2,0,2,2.68,0.94,7,0,0.0,96,6,75.0,154,65,219,82.64,4,36.36,7,0,0,0,37,1,5,7,0,1,27,0,0,21,7,69,0,1,6,0,8.0,0,5,5,0,2,0,,49,44.14,0,0,0,46,1,5,2,2,,0,1,0,0,0.0,0,0,0,0,116,8,0,0,0,0,0,0,0,0,0,432.0,0.0,0,23,2,8,10,15,34.09,0,20,11,55.0,4,10,44,2,53,43.44,8,194,73,265,179.8,25,0,452,14,1,0
Cheick Oumar Condé,1019971,Venezia,2688,italy,2425,166,9,1,6.66,0,0,0,0.01,0.05,1,0,0.0,14,0,0.0,25,9,34,66.67,7,70.0,3,0,0,0,13,0,0,1,0,3,7,0,0,5,3,18,0,0,5,0,0.0,0,2,2,0,0,0,,12,44.44,0,0,0,17,4,1,0,0,,0,0,0,0,0.0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,2,50.0,0,6,5,83.33,1,3,4,0,19,51.35,1,40,11,51,46.6,1,0,96,4,2,0
