player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Goran Karačić,797966,Adana Demirspor,3101,turkey,2223,90,1,1,8.9,0,0,0,,,2,0,0.0,0,5,50.0,0,36,36,85.71,3,100.0,0,0,0,0,,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,,0,0.0,0,3,0,6,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,6,0,2,0,0,0,4,2,6,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6,0,0,3,100.0,10,1,41,42,8.9,0,1,70,0,0,0
Deniz Dilmen,1065508,Başakşehir FK,3086,turkey,2223,90,1,1,8.7,0,0,0,,,13,0,0.0,0,16,47.06,5,22,27,58.7,1,100.0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,,2,2,0,0,0,,0,0.0,0,0,0,19,0,0,0,0,,0,0,0,0,0.0,1,0,1,0,20,0,0,0,0,0,4,5,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,24,0,0,1,100.0,34,20,26,46,8.7,0,1,63,0,0,0
Ataberk Dadakdeniz,840605,Antalyaspor,3056,turkey,2223,90,1,1,8.3,0,0,0,,,0,0,0.0,1,4,17.39,3,14,17,47.22,0,0.0,0,0,0,0,,0,0,0,1,5,1,0,0,0,0,1,0,0,1,0,0.0,,0,0,0,0,0,,1,50.0,0,3,0,19,0,0,0,0,,0,0,0,1,0.0,1,0,1,0,19,0,3,0,0,0,4,1,5,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,1,50.0,23,18,18,36,8.3,0,0,55,1,0,0
Vedat Karakuş,847353,Adana Demirspor,3101,turkey,2223,90,1,1,7.8,0,0,0,,,5,0,0.0,0,2,25.0,1,24,25,80.65,0,0.0,1,0,0,0,,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0.0,,1,1,0,0,0,,1,100.0,0,1,0,6,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,4,2,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,8,0,0,1,50.0,8,2,29,31,7.8,0,0,48,1,0,0
Mauro Icardi,233114,Galatasaray,3061,turkey,2223,1887,24,21,7.55,22,7,29,,,9,1,50.0,134,8,66.67,180,59,238,70.62,47,43.52,61,0,0,3,,8,13,11,6,15,24,0,0,14,11,114,0,0,19,0,27.16,,15,12,3,22,0,,35,39.77,5,0,1,99,1,36,4,18,,0,0,9,0,66.67,0,6,0,1,151,15,0,0,13,0,0,0,0,0,0,85.77,0.0,1,75,6,28,42,12,54.55,0,8,4,50.0,36,21,22,2,82,41.84,12,273,66,337,181.1,81,9,563,15,3,0
Fabio Borini,89510,Fatih Karagümrük,4954,turkey,2223,2380,30,29,7.49,19,8,27,,,36,11,28.95,145,55,49.11,308,238,535,71.33,19,47.5,21,0,0,0,,6,2,17,2,31,30,0,0,33,17,115,0,0,31,0,24.68,,45,38,7,18,1,,116,55.24,1,0,4,215,29,35,2,10,,0,0,6,1,100.0,0,6,0,3,342,19,0,0,16,0,0,0,0,0,0,125.26,0.0,0,52,25,28,32,23,60.53,0,29,21,72.41,35,79,38,38,135,54.0,112,490,298,750,224.8,77,10,1253,64,6,0
Arda Güler,1091116,Fenerbahçe,3052,turkey,2223,923,20,11,7.48,4,3,7,,,36,31,40.26,197,31,70.45,357,171,497,84.96,12,50.0,12,0,0,0,,7,0,7,0,2,18,0,0,15,19,93,0,0,11,0,11.76,,11,9,2,3,1,,93,53.45,0,0,1,88,3,40,4,2,,0,0,0,0,0.0,0,0,0,1,216,17,0,0,0,0,0,0,0,0,0,230.75,0.0,5,12,22,15,12,40,52.63,0,25,20,80.0,40,57,76,77,105,53.03,44,484,178,585,134.7,34,3,929,28,1,0
Anastasios Bakasetas,114076,Trabzonspor,3051,turkey,2223,2113,27,26,7.44,8,5,13,,,57,36,28.35,391,67,57.76,753,437,1154,82.37,14,35.0,26,0,0,0,,8,2,22,6,11,27,0,1,24,18,110,0,0,31,0,10.81,,32,27,5,7,1,,120,58.82,0,0,2,247,22,60,6,1,,0,0,5,0,100.0,0,5,0,0,406,19,0,1,2,0,0,0,0,0,0,264.13,0.0,7,27,47,25,27,21,63.64,0,52,30,57.69,60,122,33,127,134,54.92,116,1042,486,1401,201.0,74,7,1898,47,9,0
Dia Saba,609926,Sivasspor,3076,turkey,2223,1026,13,11,7.42,5,4,9,,,19,14,25.45,155,27,65.85,293,150,429,81.87,4,33.33,8,0,0,0,,7,1,9,1,2,13,0,0,29,9,62,0,0,6,1,19.23,,13,11,2,3,2,,39,41.94,0,0,0,95,7,36,4,2,,0,1,1,0,100.0,0,1,0,0,197,2,0,0,1,0,0,0,0,0,0,205.2,50.0,2,11,15,6,11,16,61.54,0,14,8,57.14,35,39,26,55,43,40.95,41,416,163,524,96.4,26,3,748,9,4,0
Fernando,123354,Antalyaspor,3056,turkey,2223,2591,30,30,7.31,5,2,7,,,169,55,33.54,291,225,60.48,718,895,1558,82.74,12,48.0,13,0,0,0,,9,0,15,4,17,30,0,1,25,41,117,0,0,27,2,9.8,,42,37,5,1,4,,83,44.39,0,0,3,325,29,64,1,0,,0,0,1,1,100.0,0,1,0,0,514,22,0,1,4,0,0,0,0,0,0,518.2,10.53,19,6,45,19,17,9,39.13,0,47,26,55.32,64,300,23,164,95,44.81,372,1068,979,1883,219.2,51,6,2412,27,10,0
