player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Arkadiusz Milik,161325,Olympique de Marseille,1641,france,2021,1223,15,14,7.17,9,1,10,,,7,1,14.29,70,5,55.56,140,85,224,75.93,27,46.55,31,0,0,0,,2,3,11,0,8,15,0,0,12,10,73,0,0,15,0,19.57,,20,18,2,8,1,,40,48.78,1,0,0,71,2,8,7,5,,0,0,3,0,100.0,0,3,0,0,130,5,0,0,1,0,0,0,0,0,0,135.89,0.0,1,32,14,14,21,7,50.0,0,14,9,64.29,8,14,14,7,67,47.86,9,201,101,295,107.5,46,2,486,20,2,0
Raphinha,831005,Stade Rennais,1658,france,2021,407,6,5,7.17,1,2,3,,,4,4,25.0,32,3,37.5,55,31,82,68.91,6,46.15,7,0,0,0,,3,0,3,0,3,6,0,0,3,3,34,0,0,6,0,9.09,,6,4,2,1,0,,26,49.06,0,0,1,37,3,9,1,0,,0,0,0,0,0.0,0,0,0,0,79,2,0,0,0,0,0,0,0,0,0,407.0,0.0,3,6,5,5,3,10,40.0,0,5,2,40.0,9,9,25,16,32,48.48,8,96,39,119,43.0,11,1,226,12,0,0
Baptiste Santamaria,344751,Angers,1684,france,2021,270,3,3,7.17,0,0,0,,,6,1,100.0,30,7,63.64,73,58,130,86.09,7,53.85,6,0,0,0,,0,0,0,2,7,3,0,0,3,5,22,0,0,7,0,0.0,,2,2,0,0,0,,15,48.39,0,0,0,21,7,4,0,1,,0,0,0,0,0.0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,3,1,3,2,40.0,0,9,6,66.67,4,10,5,1,22,50.0,11,90,62,151,21.5,4,0,211,5,1,0
Frédéric Guilbert,372430,RC Strasbourg,1659,france,2021,1116,13,13,7.16,1,4,5,,,28,17,25.37,93,33,47.14,183,173,339,73.06,16,47.06,18,0,0,0,,3,0,4,3,24,13,0,1,7,13,70,0,0,18,0,6.67,,16,15,1,0,1,,66,55.93,0,0,0,125,33,13,1,0,,0,0,0,0,0.0,0,0,0,0,260,8,0,1,0,0,0,0,0,0,0,1116.0,0.0,4,3,12,7,4,16,53.33,0,37,19,51.35,13,60,30,67,82,53.95,70,326,205,464,93.1,15,2,888,13,2,0
Dimitri Payet,14216,Olympique de Marseille,1641,france,2021,2425,33,28,7.16,7,10,17,,,65,47,24.61,339,50,54.95,649,349,951,78.86,4,22.22,14,0,0,1,,11,6,7,0,10,33,0,2,25,23,100,0,0,16,0,15.56,,33,28,5,6,1,,110,56.12,0,0,1,255,8,67,0,1,,0,1,1,1,0.0,0,0,0,0,522,20,0,2,7,0,0,0,0,0,0,346.43,0.0,8,25,20,20,18,37,60.66,0,27,17,62.96,66,141,61,191,114,53.27,91,1013,384,1206,236.2,45,2,1781,46,4,0
Florian Thauvin,148824,Olympique de Marseille,1641,france,2021,2748,36,33,7.15,8,8,16,,,66,42,20.59,349,56,69.14,677,298,933,79.07,12,50.0,12,1,0,1,,20,7,20,2,11,36,0,0,51,34,170,0,0,25,0,11.27,,34,31,3,7,1,,151,48.87,1,0,0,247,14,56,5,7,,0,0,2,1,0.0,0,0,0,0,616,14,0,0,2,0,0,0,0,0,0,343.5,0.0,6,43,28,31,20,58,53.21,0,40,22,55.0,56,130,109,204,163,48.95,81,1045,339,1180,257.5,71,5,1938,53,5,0
Brendan Chardonnet,328035,Stade Brestois,1715,france,2021,2725,33,30,7.15,3,1,4,,,116,1,25.0,128,162,49.24,366,1014,1379,82.57,78,60.94,50,0,0,0,,2,2,3,6,149,33,0,1,2,14,91,0,0,29,0,14.29,,49,39,10,3,0,,77,65.25,1,0,2,291,64,6,1,0,,0,0,0,1,0.0,0,0,0,0,317,2,0,1,1,0,0,0,0,0,0,908.33,0.0,0,18,3,9,9,5,100.0,0,51,29,56.86,6,228,5,4,155,63.01,329,589,1085,1670,236.0,21,3,2103,23,3,0
Aurélien Tchouaméni,859025,AS Monaco,1653,france,2021,3071,36,36,7.15,2,3,5,,,77,2,6.9,316,92,56.44,755,759,1512,82.8,85,67.46,41,0,0,0,,5,5,16,12,43,36,0,0,31,44,183,0,0,57,0,3.77,,39,33,6,2,0,,207,59.31,1,0,1,314,60,18,0,1,,0,1,0,0,0.0,0,0,0,0,439,20,0,1,1,0,0,0,0,0,0,1535.5,0.0,0,29,24,26,11,22,62.86,0,127,68,53.54,17,135,35,29,292,61.47,163,1008,847,1826,257.4,53,1,2457,62,7,1
Wissam Ben Yedder,119192,AS Monaco,1653,france,2021,2624,37,32,7.15,20,7,27,,,29,4,23.53,324,23,69.7,469,176,641,74.19,40,35.71,72,0,0,2,,13,16,21,1,3,37,0,0,43,10,166,0,0,12,1,25.0,,36,32,4,19,1,,87,48.07,1,0,4,223,13,43,2,18,,0,1,12,0,83.33,0,10,0,2,389,26,0,0,17,0,0,0,0,0,0,131.2,14.29,7,64,16,26,33,30,50.85,0,18,9,50.0,42,60,59,17,127,43.34,33,676,205,864,264.5,80,7,1285,39,3,0
Marco Verratti,126691,Paris Saint-Germain,1644,france,2021,1490,21,16,7.15,0,2,2,,,76,2,18.18,459,54,65.06,1085,535,1618,91.67,12,50.0,12,0,0,0,,4,2,2,7,3,21,0,0,29,48,125,0,1,28,0,0.0,,15,13,2,0,0,,151,57.2,0,0,0,147,26,24,0,1,,0,0,0,0,0.0,0,0,0,0,232,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8,2,3,5,48,80.0,0,53,30,56.6,24,123,60,11,163,56.6,83,1218,558,1765,150.1,10,2,2122,51,7,0
Amine Gouiri,859026,Nice,1661,france,2021,2752,34,31,7.15,12,7,19,,,28,18,20.45,313,31,75.61,577,277,836,79.62,20,40.0,30,0,0,0,,11,15,15,5,17,34,0,0,56,31,210,0,0,45,0,15.0,,40,37,3,12,0,,119,39.8,1,0,6,214,17,51,0,8,,0,0,4,0,100.0,0,4,0,1,481,34,0,0,11,0,0,0,0,0,0,229.33,0.0,7,59,21,31,34,52,50.49,0,31,18,58.06,51,45,103,88,139,39.83,41,827,311,1050,243.0,80,5,1682,36,5,0
Marcelo,36704,Olympique Lyonnais,1649,france,2021,2912,34,34,7.14,3,0,3,,,55,1,20.0,149,133,53.41,653,1165,1817,88.2,112,70.0,48,0,0,0,,0,0,5,9,118,34,0,1,2,11,96,1,1,38,0,12.5,,36,30,6,3,0,,55,53.4,3,0,0,243,49,8,0,1,,0,0,0,1,0.0,0,0,0,0,265,2,0,2,0,0,0,0,0,0,0,970.67,0.0,1,23,1,11,8,3,60.0,0,44,29,65.91,8,134,5,5,167,63.5,249,835,1230,2060,242.6,24,3,2420,9,5,1
Dimitry Bertaud,794465,Montpellier,1642,france,2021,744,9,7,7.12,0,0,0,,,37,0,0.0,19,109,53.43,64,107,171,64.29,6,100.0,0,0,0,0,,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0.0,,11,8,3,0,0,,1,100.0,0,7,0,95,1,0,0,0,,0,0,0,0,0.0,1,0,0,0,95,0,4,0,0,0,23,8,31,1,4,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,55,0,0,7,100.0,204,137,129,266,64.1,0,1,363,4,0,0
