player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Armand Laurienté,932643,Lorient,1656,france,2223,267,3,3,8.2,1,0,1,1.78,0.84,4,0,0.0,32,5,62.5,45,28,73,82.02,1,50.0,1,0,0,0,,2,2,3,0,0,3,0,0,4,4,12,0,0,2,1,7.14,,3,3,0,0,1,,27,71.05,0,0,2,16,4,9,0,1,,0,0,0,0,0.0,0,0,0,1,31,0,0,0,1,0,0,0,0,0,0,267.0,50.0,2,8,6,6,5,14,93.33,0,8,7,87.5,9,6,15,6,28,70.0,8,64,31,89,24.6,14,1,160,5,0,0
Lionel Messi,12994,Paris Saint-Germain,1644,france,2223,2842,32,32,8.11,16,16,32,15.49,16.23,90,34,37.36,722,87,71.31,1236,403,1605,83.12,1,25.0,3,0,0,0,,29,12,35,9,0,32,0,0,77,16,173,0,0,8,2,12.4,,31,28,3,12,4,,164,49.1,0,0,7,326,2,95,13,6,,0,2,0,0,0.0,0,0,0,0,617,21,0,0,3,0,0,0,0,0,0,177.63,10.0,20,69,60,37,57,102,58.96,0,26,18,69.23,93,164,173,91,165,48.82,122,1591,431,1931,259.6,129,19,2619,36,0,0
Neymar,124712,Paris Saint-Germain,1644,france,2223,1552,20,18,7.69,13,11,24,8.08,7.37,50,18,33.33,405,43,66.15,733,267,982,82.73,1,33.33,2,0,0,0,,15,9,8,2,1,20,0,0,37,10,117,0,1,25,0,34.21,,14,14,0,13,0,,125,52.08,1,0,2,205,4,49,3,5,,0,0,2,0,100.0,0,2,0,1,388,12,0,1,9,0,0,0,0,0,0,119.38,0.0,6,27,11,10,20,38,45.24,0,22,14,63.64,49,100,84,54,126,51.85,65,948,293,1187,153.8,38,7,1612,65,4,1
Rémy Cabella,72998,Lille,1643,france,2223,2531,32,28,7.56,7,10,17,8.34,12.07,51,52,31.71,595,28,58.33,982,393,1323,84.32,9,37.5,15,0,0,0,,19,7,10,3,7,32,0,0,35,35,135,1,0,25,0,16.67,,25,23,2,7,0,,148,55.22,1,0,0,246,17,101,3,2,,0,0,0,1,0.0,0,0,0,0,482,33,0,0,3,0,0,0,0,0,0,361.57,0.0,8,33,9,9,23,40,60.61,0,64,37,57.81,101,107,66,164,157,53.77,48,1314,419,1569,241.9,42,5,2172,44,3,0
Martin Terrier,846445,Stade Rennais,1658,france,2223,1328,16,16,7.54,9,4,13,5.58,2.17,15,3,23.08,183,23,71.88,336,110,443,75.34,63,63.0,37,0,0,0,,4,6,10,1,5,16,0,0,15,11,88,0,0,12,0,19.15,,17,15,2,8,1,,58,53.21,4,0,1,145,14,26,3,6,,0,0,0,0,0.0,0,0,0,0,213,8,0,0,2,0,0,0,0,0,0,147.56,0.0,0,33,14,10,27,9,39.13,0,25,11,44.0,26,27,23,13,121,57.89,32,475,126,588,120.6,47,5,837,24,0,0
Branco van den Boomen,190883,Toulouse,1681,france,2223,2891,35,32,7.52,5,8,13,6.03,8.15,197,89,31.56,506,256,70.33,1006,659,1576,83.03,6,33.33,12,0,0,0,,13,1,10,5,25,35,0,0,12,53,122,0,2,33,1,9.62,,54,46,8,4,1,,109,49.77,0,0,2,322,10,89,0,2,,0,1,4,0,100.0,0,4,0,0,589,21,0,0,5,0,0,0,0,0,0,578.2,6.25,16,18,34,17,25,19,57.58,0,71,36,50.7,88,321,33,282,115,48.52,364,1453,727,1898,263.2,52,6,2532,19,6,0
Lucas Paquetá,839981,Olympique Lyonnais,1649,france,2223,161,2,2,7.45,0,0,0,0.37,0.74,6,1,100.0,24,10,76.92,50,59,108,87.1,4,80.0,1,0,0,0,,0,0,3,0,3,2,0,0,1,2,8,0,0,2,0,0.0,,2,2,0,0,0,,9,56.25,0,0,0,16,1,3,0,0,,0,0,0,0,0.0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,0,1,1,1,33.33,0,5,4,80.0,3,9,3,1,13,61.9,13,63,62,124,14.9,5,0,155,3,0,0
Kylian Mbappé,826643,Paris Saint-Germain,1644,france,2223,2822,34,32,7.42,29,5,34,26.3,9.37,26,14,29.79,559,19,67.86,909,175,1070,82.95,8,61.54,5,0,0,2,,17,28,37,8,5,34,0,0,42,11,184,0,0,19,0,19.46,,33,32,1,26,3,,124,40.92,1,0,4,220,5,56,6,33,,0,0,5,0,60.0,0,3,0,1,485,20,0,0,22,0,0,0,0,0,0,97.31,0.0,1,114,35,33,79,74,40.44,0,10,4,40.0,56,52,183,47,132,41.77,28,1144,193,1290,252.4,149,11,1917,40,6,0
Joaquín Blázquez,940690,Stade Brestois,1715,france,2223,90,1,1,7.4,0,0,0,0.0,0.0,6,0,0.0,5,8,53.33,7,11,18,69.23,0,0.0,0,0,0,0,,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0.17,0,0.0,0,2,0,8,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,2,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,8,0,0,0,0.0,15,12,14,26,7.4,0,0,36,0,0,0
Benjamin Bourigeaud,324399,Stade Rennais,1658,france,2223,3084,37,37,7.39,7,10,17,8.71,10.3,87,74,32.03,520,113,61.75,959,509,1394,80.76,10,23.26,33,0,0,0,,15,7,23,5,27,37,0,0,18,44,143,0,0,35,1,9.59,,35,31,4,5,2,,73,39.89,0,0,3,332,31,100,2,2,,0,2,2,0,100.0,0,2,0,0,573,20,0,1,5,0,0,0,0,0,0,440.57,10.0,10,37,36,29,21,14,45.16,0,45,29,64.44,98,181,31,231,83,36.73,183,1382,575,1726,273.6,73,6,2381,14,4,1
Alexandre Lacazette,50070,Olympique Lyonnais,1649,france,2223,2937,35,34,7.38,27,5,32,24.16,5.55,33,3,8.57,323,29,58.0,485,175,657,75.52,28,37.84,46,0,1,1,,6,21,28,4,4,35,0,0,46,19,201,0,0,64,0,23.48,,40,37,3,26,1,,137,46.92,3,0,3,213,15,48,5,15,,0,0,8,1,75.0,0,6,0,3,396,28,0,0,19,0,0,0,0,0,0,108.78,0.0,8,92,23,32,55,38,57.58,0,43,23,53.49,48,58,66,35,165,45.08,50,705,200,870,258.2,115,4,1416,56,3,0
Teji Savanier,156682,Montpellier,1642,france,2223,2557,30,30,7.34,12,4,16,8.55,5.84,175,51,21.7,371,146,60.33,734,421,1104,77.86,13,37.14,22,0,0,0,,9,1,17,3,11,30,0,3,49,47,215,1,0,58,2,18.75,,48,46,2,8,4,,213,52.46,0,0,2,314,30,57,3,0,,0,1,6,0,100.0,0,6,0,0,682,20,0,3,9,0,0,0,0,0,0,213.08,10.53,19,15,49,17,30,72,63.16,0,46,30,65.22,56,292,114,235,226,51.25,242,1171,482,1418,220.1,64,5,2289,96,4,0
