player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Jaume Doménech,235386,Valencia,2828,spain,2122,342,4,3,6.55,0,0,0,,,14,0,0.0,4,36,46.15,24,34,58,58.0,0,0.0,0,0,0,0,,0,0,0,1,4,4,0,0,0,0,0,1,0,0,0,0.0,,4,4,0,0,0,1.34,0,0.0,0,1,0,42,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,42,0,1,0,0,1,7,1,8,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,23,0,0,0,0.0,78,60,40,100,26.2,0,0,121,0,2,0
Amath Ndiaye,845168,Mallorca,2826,spain,2122,884,19,9,6.55,0,1,1,,,3,1,14.29,65,5,100.0,99,57,155,81.15,5,20.0,20,0,0,0,,1,3,3,1,6,19,0,0,19,10,84,0,0,19,0,0.0,,13,10,3,0,0,,54,45.76,0,0,0,36,7,6,0,6,,0,0,0,0,0.0,0,0,0,0,105,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,5,4,4,15,48.39,0,21,11,52.38,6,4,31,7,59,41.26,5,138,60,191,124.4,11,0,384,18,5,0
Gabri Veiga,1010505,Celta Vigo,2821,spain,2122,126,7,0,6.54,0,0,0,,,0,1,33.33,14,1,50.0,29,23,51,79.69,1,9.09,10,0,0,0,,0,0,1,0,1,7,0,0,1,9,22,0,0,1,0,0.0,,3,1,2,0,0,,14,53.85,0,0,0,13,4,1,0,0,,0,0,0,0,0.0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,6,85.71,0,5,4,80.0,1,1,7,3,15,40.54,2,42,25,64,45.8,2,0,104,3,0,0
Vitolo,129452,Getafe,2859,spain,2122,221,7,1,6.54,0,0,0,,,0,0,0.0,41,0,0.0,71,14,85,80.19,4,57.14,3,0,0,0,,0,0,1,0,1,7,0,0,2,3,19,0,0,7,0,0.0,,3,3,0,0,0,,17,51.52,0,0,0,21,1,3,0,1,,0,0,0,0,0.0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,5,55.56,0,3,2,66.67,3,2,9,2,21,52.5,2,91,17,106,45.8,1,0,153,9,0,0
Rubén Peña,255973,Villarreal,2819,spain,2122,146,7,1,6.54,0,0,0,,,1,2,33.33,11,1,50.0,27,10,35,79.55,2,28.57,5,0,0,0,,2,0,0,0,1,7,0,0,6,4,26,0,0,8,0,0.0,,0,0,0,0,0,,8,27.59,0,0,0,9,5,2,0,0,,0,0,0,0,0.0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,1,2,2,40.0,0,2,0,0.0,2,4,5,6,10,27.78,2,39,11,44,45.8,3,0,86,4,1,0
Monchu,859774,Granada,33779,spain,2122,669,14,7,6.54,0,0,0,,,14,2,33.33,64,21,55.26,131,138,267,80.42,11,57.89,8,0,0,0,,1,0,2,1,4,14,0,1,8,5,54,0,0,29,0,0.0,,11,10,1,0,0,,31,40.26,0,0,0,65,4,3,0,0,,0,0,0,0,0.0,0,0,0,0,95,2,0,1,0,0,0,0,0,0,0,0.0,0.0,1,2,6,5,1,6,60.0,0,15,6,40.0,3,23,10,6,42,43.75,38,175,163,332,91.6,8,0,440,11,3,0
Jeison Murillo,158599,Celta Vigo,2821,spain,2122,1123,19,12,6.54,0,0,0,,,26,0,0.0,53,53,56.38,210,410,620,89.21,32,48.48,34,0,0,0,,0,1,2,4,33,19,0,1,3,4,53,0,0,13,0,0.0,,20,18,2,0,0,,30,61.22,0,0,1,75,17,1,0,0,,0,0,0,1,0.0,0,0,0,0,83,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,5,1,3,1,3,100.0,0,15,10,66.67,1,53,3,1,62,53.91,94,255,441,695,124.3,6,0,828,13,5,0
Álex Petxarroman,914048,Athletic Club,2825,spain,2122,424,17,1,6.54,0,0,0,,,5,0,0.0,44,13,43.33,85,73,158,75.24,6,42.86,8,0,0,0,,1,0,1,0,6,15,0,0,3,4,31,0,0,11,0,0.0,,8,7,1,0,0,,27,54.0,0,0,0,52,4,1,0,0,,0,0,0,0,0.0,0,0,0,0,93,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,1,3,33.33,0,12,9,75.0,1,21,9,13,33,51.56,30,133,90,210,98.1,2,0,347,12,4,0
Matías Arezo,975814,Granada,33779,spain,2122,156,8,1,6.54,0,0,0,,,0,0,0.0,11,0,0.0,13,4,17,51.52,7,58.33,5,0,0,0,,0,2,1,0,1,8,0,0,3,5,19,0,0,3,0,0.0,,5,5,0,0,0,,8,36.36,0,0,0,16,1,6,0,0,,0,0,0,0,0.0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,1,3,2,40.0,0,5,3,60.0,6,2,5,4,15,44.12,1,31,6,33,52.3,5,0,75,1,1,0
Aleksandar Sedlar,799195,Mallorca,2826,spain,2122,406,10,3,6.54,0,0,0,,,6,0,0.0,9,9,40.91,37,106,143,81.71,8,61.54,5,0,0,0,,0,0,0,0,18,8,0,0,0,2,16,0,0,9,0,0.0,,9,7,2,0,0,,11,50.0,0,0,0,32,5,2,0,0,,0,0,0,0,0.0,0,0,0,0,36,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5,3,60.0,2,12,0,0,19,54.29,22,55,120,175,52.3,0,0,222,6,3,1
