player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Lamine Sy,1177351,Auxerre,1646,france,2526,1157,18,13,6.67,0,0,0,0.79,0.72,0,4,11.76,102,14,41.18,178,145,323,81.36,6,75.0,2,0,0,0,58,2,1,2,4,26,18,0,0,7,20260326,6,46,0,1,12,0,0.0,0,16,11,5,0,0,,58,56.86,0,0,0,74,14,9,0,2,6.0,0,0,0,0,0.0,0,0,0,1,176,5,0,0,0,0,0,0,0,0,0,0.0,0,0,6,1,4,1,10,31.25,0,35,22,62.86,9,4,32,34,64,58.18,34,217,180,397,120.1,7,0,752,13,0,0
Nouha Dicko,204286,Paris FC,6070,france,2526,98,8,0,6.67,1,1,2,0.4,0.01,0,0,0.0,3,1,50.0,7,3,10,76.92,3,37.5,5,0,0,0,1,1,0,0,0,0,7,0,0,1,20260326,0,9,0,0,4,0,25.0,0,2,2,0,1,0,,4,50.0,1,0,0,3,0,1,0,2,0.0,0,0,0,0,0.0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,98.0,0,0,3,1,2,2,0,0.0,0,1,0,0.0,1,0,0,2,7,43.75,2,9,4,13,46.7,4,0,28,3,0,0
Breel Embolo,352296,Stade Rennais,1658,france,2526,1402,24,15,6.67,6,3,9,5.08,1.12,1,1,25.0,73,3,37.5,126,68,194,71.32,17,37.78,28,0,0,0,44,2,3,3,2,12,24,0,0,22,20260326,7,117,0,0,37,0,25.0,0,24,21,3,6,0,,71,44.38,3,0,0,78,4,14,0,13,3.0,0,0,0,0,0.0,0,0,0,0,170,10,0,0,2,0,0,0,0,0,0,233.67,0,0,21,3,10,11,11,31.43,0,15,10,66.67,14,8,35,4,88,42.93,8,193,79,272,160.1,24,0,522,45,3,0
Jonathan Ikoné,802142,Paris FC,6070,france,2526,719,17,8,6.67,1,0,1,1.32,0.48,4,1,33.33,40,4,80.0,80,95,175,82.55,4,33.33,8,0,0,0,30,2,2,6,0,6,17,0,0,7,20260326,7,41,0,0,10,0,7.69,0,7,7,0,1,0,,30,47.62,1,0,0,37,2,6,0,1,0.0,0,0,0,0,0.0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,719.0,0,0,9,4,4,3,11,47.83,0,10,7,70.0,6,6,23,3,34,45.33,5,100,112,212,113.4,13,0,326,9,1,0
Tiago Santos,1087364,Lille,1643,france,2526,707,13,8,6.67,0,0,0,0.39,0.53,9,4,12.9,61,10,40.0,125,109,234,83.87,3,33.33,6,0,0,0,23,1,1,2,1,15,13,0,0,13,20260326,3,47,0,0,12,0,0.0,0,8,7,1,0,0,,37,47.44,0,0,1,45,5,6,0,0,0.0,0,0,0,0,0.0,0,0,0,1,132,4,0,0,0,0,0,0,0,0,0,0.0,0,0,4,4,6,0,3,17.65,0,13,8,61.54,6,22,17,31,40,45.98,25,161,118,279,86.7,8,0,495,21,0,0
Djaoui Cissé,1445628,Stade Rennais,1658,france,2526,959,21,12,6.67,0,0,0,0.79,0.78,9,4,14.81,131,19,51.35,229,166,395,80.78,4,30.77,9,0,0,0,51,0,0,9,0,5,21,0,0,12,20260326,8,60,0,0,18,0,0.0,0,14,13,1,0,0,,49,49.0,0,0,0,94,6,12,0,0,5.0,0,0,0,0,0.0,0,0,0,0,180,7,0,0,0,0,0,0,0,0,0,0.0,0,1,8,16,9,6,9,40.91,0,31,15,48.39,12,23,22,27,53,46.9,37,296,193,489,140.0,24,0,709,9,3,0
Anthony Bermont,1545297,RC Lens,1648,france,2526,112,9,0,6.67,0,0,0,0.14,0.38,3,4,36.36,35,2,100.0,50,20,70,85.37,3,60.0,2,0,0,0,11,0,0,0,0,0,9,0,0,1,20260326,1,8,0,0,2,0,0.0,0,0,0,0,0,0,,2,25.0,0,0,0,12,3,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,2,1,2,50.0,0,0,0,0.0,1,4,4,11,5,38.46,2,60,22,82,60.0,3,0,114,0,0,0
Panos Katseris,1402217,Lorient,1656,france,2526,247,9,3,6.66,0,0,0,0.49,0.47,3,4,22.22,28,3,75.0,52,34,86,81.13,5,71.43,2,0,0,0,22,1,0,2,1,7,8,0,0,3,20260326,5,21,0,0,5,0,0.0,0,2,2,0,0,0,,15,44.12,0,0,0,20,6,4,0,1,1.0,0,0,0,0,0.0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,0.0,0,0,4,1,1,2,3,33.33,0,4,4,100.0,4,6,9,18,20,48.78,4,66,40,106,53.3,5,0,197,8,2,0
Mathis Amougou,1426224,RC Strasbourg,1659,france,2526,267,9,2,6.66,0,0,0,0.17,0.12,1,0,0.0,34,0,0.0,71,62,133,92.36,0,0.0,0,0,0,0,14,0,1,0,0,1,8,0,0,1,20260326,3,10,0,1,2,0,0.0,0,6,6,0,0,0,,15,60.0,0,0,0,11,1,2,0,0,1.0,0,0,0,0,0.0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,1,1,2,33.33,0,10,5,50.0,2,1,6,0,15,60.0,1,78,66,144,53.3,2,0,185,3,1,0
Sofiane Boufal,257205,Le Havre,1662,france,2526,624,10,8,6.66,0,3,3,0.34,1.17,6,12,26.67,63,10,45.45,102,67,169,75.11,2,100.0,0,0,0,0,40,4,0,3,0,4,10,0,0,15,20260326,6,52,0,0,13,0,0.0,0,11,10,1,0,0,,37,41.57,0,0,1,56,2,18,0,2,0.0,0,0,0,0,0.0,0,0,0,0,153,4,0,0,0,0,0,0,0,0,0,0.0,0,1,2,8,5,2,10,34.48,0,11,9,81.82,18,14,29,45,39,42.86,22,141,84,225,66.6,10,0,417,16,1,0
