player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Mert Yilmaz,881966,Antalyaspor,3056,turkey,2425,987,19,11,6.74,0,2,2,0.18,0.39,6,6,33.33,75,13,43.33,172,164,330,86.61,2,25.0,6,0,0,0,33,1,0,0,2,22,19,0,0,12,12,47,0,0,9,0,0.0,0,11,9,2,0,0,,48,53.93,0,0,0,51,15,7,0,1,,0,0,0,0,0.0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,3,4,1,12,60.0,0,18,13,72.22,7,17,20,18,50,51.55,30,215,184,381,128.1,5,0,658,18,1,0
İzzet Çelik,826836,Adana Demirspor,3101,turkey,2425,1716,24,21,6.74,0,0,0,0.22,0.73,22,1,10.0,136,26,39.39,274,200,473,77.41,15,30.61,34,0,0,0,101,1,0,3,1,19,24,0,0,28,18,113,0,1,16,0,0.0,0,43,40,3,0,0,,135,63.08,0,0,0,138,22,11,0,1,,0,0,0,0,0.0,0,0,0,0,241,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,1,2,30,63.83,0,56,37,66.07,11,52,47,10,150,57.03,66,385,236,611,161.8,6,0,968,49,7,0
Mislav Oršić,88645,Trabzonspor,3051,turkey,2425,202,5,3,6.74,0,0,0,0.09,0.33,1,2,28.57,23,3,75.0,38,23,59,76.62,0,0.0,1,0,0,0,7,1,0,2,0,2,5,0,0,1,3,12,0,0,0,0,0.0,0,2,2,0,0,0,,7,38.89,0,0,0,18,0,2,0,0,,0,0,0,0,0.0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,5,0,3,2,22.22,0,5,3,60.0,2,6,9,7,7,36.84,4,58,26,77,33.7,5,0,121,0,0,0
Guy-Marcelin Kilama,944222,Hatayspor,3091,turkey,2425,2696,31,31,6.74,1,1,2,0.77,0.43,51,0,0.0,68,71,40.34,265,694,959,84.64,56,63.64,32,0,0,0,127,2,1,0,2,145,31,0,1,6,13,80,2,4,26,0,12.5,2,56,54,2,1,0,,62,56.36,0,0,0,174,38,7,0,2,,1,0,0,1,0.0,0,0,0,0,211,2,0,1,1,0,0,0,0,0,0,2696.0,0.0,0,5,3,6,2,8,61.54,0,40,22,55.0,7,98,13,1,118,59.6,176,378,756,1133,208.9,8,1,1525,17,6,0
João Figueiredo,841012,Başakşehir FK,3086,turkey,2425,1466,34,13,6.74,7,0,7,6.76,1.24,24,4,20.0,99,18,56.25,175,117,288,77.42,24,37.5,40,0,0,0,41,1,8,6,1,20,34,0,0,16,16,124,0,0,35,0,17.95,0,30,28,2,6,1,,53,38.69,0,0,2,84,10,10,3,8,,0,0,2,0,100.0,0,2,0,0,169,3,0,0,4,0,0,0,0,0,0,209.43,0.0,0,30,9,15,18,8,25.81,0,18,8,44.44,10,38,31,20,77,38.31,32,262,130,372,229.1,39,0,622,27,2,0
Louka Prip,976127,Konyaspor,3085,turkey,2425,766,21,7,6.74,1,2,3,1.3,0.89,10,11,36.67,56,9,56.25,129,64,182,83.87,5,21.74,18,0,0,0,35,2,1,3,0,4,21,0,0,8,12,57,0,0,4,0,5.0,0,12,10,2,1,0,,29,42.65,0,0,0,35,2,15,1,0,,0,0,0,0,0.0,0,0,0,0,101,9,0,0,0,0,0,0,0,0,0,766.0,0.0,0,8,12,9,8,12,44.44,0,5,4,80.0,15,12,27,30,34,37.36,16,174,73,217,141.5,20,0,376,12,1,0
Taulant Seferi,279487,Bodrum FK,202390,turkey,2425,1982,30,22,6.74,3,1,4,6.25,1.48,11,2,9.09,136,17,50.0,213,149,360,71.57,15,30.61,34,0,1,0,92,1,6,11,2,14,30,0,0,33,14,144,0,0,49,0,6.38,0,25,22,3,2,1,,83,43.01,0,0,2,143,11,19,1,20,,0,0,1,1,0.0,0,0,0,0,286,9,0,1,2,0,0,0,0,0,0,660.67,0.0,0,31,16,21,15,24,55.81,0,36,23,63.89,19,19,43,22,98,40.5,34,350,175,503,202.1,47,0,877,24,3,1
Nazım Sangaré,169425,Göztepe,3054,turkey,2425,784,20,7,6.74,0,1,1,0.33,1.76,9,13,50.0,64,19,47.5,123,36,146,64.6,7,63.64,4,0,0,0,34,1,0,3,0,17,20,0,0,5,9,40,0,0,13,0,0.0,0,12,10,2,0,0,,48,57.14,0,0,0,80,9,15,0,0,,0,0,0,1,0.0,0,0,0,0,157,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,2,4,0,4,30.77,0,34,20,58.82,15,24,13,26,55,57.89,40,206,46,226,134.7,7,0,481,10,3,0
Aylton Boa Morte,883918,Kayserispor,3072,turkey,2425,1193,18,13,6.73,4,2,6,5.09,1.23,6,3,10.71,78,8,44.44,132,53,182,65.94,14,41.18,20,0,0,0,55,3,5,13,1,8,18,0,0,24,3,101,0,0,27,0,12.5,0,26,21,5,4,0,,46,36.22,2,0,1,94,4,18,1,6,,0,0,0,0,0.0,0,0,0,0,209,4,0,0,1,0,0,0,0,0,0,298.25,0.0,0,27,5,7,12,22,42.31,0,9,7,77.78,18,18,52,28,60,37.27,18,232,72,276,121.2,32,0,525,15,5,0
Berkay Özcan,806964,Çaykur Rizespor,3064,turkey,2425,1274,25,14,6.73,1,1,2,2.85,0.73,14,3,50.0,117,23,65.71,232,216,445,89.18,13,52.0,12,0,0,0,47,2,4,5,0,14,25,0,0,19,7,47,0,0,7,0,6.25,0,22,20,2,1,0,,42,54.55,0,0,0,54,4,14,0,0,,0,0,1,0,100.0,0,1,0,0,95,3,0,0,1,0,0,0,0,0,0,1274.0,0.0,2,8,8,4,7,10,83.33,0,16,8,50.0,14,27,12,6,55,53.92,35,273,232,499,168.3,16,0,672,17,1,0
