player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Patric,217784,Lazio,2699,italy,2526,394,9,3,6.87,0,0,0,0.13,0.1,13,0,0.0,30,21,67.74,105,184,289,90.88,10,71.43,4,0,0,0,19,0,0,1,2,25,9,0,0,0,20260326,2,9,0,1,3,0,0.0,1,2,1,1,0,0,,2,28.57,0,0,0,29,4,1,0,0,4,0,0,0,0,0.0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,0,0.0,0,1,0,0.0,1,24,0,1,12,57.14,31,128,190,318,61.8,2,1,365,1,1,0
Luís Henrique,977679,Inter,2697,italy,2526,1426,25,17,6.87,1,2,3,0.73,1.62,18,11,26.83,250,18,47.37,407,227,634,86.73,5,83.33,1,0,0,0,88,5,1,4,4,14,23,0,0,6,20260326,2,22,0,0,5,0,7.14,0,12,11,1,1,0,,26,55.32,0,0,1,97,6,21,0,1,0,0,0,0,0,0.0,0,0,0,0,159,7,0,0,1,0,0,0,0,0,0,1426.0,0.0,0,11,3,4,6,9,50.0,0,17,13,76.47,21,33,18,41,31,58.49,38,469,262,731,157.9,14,1,922,0,1,0
Jan Ziółkowski,1499991,Roma,2702,italy,2526,467,13,5,6.86,0,0,0,,0.11,5,0,0.0,11,12,34.29,50,139,189,82.53,23,58.97,16,0,0,0,23,0,0,0,1,35,11,0,0,2,20260326,2,30,0,0,10,0,0.0,0,5,5,0,0,0,,26,65.0,0,0,0,40,8,1,0,0,5,0,0,0,0,0.0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,18,12,66.67,1,12,0,0,49,62.03,35,78,151,229,75.5,0,1,321,8,2,0
Andrea Cambiaso,917048,Juventus,2687,italy,2526,2191,28,27,6.86,3,3,6,2.65,4.07,36,25,25.25,324,41,66.13,574,468,1042,87.56,9,45.0,11,0,0,0,123,8,2,2,3,13,28,0,1,19,20260326,15,78,1,2,22,0,14.29,0,23,21,2,3,0,,69,50.74,1,0,0,148,13,44,2,2,7,2,0,0,0,0.0,0,0,0,0,304,9,0,1,0,0,0,0,0,0,0,730.33,0.0,0,12,9,8,11,7,33.33,0,47,33,70.21,44,64,21,99,78,50.0,62,667,523,1190,192.1,21,2,1689,15,1,0
Anastasios Douvikas,894863,Como,2704,italy,2526,1668,30,18,6.86,11,1,12,8.89,1.33,5,0,0.0,91,8,72.73,148,61,209,77.7,29,46.77,33,0,0,0,21,2,9,9,4,11,30,0,0,31,20260326,6,108,0,0,26,0,22.45,0,15,13,2,11,0,,52,40.94,1,0,1,60,4,20,2,3,4,0,0,1,0,100.0,0,1,0,1,173,4,0,0,8,0,0,0,0,0,0,151.64,0.0,0,46,3,17,23,9,36.0,0,11,8,72.73,20,10,25,4,81,42.86,11,196,73,269,205.8,49,4,539,32,0,0
Samuele Ricci,930189,Milan,2692,italy,2526,1060,25,9,6.86,1,3,4,1.43,1.61,22,10,43.48,131,26,74.29,280,187,467,89.98,3,30.0,7,0,0,0,47,4,2,4,1,22,25,0,0,8,20260326,2,30,0,1,10,0,6.25,0,11,10,1,0,1,,37,61.67,0,0,1,52,7,16,0,1,4,0,0,0,0,0.0,0,0,0,0,88,4,0,0,1,0,0,0,0,0,0,1060.0,0.0,0,6,10,6,6,4,57.14,0,10,8,80.0,16,29,7,23,40,57.14,35,318,201,519,171.5,16,1,686,24,1,0
Emanuele Valeri,891346,Parma,2690,italy,2526,2031,26,22,6.86,0,2,2,0.45,3.52,32,45,23.44,145,42,48.28,242,201,443,72.03,13,43.33,17,0,0,0,82,4,1,7,7,33,26,0,0,19,20260326,24,94,0,1,18,0,0.0,0,27,22,5,0,0,,71,47.97,0,0,0,172,18,42,0,1,2,0,0,0,0,0.0,0,0,0,0,471,7,0,0,0,0,0,0,0,0,0,0.0,0.0,3,4,13,7,3,13,44.83,0,35,25,71.43,42,68,29,192,84,47.19,87,367,248,615,178.3,17,0,1277,23,2,0
Ardian Ismajli,840414,Torino,2696,italy,2526,1555,21,17,6.86,0,1,1,0.32,0.28,14,3,37.5,50,38,49.35,192,489,681,88.21,46,70.77,19,0,0,0,52,1,1,0,5,118,21,0,0,1,20260326,3,46,0,1,20,0,0.0,11,23,19,4,0,0,,41,60.29,0,0,0,91,28,4,0,1,14,0,0,0,1,0.0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,0,2,4,2,33.33,0,28,12,42.86,4,35,6,8,87,65.41,77,255,517,772,144.0,6,0,1053,13,4,0
Kristjan Asllani,996820,Torino,2696,italy,2526,1135,15,13,6.85,0,0,0,1.39,1.31,52,13,25.0,99,68,54.4,245,274,519,84.12,2,18.18,9,0,0,1,63,1,1,7,1,10,15,0,0,4,20260326,11,34,1,1,7,0,0.0,0,20,16,4,0,0,,37,59.68,0,0,0,98,12,15,0,0,1,0,0,1,0,0.0,0,0,0,0,160,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1,2,18,9,4,3,50.0,0,21,14,66.67,15,90,6,52,39,53.42,125,321,296,617,102.8,20,0,792,14,3,0
Vanja Milinković-Savić,356160,Napoli,2714,italy,2526,1890,21,21,6.85,0,0,0,,0.07,34,0,0.0,35,115,32.67,69,520,589,71.05,4,100.0,0,0,0,0,157,1,0,0,8,16,21,1,0,0,20260326,1,2,0,1,1,0,0.0,133,18,17,1,0,0,0.82,2,50.0,0,20,0,240,0,2,0,0,0,0,0,0,1,0.0,6,0,2,0,245,0,7,0,0,13,21,18,39,0,9,0.0,0.0,0,0,0,0,0,0,0.0,12,0,0,0.0,2,66,0,0,6,75.0,352,264,565,829,143.9,0,0,991,4,0,0
Isak Hien,1157713,Atalanta,2686,italy,2526,1752,25,18,6.85,1,0,1,0.8,0.3,9,0,0.0,68,54,66.67,290,672,962,92.06,43,49.43,44,0,0,0,104,0,1,1,2,91,25,0,0,10,20260326,13,105,0,1,34,0,12.5,6,21,17,4,1,0,,62,50.41,1,0,0,83,22,1,0,0,12,1,0,0,0,0.0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,1752.0,0.0,0,8,0,4,3,4,50.0,0,43,31,72.09,1,19,8,0,105,50.0,81,336,709,1045,171.3,8,1,1326,15,4,0
Weston McKennie,881931,Juventus,2687,italy,2526,2215,29,25,6.85,4,4,8,5.56,4.7,31,4,15.38,314,24,61.54,505,236,741,82.15,35,53.85,30,0,0,0,84,4,9,5,8,37,27,0,0,13,20260326,8,97,2,1,34,0,10.81,0,26,21,5,4,0,,55,45.08,2,0,1,161,19,36,1,7,5,0,0,0,0,0.0,0,0,0,0,289,9,0,0,1,0,0,0,0,0,0,553.75,0.0,0,34,3,18,14,12,46.15,0,32,17,53.13,36,54,26,26,90,48.13,39,632,270,902,185.0,37,2,1343,11,4,0
Niels Nkounkou,941179,Torino,2696,italy,2526,325,9,3,6.85,0,1,1,0.11,0.78,2,5,33.33,26,5,41.67,48,36,84,80.77,3,27.27,8,0,0,0,9,2,0,1,0,14,8,0,0,3,20260326,3,16,0,1,2,0,0.0,0,7,7,0,0,0,,21,72.41,0,0,1,20,8,5,0,0,1,0,0,0,0,0.0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,2,2,0,7,100.0,0,12,8,66.67,5,6,7,15,24,60.0,12,60,44,104,54.8,3,1,209,3,2,0
Daniele Padelli,2899,Udinese,2695,italy,2526,180,2,2,6.85,0,0,0,,0.0,1,0,0.0,0,7,25.0,2,40,42,66.67,0,0.0,0,0,0,0,17,0,0,0,0,2,2,0,0,0,20260326,0,0,0,0,0,0,0.0,8,2,2,0,0,0,-0.56,0,0.0,0,0,0,21,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,21,0,0,0,0,2,2,1,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1,0,0,0,0.0,28,19,44,63,13.7,0,0,76,0,0,0
Angeliño,848355,Roma,2702,italy,2526,406,6,5,6.85,0,0,0,0.16,0.72,17,4,23.53,56,11,50.0,91,63,154,77.39,4,50.0,4,0,0,0,22,0,0,1,1,6,6,0,0,2,20260326,5,19,0,0,5,0,0.0,0,1,0,1,0,0,,10,40.0,0,0,0,45,2,5,0,0,0,0,0,0,0,0.0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,0,1,2,0,0.0,0,8,6,75.0,5,32,3,17,14,42.42,22,123,76,199,41.1,4,0,299,2,2,0
Marcus Thuram,791702,Inter,2697,italy,2526,1479,23,18,6.85,7,3,10,6.73,1.81,3,5,33.33,138,4,100.0,211,86,297,75.0,41,50.62,40,0,0,0,35,3,14,12,0,7,23,0,0,25,20260326,8,110,0,0,37,0,12.07,0,12,9,3,7,0,,65,48.15,2,0,1,99,0,23,2,12,1,0,0,0,0,0.0,0,0,0,1,195,13,0,0,2,0,0,0,0,0,0,211.29,0.0,0,52,6,24,22,15,62.5,0,20,10,50.0,23,5,24,15,106,49.07,4,289,107,396,157.5,58,2,679,31,2,0
Remo Freuler,115516,Bologna,2685,italy,2526,1521,21,18,6.85,0,2,2,0.13,0.79,32,1,10.0,191,44,54.32,422,364,786,86.37,10,33.33,20,0,0,0,73,0,0,4,4,26,21,0,0,7,20260326,13,58,1,0,16,0,0.0,0,20,16,4,0,0,,69,64.49,0,0,0,124,10,14,0,0,4,1,0,0,0,0.0,0,0,0,0,171,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,1,0,2,33.33,0,49,29,59.18,14,67,6,10,79,57.66,81,513,397,910,143.8,5,0,1126,18,5,0
