player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Dusan Vlahovic,Juventus,F,23,Serbia,italy,2223,249231.0,12960000.0
Samuel Umtiti,Lecce,D,29,France,italy,2223,236731.0,12310000.0
Wojciech Szczesny,Juventus,K,33,Poland,italy,2223,231538.0,12040000.0
Leonardo Bonucci,Juventus,D,35,Italy,italy,2223,231538.0,12040000.0
Lautaro Martínez,Inter Milan,F,25,Argentina,italy,2223,213654.0,11110000.0
Alex Sandro,Juventus,D,32,Brazil,italy,2223,213654.0,11110000.0
Marcelo Brozovic,Inter Milan,M,30,Croatia,italy,2223,213654.0,11110000.0
Romelu Lukaku,Inter Milan,F,29,Belgium,italy,2223,209615.0,10900000.0
Paul Pogba,Juventus,M,29,France,italy,2223,197308.0,10260000.0
Nicolò Barella,Inter Milan,M,25,Italy,italy,2223,178077.0,9260000.0
Juan Cuadrado,Juventus,M,34,Colombia,italy,2223,178077.0,9260000.0
Federico Chiesa,Juventus,F,25,Italy,italy,2223,178077.0,9260000.0
Bremer,Juventus,D,25,Brazil,italy,2223,178077.0,9260000.0
Hakan Calhanoglu,Inter Milan,M,28,Turkey,italy,2223,178077.0,9260000.0
Edin Dzeko,Inter Milan,F,36,Bosnia-Herzegovina,italy,2223,178077.0,9260000.0
Georginio Wijnaldum,Roma,M,32,Netherlands,italy,2223,178077.0,9260000.0
Adrien Rabiot,Juventus,M,28,France,italy,2223,172500.0,8970000.0
Leandro Paredes,Juventus,M,28,Argentina,italy,2223,172500.0,8970000.0
Ángel Di María,Juventus,F,34,Argentina,italy,2223,147885.0,7690000.0
Nemanja Matić,Roma,M,34,Serbia,italy,2223,142500.0,7410000.0
Ciro Immobile,Lazio,F,32,Italy,italy,2223,142500.0,7410000.0
Stefan de Vrij,Inter Milan,D,30,Netherlands,italy,2223,135385.0,7040000.0
Ismaël Bennacer,AC Milan,M,25,Algeria,italy,2223,135385.0,7040000.0
Paulo Dybala,Roma,F,29,Argentina,italy,2223,135385.0,7040000.0
Piotr Zielinski,Napoli,M,28,Poland,italy,2223,124615.0,6480000.0
Daniele Rugani,Juventus,D,28,Italy,italy,2223,124615.0,6480000.0
Joaquín Correa,Inter Milan,F,28,Argentina,italy,2223,124615.0,6480000.0
Gianluca Mancini,Roma,D,26,Italy,italy,2223,124615.0,6480000.0
Stephan El Shaarawy,Roma,F,30,Italy,italy,2223,124615.0,6480000.0
Lorenzo Pellegrini,Roma,F,26,Italy,italy,2223,124615.0,6480000.0
Rafael Leão,AC Milan,F,23,Portugal,italy,2223,123269.0,6410000.0
Sergiño Dest,AC Milan,D,22,United States,italy,2223,115385.0,6000000.0
Sergej Milinković-Savić,Lazio,M,27,Serbia,italy,2223,114038.0,5930000.0
Tammy Abraham,Roma,F,25,England,italy,2223,110962.0,5770000.0
Alexis Sánchez,Inter Milan,F,33,Chile,italy,2223,110962.0,5770000.0
Nikola Milenković,Fiorentina,D,25,Serbia,italy,2223,106923.0,5560000.0
Alessio Romagnoli,Lazio,D,28,Italy,italy,2223,106923.0,5560000.0
Domenico Berardi,Sassuolo,F,28,Italy,italy,2223,106923.0,5560000.0
Milan Skriniar,Inter Milan,D,27,Slovakia,italy,2223,106923.0,5560000.0
Leonardo Spinazzola,Roma,D,29,Italy,italy,2223,106923.0,5560000.0
Alessandro Florenzi,AC Milan,D,31,Italy,italy,2223,106923.0,5560000.0
Manuel Locatelli,Juventus,M,25,Italy,italy,2223,106923.0,5560000.0
Victor Osimhen,Napoli,F,24,Nigeria,italy,2223,104808.0,5450000.0
Alessandro Bastoni,Inter Milan,D,23,Italy,italy,2223,99808.0,5190000.0
Bryan Cristante,Roma,M,28,Italy,italy,2223,99808.0,5190000.0
Hirving Lozano,Napoli,F,27,Mexico,italy,2223,98654.0,5130000.0
Danilo,Juventus,D,31,Brazil,italy,2223,98654.0,5130000.0
Divock Origi,AC Milan,F,27,Belgium,italy,2223,98654.0,5130000.0
Theo Hernández,AC Milan,D,25,France,italy,2223,98654.0,5130000.0
Henrikh Mkhitaryan,Inter Milan,F,34,Armenia,italy,2223,93654.0,4870000.0
Samir Handanovic,Inter Milan,K,38,Slovenia,italy,2223,89038.0,4630000.0
Robin Gosens,Inter Milan,M,28,Germany,italy,2223,89038.0,4630000.0
Sandro Tonali,AC Milan,M,22,Italy,italy,2223,89038.0,4630000.0
Federico Fazio,Salernitana,D,35,Argentina,italy,2223,89038.0,4630000.0
Min-jae Kim,Napoli,D,26,South Korea,italy,2223,89038.0,4630000.0
Nicolò Zaniolo,Roma,F,23,Italy,italy,2223,89038.0,4630000.0
Tiemoué Bakayoko,AC Milan,M,28,France,italy,2223,89038.0,4630000.0
Giacomo Raspadori,Napoli,F,22,Italy,italy,2223,89038.0,4630000.0
Luis Alberto,Lazio,M,30,Spain,italy,2223,89038.0,4630000.0
Ante Rebic,AC Milan,F,29,Croatia,italy,2223,86346.0,4490000.0
Arkadiusz Milik,Juventus,F,28,Poland,italy,2223,86346.0,4490000.0
Olivier Giroud,AC Milan,F,36,France,italy,2223,86346.0,4490000.0
Fikayo Tomori,AC Milan,D,25,England,italy,2223,86346.0,4490000.0
Chris Smalling,Roma,D,33,England,italy,2223,86346.0,4490000.0
Andrea Pinamonti,Sassuolo,F,23,Italy,italy,2223,85385.0,4440000.0
Andrea Belotti,Roma,F,29,Italy,italy,2223,85385.0,4440000.0
Giovanni Di Lorenzo,Napoli,D,29,Italy,italy,2223,85385.0,4440000.0
Matteo Politano,Napoli,F,29,Italy,italy,2223,78269.0,4070000.0
Andrea Petagna,Monza,F,27,Italy,italy,2223,78269.0,4070000.0
Elseid Hysaj,Lazio,D,28,Albania,italy,2223,78269.0,4070000.0
Rick Karsdorp,Roma,D,27,Netherlands,italy,2223,78269.0,4070000.0
Mário Rui,Napoli,D,31,Portugal,italy,2223,74808.0,3890000.0
André Onana,Inter Milan,K,26,Cameroon,italy,2223,74038.0,3850000.0
Krzysztof Piatek,Salernitana,F,27,Poland,italy,2223,74038.0,3850000.0
Aaron Ramsey,Juventus,M,31,Wales,italy,2223,74038.0,3850000.0
Moise Kean,Juventus,F,22,Italy,italy,2223,74038.0,3850000.0
Rui Patrício,Roma,K,34,Portugal,italy,2223,74038.0,3850000.0
Federico Dimarco,Inter Milan,D,25,Italy,italy,2223,71154.0,3700000.0
Davide Calabria,AC Milan,D,26,Italy,italy,2223,71154.0,3700000.0
Andrea Conti,Sampdoria,D,28,Italy,italy,2223,71154.0,3700000.0
Merih Demiral,Atalanta,D,24,Turkey,italy,2223,71154.0,3700000.0
Alex Meret,Napoli,K,25,Italy,italy,2223,71154.0,3700000.0
Stefano Sensi,Monza,M,27,Italy,italy,2223,71154.0,3700000.0
Danilo D'Ambrosio,Inter Milan,D,34,Italy,italy,2223,71154.0,3700000.0
Mike Maignan,AC Milan,K,27,France,italy,2223,69038.0,3590000.0
Stanislav Lobotka,Napoli,M,28,Slovakia,italy,2223,69038.0,3590000.0
Mattia Zaccagni,Lazio,F,27,Italy,italy,2223,67692.0,3520000.0
André Zambo Anguissa,Napoli,M,27,Cameroon,italy,2223,66538.0,3460000.0
Marko Arnautovic,Bologna,F,33,Austria,italy,2223,66538.0,3460000.0
Matías Vecino,Lazio,M,31,Uruguay,italy,2223,64038.0,3330000.0
Adam Marusic,Lazio,D,30,Montenegro,italy,2223,64038.0,3330000.0
