player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Lionel Messi,Barcelona,F,33,Argentina,spain,2021,1365385.0,71000000.0
Antoine Griezmann,Barcelona,F,29,France,spain,2021,721154.0,37500000.0
Samuel Umtiti,Barcelona,D,26,France,spain,2021,615385.0,32000000.0
Eden Hazard,Real Madrid,F,29,Belgium,spain,2021,600962.0,31250000.0
Sergio Ramos,Real Madrid,D,34,Spain,spain,2021,468846.0,24380000.0
Toni Kroos,Real Madrid,M,30,Germany,spain,2021,468846.0,24380000.0
Marcelo,Real Madrid,D,32,Brazil,spain,2021,468846.0,24380000.0
Sergio Busquets,Barcelona,M,32,Spain,spain,2021,461538.0,24000000.0
Luka Modric,Real Madrid,M,35,Croatia,spain,2021,420769.0,21880000.0
Philippe Coutinho,Barcelona,F,28,Brazil,spain,2021,420769.0,21880000.0
Jan Oblak,Atletico Madrid,K,27,Slovenia,spain,2021,400000.0,20800000.0
Karim Benzema,Real Madrid,F,32,France,spain,2021,348654.0,18130000.0
Gerard Piqué,Barcelona,D,33,Spain,spain,2021,346154.0,18000000.0
Jordi Alba,Barcelona,D,31,Spain,spain,2021,338462.0,17600000.0
Raphaël Varane,Real Madrid,D,27,France,spain,2021,328462.0,17080000.0
Koke,Atletico Madrid,M,28,Spain,spain,2021,307692.0,16000000.0
Miralem Pjanic,Barcelona,M,30,Bosnia-Herzegovina,spain,2021,300385.0,15620000.0
Luis Suárez,Atletico Madrid,F,33,Uruguay,spain,2021,300385.0,15620000.0
Isco,Real Madrid,F,28,Spain,spain,2021,280385.0,14580000.0
João Félix,Atletico Madrid,F,20,Portugal,spain,2021,280385.0,14580000.0
Yannick Carrasco,Atletico Madrid,F,27,Belgium,spain,2021,252500.0,13130000.0
Thibaut Courtois,Real Madrid,K,28,Belgium,spain,2021,252500.0,13130000.0
Clément Lenglet,Barcelona,D,25,France,spain,2021,230769.0,12000000.0
Ousmane Dembélé,Barcelona,F,23,France,spain,2021,230769.0,12000000.0
Saúl Ñíguez,Atletico Madrid,M,25,Spain,spain,2021,230769.0,12000000.0
Iñaki Williams,Athletic Club,F,26,Spain,spain,2021,219231.0,11400000.0
Casemiro,Real Madrid,M,28,Brazil,spain,2021,210385.0,10940000.0
Ferland Mendy,Real Madrid,D,25,France,spain,2021,200385.0,10420000.0
Daniel Carvajal,Real Madrid,D,28,Spain,spain,2021,196346.0,10210000.0
Marco Asensio,Real Madrid,F,24,Spain,spain,2021,189038.0,9830000.0
Lucas Vázquez,Real Madrid,F,29,Spain,spain,2021,180385.0,9380000.0
Diego Costa,Atletico Madrid,F,32,Spain,spain,2021,178846.0,9300000.0
Marc-André ter Stegen,Barcelona,K,28,Germany,spain,2021,173077.0,9000000.0
Sergi Roberto,Barcelona,D,28,Spain,spain,2021,173077.0,9000000.0
Kévin Gameiro,Valencia,F,33,France,spain,2021,171923.0,8940000.0
Iñigo Martínez,Athletic Club,D,29,Spain,spain,2021,170577.0,8870000.0
Nacho Fernández,Real Madrid,D,30,Spain,spain,2021,164231.0,8540000.0
Luka Jovic,Real Madrid,F,22,Serbia,spain,2021,160192.0,8330000.0
Mario Hermoso,Atletico Madrid,D,25,Spain,spain,2021,160192.0,8330000.0
Mariano Díaz,Real Madrid,F,27,Spain,spain,2021,160192.0,8330000.0
Rodrygo,Real Madrid,F,19,Brazil,spain,2021,160192.0,8330000.0
Felipe,Atletico Madrid,D,31,Brazil,spain,2021,145385.0,7560000.0
Sime Vrsaljko,Atletico Madrid,D,28,Croatia,spain,2021,140962.0,7330000.0
Álvaro Odriozola,Real Madrid,D,24,Spain,spain,2021,140192.0,7290000.0
Éder Militão,Real Madrid,D,22,Brazil,spain,2021,140192.0,7290000.0
Carlos Bacca,Villarreal,F,34,Colombia,spain,2021,139615.0,7260000.0
Geoffrey Kondogbia,Valencia,M,27,Central African Republic,spain,2021,132692.0,6900000.0
Geoffrey Kondogbia,Atletico Madrid,M,27,Central African Republic,spain,2021,132692.0,6900000.0
Nabil Fekir,Real Betis,F,27,France,spain,2021,130769.0,6800000.0
Vitolo,Atletico Madrid,F,30,Spain,spain,2021,129615.0,6740000.0
Vinícius Júnior,Real Madrid,F,20,Brazil,spain,2021,128269.0,6670000.0
Thomas Lemar,Atletico Madrid,F,24,France,spain,2021,125000.0,6500000.0
Ivan Rakitic,Sevilla,M,32,Croatia,spain,2021,124038.0,6450000.0
Gonçalo Guedes,Valencia,F,23,Portugal,spain,2021,117308.0,6100000.0
Sergiño Dest,Barcelona,D,19,United States,spain,2021,115385.0,6000000.0
Héctor Herrera,Atletico Madrid,M,30,Mexico,spain,2021,115385.0,6000000.0
Martin Braithwaite,Barcelona,F,29,Denmark,spain,2021,115385.0,6000000.0
Neto,Barcelona,K,31,Brazil,spain,2021,115385.0,6000000.0
Júnior Firpo,Barcelona,D,24,Spain,spain,2021,115385.0,6000000.0
