player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Kylian Mbappé,Real Madrid,F,27,France,spain,2526,600962.0,31250000.0
Vinicius Junior,Real Madrid,F,25,Brazil,spain,2526,480769.0,25000000.0
David Alaba,Real Madrid,D,33,Austria,spain,2526,432692.0,22500000.0
Jude Bellingham,Real Madrid,F,22,England,spain,2526,400577.0,20830000.0
Jan Oblak,Atletico Madrid,K,33,Slovenia,spain,2526,400577.0,20830000.0
Robert Lewandowski,Barcelona,F,37,Poland,spain,2526,400577.0,20830000.0
Frenkie de Jong,Barcelona,M,28,Netherlands,spain,2526,365385.0,19000000.0
Federico Valverde,Real Madrid,M,27,Uruguay,spain,2526,320577.0,16670000.0
Raphinha,Barcelona,F,29,Brazil,spain,2526,320577.0,16670000.0
Nico Williams,Athletic Club,F,23,Spain,spain,2526,320577.0,16670000.0
Lamine Yamal,Barcelona,F,18,Spain,spain,2526,320577.0,16670000.0
Trent Alexander-Arnold,Real Madrid,D,27,England,spain,2526,320577.0,16670000.0
Rodrygo,Real Madrid,F,25,Brazil,spain,2526,320577.0,16670000.0
Marc-André ter Stegen,Barcelona,K,33,Germany,spain,2526,300577.0,15630000.0
Jules Koundé,Barcelona,D,27,France,spain,2526,300577.0,15630000.0
Thibaut Courtois,Real Madrid,K,33,Belgium,spain,2526,288462.0,15000000.0
Éder Militão,Real Madrid,D,28,Brazil,spain,2526,280385.0,14580000.0
Antonio Rüdiger,Real Madrid,D,32,Germany,spain,2526,280385.0,14580000.0
Marcus Rashford,Barcelona,F,28,England,spain,2526,269231.0,14000000.0
Pedri,Barcelona,M,23,Spain,spain,2526,240385.0,12500000.0
Ademola Lookman,Atletico Madrid,F,28,Nigeria,spain,2526,240385.0,12500000.0
Ronald Araujo,Barcelona,D,26,Uruguay,spain,2526,240385.0,12500000.0
Aurélien Tchouaméni,Real Madrid,M,26,France,spain,2526,240385.0,12500000.0
Dani Olmo,Barcelona,F,27,Spain,spain,2526,240385.0,12500000.0
Julián Alvarez,Atletico Madrid,F,26,Argentina,spain,2526,240385.0,12500000.0
Eduardo Camavinga,Real Madrid,M,23,France,spain,2526,240385.0,12500000.0
Iñaki Williams,Athletic Club,F,31,Ghana,spain,2526,219231.0,11400000.0
Dani Ceballos,Real Madrid,M,29,Spain,spain,2526,200385.0,10420000.0
Daniel Carvajal,Real Madrid,D,34,Spain,spain,2526,200385.0,10420000.0
Ferland Mendy,Real Madrid,D,30,France,spain,2526,200385.0,10420000.0
Aymeric Laporte,Athletic Club,D,31,Spain,spain,2526,200385.0,10420000.0
Ferran Torres,Barcelona,F,25,Spain,spain,2526,192308.0,10000000.0
Antoine Griezmann,Atletico Madrid,F,34,France,spain,2526,180385.0,9380000.0
Gavi,Barcelona,M,21,Spain,spain,2526,180385.0,9380000.0
Andreas Christensen,Barcelona,D,29,Denmark,spain,2526,173077.0,9000000.0
Álvaro Carreras,Real Madrid,D,22,Spain,spain,2526,172308.0,8960000.0
Dean Huijsen,Real Madrid,D,20,Spain,spain,2526,172308.0,8960000.0
Unai Simón,Athletic Club,K,28,Spain,spain,2526,160192.0,8330000.0
Marcos Llorente,Atletico Madrid,D,31,Spain,spain,2526,160192.0,8330000.0
Álex Baena,Atletico Madrid,F,24,Spain,spain,2526,160192.0,8330000.0
