player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Robert Lewandowski,Bayern Munich,F,33,Poland,germany,2122,442308.0,23000000.0
Manuel Neuer,Bayern Munich,K,36,Germany,germany,2122,403846.0,21000000.0
Thomas Müller,Bayern Munich,F,32,Germany,germany,2122,394231.0,20500000.0
Joshua Kimmich,Bayern Munich,M,26,Germany,germany,2122,375000.0,19500000.0
Kingsley Coman,Bayern Munich,F,25,France,germany,2122,326923.0,17000000.0
Leroy Sané,Bayern Munich,F,26,Germany,germany,2122,288462.0,15000000.0
Lucas Hernández,Bayern Munich,D,25,France,germany,2122,288462.0,15000000.0
Leon Goretzka,Bayern Munich,M,26,Germany,germany,2122,250000.0,13000000.0
Marcel Sabitzer,Bayern Munich,M,27,Austria,germany,2122,240385.0,12500000.0
Marco Reus,Borussia Dortmund,F,32,Germany,germany,2122,230769.0,12000000.0
Alphonso Davies,Bayern Munich,D,21,Canada,germany,2122,216346.0,11250000.0
Christopher Nkunku,Leipzig,F,24,France,germany,2122,192308.0,10000000.0
Mats Hummels,Borussia Dortmund,D,33,Germany,germany,2122,192308.0,10000000.0
Dayot Upamecano,Bayern Munich,D,23,France,germany,2122,192308.0,10000000.0
Emre Can,Borussia Dortmund,M,28,Germany,germany,2122,163462.0,8500000.0
Axel Witsel,Borussia Dortmund,M,33,Belgium,germany,2122,153846.0,8000000.0
Serge Gnabry,Bayern Munich,F,26,Germany,germany,2122,153846.0,8000000.0
Erling Haaland,Borussia Dortmund,F,21,Norway,germany,2122,151923.0,7900000.0
Thomas Meunier,Borussia Dortmund,D,30,Belgium,germany,2122,144231.0,7500000.0
Niklas Süle,Bayern Munich,D,26,Germany,germany,2122,134615.0,7000000.0
Julian Brandt,Borussia Dortmund,F,25,Germany,germany,2122,134615.0,7000000.0
Corentin Tolisso,Bayern Munich,M,27,France,germany,2122,134615.0,7000000.0
Emil Forsberg,Leipzig,F,30,Sweden,germany,2122,126923.0,6600000.0
Donyell Malen,Borussia Dortmund,F,23,Netherlands,germany,2122,115385.0,6000000.0
Patrik Schick,Bayer Leverkusen,F,26,Czech Republic,germany,2122,115385.0,6000000.0
Krzysztof Piatek,Hertha Berlin,F,26,Poland,germany,2122,108846.0,5660000.0
Péter Gulácsi,Leipzig,K,31,Hungary,germany,2122,107692.0,5600000.0
Maximilian Arnold,Wolfsburg,M,27,Germany,germany,2122,105769.0,5500000.0
Raphaël Guerreiro,Borussia Dortmund,D,28,Portugal,germany,2122,105769.0,5500000.0
Lukas Klostermann,Leipzig,D,25,Germany,germany,2122,100000.0,5200000.0
Jamal Musiala,Bayern Munich,F,18,Germany,germany,2122,96154.0,5000000.0
Benjamin Pavard,Bayern Munich,D,25,France,germany,2122,96154.0,5000000.0
Thorgan Hazard,Borussia Dortmund,F,28,Belgium,germany,2122,96154.0,5000000.0
Nico Schulz,Borussia Dortmund,D,28,Germany,germany,2122,96154.0,5000000.0
André Silva,Leipzig,F,26,Portugal,germany,2122,96154.0,5000000.0
Karim Bellarabi,Bayer Leverkusen,F,31,Germany,germany,2122,94231.0,4900000.0
Florian Wirtz,Bayer Leverkusen,F,18,Germany,germany,2122,86538.0,4500000.0
Breel Embolo,Monchengladbach,F,24,Switzerland,germany,2122,80769.0,4200000.0
Dani Olmo,Leipzig,F,23,Spain,germany,2122,80769.0,4200000.0
Dominik Szoboszlai,Leipzig,F,21,Hungary,germany,2122,80769.0,4200000.0
Willi Orbán,Leipzig,D,29,Hungary,germany,2122,80769.0,4200000.0
Yussuf Poulsen,Leipzig,F,27,Denmark,germany,2122,76923.0,4000000.0
Mahmoud Dahoud,Borussia Dortmund,M,26,Germany,germany,2122,76923.0,4000000.0
Maximilian Philipp,Wolfsburg,F,27,Germany,germany,2122,76923.0,4000000.0
Koen Casteels,Wolfsburg,K,29,Belgium,germany,2122,76923.0,4000000.0
Yann Sommer,Monchengladbach,K,33,Switzerland,germany,2122,76923.0,4000000.0
Andrej Kramaric,Hoffenheim,F,30,Croatia,germany,2122,76923.0,4000000.0
John Anthony Brooks,Wolfsburg,D,29,United States,germany,2122,75962.0,3950000.0
Diadié Samassékou,Hoffenheim,M,26,Mali,germany,2122,75000.0,3900000.0
Sebastian Rudy,Hoffenheim,M,31,Germany,germany,2122,73846.0,3840000.0
Max Kruse,Wolfsburg,F,33,Germany,germany,2122,73077.0,3800000.0
Benjamin Henrichs,Leipzig,D,24,Germany,germany,2122,73077.0,3800000.0
Charles Aránguiz,Bayer Leverkusen,M,32,Chile,germany,2122,72692.0,3780000.0
Maxence Lacroix,Wolfsburg,D,21,France,germany,2122,69615.0,3620000.0
Marcel Schmelzer,Borussia Dortmund,D,34,Germany,germany,2122,69231.0,3600000.0
Yannick Gerhardt,Wolfsburg,M,27,Germany,germany,2122,69231.0,3600000.0
Jonas Hector,Koln,D,31,Germany,germany,2122,67308.0,3500000.0
