player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Danny Drinkwater,Kasimpasa,M,30,England,turkey,2021,118077.0,6140000.0
Falcao,Galatasaray,F,34,Colombia,turkey,2021,96154.0,5000000.0
Domagoj Vida,Besiktas,D,31,Croatia,turkey,2021,84231.0,4380000.0
Younès Belhanda,Galatasaray,F,30,Morocco,turkey,2021,80577.0,4190000.0
Mesut Özil,Fenerbahce,F,32,Germany,turkey,2021,79808.0,4150000.0
Sofiane Feghouli,Galatasaray,F,30,Algeria,turkey,2021,76923.0,4000000.0
Diego Perotti,Fenerbahce,F,32,Argentina,turkey,2021,72115.0,3750000.0
Ryan Babel,Galatasaray,F,33,Netherlands,turkey,2021,71731.0,3730000.0
Cenk Tosun,Besiktas,F,29,Turkey,turkey,2021,70962.0,3690000.0
Mbwana Samatta,Fenerbahce,F,27,Tanzania,turkey,2021,66154.0,3440000.0
Luiz Gustavo,Fenerbahce,M,33,Brazil,turkey,2021,66154.0,3440000.0
Rachid Ghezzal,Besiktas,F,28,Algeria,turkey,2021,60192.0,3130000.0
Fernando Muslera,Galatasaray,K,34,Uruguay,turkey,2021,60192.0,3130000.0
Adem Ljajic,Besiktas,F,29,Serbia,turkey,2021,54038.0,2810000.0
Jeremain Lens,Besiktas,F,32,Netherlands,turkey,2021,52885.0,2750000.0
Jeremain Lens,Karagumrukspor,F,33,Netherlands,turkey,2021,52885.0,2750000.0
Ryan Donk,Galatasaray,D,34,Netherlands,turkey,2021,51154.0,2660000.0
Vitor Hugo,Trabzonspor,D,29,Brazil,turkey,2021,49808.0,2590000.0
Marcelo Saracchi,Galatasaray,D,22,Uruguay,turkey,2021,48269.0,2510000.0
Oguzhan Özyakup,Besiktas,M,28,Turkey,turkey,2021,48077.0,2500000.0
Bright Osayi-Samuel,Fenerbahce,F,23,Nigeria,turkey,2021,43269.0,2250000.0
Emre Akbaba,Galatasaray,F,28,Turkey,turkey,2021,42115.0,2190000.0
Godfred Donsah,Caykur Rizespor,M,24,Ghana,turkey,2021,40962.0,2130000.0
Yassine Meriah,Caykur Rizespor,D,27,Tunisia,turkey,2021,40385.0,2100000.0
Neven Subotic,Denizlispor,D,31,Germany,turkey,2021,39038.0,2030000.0
Martin Linnes,Galatasaray,D,29,Norway,turkey,2021,38654.0,2010000.0
Cyle Larin,Besiktas,F,25,Canada,turkey,2021,38462.0,2000000.0
Georges-Kevin N'Koudou,Besiktas,F,25,France,turkey,2021,38462.0,2000000.0
Nuri Sahin,Antalyaspor,M,32,Turkey,turkey,2021,38462.0,2000000.0
Lucas Biglia,Karagumrukspor,M,34,Argentina,turkey,2021,38077.0,1980000.0
José Sosa,Fenerbahce,M,35,Argentina,turkey,2021,36154.0,1880000.0
Enner Valencia,Fenerbahce,F,30,Ecuador,turkey,2021,36154.0,1880000.0
Vincent Aboubakar,Besiktas,F,28,Cameroon,turkey,2021,36154.0,1880000.0
Sener Özbayrakli,Galatasaray,D,30,Turkey,turkey,2021,36154.0,1880000.0
Titi,Goztepe,D,32,Brazil,turkey,2021,34808.0,1810000.0
Hasan Ali Kaldirim,Basaksehir,D,30,Turkey,turkey,2021,34231.0,1780000.0
