player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Kevin De Bruyne,Manchester City,F,32,Belgium,england,2324,463389.0,24096205.0
Erling Haaland,Manchester City,F,23,Norway,england,2324,434427.0,22590192.0
Casemiro,Manchester United,M,31,Brazil,england,2324,405465.0,21084179.0
Mohamed Salah,Liverpool,F,31,Egypt,england,2324,405465.0,21084179.0
Raphaël Varane,Manchester United,D,30,France,england,2324,393880.0,20481774.0
Raheem Sterling,Chelsea,F,29,England,england,2324,376503.0,19578166.0
Marcus Rashford,Manchester United,F,26,England,england,2324,347541.0,18072154.0
Jack Grealish,Manchester City,F,28,England,england,2324,347541.0,18072154.0
Bernardo Silva,Manchester City,F,29,Portugal,england,2324,347541.0,18072154.0
Kai Havertz,Arsenal,F,24,Germany,england,2324,324372.0,16867343.0
Gabriel Jesus,Arsenal,F,26,Brazil,england,2324,306995.0,15963736.0
Anthony Martial,Manchester United,F,28,France,england,2324,289618.0,15060128.0
Reece James,Chelsea,D,24,England,england,2324,289618.0,15060128.0
John Stones,Manchester City,D,29,England,england,2324,289618.0,15060128.0
Declan Rice,Arsenal,M,25,England,england,2324,278033.0,14457723.0
Martin Ødegaard,Arsenal,F,25,Norway,england,2324,278033.0,14457723.0
Bruno Fernandes,Manchester United,F,29,Portugal,england,2324,278033.0,14457723.0
Phil Foden,Manchester City,F,23,England,england,2324,260656.0,13554115.0
Rodri,Manchester City,M,27,Spain,england,2324,254864.0,13252913.0
Virgil van Dijk,Liverpool,D,32,Netherlands,england,2324,254864.0,13252913.0
Mason Mount,Manchester United,F,25,England,england,2324,231694.0,12048102.0
Josko Gvardiol,Manchester City,D,22,Croatia,england,2324,231694.0,12048102.0
Thiago,Liverpool,M,32,Spain,england,2324,231694.0,12048102.0
Ben Chilwell,Chelsea,D,27,England,england,2324,231694.0,12048102.0
Wesley Fofana,Chelsea,D,23,France,england,2324,231694.0,12048102.0
Thomas Partey,Arsenal,M,30,Ghana,england,2324,231694.0,12048102.0
Jadon Sancho,Manchester United,F,23,England,england,2324,225902.0,11746900.0
Bukayo Saka,Arsenal,F,22,England,england,2324,225902.0,11746900.0
Christopher Nkunku,Chelsea,F,26,France,england,2324,225902.0,11746900.0
William Saliba,Arsenal,D,22,France,england,2324,220110.0,11445697.0
Heung-min Son,Tottenham,F,31,South Korea,england,2324,220110.0,11445697.0
Harry Maguire,Manchester United,D,30,England,england,2324,220110.0,11445697.0
Enzo Fernández,Chelsea,M,23,Argentina,england,2324,208525.0,10843292.0
Rúben Dias,Manchester City,D,26,Portugal,england,2324,208525.0,10843292.0
Gabriel Martinelli,Arsenal,F,22,Brazil,england,2324,208525.0,10843292.0
Ivan Perisic,Tottenham,M,34,Croatia,england,2324,208525.0,10843292.0
Trent Alexander-Arnold,Liverpool,D,25,England,england,2324,208525.0,10843292.0
Manuel Akanji,Manchester City,D,28,Switzerland,england,2324,208525.0,10843292.0
Kyle Walker,Manchester City,D,33,England,england,2324,202733.0,10542090.0
Marc Cucurella,Chelsea,D,25,Spain,england,2324,202733.0,10542090.0
James Maddison,Tottenham,F,27,England,england,2324,196940.0,10240887.0
Cristian Romero,Tottenham,D,25,Argentina,england,2324,191148.0,9939685.0
Timo Werner,Tottenham,F,27,Germany,england,2324,191148.0,9939685.0
Ansu Fati,Brighton,F,21,Spain,england,2324,185355.0,9638482.0
Bruno Guimarães,Newcastle,M,26,Brazil,england,2324,185355.0,9638482.0
Andrew Robertson,Liverpool,D,29,Scotland,england,2324,185355.0,9638482.0
Nathan Aké,Manchester City,D,28,Netherlands,england,2324,185355.0,9638482.0
Alisson,Liverpool,K,31,Brazil,england,2324,173771.0,9036077.0
Ben White,Arsenal,D,26,England,england,2324,173771.0,9036077.0
Christian Eriksen,Manchester United,M,31,Denmark,england,2324,173771.0,9036077.0
Moisés Caicedo,Chelsea,M,22,Ecuador,england,2324,173771.0,9036077.0
Alexis Mac Allister,Liverpool,M,25,Argentina,england,2324,173771.0,9036077.0
