player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Mario Götze,Eintracht Frankfurt,F,33,Germany,germany,2526,79808.0,4150000.0
Arthur Theate,Eintracht Frankfurt,D,25,Belgium,germany,2526,79808.0,4150000.0
Fábio Silva,Borussia Dortmund,F,23,Portugal,germany,2526,79808.0,4150000.0
Xaver Schlager,Leipzig,M,28,Austria,germany,2526,76923.0,4000000.0
Andrej Kramaric,Hoffenheim,F,34,Croatia,germany,2526,76154.0,3960000.0
Florian Neuhaus,Monchengladbach,M,28,Germany,germany,2526,76154.0,3960000.0
Ridle Baku,Leipzig,D,27,Germany,germany,2526,72500.0,3770000.0
Tim Kleindienst,Monchengladbach,F,30,Germany,germany,2526,72500.0,3770000.0
Cameron Puertas,Werder Bremen,F,27,Spain,germany,2526,72500.0,3770000.0
Hiroki Ito,Bayern Munich,D,26,Japan,germany,2526,72500.0,3770000.0
Jarell Quansah,Bayer Leverkusen,D,23,England,germany,2526,72500.0,3770000.0
Salih Özcan,Borussia Dortmund,M,28,Turkey,germany,2526,72500.0,3770000.0
Michael Zetterer,Eintracht Frankfurt,K,30,Germany,germany,2526,72500.0,3770000.0
Robert Andrich,Bayer Leverkusen,M,31,Germany,germany,2526,72500.0,3770000.0
Vladimír Coufal,Hoffenheim,D,33,Czech Republic,germany,2526,72500.0,3770000.0
Bernardo,Hoffenheim,D,30,Brazil,germany,2526,72500.0,3770000.0
Robin Hack,Monchengladbach,F,27,Germany,germany,2526,72500.0,3770000.0
Koki Machida,Hoffenheim,D,28,Japan,germany,2526,72500.0,3770000.0
Nico Elvedi,Monchengladbach,D,29,Switzerland,germany,2526,68846.0,3580000.0
Yannick Gerhardt,Wolfsburg,M,31,Germany,germany,2526,68846.0,3580000.0
Oliver Baumann,Hoffenheim,K,35,Germany,germany,2526,68846.0,3580000.0
Christian Eriksen,Wolfsburg,F,33,Denmark,germany,2526,67115.0,3490000.0
Chris Führich,Stuttgart,F,28,Germany,germany,2526,65385.0,3400000.0
Michy Batshuayi,Eintracht Frankfurt,F,32,Belgium,germany,2526,65385.0,3400000.0
Jan-Niklas Beste,Freiburg,F,27,Germany,germany,2526,65385.0,3400000.0
Denis Vavro,Wolfsburg,D,29,Slovakia,germany,2526,65385.0,3400000.0
Nicolas Seiwald,Leipzig,M,24,Austria,germany,2526,65385.0,3400000.0
Nathan Tella,Bayer Leverkusen,F,26,Nigeria,germany,2526,65385.0,3400000.0
Ellyes Skhiri,Eintracht Frankfurt,M,30,Tunisia,germany,2526,65385.0,3400000.0
Mahmoud Dahoud,Eintracht Frankfurt,M,30,Syria,germany,2526,61731.0,3210000.0
Jens Stage,Werder Bremen,M,29,Denmark,germany,2526,61731.0,3210000.0
Eliesse Ben Seghir,Bayer Leverkusen,F,20,Morocco,germany,2526,61731.0,3210000.0
Johan Bakayoko,Leipzig,F,22,Belgium,germany,2526,61731.0,3210000.0
Kamil Grabara,Wolfsburg,K,27,Poland,germany,2526,61731.0,3210000.0
Yuito Suzuki,Freiburg,F,24,Japan,germany,2526,61731.0,3210000.0
Jamie Leweling,Stuttgart,F,24,Germany,germany,2526,61731.0,3210000.0
Luca Waldschmidt,Koln,F,29,Germany,germany,2526,58077.0,3020000.0
Jordy Makengo,Freiburg,D,24,France,germany,2526,58077.0,3020000.0
Marco Friedl,Werder Bremen,D,27,Austria,germany,2526,58077.0,3020000.0
Moritz Nicolas,Monchengladbach,K,28,Germany,germany,2526,54423.0,2830000.0
El Chadaille Bitshiabu,Leipzig,D,20,France,germany,2526,54423.0,2830000.0
