player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Erling Haaland,Manchester City,F,25,Norway,england,2526,608197.0,31626269.0
Mohamed Salah,Liverpool,F,33,Egypt,england,2526,463389.0,24096205.0
Virgil van Dijk,Liverpool,D,34,Netherlands,england,2526,405465.0,21084179.0
Casemiro,Manchester United,M,33,Brazil,england,2526,405465.0,21084179.0
Bruno Fernandes,Manchester United,F,31,Portugal,england,2526,347541.0,18072154.0
Bernardo Silva,Manchester City,F,31,Portugal,england,2526,347541.0,18072154.0
Omar Marmoush,Manchester City,F,26,Egypt,england,2526,341749.0,17770951.0
Kai Havertz,Arsenal,F,26,Germany,england,2526,324372.0,16867343.0
Alexander Isak,Liverpool,F,26,Sweden,england,2526,324372.0,16867343.0
Gabriel Jesus,Arsenal,F,28,Brazil,england,2526,306995.0,15963736.0
John Stones,Manchester City,D,31,England,england,2526,289618.0,15060128.0
Rúben Dias,Manchester City,D,28,Portugal,england,2526,289618.0,15060128.0
Reece James,Chelsea,D,26,England,england,2526,289618.0,15060128.0
Marc Guéhi,Manchester City,D,25,England,england,2526,289618.0,15060128.0
William Saliba,Arsenal,D,24,France,england,2526,289618.0,15060128.0
Gianluigi Donnarumma,Manchester City,K,26,Italy,england,2526,289618.0,15060128.0
Cody Gakpo,Liverpool,F,26,Netherlands,england,2526,289618.0,15060128.0
Declan Rice,Arsenal,M,27,England,england,2526,278033.0,14457723.0
Martin Ødegaard,Arsenal,F,27,Norway,england,2526,278033.0,14457723.0
Tijjani Reijnders,Manchester City,M,27,Netherlands,england,2526,266448.0,13855318.0
Phil Foden,Manchester City,F,25,England,england,2526,260656.0,13554115.0
Jack Grealish,Everton,F,30,England,england,2526,260656.0,13554115.0
Rodri,Manchester City,M,29,Spain,england,2526,254864.0,13252913.0
Hugo Ekitiké,Liverpool,F,23,France,england,2526,231694.0,12048102.0
Viktor Gyökeres,Arsenal,F,27,Sweden,england,2526,231694.0,12048102.0
Florian Wirtz,Liverpool,F,22,Germany,england,2526,231694.0,12048102.0
Jadon Sancho,Aston Villa,F,25,England,england,2526,231694.0,12048102.0
Josko Gvardiol,Manchester City,D,24,Croatia,england,2526,231694.0,12048102.0
Wesley Fofana,Chelsea,D,25,France,england,2526,231694.0,12048102.0
Cristian Romero,Tottenham,D,27,Argentina,england,2526,225902.0,11746900.0
Bukayo Saka,Arsenal,F,24,England,england,2526,225902.0,11746900.0
Matthijs de Ligt,Manchester United,D,26,Netherlands,england,2526,225902.0,11746900.0
Xavi Simons,Tottenham,F,22,Netherlands,england,2526,225902.0,11746900.0
Harry Maguire,Manchester United,D,32,England,england,2526,220110.0,11445697.0
Leandro Trossard,Arsenal,F,31,Belgium,england,2526,208525.0,10843292.0
Gabriel Martinelli,Arsenal,F,24,Brazil,england,2526,208525.0,10843292.0
Rayan Cherki,Manchester City,F,22,France,england,2526,208525.0,10843292.0
Enzo Fernández,Chelsea,M,25,Argentina,england,2526,208525.0,10843292.0
Eberechi Eze,Arsenal,F,27,England,england,2526,208525.0,10843292.0
Matheus Cunha,Manchester United,F,26,Brazil,england,2526,208525.0,10843292.0
Marc Cucurella,Chelsea,D,27,Spain,england,2526,202733.0,10542090.0
James Maddison,Tottenham,F,29,England,england,2526,196940.0,10240887.0
Nathan Aké,Manchester City,D,30,Netherlands,england,2526,185355.0,9638482.0
Pedro Neto,Chelsea,F,25,Portugal,england,2526,185355.0,9638482.0
Andrew Robertson,Liverpool,D,31,Scotland,england,2526,185355.0,9638482.0
Bruno Guimarães,Newcastle,M,28,Brazil,england,2526,185355.0,9638482.0
Benjamin Sesko,Manchester United,F,22,Slovenia,england,2526,185355.0,9638482.0
Conor Gallagher,Tottenham,M,25,England,england,2526,185355.0,9638482.0
Luke Shaw,Manchester United,D,30,England,england,2526,173771.0,9036077.0
Antoine Semenyo,Manchester City,F,26,Ghana,england,2526,173771.0,9036077.0
