player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Mario Balotelli,Adana Demirspor,F,31,Italy,turkey,2122,120192.0,6250000.0
Michy Batshuayi,Besiktas,F,28,Belgium,turkey,2122,111731.0,5810000.0
Domagoj Vida,Besiktas,D,32,Croatia,turkey,2122,84231.0,4380000.0
Mesut Özil,Fenerbahce,F,33,Germany,turkey,2122,79808.0,4150000.0
Sofiane Feghouli,Galatasaray,F,32,Algeria,turkey,2122,76923.0,4000000.0
Alex Teixeira,Besiktas,F,32,Brazil,turkey,2122,72115.0,3750000.0
Ryan Babel,Galatasaray,F,35,Netherlands,turkey,2122,71731.0,3730000.0
Trezeguet,Basaksehir,F,27,Egypt,turkey,2122,66538.0,3460000.0
Miralem Pjanic,Besiktas,M,31,Bosnia-Herzegovina,turkey,2122,66154.0,3440000.0
Luiz Gustavo,Fenerbahce,M,34,Brazil,turkey,2122,66154.0,3440000.0
Andreas Cornelius,Trabzonspor,F,28,Denmark,turkey,2122,60192.0,3130000.0
Fernando Muslera,Galatasaray,K,35,Uruguay,turkey,2122,60192.0,3130000.0
Rachid Ghezzal,Besiktas,F,29,Algeria,turkey,2122,60192.0,3130000.0
Adem Ljajic,Besiktas,F,30,Serbia,turkey,2122,54038.0,2810000.0
Jeremain Lens,Besiktas,F,34,Netherlands,turkey,2122,52885.0,2750000.0
Vitor Hugo,Trabzonspor,D,30,Brazil,turkey,2122,49808.0,2590000.0
Gervinho,Trabzonspor,F,34,Cote d'Ivoire,turkey,2122,48077.0,2500000.0
Oguzhan Özyakup,Besiktas,M,29,Turkey,turkey,2122,48077.0,2500000.0
Min-jae Kim,Fenerbahce,D,25,South Korea,turkey,2122,48077.0,2500000.0
Bright Osayi-Samuel,Fenerbahce,F,24,Nigeria,turkey,2122,43269.0,2250000.0
Bruno Peres,Trabzonspor,D,31,Brazil,turkey,2122,43269.0,2250000.0
Patrick van Aanholt,Galatasaray,D,31,Netherlands,turkey,2122,42115.0,2190000.0
Bafétimbi Gomis,Galatasaray,F,36,France,turkey,2122,42115.0,2190000.0
Ozan Tufan,Fenerbahce,M,26,Turkey,turkey,2122,41538.0,2160000.0
Younès Belhanda,Adana Demirspor,F,31,Morocco,turkey,2122,39038.0,2030000.0
Cyle Larin,Besiktas,F,26,Canada,turkey,2122,38462.0,2000000.0
Gökhan Gönül,Caykur Rizespor,D,37,Turkey,turkey,2122,38462.0,2000000.0
Georges-Kevin N'Koudou,Besiktas,F,26,France,turkey,2122,38462.0,2000000.0
Nuri Sahin,Antalyaspor,M,33,Turkey,turkey,2122,38462.0,2000000.0
