player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Altay Bayindir,Fenerbahce,K,24,Turkey,turkey,2223,28846.0,1500000.0
Zé Luís,Hatayspor,F,32,Cape Verde,turkey,2223,28846.0,1500000.0
Bernard Mensah,Kayserispor,F,28,Ghana,turkey,2223,28846.0,1500000.0
Fredrik Ulvestad,Sivasspor,M,30,Norway,turkey,2223,28846.0,1500000.0
Jens Stryger Larsen,Trabzonspor,D,31,Denmark,turkey,2223,28846.0,1500000.0
Bruma,Fenerbahce,F,27,Portugal,turkey,2223,28077.0,1460000.0
Amir Hadziahmetovic,Besiktas,M,25,Bosnia-Herzegovina,turkey,2223,27885.0,1450000.0
Gustavo Henrique,Fenerbahce,D,29,Brazil,turkey,2223,27692.0,1440000.0
Caner Erkin,Karagumrukspor,D,33,Turkey,turkey,2223,26731.0,1390000.0
Luiz Adriano,Antalyaspor,F,35,Brazil,turkey,2223,26731.0,1390000.0
Shoya Nakajima,Antalyaspor,F,28,Japan,turkey,2223,25769.0,1340000.0
Haji Wright,Antalyaspor,F,24,United States,turkey,2223,25769.0,1340000.0
Christian Luyindama,Antalyaspor,D,29,Democratic Republic of the Congo,turkey,2223,25192.0,1310000.0
Abdülkadir Ömür,Trabzonspor,F,23,Turkey,turkey,2223,24615.0,1280000.0
Mame Thiam,Kayserispor,F,30,Senegal,turkey,2223,24615.0,1280000.0
Alassane Ndao,Antalyaspor,F,26,Senegal,turkey,2223,24615.0,1280000.0
Lucas Biglia,Basaksehir,M,37,Argentina,turkey,2223,24038.0,1250000.0
Léo Duarte,Basaksehir,D,26,Brazil,turkey,2223,24038.0,1250000.0
Victor Nelsson,Galatasaray,D,24,Denmark,turkey,2223,24038.0,1250000.0
Jackson Muleka,Besiktas,F,23,Democratic Republic of the Congo,turkey,2223,24038.0,1250000.0
Mert Günok,Besiktas,K,33,Turkey,turkey,2223,24038.0,1250000.0
Jean Evrard Kouassi,Karagumrukspor,F,27,Cote d'Ivoire,turkey,2223,24038.0,1250000.0
Helton Leite,Antalyaspor,K,32,Brazil,turkey,2223,24038.0,1250000.0
Okechukwu Azubuike,Basaksehir,M,25,Nigeria,turkey,2223,23846.0,1240000.0
Tyler Boyd,Besiktas,F,27,United States,turkey,2223,23846.0,1240000.0
Fredrik Midtsjö,Galatasaray,M,29,Norway,turkey,2223,23654.0,1230000.0
Rayane Aabid,Hatayspor,M,31,France,turkey,2223,23269.0,1210000.0
Stéphane Bahoken,Kasimpasa,F,30,Cameroon,turkey,2223,23269.0,1210000.0
Fernando,Antalyaspor,M,30,Brazil,turkey,2223,23269.0,1210000.0
Dia Saba,Sivasspor,F,29,Israel,turkey,2223,23269.0,1210000.0
Alexandru Maxim,Gaziantep BB,F,32,Romania,turkey,2223,22308.0,1160000.0
Alexandru Maxim,Besiktas,F,32,Romania,turkey,2223,22308.0,1160000.0
Ali Sowe,Ankaragucu,F,29,The Gambia,turkey,2223,22308.0,1160000.0
Jesé,Ankaragucu,F,29,Spain,turkey,2223,22115.0,1150000.0
Guilherme,Konyaspor,D,32,Brazil,turkey,2223,22115.0,1150000.0
Umut Meras,Besiktas,D,27,Turkey,turkey,2223,21731.0,1130000.0
Welinton,Besiktas,D,33,Brazil,turkey,2223,21731.0,1130000.0
Florent Hadergjonaj,Kasimpasa,D,28,Kosovo,turkey,2223,21346.0,1110000.0
Yusuf Yazici,Trabzonspor,F,26,Turkey,turkey,2223,21346.0,1110000.0
Stefano Denswil,Trabzonspor,D,29,Netherlands,turkey,2223,21154.0,1100000.0
Wilson Eduardo,Alanyaspor,F,32,Angola,turkey,2223,20385.0,1060000.0
Isaac Cofie,Sivasspor,M,31,Ghana,turkey,2223,20000.0,1040000.0
Lazar Markovic,Gaziantep BB,F,28,Serbia,turkey,2223,19808.0,1030000.0
Lazar Markovic,Trabzonspor,F,28,Serbia,turkey,2223,19808.0,1030000.0
Güray Vural,Antalyaspor,D,34,Turkey,turkey,2223,19808.0,1030000.0
Fabio Borini,Karagumrukspor,F,31,Italy,turkey,2223,19423.0,1010000.0
Júnior Caiçara,Basaksehir,D,33,Brazil,turkey,2223,19423.0,1010000.0
Alejandro Pozuelo,Konyaspor,F,31,Spain,turkey,2223,19231.0,1000000.0
Lincoln,Fenerbahce,F,24,Brazil,turkey,2223,19231.0,1000000.0
