player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Kylian Mbappé,PSG,F,24,France,france,2223,1384615.0,72000000.0
Lionel Messi,PSG,F,35,Argentina,france,2223,1223846.0,63640000.0
Neymar,PSG,F,30,Brazil,france,2223,1083846.0,56360000.0
Marco Verratti,PSG,M,30,Italy,france,2223,276923.0,14400000.0
Marquinhos,PSG,D,29,Brazil,france,2223,258654.0,13450000.0
Gianluigi Donnarumma,PSG,K,23,Italy,france,2223,244808.0,12730000.0
Keylor Navas,PSG,K,35,Costa Rica,france,2223,209808.0,10910000.0
Mauro Icardi,PSG,F,29,Argentina,france,2223,209808.0,10910000.0
Sergio Ramos,PSG,D,36,Spain,france,2223,209615.0,10900000.0
Achraf Hakimi,PSG,D,24,Morocco,france,2223,174808.0,9090000.0
Juan Bernat,PSG,D,29,Spain,france,2223,168462.0,8760000.0
Nordi Mukiele,PSG,D,25,France,france,2223,161538.0,8400000.0
Mario Lemina,Nice,M,29,Gabon,france,2223,157308.0,8180000.0
Wissam Ben Yedder,Monaco,F,32,France,france,2223,150000.0,7800000.0
Presnel Kimpembe,PSG,D,27,France,france,2223,147692.0,7680000.0
Malang Sarr,Monaco,D,24,France,france,2223,138846.0,7220000.0
Hugo Ekitiké,PSG,F,20,France,france,2223,134615.0,7000000.0
André Gomes,Lille,M,29,Portugal,france,2223,130000.0,6760000.0
Renato Sanches,PSG,M,25,Portugal,france,2223,124615.0,6480000.0
Corentin Tolisso,Lyon,M,28,France,france,2223,122308.0,6360000.0
Alexis Sánchez,Marseille,F,34,Chile,france,2223,115385.0,6000000.0
Alexandre Lacazette,Lyon,F,31,France,france,2223,115385.0,6000000.0
Carlos Soler,PSG,M,26,Spain,france,2223,115385.0,6000000.0
Dimitri Payet,Marseille,F,35,France,france,2223,115385.0,6000000.0
Nicolas Pépé,Nice,F,27,Cote d'Ivoire,france,2223,113846.0,5920000.0
Vitinha,PSG,M,22,Portugal,france,2223,104808.0,5450000.0
Fabián Ruiz,PSG,M,26,Spain,france,2223,104808.0,5450000.0
Aaron Ramsey,Nice,M,32,Wales,france,2223,104808.0,5450000.0
Jordan Veretout,Marseille,M,29,France,france,2223,103846.0,5400000.0
Eric Bailly,Marseille,D,28,Cote d'Ivoire,france,2223,103846.0,5400000.0
Pablo Sarabia,PSG,F,30,Spain,france,2223,103846.0,5400000.0
Alexander Nübel,Monaco,K,26,Germany,france,2223,96154.0,5000000.0
Dejan Lovren,Lyon,D,33,Croatia,france,2223,92308.0,4800000.0
Jérôme Boateng,Lyon,D,34,Germany,france,2223,92308.0,4800000.0
Dante,Nice,D,39,Brazil,france,2223,87500.0,4550000.0
Julian Draxler,PSG,F,28,Germany,france,2223,83077.0,4320000.0
Ruslan Malinovskyi,Marseille,F,29,Ukraine,france,2223,80769.0,4200000.0
Anthony Lopes,Lyon,K,32,Portugal,france,2223,80769.0,4200000.0
Azzedine Ounahi,Marseille,M,22,Morocco,france,2223,79808.0,4150000.0
Gerson,Marseille,F,25,Brazil,france,2223,76923.0,4000000.0
Kasper Schmeichel,Nice,K,36,Denmark,france,2223,76154.0,3960000.0
Valentin Rongier,Marseille,M,28,France,france,2223,76154.0,3960000.0
Cengiz Ünder,Marseille,F,25,Turkey,france,2223,76154.0,3960000.0
Gaëtan Laborde,Nice,F,28,France,france,2223,74038.0,3850000.0
Pau López,Marseille,K,28,Spain,france,2223,74038.0,3850000.0
Mattéo Guendouzi,Marseille,M,23,France,france,2223,73846.0,3840000.0
Chancel Mbemba,Marseille,D,28,Democratic Republic of the Congo,france,2223,73846.0,3840000.0
Aleksandr Golovin,Monaco,F,26,Russia,france,2223,72885.0,3790000.0
Moussa Sissoko,Nantes,M,33,France,france,2223,71538.0,3720000.0
Houssem Aouar,Lyon,M,24,France,france,2223,71538.0,3720000.0
Thiago Mendes,Lyon,M,30,Brazil,france,2223,69231.0,3600000.0
Kevin Volland,Monaco,F,30,Germany,france,2223,69231.0,3600000.0
Gelson Martins,Monaco,F,27,Portugal,france,2223,69231.0,3600000.0
Rayan Cherki,Lyon,F,19,France,france,2223,69231.0,3600000.0
Takumi Minamino,Monaco,F,28,Japan,france,2223,66346.0,3450000.0
Breel Embolo,Monaco,F,25,Switzerland,france,2223,66346.0,3450000.0
Maxence Caqueret,Lyon,M,22,France,france,2223,64615.0,3360000.0
Jonathan Clauss,Marseille,D,30,France,france,2223,63462.0,3300000.0
Danilo Pereira,PSG,M,31,Portugal,france,2223,61538.0,3200000.0
Moussa Dembélé,Lyon,F,26,France,france,2223,60000.0,3120000.0
Amine Harit,Marseille,F,25,Morocco,france,2223,59615.0,3100000.0
Wahbi Khazri,Montpellier,F,31,Tunisia,france,2223,57692.0,3000000.0
Martin Terrier,Rennes,F,25,France,france,2223,57692.0,3000000.0
Vitinha,Marseille,F,22,Portugal,france,2223,57692.0,3000000.0
Vanderson,Monaco,D,21,Brazil,france,2223,57692.0,3000000.0
Krépin Diatta,Monaco,F,23,Senegal,france,2223,57500.0,2990000.0
