player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Gareth Bale,Tottenham,F,31,Wales,england,2021,695083.0,36144307.0
Kevin De Bruyne,Manchester City,F,29,Belgium,england,2021,463389.0,24096205.0
David de Gea,Manchester United,K,29,Spain,england,2021,434427.0,22590192.0
Mesut Özil,Arsenal,F,32,Germany,england,2021,405465.0,21084179.0
Raheem Sterling,Manchester City,F,25,England,england,2021,347541.0,18072154.0
N'Golo Kanté,Chelsea,M,29,France,england,2021,335957.0,17469749.0
Paul Pogba,Manchester United,M,27,France,england,2021,335957.0,17469749.0
Timo Werner,Chelsea,F,24,Germany,england,2021,312787.0,16264938.0
Pierre-Emerick Aubameyang,Arsenal,F,31,Gabon,england,2021,289618.0,15060128.0
Kai Havertz,Chelsea,F,21,Germany,england,2021,289618.0,15060128.0
Anthony Martial,Manchester United,F,24,France,england,2021,289618.0,15060128.0
Edinson Cavani,Manchester United,F,33,Uruguay,england,2021,289618.0,15060128.0
Sergio Agüero,Manchester City,F,32,Argentina,england,2021,266671.0,13866903.0
Tanguy Ndombélé,Tottenham,M,23,France,england,2021,231694.0,12048102.0
Mohamed Salah,Liverpool,F,28,Egypt,england,2021,231694.0,12048102.0
Harry Kane,Tottenham,F,27,England,england,2021,231694.0,12048102.0
Marcus Rashford,Manchester United,F,22,England,england,2021,231694.0,12048102.0
Thomas Partey,Arsenal,M,27,Ghana,england,2021,231694.0,12048102.0
Thiago,Liverpool,M,29,Spain,england,2021,231694.0,12048102.0
Ben Chilwell,Chelsea,D,23,England,england,2021,220110.0,11445697.0
Harry Maguire,Manchester United,D,27,England,england,2021,220110.0,11445697.0
Alexandre Lacazette,Arsenal,F,29,France,england,2021,210975.0,10970724.0
Roberto Firmino,Liverpool,F,29,Brazil,england,2021,208525.0,10843292.0
Bruno Fernandes,Manchester United,F,26,Portugal,england,2021,208525.0,10843292.0
Virgil van Dijk,Liverpool,D,29,Netherlands,england,2021,208525.0,10843292.0
Callum Hudson-Odoi,Chelsea,F,19,England,england,2021,208525.0,10843292.0
Juan Mata,Manchester United,F,32,Spain,england,2021,185355.0,9638482.0
Kyle Walker,Manchester City,D,30,England,england,2021,185355.0,9638482.0
César Azpilicueta,Chelsea,D,31,Spain,england,2021,173771.0,9036077.0
Christian Pulisic,Chelsea,F,22,United States,england,2021,173771.0,9036077.0
Fernandinho,Manchester City,M,35,Brazil,england,2021,173771.0,9036077.0
Bernardo Silva,Manchester City,F,26,Portugal,england,2021,173771.0,9036077.0
Kepa,Chelsea,K,26,Spain,england,2021,173771.0,9036077.0
Luke Shaw,Manchester United,D,25,England,england,2021,173771.0,9036077.0
Ilkay Gündogan,Manchester City,M,29,Germany,england,2021,162186.0,8433672.0
James Milner,Liverpool,M,34,England,england,2021,162186.0,8433672.0
Heung-min Son,Tottenham,F,28,South Korea,england,2021,162186.0,8433672.0
Jamie Vardy,Leicester,F,33,England,england,2021,162186.0,8433672.0
Willian,Arsenal,F,32,Brazil,england,2021,160404.0,8340994.0
Wilfried Zaha,Crystal Palace,F,27,Cote d'Ivoire,england,2021,150601.0,7831267.0
Kasper Schmeichel,Leicester,K,33,Denmark,england,2021,150601.0,7831267.0
Max Meyer,Crystal Palace,F,25,Germany,england,2021,144809.0,7530064.0
Odion Ighalo,Manchester United,F,31,Nigeria,england,2021,144809.0,7530064.0
Rodri,Manchester City,M,24,Spain,england,2021,140353.0,7298370.0
Victor Lindelöf,Manchester United,D,26,Sweden,england,2021,139017.0,7228861.0
Naby Keïta,Liverpool,M,25,Guinea,england,2021,139017.0,7228861.0
Ruben Loftus-Cheek,Fulham,M,24,England,england,2021,139017.0,7228861.0
Aymeric Laporte,Manchester City,D,26,France,england,2021,139017.0,7228861.0
Christian Benteke,Crystal Palace,F,29,Belgium,england,2021,139017.0,7228861.0
Abdoulaye Doucouré,Everton,M,27,Mali,england,2021,139017.0,7228861.0
Nemanja Matic,Manchester United,M,32,Serbia,england,2021,139017.0,7228861.0
Fred,Manchester United,M,27,Brazil,england,2021,139017.0,7228861.0
Donny van de Beek,Manchester United,M,23,Netherlands,england,2021,139017.0,7228861.0
Bernard,Everton,F,28,Brazil,england,2021,139017.0,7228861.0
Dani Ceballos,Arsenal,M,24,Spain,england,2021,139017.0,7228861.0
Ryan Bertrand,Southampton,D,31,England,england,2021,139017.0,7228861.0
Yerry Mina,Everton,D,26,Colombia,england,2021,139017.0,7228861.0
Alex Oxlade-Chamberlain,Liverpool,M,27,England,england,2021,139017.0,7228861.0
Riyad Mahrez,Manchester City,F,29,Algeria,england,2021,139017.0,7228861.0
Andrii Yarmolenko,West Ham,F,30,Ukraine,england,2021,133224.0,6927659.0
André Gomes,Everton,M,27,Portugal,england,2021,130105.0,6765473.0
Jorginho,Chelsea,M,28,Italy,england,2021,127432.0,6626456.0
Olivier Giroud,Chelsea,F,34,France,england,2021,127432.0,6626456.0
