player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Kylian Mbappé,PSG,F,25,France,france,2324,1384615.0,72000000.0
Ousmane Dembélé,PSG,F,26,France,france,2324,346154.0,18000000.0
Milan Skriniar,PSG,D,28,Slovakia,france,2324,314615.0,16360000.0
Marco Asensio,PSG,F,28,Spain,france,2324,279808.0,14550000.0
Marquinhos,PSG,D,29,Brazil,france,2324,258654.0,13450000.0
Lucas Hernández,PSG,D,27,France,france,2324,253846.0,13200000.0
Gianluigi Donnarumma,PSG,K,24,Italy,france,2324,244808.0,12730000.0
Warren Zaïre-Emery,PSG,M,18,France,france,2324,219231.0,11400000.0
Keylor Navas,PSG,K,37,Costa Rica,france,2324,209808.0,10910000.0
Achraf Hakimi,PSG,D,25,Morocco,france,2324,174808.0,9090000.0
Randal Kolo Muani,PSG,F,25,France,france,2324,174808.0,9090000.0
Nordi Mukiele,PSG,D,26,France,france,2324,161538.0,8400000.0
Pierre-Emerick Aubameyang,Marseille,F,34,Gabon,france,2324,150000.0,7800000.0
Wissam Ben Yedder,Monaco,F,33,France,france,2324,150000.0,7800000.0
Presnel Kimpembe,PSG,D,28,France,france,2324,147692.0,7680000.0
Bradley Barcola,PSG,F,21,France,france,2324,126923.0,6600000.0
Corentin Tolisso,Lyon,M,29,France,france,2324,122308.0,6360000.0
Manuel Ugarte,PSG,M,22,Uruguay,france,2324,118846.0,6180000.0
Layvin Kurzawa,PSG,D,31,France,france,2324,115385.0,6000000.0
Alexandre Lacazette,Lyon,F,32,France,france,2324,115385.0,6000000.0
Gonçalo Ramos,PSG,F,22,Portugal,france,2324,105769.0,5500000.0
Fabián Ruiz,PSG,M,27,Spain,france,2324,104808.0,5450000.0
Vitinha,PSG,M,23,Portugal,france,2324,104808.0,5450000.0
Nemanja Matic,Rennes,M,35,Serbia,france,2324,104808.0,5450000.0
Joaquín Correa,Marseille,F,29,Argentina,france,2324,104808.0,5450000.0
Geoffrey Kondogbia,Marseille,M,30,Central African Republic,france,2324,104808.0,5450000.0
Jordan Veretout,Marseille,M,30,France,france,2324,103846.0,5400000.0
Nemanja Matic,Lyon,M,35,Serbia,france,2324,92692.0,4820000.0
Dejan Lovren,Lyon,D,34,Croatia,france,2324,92308.0,4800000.0
Carlos Soler,PSG,M,27,Spain,france,2324,92308.0,4800000.0
Ismaïla Sarr,Marseille,F,25,Senegal,france,2324,90000.0,4680000.0
