player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Robert Lewandowski,Bayern Munich,F,32,Poland,germany,2021,442308.0,23000000.0
Thomas Müller,Bayern Munich,F,31,Germany,germany,2021,384615.0,20000000.0
Manuel Neuer,Bayern Munich,K,34,Germany,germany,2021,384615.0,20000000.0
Lucas Hernández,Bayern Munich,D,24,France,germany,2021,288462.0,15000000.0
Leroy Sané,Bayern Munich,F,24,Germany,germany,2021,288462.0,15000000.0
Jérôme Boateng,Bayern Munich,D,32,Germany,germany,2021,230769.0,12000000.0
Marco Reus,Borussia Dortmund,F,31,Germany,germany,2021,230769.0,12000000.0
Alphonso Davies,Bayern Munich,D,19,Canada,germany,2021,216346.0,11250000.0
Douglas Costa,Bayern Munich,F,30,Brazil,germany,2021,201923.0,10500000.0
David Alaba,Bayern Munich,D,28,Austria,germany,2021,192308.0,10000000.0
Mats Hummels,Borussia Dortmund,D,31,Germany,germany,2021,192308.0,10000000.0
Leon Goretzka,Bayern Munich,M,25,Germany,germany,2021,192308.0,10000000.0
Emre Can,Borussia Dortmund,M,26,Germany,germany,2021,163462.0,8500000.0
Serge Gnabry,Bayern Munich,F,25,Germany,germany,2021,153846.0,8000000.0
Kingsley Coman,Bayern Munich,F,24,France,germany,2021,153846.0,8000000.0
Axel Witsel,Borussia Dortmund,M,31,Belgium,germany,2021,153846.0,8000000.0
Erling Haaland,Borussia Dortmund,F,20,Norway,germany,2021,151923.0,7900000.0
Joshua Kimmich,Bayern Munich,M,25,Germany,germany,2021,151923.0,7900000.0
Thomas Meunier,Borussia Dortmund,D,29,Belgium,germany,2021,144231.0,7500000.0
Julian Brandt,Borussia Dortmund,M,24,Germany,germany,2021,134615.0,7000000.0
Corentin Tolisso,Bayern Munich,M,26,France,germany,2021,134615.0,7000000.0
Niklas Süle,Bayern Munich,D,25,Germany,germany,2021,134615.0,7000000.0
Emil Forsberg,Leipzig,F,28,Sweden,germany,2021,126923.0,6600000.0
Javi Martínez,Bayern Munich,M,32,Spain,germany,2021,115385.0,6000000.0
Sead Kolasinac,Schalke 04,D,27,Bosnia-Herzegovina,germany,2021,111154.0,5780000.0
Krzysztof Piatek,Hertha Berlin,F,25,Poland,germany,2021,108846.0,5660000.0
Péter Gulácsi,Leipzig,K,30,Hungary,germany,2021,107692.0,5600000.0
Nabil Bentaleb,Schalke 04,M,25,Algeria,germany,2021,107692.0,5600000.0
Maximilian Arnold,Wolfsburg,M,26,Germany,germany,2021,105769.0,5500000.0
