player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Neymar,PSG,F,28,Brazil,france,2021,1083846.0,56360000.0
Kylian Mbappé,PSG,F,21,France,france,2021,617115.0,32090000.0
Keylor Navas,PSG,K,34,Costa Rica,france,2021,314615.0,16360000.0
Mauro Icardi,PSG,F,27,Argentina,france,2021,279808.0,14550000.0
Marco Verratti,PSG,M,27,Italy,france,2021,276923.0,14400000.0
Ángel Di María,PSG,F,32,Argentina,france,2021,253846.0,13200000.0
Marquinhos,PSG,D,26,Brazil,france,2021,209808.0,10910000.0
Leandro Paredes,PSG,M,26,Argentina,france,2021,173077.0,9000000.0
Juan Bernat,PSG,D,27,Spain,france,2021,168462.0,8760000.0
Wissam Ben Yedder,Monaco,F,30,France,france,2021,150000.0,7800000.0
Ander Herrera,PSG,M,31,Spain,france,2021,150000.0,7800000.0
Presnel Kimpembe,PSG,D,25,France,france,2021,147692.0,7680000.0
Cesc Fàbregas,Monaco,M,33,Spain,france,2021,138462.0,7200000.0
Julian Draxler,PSG,F,27,Germany,france,2021,138462.0,7200000.0
Layvin Kurzawa,PSG,D,28,France,france,2021,115385.0,6000000.0
Kevin Strootman,Marseille,M,30,Netherlands,france,2021,115385.0,6000000.0
Dimitri Payet,Marseille,F,33,France,france,2021,115385.0,6000000.0
Idrissa Gueye,PSG,M,31,Senegal,france,2021,115385.0,6000000.0
Pablo Sarabia,PSG,F,28,Spain,france,2021,103846.0,5400000.0
Abdou Diallo,PSG,D,24,France,france,2021,103846.0,5400000.0
Gelson Martins,Monaco,F,25,Portugal,france,2021,101346.0,5270000.0
Alessandro Florenzi,PSG,D,29,Italy,france,2021,100962.0,5250000.0
Florian Thauvin,Marseille,F,27,France,france,2021,97308.0,5060000.0
Memphis Depay,Lyon,F,26,Netherlands,france,2021,96923.0,5040000.0
Thilo Kehrer,PSG,D,24,Germany,france,2021,94615.0,4920000.0
Thiago Mendes,Lyon,M,28,Brazil,france,2021,92308.0,4800000.0
Steven Nzonzi,Rennes,M,31,France,france,2021,92308.0,4800000.0
Anthony Lopes,Lyon,K,30,Portugal,france,2021,92308.0,4800000.0
Arkadiusz Milik,Marseille,F,26,Poland,france,2021,92308.0,4800000.0
Islam Slimani,Lyon,F,32,Algeria,france,2021,87692.0,4560000.0
