accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
48,10,17.86,110,64,33.68,261,213,464,65.91,35,52.24,32,24,1,0,0,0,114.0,0,0,7,4,58,24,0,0,7,25,92,0,0,0.9,0.21,27,0,0.0,0.0,0,1,27,25,2,0,0,,63,51.22,0,0,0,240,32,8,0,22,1930,0,,0,0,0,1,0.0,0,0,0,0,415,5,0,6.77,0,0,0,0,0,0,0,0,0.0,0.0,0,0,14,5,2,5,83.33,0,45,34,75.56,8,122,6,56,98,51.58,190,490,270,704,162.4,14,0,1247,13,2,0,Soner Gönül,Samsunspor,867727,3053,turkey,2324
69,2,11.11,206,85,52.15,499,634,1131,81.96,29,45.31,35,37,0,0,0,0,152.0,1,5,8,8,43,37,0,0,16,39,147,0,0,1.09,3.18,47,0,2.63,0.0,1,1,49,46,3,1,0,,115,50.66,0,0,3,249,40,6,1,37,3217,11,,0,0,0,2,0.0,0,0,0,0,342,9,0,6.76,0,0,0,0,0,0,0,0,3217.0,0.0,2,18,20,21,9,13,43.33,0,53,36,67.92,6,121,30,18,144,49.48,163,694,704,1380,250.3,38,0,1804,51,7,0,Soner Dikmen,Konyaspor,847782,3085,turkey,2324
12,0,0.0,63,9,42.86,100,58,158,76.33,15,57.69,11,13,0,0,0,0,31.0,2,1,2,0,7,13,0,0,18,7,73,0,0,0.4,1.44,22,0,16.67,0.0,2,2,7,7,0,2,0,,35,36.08,0,0,0,49,4,6,1,7,668,4,,0,0,0,0,0.0,0,0,0,0,117,3,0,6.76,0,1,0,0,0,0,0,0,334.0,0.0,1,5,7,7,3,17,51.52,0,5,3,60.0,6,26,33,7,50,40.65,21,145,69,207,87.9,12,0,364,13,2,0,Gerson Rodrigues,Sivasspor,842565,3076,turkey,2324
13,0,0.0,28,26,50.0,119,274,393,86.56,36,66.67,18,15,0,0,0,0,44.0,0,0,1,0,30,13,0,0,3,6,42,0,0,0.1,0.17,14,0,0.0,2.0,0,0,19,14,5,0,0,,21,46.67,0,0,0,61,11,4,0,7,704,0,,0,0,0,0,0.0,0,0,0,0,71,1,0,6.76,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,3,0,0,0.0,0,9,6,66.67,4,22,1,0,57,57.58,52,162,292,454,87.9,4,0,562,12,2,0,Murat Akça,Pendikspor,39551,7032,turkey,2324
1,7,28.0,109,2,25.0,177,70,240,75.95,19,57.58,14,21,4,0,0,0,59.0,2,0,2,0,15,18,0,0,24,11,82,0,0,1.53,1.41,21,0,10.0,0.0,1,5,21,17,4,1,0,,51,42.86,0,0,0,76,8,14,1,13,1112,3,,0,0,0,0,0.0,0,0,0,0,172,4,0,6.76,0,0,0,0,0,0,0,0,1112.0,0.0,0,8,2,4,4,8,40.0,0,22,15,68.18,14,7,20,25,70,46.05,8,254,87,316,121.7,10,1,549,22,4,0,Iron Gomis,Kasımpaşa,979593,6063,turkey,2324
7,4,19.05,89,9,81.82,188,101,285,89.62,3,50.0,3,20,0,0,0,0,26.0,0,2,5,0,3,18,0,0,9,5,38,0,0,0.65,1.42,10,0,5.26,0.0,1,1,15,11,4,0,1,,50,58.82,0,0,0,33,4,7,0,7,686,0,,0,0,0,0,0.0,0,0,0,0,96,0,0,6.76,0,1,0,0,0,0,0,0,686.0,0.0,0,12,7,7,7,20,64.52,0,10,5,50.0,7,10,31,21,53,58.24,11,228,111,318,121.7,19,0,485,20,1,0,Pione Sisto,Alanyaspor,287943,6362,turkey,2324
26,14,24.14,219,44,50.57,410,305,701,82.96,24,55.81,19,28,3,0,0,0,71.0,4,1,2,8,33,28,0,0,10,23,84,0,0,2.58,0.36,12,0,0.0,0.0,0,3,28,20,8,0,0,,47,41.96,0,0,1,144,20,20,0,23,2039,3,,0,0,0,0,0.0,0,0,0,0,274,4,0,6.76,0,0,0,0,0,0,0,0,0.0,0.0,0,2,4,2,2,10,33.33,0,27,17,62.96,20,47,30,58,71,45.81,87,558,345,845,189.3,6,0,1304,10,2,0,Onur Bulut,Beşiktaş JK,142494,3050,turkey,2324
14,5,23.81,146,19,51.35,247,191,433,78.16,16,33.33,32,32,2,0,0,0,103.0,3,8,15,0,7,32,0,0,41,23,159,0,2,2.96,7.09,26,0,15.69,0.0,8,10,27,19,8,7,1,,78,38.05,0,0,0,121,8,20,2,26,2017,5,,0,0,0,0,0.0,0,0,0,0,297,15,0,6.76,0,6,0,0,0,0,0,0,252.13,0.0,0,38,13,20,16,31,43.06,0,13,10,76.92,20,24,72,21,94,37.15,37,347,228,554,216.3,51,1,961,35,5,0,Dal Varešanović,Çaykur Rizespor,979109,3064,turkey,2324
24,0,0.0,89,26,56.52,259,282,541,87.97,16,48.48,17,18,0,0,0,0,67.0,0,0,2,1,26,16,0,0,10,11,62,0,0,0.28,0.07,21,0,0.0,0.0,0,0,22,20,2,0,0,,44,49.44,0,0,0,74,22,3,0,13,1174,1,,0,0,0,1,0.0,0,0,0,0,106,2,0,6.76,0,0,0,0,0,0,0,0,0.0,0.0,0,1,4,3,0,3,30.0,0,29,14,48.28,3,40,10,1,60,49.18,46,312,304,615,108.1,5,0,799,14,6,0,Dimitrios Kourbelis,Fatih Karagümrük,128089,4954,turkey,2324
7,13,16.25,102,11,61.11,186,96,269,83.28,3,23.08,10,31,3,0,0,0,70.0,4,1,12,0,6,31,0,0,10,15,87,0,1,1.77,1.63,28,0,0.0,0.0,0,3,22,17,5,0,0,,76,49.67,0,0,0,54,9,27,0,14,1423,5,,0,0,0,0,0.0,0,0,0,0,216,9,0,6.75,1,0,0,0,0,0,0,0,0.0,0.0,4,6,27,12,9,17,38.64,0,16,12,75.0,27,14,44,80,79,47.59,18,296,107,323,209.4,33,0,670,43,4,1,Joelson Fernandes,Hatayspor,1032547,3091,turkey,2324
