accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
77,44,34.92,237,69,69.0,399,235,634,77.89,3,75.0,1,22,4,0,0,0,111,8,1,9,7,13,22,0,0,37,23,110,0,2,5.83,4.55,25,0,12.12,0,4,8,26,24,2,3,1,,87,44.39,0,0,3,180,21,55,4,22,1951,0,1.0,0,0,3,0,100.0,0,3,0,2,382,13,0,7.33,0,0,0,0,0,0,0,0,487.75,0,2,23,10,12,12,20,42.55,0,34,22,64.71,55,132,47,126,90,45.0,100,549,265,814,161.2,33,4,1306,33,7,0,Aron Dønnum,Toulouse,863133,1681,france,2526,20260326
19,2,100.0,194,26,72.22,409,307,716,92.03,12,60.0,8,14,1,0,0,0,54,3,1,5,2,2,14,0,0,4,12,39,0,1,1.82,2.38,12,0,23.81,0,5,6,11,7,4,4,1,,37,54.41,1,0,0,62,5,10,1,11,1004,0,5.0,0,0,0,0,0.0,0,0,0,1,95,8,0,7.3,0,3,0,0,0,0,0,0,200.8,0,1,15,6,10,6,7,63.64,0,23,13,56.52,10,29,11,2,49,55.68,36,452,326,778,102.2,21,2,927,8,0,0,João Neves,Paris Saint-Germain,1190933,1644,france,2526,20260326
2,0,0.0,1,4,36.36,2,23,25,78.13,1,100.0,0,1,0,0,0,0,9,0,0,0,1,3,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,2,0,0,0,0,0,0,0,0.28,0,0.0,0,1,0,7,0,0,0,1,90,0,0.0,0,0,0,0,0.0,0,0,0,0,7,0,1,7.3,0,0,1,2,0,2,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,2,0,0,1,100.0,11,8,24,32,7.3,0,0,40,0,0,0,Karl-Johan Johnsson,RC Strasbourg,40973,1659,france,2526,20260326
56,50,29.41,323,38,54.29,517,268,785,79.13,10,35.71,18,27,5,0,0,1,96,15,10,13,3,7,27,0,0,50,15,147,0,2,7.97,10.33,17,0,14.06,0,9,14,22,16,6,8,1,,97,42.92,1,0,0,207,10,68,7,26,2142,6,1.0,0,1,3,0,66.67,0,2,0,0,520,23,0,7.29,0,1,0,0,0,0,0,0,238.0,0,1,47,17,26,25,44,46.81,0,22,15,68.18,67,118,94,170,107,42.13,70,695,297,992,196.8,64,5,1613,31,5,0,Florian Thauvin,RC Lens,148824,1648,france,2526,20260326
27,0,0.0,95,29,65.91,273,577,850,94.55,23,54.76,19,12,0,0,0,0,54,0,0,0,4,47,11,0,0,0,7,37,0,0,0.52,0.44,12,0,33.33,15,1,1,8,6,2,1,0,,15,45.45,1,0,0,49,13,1,0,10,873,0,6.0,0,0,0,0,0.0,0,0,0,0,54,1,0,7.27,0,0,0,0,0,0,0,0,873.0,0,0,3,0,2,1,0,0.0,0,13,7,53.85,1,46,0,0,38,50.67,44,302,597,899,80.0,3,1,1009,2,1,0,Lucas Beraldo,Paris Saint-Germain,1108441,1644,france,2526,20260326
8,0,0.0,30,127,35.77,101,182,283,55.17,7,100.0,0,18,0,0,0,0,122,0,0,0,6,15,18,0,0,0,1,1,0,0,0.04,,0,0,0.0,125,0,0,24,20,4,0,0,2.46,6,85.71,0,11,0,230,0,0,0,17,1561,0,0.0,0,0,0,0,0.0,2,0,1,0,232,0,6,7.27,0,0,5,36,19,55,0,16,0.0,0,0,0,0,0,0,1,100.0,4,0,0,0.0,0,15,1,0,13,92.86,355,315,198,513,130.8,0,0,667,7,0,0,Grégoire Coudert,Stade Brestois,891508,1715,france,2526,20260326
24,15,34.88,266,51,64.56,488,346,834,89.39,7,46.67,8,18,4,0,0,0,81,11,3,7,5,14,17,0,0,13,7,63,0,0,3.61,4.3,12,1,13.79,0,4,8,12,9,3,3,1,,73,57.03,1,0,1,99,13,29,2,13,1211,2,3.0,0,0,1,1,100.0,0,1,0,0,211,9,0,7.26,0,1,0,0,0,0,0,0,302.75,25,4,16,13,8,14,24,50.0,0,25,19,76.0,29,39,48,43,80,55.94,79,563,370,933,123.5,29,3,1312,24,1,0,Nuno Mendes,Paris Saint-Germain,989768,1644,france,2526,20260326
42,0,0.0,29,123,42.86,86,570,656,79.52,9,81.82,2,25,1,0,0,0,171,0,0,0,8,22,25,0,0,0,1,3,0,1,0.05,,0,0,0.0,94,0,1,31,27,4,0,0,4.66,10,90.91,0,11,0,169,0,2,0,25,2204,0,0.0,0,0,0,0,0.0,2,0,1,0,172,0,8,7.26,0,0,9,39,21,61,0,13,0.0,0,0,0,0,0,0,0,0.0,8,2,1,50.0,2,80,0,0,19,86.36,287,228,597,825,181.6,0,1,1041,11,2,0,Berke Özer,Lille,847494,1643,france,2526,20260326
10,8,25.81,295,16,53.33,435,126,561,81.54,2,14.29,12,26,2,0,0,0,128,1,3,19,6,2,26,0,0,53,15,160,0,0,4.25,5.33,14,0,16.67,0,8,10,29,26,3,6,2,,145,49.49,0,0,2,127,13,51,1,25,2254,3,1.0,0,1,0,0,0.0,0,0,0,0,341,27,0,7.25,0,7,0,0,0,0,0,0,281.75,0,0,31,17,14,15,67,50.0,0,17,10,58.82,50,21,134,31,147,47.88,30,550,138,688,188.6,48,3,1184,61,1,0,Yann Gboho,Toulouse,911851,1681,france,2526,20260326
52,0,0.0,13,109,44.86,52,560,612,81.49,14,93.33,1,23,0,0,0,0,219,0,0,0,7,24,23,0,0,0,1,2,1,2,0.02,,1,0,0.0,103,0,0,27,27,0,0,0,3.11,11,91.67,0,43,0,139,0,0,0,23,2070,0,0.0,0,0,0,1,0.0,4,0,0,0,143,0,7,7.24,0,0,21,42,22,64,1,9,0.0,0,0,0,0,0,0,1,100.0,21,2,0,0.0,0,78,1,0,25,92.59,243,161,590,751,166.6,0,4,1024,13,2,0,Gerónimo Rulli,Olympique de Marseille,128383,1641,france,2526,20260326
