accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
265,0,0.0,1019,241,80.6,2122,1237,3359,92.46,55,70.51,23,34,9,0,0,0,235,8,2,16,11,40,34,0,1,32,31,139,1,3,6.1,4.07,41,0,12.9,0,8,17,26,24,2,4,4,,146,55.73,0,0,0,274,26,50,3,34,2938,6,8,0,1,0,0,0.0,0,0,0,1,361,33,0,8.01,1,5,0,0,0,0,0,0,367.25,0.0,0,25,37,24,22,42,75.0,0,70,43,61.43,49,340,56,12,201,59.12,299,2342,1303,3633,272.4,62,13,4116,35,8,0,Rodri,Manchester City,827606,17,england,2324
75,0,0.0,28,106,39.55,74,281,355,67.49,4,100.0,0,10,0,0,0,0,106,1,0,0,0,14,10,0,0,0,0,0,2,2,0.05,,0,0,0.0,33,0,0,16,15,1,0,0,6.09,3,100.0,0,19,0,171,0,4,0,10,900,0,0,1,0,0,0,0.0,2,0,1,0,181,0,4,8.0,0,0,17,42,21,64,0,14,0.0,0.0,0,0,0,0,0,0,0.0,16,1,1,100.0,4,126,0,0,7,100.0,268,205,321,526,80.0,0,3,688,3,0,0,Arijanet Murić,Burnley,888971,6,england,2324
12,35,25.74,379,22,73.33,582,127,674,83.83,6,54.55,5,18,10,0,0,0,54,21,1,14,1,4,18,0,0,20,13,70,0,0,7.13,2.41,11,0,9.09,0,4,14,8,7,1,3,1,,37,36.27,1,0,0,130,4,59,1,15,1235,1,0,0,0,0,0,0.0,0,0,0,0,296,24,0,7.93,0,2,0,0,0,0,0,0,308.75,0.0,6,17,27,13,17,10,32.26,0,14,9,64.29,59,31,31,136,43,38.05,30,800,140,804,142.7,44,6,1154,13,2,0,Kevin De Bruyne,Manchester City,70996,17,england,2324
41,19,21.35,677,42,62.69,1143,364,1488,89.1,6,26.09,17,35,8,0,0,0,127,10,7,41,8,16,35,0,0,49,18,143,0,1,6.93,10.34,14,2,18.1,0,19,27,27,24,3,13,6,,138,52.27,1,0,1,182,13,73,17,33,2873,5,0,0,0,0,1,0.0,0,0,0,0,417,35,0,7.79,0,1,0,0,0,0,0,0,151.21,50.0,4,59,46,16,48,47,50.54,0,31,20,64.52,73,69,93,89,144,50.17,67,1356,403,1670,272.8,105,9,2299,60,2,0,Phil Foden,Manchester City,859765,17,england,2324
149,52,23.32,666,152,57.36,1088,481,1517,79.38,21,43.75,27,35,8,0,0,1,200,21,7,27,7,47,35,0,0,35,58,180,0,2,9.74,9.94,41,0,10.53,0,10,18,52,48,4,8,2,,115,42.91,1,0,3,394,27,116,2,35,3119,13,6,0,2,5,0,80.0,0,4,0,0,695,34,0,7.75,0,7,0,0,0,0,0,0,311.9,0.0,11,39,56,27,41,19,47.5,0,68,38,55.88,114,274,40,223,136,43.04,265,1585,549,1911,271.2,95,7,2687,28,9,0,Bruno Fernandes,Manchester United,288205,35,england,2324
27,25,25.77,222,25,71.43,369,162,506,83.09,7,31.82,15,19,6,0,0,0,68,9,3,21,1,9,19,0,0,33,16,110,0,0,4.99,5.51,13,0,17.54,0,10,16,19,17,2,8,2,,102,51.78,1,0,0,103,11,36,9,14,1277,2,0,0,0,1,0,100.0,0,1,0,0,299,7,0,7.74,0,0,0,0,0,0,0,0,127.7,0.0,4,34,23,15,21,40,54.79,0,19,10,52.63,36,40,73,97,109,49.77,35,523,183,609,147.0,57,6,1078,43,0,0,Michael Olise,Crystal Palace,978838,7,england,2324
33,45,24.86,650,27,42.86,924,208,1087,82.98,24,39.34,37,35,9,0,0,0,155,15,11,44,3,19,35,0,0,53,33,212,1,0,11.0,15.5,41,0,14.81,0,16,25,27,24,3,15,1,,183,51.12,1,0,3,223,15,91,11,35,2933,8,2,0,0,6,0,100.0,0,6,0,1,537,37,0,7.72,0,4,0,0,0,0,0,0,183.31,0.0,0,80,28,27,37,49,47.57,0,66,35,53.03,91,61,103,181,207,49.4,63,1236,255,1310,270.2,108,5,2130,69,4,0,Bukayo Saka,Arsenal,934235,42,england,2324
74,16,19.75,509,69,65.71,785,320,1089,83.32,1,20.0,4,34,11,0,0,0,105,17,7,33,1,11,34,0,0,44,11,128,0,2,8.75,18.21,24,0,20.18,0,22,33,46,41,5,19,3,,101,44.89,2,0,1,218,20,72,17,29,2624,6,2,0,0,9,0,100.0,0,9,0,1,451,26,0,7.7,0,3,0,0,0,0,0,0,119.27,0.0,11,52,57,30,46,52,53.06,0,23,12,52.17,72,127,98,81,102,44.35,105,1020,368,1307,261.8,109,8,1893,26,7,0,Cole Palmer,Chelsea,982780,38,england,2324
37,30,38.96,811,45,60.81,1196,483,1649,86.79,3,25.0,9,35,10,0,0,0,158,17,4,30,13,5,35,0,0,58,41,176,0,0,11.17,7.4,30,0,10.39,0,8,18,23,19,4,7,1,,122,42.21,0,0,0,251,15,102,8,35,3098,3,1,0,0,2,0,100.0,0,2,0,1,463,41,0,7.67,0,0,0,0,0,0,0,0,387.25,0.0,4,38,39,24,23,37,49.33,0,49,17,34.69,102,88,75,77,125,41.53,74,1463,514,1900,268.5,77,6,2463,36,2,0,Martin Ødegaard,Arsenal,547410,42,england,2324
25,23,17.29,546,43,62.32,874,326,1177,87.44,3,33.33,6,28,9,0,0,0,60,11,4,19,1,8,28,0,0,34,14,108,0,1,6.27,6.43,21,0,6.9,0,4,13,31,30,1,3,1,,139,57.68,0,0,0,169,13,68,1,26,2152,2,3,0,1,0,0,0.0,0,0,0,0,395,19,0,7.59,0,3,0,0,0,0,0,0,538.0,0.0,3,31,27,16,23,32,48.48,0,33,19,57.58,67,76,66,133,142,56.8,69,1138,341,1346,212.4,58,4,1884,74,5,0,James Maddison,Tottenham Hotspur,356398,33,england,2324
