accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
29,11,24.44,246,32,65.31,498,344,842,86.27,35,64.81,19,21,4,0,0,0,111,6,2,9,11,34,21,0,0,25,15,100,0,1,2.41,3.02,23,0,16.13,0,5,9,13,13,0,3,2,,87,51.79,0,0,0,134,13,21,5,20,1830,5,4,0,0,0,0,0.0,0,0,0,1,250,9,0,7.3,1,0,0,0,0,0,0,0,366.0,0.0,0,24,7,14,8,15,45.45,0,38,20,52.63,21,59,33,45,122,54.95,49,603,373,976,153.3,31,2,1354,35,4,1,Adrien Rabiot,Milan,250737,2692,italy,2526,20260326
1,1,6.67,41,2,50.0,74,31,105,81.4,0,0.0,1,6,0,0,0,0,14,0,0,2,0,1,6,0,0,11,2,25,0,0,0.23,0.67,0,0,15.38,0,2,2,5,5,0,0,2,,32,57.14,0,0,0,24,0,4,0,4,377,1,0,0,0,0,0,0.0,0,0,0,0,73,2,0,7.28,0,2,0,0,0,0,0,0,188.5,0.0,0,7,6,2,9,13,54.17,0,15,7,46.67,4,1,24,15,32,56.14,4,92,37,129,43.7,13,0,238,4,0,0,Alisson Santos,Napoli,1122835,2714,italy,2526,20260326
35,11,22.0,325,22,47.83,609,357,966,82.49,25,56.82,19,29,6,0,0,2,118,11,3,32,8,10,29,0,0,40,26,173,0,3,3.64,7.6,44,1,9.71,0,10,16,21,17,4,5,5,,164,51.57,0,0,3,205,22,43,10,27,2387,0,2,0,0,2,0,0.0,0,0,0,0,410,23,0,7.28,0,0,0,0,0,0,0,0,238.7,10.0,10,40,63,30,41,55,53.4,0,72,43,59.72,43,83,103,50,189,52.21,46,766,405,1171,211.2,103,7,1784,37,5,0,Nico Paz,Como,1171451,2704,italy,2526,20260326
49,1,100.0,127,123,68.72,496,1008,1504,90.71,54,65.85,28,27,0,0,0,0,117,1,3,3,7,104,27,0,1,7,10,61,0,2,0.62,0.94,17,0,0.0,4,0,0,23,21,2,0,0,,68,67.33,0,0,2,154,23,5,0,27,2229,0,14,0,0,0,2,0.0,0,0,0,0,174,1,0,7.27,1,0,0,0,0,0,0,0,0.0,0.0,0,10,1,5,3,5,83.33,0,43,30,69.77,5,92,6,1,122,66.67,179,593,1065,1658,196.3,11,6,1960,21,3,0,Mario Gila Fuentes,Lazio,965828,2699,italy,2526,20260326
30,11,28.21,329,29,60.42,479,105,584,78.39,32,51.61,30,23,3,0,0,0,91,13,2,13,4,8,23,0,0,50,16,153,0,0,6.82,2.69,17,0,8.57,0,3,6,14,12,2,3,0,,89,41.98,1,0,0,161,1,46,1,19,1637,3,1,0,0,0,0,0.0,0,0,0,0,330,13,0,7.26,0,1,0,0,0,0,0,0,545.67,0.0,0,24,11,8,14,43,50.59,0,18,11,61.11,46,61,85,39,121,44.16,48,615,130,745,166.9,35,3,1131,28,3,0,Charles De Ketelaere,Atalanta,960441,2686,italy,2526,20260326
43,0,0.0,18,137,42.81,56,618,674,78.01,5,100.0,0,29,0,0,0,0,223,0,0,0,11,18,29,0,0,0,0,0,1,2,0.02,,0,0,0.0,132,0,0,23,22,1,0,0,9.65,6,100.0,0,33,0,190,1,0,0,29,2576,0,0,0,0,0,0,0.0,8,0,2,0,200,0,6,7.25,0,0,8,52,24,81,1,14,0.0,0.0,0,0,0,0,0,2,100.0,8,0,0,0.0,0,82,2,0,11,100.0,320,210,654,864,210.2,0,5,1163,5,3,0,Mike Maignan,Milan,191210,2692,italy,2526,20260326
33,0,0.0,11,98,39.52,54,381,435,73.73,4,66.67,2,14,0,0,0,0,119,0,0,0,2,16,14,0,0,0,2,5,1,2,0.02,,1,0,0.0,79,0,0,24,19,5,0,0,0.25,5,62.5,0,8,0,155,1,0,0,13,1199,0,0,0,0,0,1,0.0,1,0,0,0,161,0,3,7.24,0,0,14,35,13,48,0,14,0.0,0.0,0,0,0,0,0,1,100.0,12,3,1,33.33,0,62,1,0,9,64.29,248,166,424,590,101.4,0,1,736,3,3,0,Federico Ravaglia,Bologna,850952,2685,italy,2526,20260326
26,17,23.61,316,23,46.94,583,349,932,84.04,10,50.0,10,28,3,0,0,0,124,5,3,14,7,20,28,0,0,10,23,107,0,2,4.34,2.58,21,0,5.41,0,2,5,20,20,0,1,1,,154,61.35,0,0,1,177,25,42,1,27,2289,2,4,0,0,0,0,0.0,0,0,0,1,354,18,0,7.23,0,1,0,0,0,0,0,0,1144.5,0.0,0,15,22,16,7,44,50.0,0,56,30,53.57,42,49,88,72,164,60.52,49,714,395,1109,202.3,37,5,1713,55,4,0,Alexis Saelemaekers,Milan,901891,2692,italy,2526,20260326
33,0,0.0,71,63,48.46,311,917,1228,89.24,87,69.6,38,24,1,0,0,0,64,1,5,4,6,172,24,0,0,2,6,70,1,0,0.68,3.11,29,0,27.78,5,5,6,32,30,2,5,0,,39,54.93,3,0,1,148,20,8,1,24,2083,2,23,0,0,0,1,0.0,0,0,0,0,170,1,0,7.22,0,0,0,0,0,0,0,0,416.6,0.0,0,17,1,3,11,1,100.0,0,28,19,67.86,8,80,1,1,126,64.29,130,417,959,1376,173.2,18,5,1715,12,6,0,Leo Østigård,Genoa,879746,2713,italy,2526,20260326
130,0,0.0,36,188,50.67,88,798,886,82.04,12,92.31,1,30,0,0,0,0,310,0,0,0,14,40,30,1,0,0,0,1,2,0,0.09,,0,0,0.0,88,0,0,22,18,4,0,0,3.93,5,100.0,0,25,0,194,1,1,0,30,2700,0,0,0,0,0,0,0.0,5,0,1,0,200,0,11,7.22,0,0,50,46,25,73,1,7,0.0,0.0,0,0,0,0,0,1,100.0,50,1,1,100.0,1,182,1,0,17,94.44,371,230,850,1080,216.5,0,2,1393,8,3,0,Jean Butez,Como,599114,2704,italy,2526,20260326
33,2,22.22,191,53,47.75,575,1029,1604,90.98,90,66.18,46,26,0,0,0,0,96,1,7,9,11,101,26,0,1,6,13,94,0,3,1.36,3.01,26,0,6.9,12,2,2,18,14,4,2,0,,59,55.14,1,0,1,159,31,10,0,25,2248,0,12,0,0,0,0,0.0,0,0,0,0,188,4,0,7.22,1,1,0,0,0,0,0,0,1124.0,0.0,0,27,2,14,6,7,63.64,0,45,27,60.0,10,66,11,9,149,61.32,111,682,1081,1763,187.6,29,4,2091,7,7,0,Jacobo Ramón,Como,1403348,2704,italy,2526,20260326
21,20,33.9,95,28,51.85,186,110,296,81.32,7,46.67,8,13,3,0,0,0,41,5,0,9,0,3,13,0,0,11,2,33,0,1,2.0,1.22,11,1,8.33,0,2,5,10,10,0,1,1,,34,57.63,0,0,0,68,5,20,1,12,880,1,2,0,0,0,0,0.0,0,0,0,0,132,2,0,7.2,0,1,0,0,0,0,0,0,440.0,16.67,6,5,19,10,5,3,75.0,0,21,12,57.14,20,49,4,59,41,55.41,54,244,120,364,93.6,24,3,546,10,0,0,Medon Berisha,Lecce,1142149,2689,italy,2526,20260326
0,1,33.33,6,0,0.0,10,1,11,84.62,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.15,,0,0,0.0,0,0,0,0,0,0,0,0,,4,80.0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0,0,5,0,0,7.2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0,0.0,0,0,1,3,4,80.0,0,12,1,13,7.2,0,0,21,3,0,0,Samuel Chukwueze,Milan,822470,2692,italy,2526,20260326
3,22,39.29,154,9,64.29,309,182,491,88.15,5,41.67,7,21,3,0,0,0,57,6,0,3,1,2,21,0,0,20,18,73,0,0,3.63,1.1,13,0,40.0,0,6,9,10,9,1,5,1,,54,45.0,0,0,0,66,5,40,1,11,1047,0,2,0,0,0,0,0.0,0,0,0,0,158,11,0,7.2,0,5,0,0,0,0,0,0,174.5,0.0,0,9,6,6,6,11,40.74,0,13,9,69.23,40,14,27,56,59,44.7,14,357,200,557,151.1,15,3,788,30,0,0,Martin Baturina,Como,1090019,2704,italy,2526,20260326
