accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
34,23,28.05,569,32,47.06,879,215,1094,81.1,0,0.0,5,28,11,0,1,0,99,26,7,32,6,3,28,0,0,40,11,194,0,0,10.09,12.81,28,0,13.68,0,16,27,23,22,1,14,2,,220,53.79,0,0,4,255,10,73,14,26,2268,14,0.0,0,1,4,0,75.0,0,3,0,2,569,19,0,7.93,0,2,0,0,0,0,0,0,141.75,0.0,4,75,42,48,37,133,54.73,0,35,21,60.0,72,105,243,82,220,53.14,68,1109,240,1349,222.0,117,9,2138,52,1,0,Lamine Yamal,FC Barcelona,1402912,2817,spain,2526,20260428
1,0,0.0,3,15,35.71,9,20,29,50.88,2,100.0,0,2,0,0,0,0,25,0,0,0,0,6,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,26,0,0,5,4,1,0,0,-0.26,0,0.0,0,2,0,28,0,0,0,2,180,0,0.0,0,0,0,0,0.0,0,0,0,0,28,0,5,7.75,0,0,0,6,4,11,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,2,100.0,42,36,21,57,15.5,0,1,90,0,0,0,Pablo Cuñat,Levante UD,1085579,2849,spain,2526,20260428
37,6,23.08,480,31,81.58,667,128,795,86.7,7,70.0,3,28,4,0,0,1,41,8,18,32,7,0,28,0,0,37,8,122,0,0,6.1,23.0,13,0,18.18,0,24,28,24,19,5,19,5,,111,48.26,0,0,3,122,2,63,2,27,2403,31,0.0,0,0,9,0,88.89,0,8,0,4,318,19,0,7.63,0,22,0,0,0,0,0,0,100.13,0.0,5,94,38,39,61,76,53.9,0,4,1,25.0,63,55,141,26,118,49.17,38,780,137,917,213.7,132,9,1420,31,4,0,Kylian Mbappé,Real Madrid,826643,2829,spain,2526,20260428
72,4,40.0,583,78,66.67,1112,485,1597,91.05,10,83.33,2,25,8,0,0,0,143,8,4,4,3,20,25,0,0,27,28,80,0,1,4.46,1.55,8,0,10.0,0,2,10,19,18,1,1,1,,122,61.0,0,0,0,157,21,56,1,20,1811,1,2.0,0,1,0,0,0.0,0,0,0,0,240,16,0,7.58,1,1,0,0,0,0,0,0,905.5,0.0,0,10,10,6,10,35,70.0,0,48,29,60.42,55,119,50,10,132,62.26,117,1231,523,1754,189.6,20,7,2122,39,0,1,Pedri,FC Barcelona,992587,2817,spain,2526,20260428
40,9,16.07,511,34,68.0,743,115,858,83.79,0,0.0,6,32,5,0,0,1,81,6,13,23,3,1,32,0,0,40,11,185,0,1,4.77,12.47,30,0,14.13,0,13,18,28,22,6,11,2,,181,50.28,0,0,3,166,2,62,2,28,2484,12,0.0,0,0,5,0,80.0,0,4,0,4,456,19,0,7.48,0,11,0,0,0,0,0,0,191.08,0.0,0,65,27,27,42,83,45.11,0,28,15,53.57,62,64,184,56,181,49.45,50,888,136,1024,239.2,92,8,1701,70,7,0,Vinicius Júnior,Real Madrid,868812,2829,spain,2526,20260428
114,0,0.0,43,217,50.12,146,550,696,75.16,11,100.0,0,17,0,0,0,0,175,0,0,0,3,22,17,0,0,0,5,5,1,3,0.09,,0,0,0.0,90,0,0,22,17,5,0,0,-0.02,6,54.55,0,20,0,230,1,3,0,17,1530,0,0.0,0,1,0,0,0.0,4,0,0,0,235,0,9,7.46,0,0,21,32,18,51,0,16,0.0,0.0,0,0,0,0,0,0,0.0,17,0,0,0.0,2,180,0,0,17,77.27,433,336,590,926,126.9,0,1,1107,7,1,0,Matías Dituro,Elche,556884,2846,spain,2526,20260428
20,19,27.54,227,23,56.1,363,122,485,81.79,2,40.0,3,20,3,0,0,0,44,11,5,16,3,11,20,0,0,13,13,57,0,0,5.55,9.79,10,0,18.97,0,11,14,9,8,1,9,2,,42,43.75,1,0,5,108,4,41,8,17,1299,2,0.0,0,2,3,0,100.0,0,3,0,1,227,11,0,7.45,0,2,0,0,0,0,0,0,118.09,0.0,3,33,25,23,19,20,51.28,0,13,5,38.46,39,39,39,69,44,43.56,41,464,129,593,149.0,58,4,905,9,4,0,Raphinha,FC Barcelona,831005,2817,spain,2526,20260428
15,0,0.0,4,23,41.82,13,48,61,65.59,0,0.0,0,3,0,0,0,0,14,0,0,0,1,8,3,0,0,0,0,0,0,0,0.0,,0,0,0.0,13,0,0,6,6,0,0,0,1.54,1,100.0,0,0,0,32,0,0,0,3,270,0,0.0,0,0,0,0,0.0,2,0,1,0,34,0,5,7.43,0,0,3,6,4,10,0,5,0.0,0.0,0,0,0,0,0,0,0.0,3,1,1,100.0,0,28,0,0,1,100.0,55,36,57,93,22.3,0,0,124,0,0,0,Dani Cárdenas,Rayo Vallecano,965832,2818,spain,2526,20260428
40,0,0.0,4,81,51.27,25,679,704,89.8,7,100.0,0,27,0,0,0,0,257,0,0,0,14,38,27,0,0,1,0,1,1,0,0.01,,0,0,0.0,98,0,0,19,18,1,0,0,10.15,10,90.91,0,18,0,80,2,0,0,27,2430,0,0.0,0,0,0,0,0.0,2,0,0,0,84,0,6,7.39,0,0,49,59,9,69,1,10,0.0,0.0,0,0,0,0,0,1,100.0,49,5,3,60.0,0,56,1,0,17,94.44,158,79,705,784,199.4,0,1,1099,4,1,0,Joan García,FC Barcelona,930267,2817,spain,2526,20260428
48,3,60.0,449,44,84.62,931,424,1355,94.23,8,50.0,8,22,5,0,0,0,84,9,0,2,5,13,22,0,0,12,10,42,0,0,3.51,1.17,10,0,14.29,0,1,6,17,16,1,1,0,,71,67.62,0,0,0,83,17,32,0,16,1555,2,4.0,0,0,0,0,0.0,0,0,0,0,118,5,0,7.33,1,1,0,0,0,0,0,0,1555.0,0.0,0,6,1,3,2,5,71.43,0,41,16,39.02,32,64,7,5,79,65.29,52,988,450,1438,161.2,7,2,1621,25,4,1,Frenkie de Jong,FC Barcelona,795222,2817,spain,2526,20260428
46,7,24.14,554,60,59.41,1042,533,1575,89.79,22,62.86,13,31,8,0,0,0,136,8,1,9,9,48,31,0,1,8,11,62,1,1,4.64,2.76,17,0,10.42,0,5,13,26,20,6,2,3,,75,60.48,0,0,1,179,23,43,0,29,2566,1,8.0,0,0,0,0,0.0,0,0,0,0,251,12,0,7.32,1,5,0,0,0,0,0,0,513.2,0.0,4,11,37,19,20,21,61.76,0,41,25,60.98,43,67,34,29,97,61.01,101,1177,577,1754,226.8,48,2,2157,13,3,0,Federico Valverde,Real Madrid,831808,2829,spain,2526,20260428
46,0,0.0,236,100,65.36,677,644,1321,89.68,47,61.84,29,25,2,0,0,0,68,1,2,4,5,117,25,0,1,2,5,54,0,2,1.15,2.24,20,0,10.53,12,2,4,17,13,4,2,0,,45,64.29,1,0,0,152,18,10,0,22,1837,1,15.0,0,0,0,1,0.0,0,0,0,0,163,1,0,7.29,1,1,0,0,0,0,0,0,918.5,0.0,0,15,4,10,5,2,100.0,0,31,17,54.84,10,80,2,1,92,63.01,153,797,676,1473,182.2,19,6,1744,12,7,0,Dean Huijsen,Real Madrid,1176744,2829,spain,2526,20260428
74,0,0.0,49,253,46.51,152,550,702,70.2,14,93.33,1,31,0,0,0,0,266,0,0,1,8,38,31,1,0,0,1,2,0,1,0.07,0.16,0,0,0.0,225,0,0,45,38,7,0,0,2.02,4,80.0,0,34,0,298,1,0,0,31,2790,0,0.0,0,0,0,0,0.0,4,0,1,0,303,0,12,7.28,0,0,20,75,30,107,1,18,0.0,0.0,0,2,0,1,0,0,0.0,20,2,1,50.0,0,107,0,0,18,90.0,544,381,619,1000,225.7,2,3,1358,1,2,0,Mathew Ryan,Levante UD,134029,2849,spain,2526,20260428
37,0,0.0,87,43,53.09,297,400,697,90.87,26,55.32,21,16,1,0,0,0,56,2,1,3,4,52,16,0,0,1,3,41,0,1,0.71,1.78,15,0,9.52,18,2,3,9,7,2,1,1,,39,66.1,1,0,1,70,11,8,0,14,1141,0,12.0,0,0,0,0,0.0,0,0,0,0,85,3,0,7.27,0,1,0,0,0,0,0,0,570.5,0.0,0,17,4,9,9,3,50.0,0,23,16,69.57,8,70,6,1,65,61.32,81,354,413,767,116.3,21,2,949,13,2,0,Éder Militão,Real Madrid,822519,2829,spain,2526,20260428
88,0,0.0,39,270,42.25,179,570,749,66.28,5,100.0,0,33,1,0,0,0,271,1,0,0,9,46,33,0,0,0,0,0,2,2,0.13,,1,0,0.0,210,0,1,51,43,8,0,0,5.98,9,100.0,0,20,0,381,0,2,0,33,2970,0,0.0,0,0,0,0,0.0,7,0,2,0,389,0,14,7.27,0,0,32,93,42,137,0,36,0.0,0.0,0,0,0,0,0,2,100.0,29,0,0,0.0,2,151,2,0,14,100.0,639,450,680,1130,239.8,0,3,1473,8,3,0,Aaron Escandell,Real Oviedo,368922,2851,spain,2526,20260428
12,5,10.2,228,13,59.09,392,139,531,79.61,25,39.68,38,24,7,0,0,0,103,10,8,19,2,10,24,0,0,33,24,153,0,0,2.93,7.24,24,0,10.94,0,7,14,27,20,7,6,1,,139,54.72,0,0,4,136,14,25,1,21,1833,4,1.0,0,0,0,0,0.0,0,0,0,1,324,22,0,7.26,0,6,0,0,0,0,0,0,261.86,0.0,3,42,22,25,20,34,46.58,0,43,27,62.79,25,31,73,49,164,51.74,22,491,176,667,174.2,64,3,1181,62,3,0,Abdessamad Ezzalzouli,Real Betis,1011375,2816,spain,2526,20260428
49,0,0.0,78,338,38.45,277,155,432,44.35,3,75.0,1,33,0,0,0,0,266,0,0,0,10,34,33,2,0,0,0,1,3,0,0.1,,0,0,0.0,258,0,0,34,29,5,0,0,7.15,2,100.0,0,9,0,542,0,1,0,33,2970,0,0.0,0,0,0,0,0.0,4,0,2,0,555,0,11,7.23,0,0,24,69,30,102,3,24,0.0,0.0,0,0,0,0,0,0,0.0,24,0,0,0.0,1,73,0,0,5,83.33,879,784,190,974,238.7,0,4,1198,3,2,0,David Soria,Getafe,604258,2859,spain,2526,20260428
33,4,26.67,323,53,74.65,600,271,871,89.24,29,60.42,19,23,3,0,0,0,86,4,7,17,6,14,22,0,0,28,10,106,0,0,1.99,6.49,28,0,8.89,0,4,7,16,12,4,3,1,,113,56.5,1,0,0,105,12,35,0,18,1550,2,2.0,0,0,0,0,0.0,0,0,0,0,203,18,0,7.23,0,3,0,0,0,0,0,0,387.5,0.0,0,30,15,6,22,31,55.36,0,44,30,68.18,35,48,56,15,142,57.26,71,692,284,976,159.0,45,3,1343,38,1,0,Jude Bellingham,Real Madrid,991011,2829,spain,2526,20260428
32,1,14.29,381,53,58.24,928,599,1527,91.44,66,75.0,22,29,0,0,0,0,129,4,4,11,8,52,29,0,0,4,14,69,0,2,2.83,2.33,26,0,2.63,0,1,1,24,20,4,1,0,,86,64.66,0,0,0,143,36,22,0,27,2314,0,12.0,0,0,0,0,0.0,0,0,0,0,180,9,0,7.22,0,1,0,0,0,0,0,0,2314.0,0.0,0,18,20,20,7,3,37.5,0,60,36,60.0,22,61,8,7,152,68.78,91,1030,640,1670,209.5,38,1,1998,23,8,0,Aurélien Tchouaméni,Real Madrid,859025,2829,spain,2526,20260428
15,2,50.0,56,21,38.18,234,430,664,88.06,50,81.97,11,15,1,0,0,0,45,1,0,1,4,73,15,0,0,3,2,25,0,2,0.55,0.23,9,0,0.0,0,0,1,10,7,3,0,0,,28,66.67,0,0,0,90,18,3,0,11,1067,1,14.0,0,0,0,0,0.0,0,0,0,0,112,0,0,7.22,0,0,0,0,0,0,0,0,0.0,0.0,0,6,2,5,2,2,66.67,0,16,9,56.25,3,41,3,4,78,75.73,55,295,459,754,108.3,8,3,950,10,1,0,Marc Pubill,Atlético Madrid,1094106,2836,spain,2526,20260428
41,2,9.52,542,42,65.63,1035,558,1593,90.1,6,30.0,14,32,2,0,0,0,158,2,1,8,7,20,32,0,0,42,26,137,0,2,2.65,1.94,29,0,9.52,0,2,4,45,36,9,2,0,,218,63.93,0,0,1,175,25,25,0,32,2835,1,4.0,0,0,0,0,0.0,0,0,0,0,337,17,0,7.21,0,2,0,0,0,0,0,0,1417.5,0.0,0,13,8,5,8,47,61.84,0,70,44,62.86,25,66,76,21,224,62.05,64,1177,591,1768,230.6,21,6,2306,102,8,0,Aleix Febas,Elche,286167,2846,spain,2526,20260428
2,1,100.0,18,1,25.0,23,4,27,62.79,9,56.25,7,3,1,0,0,0,7,1,1,2,1,2,3,0,0,8,0,34,0,0,0.51,1.42,10,0,16.67,0,1,2,4,4,0,1,0,,15,35.71,0,0,0,16,0,4,1,3,270,1,0.0,0,0,0,0,0.0,0,0,0,0,55,0,0,7.2,0,0,0,0,0,0,0,0,270.0,0.0,0,5,1,3,1,6,40.0,0,2,2,100.0,4,2,15,1,24,41.38,4,38,5,43,21.6,6,1,122,8,1,0,Christantus Uche,Getafe,1884145,2859,spain,2526,20260428
3,5,50.0,25,5,71.43,44,18,62,86.11,0,0.0,0,2,0,0,0,0,3,1,0,0,0,0,2,0,0,2,1,7,0,0,0.86,0.08,3,0,50.0,0,1,1,5,3,2,0,1,,4,36.36,0,0,1,10,1,9,1,2,180,0,0.0,0,0,0,0,0.0,0,0,0,0,30,0,0,7.2,0,0,0,0,0,0,0,0,180.0,0.0,0,1,1,1,1,1,33.33,0,0,0,0.0,9,4,3,10,4,36.36,7,52,20,72,14.4,2,0,109,3,0,0,Dodi Lukebakio,Sevilla,823631,2833,spain,2526,20260428
58,0,0.0,31,118,34.81,83,575,658,74.02,3,100.0,0,16,0,0,0,0,151,1,0,0,4,20,16,1,0,0,5,5,1,1,0.19,,0,0,0.0,78,0,0,28,24,4,0,0,3.0,0,0.0,0,8,0,231,0,3,0,16,1440,0,0.0,0,0,0,0,0.0,2,0,0,0,236,0,2,7.19,0,0,17,41,14,55,0,15,0.0,0.0,0,0,0,0,0,0,0.0,16,0,0,0.0,3,138,0,0,3,37.5,339,257,632,889,115.1,0,2,1052,1,0,0,Iñaki Peña,Elche,794949,2846,spain,2526,20260428
7,8,36.36,100,7,41.18,176,166,342,87.24,6,54.55,5,11,2,0,0,0,44,5,0,5,3,14,11,0,0,4,9,42,0,2,1.56,0.37,6,0,9.09,0,1,3,3,3,0,1,0,,47,55.95,0,0,1,50,10,12,1,8,664,3,1.0,0,0,0,0,0.0,0,0,0,1,102,2,0,7.19,0,0,0,0,0,0,0,0,664.0,0.0,1,4,7,3,3,19,51.35,0,20,16,80.0,12,19,37,22,53,55.79,17,213,179,392,79.1,11,1,591,8,0,0,Joao Cancelo,FC Barcelona,138892,2817,spain,2526,20260428
70,39,30.23,517,72,72.73,849,367,1216,90.68,4,30.77,9,32,9,0,0,0,101,14,3,14,2,9,32,0,0,16,21,82,1,1,7.18,4.57,21,0,8.16,0,4,13,20,18,2,3,1,,105,58.99,1,0,0,125,9,70,3,25,2010,3,2.0,0,0,0,1,0.0,0,0,0,0,291,11,0,7.19,0,0,0,0,0,0,0,0,502.5,0.0,1,23,26,16,19,27,62.79,0,46,29,63.04,70,93,43,129,109,57.07,99,957,384,1341,230.1,49,2,1787,32,1,0,Arda Güler,Real Madrid,1091116,2829,spain,2526,20260428
9,5,22.73,266,20,57.14,415,184,599,86.31,2,40.0,3,19,2,0,0,0,59,7,0,12,1,8,19,0,0,29,19,110,0,0,2.86,2.76,14,0,12.82,0,5,7,19,15,4,4,1,,119,52.65,0,0,0,95,16,23,0,15,1346,0,1.0,0,1,1,0,100.0,0,1,0,1,255,9,0,7.19,0,5,0,0,0,0,0,0,269.2,0.0,2,18,21,13,14,52,53.61,0,19,11,57.89,22,20,97,22,121,52.38,35,492,202,694,136.6,39,3,1101,49,7,0,Azzedine Ounahi,Girona FC,991421,24264,spain,2526,20260428
22,1,11.11,119,32,66.67,206,149,355,78.89,18,47.37,20,18,0,0,0,0,39,4,3,11,0,15,18,0,0,16,15,69,0,0,1.9,6.03,11,0,26.47,0,9,9,12,11,1,7,2,,42,46.15,2,0,0,95,3,20,6,14,1130,4,1.0,0,0,3,0,100.0,0,3,0,1,163,6,0,7.18,0,1,0,0,0,0,0,0,125.56,0.0,0,29,5,8,15,13,54.17,0,14,8,57.14,20,39,24,9,60,46.51,48,276,174,450,129.3,34,3,646,15,0,0,Gerard Moreno,Villarreal,146866,2819,spain,2526,20260428
21,21,31.34,294,16,53.33,427,198,625,81.49,16,41.03,23,32,4,0,0,0,104,11,6,17,3,24,32,0,0,39,21,160,0,0,5.65,7.59,22,0,12.5,0,7,11,31,28,3,7,0,,121,46.9,0,0,3,142,15,47,7,23,2129,14,1.0,0,2,1,0,100.0,0,1,0,2,359,17,0,7.18,0,0,0,0,0,0,0,0,304.14,0.0,1,42,14,17,22,53,48.18,0,31,21,67.74,45,35,110,67,137,46.13,30,536,231,767,229.7,56,3,1306,38,4,0,Nicolas Pépé,Villarreal,593526,2819,spain,2526,20260428
39,0,0.0,222,65,57.02,943,1475,2418,94.79,62,65.26,33,28,0,0,0,0,93,1,0,3,10,123,28,0,0,4,12,70,0,2,0.69,0.54,24,0,10.0,4,1,1,27,25,2,1,0,,44,54.32,1,0,0,133,27,5,0,28,2466,0,12.0,0,0,0,0,0.0,0,0,0,0,145,0,0,7.17,0,0,0,0,0,0,0,0,2466.0,0.0,0,8,2,5,2,1,100.0,0,35,24,68.57,5,65,1,0,106,60.23,114,1029,1522,2551,200.8,10,4,2831,8,3,0,Pau Cubarsí,FC Barcelona,1402913,2817,spain,2526,20260428
7,0,0.0,2,15,31.91,6,146,152,82.16,0,0.0,0,6,0,0,0,0,48,0,0,0,0,9,6,0,0,0,0,0,0,0,0.0,,0,0,0.0,30,0,0,11,10,1,0,0,1.53,0,0.0,0,1,0,33,0,0,0,6,540,0,0.0,0,0,0,0,0.0,2,0,1,0,38,0,3,7.17,0,0,12,13,3,17,0,8,0.0,0.0,0,0,0,0,0,0,0.0,12,0,0,0.0,0,16,0,0,0,0.0,47,28,157,185,43.0,0,1,245,0,0,0,Wojciech Szczęsny,FC Barcelona,50490,2817,spain,2526,20260428
23,1,100.0,45,31,52.54,154,353,507,89.73,9,56.25,7,13,0,0,0,0,46,0,0,1,3,56,13,0,0,1,1,18,0,2,0.18,0.12,8,0,0.0,19,0,0,9,6,3,0,0,,24,68.57,0,0,0,58,16,0,0,12,936,0,10.0,0,0,0,0,0.0,0,0,0,0,63,1,0,7.15,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,0,3,75.0,0,20,13,65.0,0,42,4,1,33,64.71,59,190,375,565,92.9,2,3,692,1,2,0,Juan Foyth,Villarreal,873189,2819,spain,2526,20260428
24,13,22.41,362,16,53.33,574,236,810,81.65,7,36.84,12,27,5,0,0,0,106,8,11,19,2,17,27,0,1,21,22,96,0,1,4.69,6.89,14,0,9.33,0,7,12,31,24,7,3,4,,88,51.16,0,0,2,182,21,46,6,25,2073,1,1.0,0,0,0,0,0.0,0,0,0,0,324,13,0,7.14,1,1,0,0,0,0,0,0,296.14,0.0,0,42,33,26,30,19,40.43,0,29,17,58.62,46,49,47,58,95,49.74,30,718,274,992,192.9,75,2,1423,40,5,0,Antony,Real Betis,958380,2816,spain,2526,20260428
