accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
23,18,29.51,193,33,44.0,332,90,404,72.4,15,29.41,36,24,2,0,0,0,,4,1,12,2,1,22,0,0,19,18,108,0,0,,,24,0,6.45,,2,4,21,18,3,2,0,,65,47.45,0,0,0,154,2,25,1,15,1420,0,,0,0,0,0,0.0,0,0,0,0,270,13,0,6.85,0,1,0,0,0,0,0,0,710.0,0.0,0,12,19,11,8,23,63.89,0,16,10,62.5,25,66,36,61,80,42.55,75,517,102,558,150.6,31,0,838,26,2,0,Carles Aleñá,Getafe,794937,2859,spain,2021
11,7,24.14,145,16,64.0,244,140,377,80.38,6,35.29,11,29,3,0,0,0,,4,3,10,0,4,29,0,0,8,18,56,0,0,,,7,0,14.29,,5,8,22,21,1,4,1,,47,51.09,0,0,0,92,11,21,1,12,1279,3,,0,1,0,0,0.0,0,0,0,0,167,8,0,6.84,1,4,0,0,0,0,0,0,255.8,0.0,1,15,20,11,14,23,65.71,0,16,10,62.5,20,19,35,29,53,48.62,25,330,168,469,198.5,35,2,699,8,0,1,Cristian Tello,Real Betis,114157,2816,spain,2021
97,7,30.43,357,109,63.01,761,708,1462,87.18,31,52.54,28,37,2,0,0,0,,1,3,9,2,28,37,0,0,16,29,123,1,0,,,34,0,10.0,,4,6,21,19,2,4,0,,67,41.36,0,0,1,215,26,25,0,25,2247,2,,0,0,2,0,100.0,0,2,0,1,305,14,0,6.84,0,4,0,0,0,0,0,0,561.75,0.0,2,20,20,21,10,11,39.29,0,32,18,56.25,25,168,28,23,98,44.34,173,941,759,1677,253.2,40,3,2020,24,5,0,Ivan Rakitić,Sevilla,7635,2833,spain,2021
37,1,10.0,87,86,37.89,269,469,737,73.26,70,62.5,42,34,1,0,0,0,,0,0,0,12,95,34,0,1,12,9,95,0,0,,,35,0,0.0,,0,1,35,31,4,0,0,,107,66.88,0,0,1,269,42,6,0,34,2945,1,,0,0,0,2,0.0,0,0,0,1,319,4,0,6.84,2,0,0,0,0,0,0,0,0.0,0.0,0,2,0,2,0,13,86.67,0,61,39,63.93,6,99,15,10,177,65.07,227,452,564,1006,232.5,2,2,1404,36,6,1,Djené,Getafe,307702,2859,spain,2021
39,0,0.0,55,77,50.66,147,418,565,78.8,64,62.14,39,24,0,0,0,0,,1,0,0,9,120,24,0,1,4,5,67,0,1,,,21,0,0.0,,0,0,22,20,2,0,0,,40,58.82,0,0,0,152,34,5,0,24,2028,0,,0,0,0,0,0.0,0,0,0,0,174,0,0,6.84,1,0,0,0,0,0,0,0,0.0,0.0,0,2,0,2,0,5,83.33,0,20,11,55.0,5,74,6,0,104,60.82,152,231,486,717,164.1,2,3,1004,20,3,0,Aridane Hernández,Osasuna,41013,2820,spain,2021
19,2,22.22,174,15,55.56,401,284,683,91.43,10,71.43,4,19,0,0,0,0,,0,2,4,1,5,19,0,0,8,6,22,0,0,,,4,0,0.0,,0,0,6,4,2,0,0,,30,62.5,0,0,0,64,11,12,0,6,634,0,,0,0,0,0,0.0,0,0,0,0,89,5,0,6.84,0,0,0,0,0,0,0,0,0.0,0.0,2,5,11,9,3,7,100.0,0,13,8,61.54,12,32,7,9,40,64.52,27,456,300,747,129.9,16,0,856,10,1,0,Miralem Pjanić,Barcelona,27678,2817,spain,2021
4,4,16.67,144,4,30.77,238,89,323,83.25,5,26.32,14,22,6,0,0,0,,7,1,10,1,1,22,0,0,16,15,81,0,0,,,15,0,4.0,,1,7,4,2,2,1,0,,56,45.53,0,0,1,65,7,19,0,10,978,1,,0,0,0,0,0.0,0,0,0,0,156,7,0,6.84,0,1,0,0,0,0,0,0,978.0,0.0,1,20,5,10,5,18,45.0,0,15,6,40.0,19,11,40,24,61,42.96,13,308,104,388,150.4,25,0,626,23,0,0,Rodrygo,Real Madrid,910536,2829,spain,2021
12,1,16.67,49,18,66.67,134,117,250,92.59,11,55.0,9,6,0,0,0,0,,0,0,0,0,7,6,0,0,0,4,19,0,0,,,6,0,0.0,,0,0,2,1,1,0,0,,15,60.0,0,0,0,20,5,1,0,6,342,0,,0,0,0,0,0.0,0,0,0,0,26,2,0,6.83,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5,2,40.0,1,19,0,6,26,57.78,27,155,121,270,41.0,0,0,312,10,2,0,Asier Illarramendi,Real Sociedad,113593,2824,spain,2021
87,2,20.0,151,149,51.92,453,746,1197,82.78,74,60.16,49,28,0,0,0,0,,1,3,1,4,96,28,0,1,5,18,99,0,0,,,30,0,5.56,,1,1,34,28,6,1,0,,59,54.13,1,0,0,249,28,6,0,28,2520,4,,0,0,0,0,0.0,0,0,0,0,282,1,0,6.83,1,0,0,0,0,0,0,0,2520.0,0.0,1,11,7,10,7,7,77.78,0,22,15,68.18,6,176,9,10,133,57.33,287,623,833,1446,191.3,18,1,1742,35,9,0,Iñigo Martínez,Athletic Club,173883,2825,spain,2021
39,2,100.0,94,80,42.11,360,1089,1447,85.12,120,60.0,80,33,1,0,0,0,,1,3,2,10,83,33,0,1,9,10,137,1,0,,,41,0,0.0,,0,1,31,30,1,0,0,,56,49.56,0,0,0,253,36,5,0,30,2755,2,,0,1,0,1,0.0,0,0,0,2,274,0,0,6.83,1,0,0,0,0,0,0,0,0.0,0.0,0,16,2,15,1,5,100.0,0,34,20,58.82,4,98,5,2,176,56.23,190,510,1192,1700,225.4,18,1,2003,18,5,0,Robin Le Normand,Real Sociedad,787751,2824,spain,2021
