,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Eden Hazard,"€ 600,962","€ 31,250,000","€ 32,353,862",F,31,Belgium,Real Madrid,spain,2122
Gareth Bale,"€ 600,962","€ 31,250,000","€ 32,353,862",F,32,Wales,Real Madrid,spain,2122
Gerard Piqué,"€ 532,692","€ 27,700,000","€ 28,678,463",D,35,Spain,Barcelona,spain,2122
Antoine Griezmann,"€ 480,769","€ 25,000,000","€ 25,883,089",F,30,France,Atletico Madrid,spain,2122
Marcelo,"€ 468,846","€ 24,380,000","€ 25,241,189",D,33,Brazil,Real Madrid,spain,2122
Toni Kroos,"€ 468,846","€ 24,380,000","€ 25,241,189",M,32,Germany,Real Madrid,spain,2122
Sergio Busquets,"€ 461,538","€ 24,000,000","€ 24,847,766",M,33,Spain,Barcelona,spain,2122
Karim Benzema,"€ 461,538","€ 24,000,000","€ 24,847,766",F,34,France,Real Madrid,spain,2122
David Alaba,"€ 432,692","€ 22,500,000","€ 23,294,780",D,29,Austria,Real Madrid,spain,2122
Philippe Coutinho,"€ 420,769","€ 21,880,000","€ 22,652,880",F,29,Brazil,Barcelona,spain,2122
Luka Modric,"€ 420,769","€ 21,880,000","€ 22,652,880",M,36,Croatia,Real Madrid,spain,2122
Jan Oblak,"€ 400,000","€ 20,800,000","€ 21,534,730",K,29,Slovenia,Atletico Madrid,spain,2122
Samuel Umtiti,"€ 384,615","€ 20,000,000","€ 20,706,472",D,28,France,Barcelona,spain,2122
Jordi Alba,"€ 338,462","€ 17,600,000","€ 18,221,695",D,32,Spain,Barcelona,spain,2122
Koke,"€ 307,692","€ 16,000,000","€ 16,565,177",M,30,Spain,Atletico Madrid,spain,2122
Luis Suárez,"€ 300,385","€ 15,620,000","€ 16,171,754",F,35,Uruguay,Atletico Madrid,spain,2122
Thibaut Courtois,"€ 288,462","€ 15,000,000","€ 15,529,854",K,29,Belgium,Real Madrid,spain,2122
João Félix,"€ 280,385","€ 14,580,000","€ 15,095,018",F,22,Portugal,Atletico Madrid,spain,2122
Isco,"€ 280,385","€ 14,580,000","€ 15,095,018",F,29,Spain,Real Madrid,spain,2122
Ansu Fati,"€ 268,269","€ 13,950,000","€ 14,442,764",F,19,Spain,Barcelona,spain,2122
Yannick Carrasco,"€ 252,500","€ 13,130,000","€ 13,593,799",F,28,Belgium,Atletico Madrid,spain,2122
Luka Jovic,"€ 240,385","€ 12,500,000","€ 12,941,545",F,24,Serbia,Real Madrid,spain,2122
Clément Lenglet,"€ 230,769","€ 12,000,000","€ 12,423,883",D,26,France,Barcelona,spain,2122
Ousmane Dembélé,"€ 230,769","€ 12,000,000","€ 12,423,883",F,24,France,Barcelona,spain,2122
Iñaki Williams,"€ 219,231","€ 11,400,000","€ 11,802,689",F,27,Spain,Athletic Club,spain,2122
Casemiro,"€ 210,385","€ 10,940,000","€ 11,326,440",M,29,Brazil,Real Madrid,spain,2122
Memphis Depay,"€ 200,385","€ 10,420,000","€ 10,788,072",F,27,Netherlands,Barcelona,spain,2122
Daniel Carvajal,"€ 200,385","€ 10,420,000","€ 10,788,072",D,30,Spain,Real Madrid,spain,2122
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 10,788,072",D,26,France,Real Madrid,spain,2122
Sergio Agüero,"€ 200,385","€ 10,420,000","€ 10,788,072",F,33,Argentina,Barcelona,spain,2122
Ferran Torres,"€ 192,308","€ 10,000,000","€ 10,353,236",F,21,Spain,Barcelona,spain,2122
Marco Asensio,"€ 189,038","€ 9,830,000","€ 10,177,231",F,26,Spain,Real Madrid,spain,2122
Frenkie de Jong,"€ 185,000","€ 9,620,000","€ 9,959,813",M,24,Netherlands,Barcelona,spain,2122
Lucas Vázquez,"€ 180,385","€ 9,380,000","€ 9,711,335",D,30,Spain,Real Madrid,spain,2122
Pedri,"€ 180,385","€ 9,380,000","€ 9,711,335",M,19,Spain,Barcelona,spain,2122
Marc-André ter Stegen,"€ 173,077","€ 9,000,000","€ 9,317,912",K,29,Germany,Barcelona,spain,2122
Iñigo Martínez,"€ 170,577","€ 8,870,000","€ 9,183,320",D,30,Spain,Athletic Club,spain,2122
Nacho Fernández,"€ 164,231","€ 8,540,000","€ 8,841,663",D,32,Spain,Real Madrid,spain,2122
Eduardo Camavinga,"€ 160,192","€ 8,330,000","€ 8,624,245",M,19,France,Real Madrid,spain,2122
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 8,624,245",D,26,Spain,Atletico Madrid,spain,2122
Marcos Llorente,"€ 160,192","€ 8,330,000","€ 8,624,245",M,27,Spain,Atletico Madrid,spain,2122
Mariano Díaz,"€ 160,192","€ 8,330,000","€ 8,624,245",F,28,Dominican Republic,Real Madrid,spain,2122
Rodrygo,"€ 160,192","€ 8,330,000","€ 8,624,245",F,21,Brazil,Real Madrid,spain,2122
Federico Valverde,"€ 156,346","€ 8,130,000","€ 8,417,181",M,23,Uruguay,Real Madrid,spain,2122
Felipe,"€ 145,385","€ 7,560,000","€ 7,827,046",D,32,Brazil,Atletico Madrid,spain,2122
Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 7,588,922",D,30,Croatia,Atletico Madrid,spain,2122
Éder Militão,"€ 140,192","€ 7,290,000","€ 7,547,509",D,24,Brazil,Real Madrid,spain,2122
Dani Ceballos,"€ 140,192","€ 7,290,000","€ 7,547,509",M,25,Spain,Real Madrid,spain,2122
Ronald Araújo,"€ 134,615","€ 7,000,000","€ 7,247,265",D,22,Uruguay,Barcelona,spain,2122
