,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Harry Kane,"€ 480,769","€ 25,000,000","€ 25,000,000",F,31,England,Bayern Munich,germany,2425
Manuel Neuer,"€ 403,846","€ 21,000,000","€ 21,000,000",K,38,Germany,Bayern Munich,germany,2425
Joshua Kimmich,"€ 384,615","€ 20,000,000","€ 20,000,000",M,30,Germany,Bayern Munich,germany,2425
Serge Gnabry,"€ 362,885","€ 18,870,000","€ 18,870,000",F,29,Germany,Bayern Munich,germany,2425
Jamal Musiala,"€ 362,885","€ 18,870,000","€ 18,870,000",F,21,Germany,Bayern Munich,germany,2425
Kingsley Coman,"€ 326,923","€ 17,000,000","€ 17,000,000",F,28,France,Bayern Munich,germany,2425
Thomas Müller,"€ 288,462","€ 15,000,000","€ 15,000,000",F,35,Germany,Bayern Munich,germany,2425
Leroy Sané,"€ 288,462","€ 15,000,000","€ 15,000,000",F,29,Germany,Bayern Munich,germany,2425
Alphonso Davies,"€ 288,462","€ 15,000,000","€ 15,000,000",D,24,Canada,Bayern Munich,germany,2425
Michael Olise,"€ 259,615","€ 13,500,000","€ 13,500,000",F,23,France,Bayern Munich,germany,2425
Leon Goretzka,"€ 250,000","€ 13,000,000","€ 13,000,000",M,30,Germany,Bayern Munich,germany,2425
Min-jae Kim,"€ 230,769","€ 12,000,000","€ 12,000,000",D,28,South Korea,Bayern Munich,germany,2425
João Palhinha,"€ 192,308","€ 10,000,000","€ 10,000,000",M,29,Portugal,Bayern Munich,germany,2425
Niklas Süle,"€ 192,308","€ 10,000,000","€ 10,000,000",D,29,Germany,Borussia Dortmund,germany,2425
Dayot Upamecano,"€ 192,308","€ 10,000,000","€ 10,000,000",D,26,France,Bayern Munich,germany,2425
Serhou Guirassy,"€ 181,346","€ 9,430,000","€ 9,430,000",F,28,Guinea,Borussia Dortmund,germany,2425
Gregor Kobel,"€ 174,231","€ 9,060,000","€ 9,060,000",K,27,Switzerland,Borussia Dortmund,germany,2425
Konrad Laimer,"€ 173,077","€ 9,000,000","€ 9,000,000",M,27,Austria,Bayern Munich,germany,2425
Sébastien Haller,"€ 163,462","€ 8,500,000","€ 8,500,000",F,30,Cote d'Ivoire,Borussia Dortmund,germany,2425
Nordi Mukiele,"€ 161,538","€ 8,400,000","€ 8,400,000",D,27,France,Bayer Leverkusen,germany,2425
Emre Can,"€ 153,846","€ 8,000,000","€ 8,000,000",M,31,Germany,Borussia Dortmund,germany,2425
Raphaël Guerreiro,"€ 153,846","€ 8,000,000","€ 8,000,000",D,31,Portugal,Bayern Munich,germany,2425
David Raum,"€ 145,192","€ 7,550,000","€ 7,550,000",D,26,Germany,Leipzig,germany,2425
Benjamin Henrichs,"€ 145,192","€ 7,550,000","€ 7,550,000",D,27,Germany,Leipzig,germany,2425
Marcel Sabitzer,"€ 144,231","€ 7,500,000","€ 7,500,000",M,30,Austria,Borussia Dortmund,germany,2425
Alejandro Grimaldo,"€ 137,885","€ 7,170,000","€ 7,170,000",D,29,Spain,Bayer Leverkusen,germany,2425
Julian Brandt,"€ 134,615","€ 7,000,000","€ 7,000,000",F,28,Germany,Borussia Dortmund,germany,2425
Josip Stanisic,"€ 126,923","€ 6,600,000","€ 6,600,000",D,24,Croatia,Bayern Munich,germany,2425
Yussuf Poulsen,"€ 126,923","€ 6,600,000","€ 6,600,000",F,30,Denmark,Leipzig,germany,2425
Alexander Nübel,"€ 125,000","€ 6,500,000","€ 6,500,000",K,27,Germany,Bayern Munich,germany,2425
Xavi Simons,"€ 115,385","€ 6,000,000","€ 6,000,000",F,21,Netherlands,Leipzig,germany,2425
Donyell Malen,"€ 115,385","€ 6,000,000","€ 6,000,000",F,25,Netherlands,Borussia Dortmund,germany,2425
Patrik Schick,"€ 115,385","€ 6,000,000","€ 6,000,000",F,29,Czech Republic,Bayer Leverkusen,germany,2425
Benjamin Sesko,"€ 108,846","€ 5,660,000","€ 5,660,000",F,21,Slovenia,Leipzig,germany,2425
Aleksandar Pavlovic,"€ 108,846","€ 5,660,000","€ 5,660,000",M,20,Germany,Bayern Munich,germany,2425
Victor Boniface,"€ 108,846","€ 5,660,000","€ 5,660,000",F,24,Nigeria,Bayer Leverkusen,germany,2425
Matthias Ginter,"€ 108,846","€ 5,660,000","€ 5,660,000",D,31,Germany,Freiburg,germany,2425
Willi Orbán,"€ 108,846","€ 5,660,000","€ 5,660,000",D,32,Hungary,Leipzig,germany,2425
Péter Gulácsi,"€ 108,846","€ 5,660,000","€ 5,660,000",K,34,Hungary,Leipzig,germany,2425
Pascal Groß,"€ 108,846","€ 5,660,000","€ 5,660,000",M,33,Germany,Borussia Dortmund,germany,2425
Edmond Tapsoba,"€ 108,846","€ 5,660,000","€ 5,660,000",D,26,Burkina Faso,Bayer Leverkusen,germany,2425
Maximilian Arnold,"€ 108,846","€ 5,660,000","€ 5,660,000",M,30,Germany,Wolfsburg,germany,2425
Exequiel Palacios,"€ 108,846","€ 5,660,000","€ 5,660,000",M,26,Argentina,Bayer Leverkusen,germany,2425
Lukas Klostermann,"€ 108,846","€ 5,660,000","€ 5,660,000",D,28,Germany,Leipzig,germany,2425
Loïs Openda,"€ 108,846","€ 5,660,000","€ 5,660,000",F,24,Belgium,Leipzig,germany,2425
Aleix García,"€ 101,538","€ 5,280,000","€ 5,280,000",M,27,Spain,Bayer Leverkusen,germany,2425
Philipp Lienhart,"€ 101,538","€ 5,280,000","€ 5,280,000",D,28,Austria,Freiburg,germany,2425
Waldemar Anton,"€ 101,538","€ 5,280,000","€ 5,280,000",D,28,Germany,Borussia Dortmund,germany,2425
Lovro Majer,"€ 99,808","€ 5,190,000","€ 5,190,000",F,27,Croatia,Wolfsburg,germany,2425
Felix Nmecha,"€ 96,154","€ 5,000,000","€ 5,000,000",M,24,Germany,Borussia Dortmund,germany,2425
Eric Dier,"€ 96,154","€ 5,000,000","€ 5,000,000",D,31,England,Bayern Munich,germany,2425
Karim Adeyemi,"€ 96,154","€ 5,000,000","€ 5,000,000",F,23,Germany,Borussia Dortmund,germany,2425
Julian Ryerson,"€ 96,154","€ 5,000,000","€ 5,000,000",D,27,Norway,Borussia Dortmund,germany,2425
Mathys Tel,"€ 96,154","€ 5,000,000","€ 5,000,000",F,19,France,Bayern Munich,germany,2425
Maximilian Mittelstädt,"€ 94,423","€ 4,910,000","€ 4,910,000",D,27,Germany,Stuttgart,germany,2425
Martin Terrier,"€ 90,769","€ 4,720,000","€ 4,720,000",F,27,France,Bayer Leverkusen,germany,2425
Nico Schlotterbeck,"€ 90,769","€ 4,720,000","€ 4,720,000",D,25,Germany,Borussia Dortmund,germany,2425
Alassane Pléa,"€ 90,769","€ 4,720,000","€ 4,720,000",F,31,France,Monchengladbach,germany,2425
Castello Lukeba,"€ 90,769","€ 4,720,000","€ 4,720,000",D,22,France,Leipzig,germany,2425
Maximilian Eggestein,"€ 90,769","€ 4,720,000","€ 4,720,000",M,28,Germany,Freiburg,germany,2425
Ermedin Demirovic,"€ 90,769","€ 4,720,000","€ 4,720,000",F,26,Bosnia-Herzegovina,Stuttgart,germany,2425
Lutsharel Geertruida,"€ 90,769","€ 4,720,000","€ 4,720,000",D,24,Netherlands,Leipzig,germany,2425
Vincenzo Grifo,"€ 87,115","€ 4,530,000","€ 4,530,000",F,31,Italy,Freiburg,germany,2425
Angelo Stiller,"€ 86,923","€ 4,520,000","€ 4,520,000",M,23,Germany,Stuttgart,germany,2425
Deniz Undav,"€ 86,923","€ 4,520,000","€ 4,520,000",F,28,Germany,Stuttgart,germany,2425
Ramy Bensebaini,"€ 86,538","€ 4,500,000","€ 4,500,000",D,29,Algeria,Borussia Dortmund,germany,2425
Florian Wirtz,"€ 86,538","€ 4,500,000","€ 4,500,000",F,21,Germany,Bayer Leverkusen,germany,2425
Amadou Haidara,"€ 83,462","€ 4,340,000","€ 4,340,000",M,27,Mali,Leipzig,germany,2425
Christoph Baumgartner,"€ 83,462","€ 4,340,000","€ 4,340,000",F,25,Austria,Leipzig,germany,2425
Jonas Hofmann,"€ 83,462","€ 4,340,000","€ 4,340,000",F,32,Germany,Bayer Leverkusen,germany,2425
Alexander Nübel,"€ 79,808","€ 4,150,000","€ 4,150,000",K,28,Germany,Stuttgart,germany,2425
Granit Xhaka,"€ 79,808","€ 4,150,000","€ 4,150,000",M,32,Switzerland,Bayer Leverkusen,germany,2425
Xaver Schlager,"€ 76,923","€ 4,000,000","€ 4,000,000",M,27,Austria,Leipzig,germany,2425
Jeremie Frimpong,"€ 76,923","€ 4,000,000","€ 4,000,000",M,24,Netherlands,Bayer Leverkusen,germany,2425
Florian Neuhaus,"€ 76,154","€ 3,960,000","€ 3,960,000",M,27,Germany,Monchengladbach,germany,2425
Andrej Kramaric,"€ 76,154","€ 3,960,000","€ 3,960,000",F,33,Croatia,Hoffenheim,germany,2425
Diadié Samassékou,"€ 75,000","€ 3,900,000","€ 3,900,000",M,29,Mali,Hoffenheim,germany,2425
Maximilian Beier,"€ 72,692","€ 3,780,000","€ 3,780,000",F,22,Germany,Borussia Dortmund,germany,2425
Sacha Boey,"€ 72,692","€ 3,780,000","€ 3,780,000",D,24,France,Bayern Munich,germany,2425
Salih Özcan,"€ 72,692","€ 3,780,000","€ 3,780,000",M,27,Turkey,Borussia Dortmund,germany,2425
Hiroki Ito,"€ 72,692","€ 3,780,000","€ 3,780,000",D,25,Japan,Bayern Munich,germany,2425
