,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Eric García,"€ 115,385","€ 6,000,000","€ 6,000,000",D,23,Spain,Girona,spain,2324
Gonçalo Guedes,"€ 103,846","€ 5,400,000","€ 5,400,000",F,27,Portugal,Villarreal,spain,2324
Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,330,000",D,32,Brazil,Valencia,spain,2324
Fran García,"€ 100,192","€ 5,210,000","€ 5,210,000",D,24,Spain,Real Madrid,spain,2324
Adnan Januzaj,"€ 100,192","€ 5,210,000","€ 5,210,000",F,28,Belgium,Sevilla,spain,2324
Mariano Díaz,"€ 100,192","€ 5,210,000","€ 5,210,000",F,30,Dominican Republic,Sevilla,spain,2324
Takefusa Kubo,"€ 100,000","€ 5,200,000","€ 5,200,000",F,22,Japan,Real Sociedad,spain,2324
Arda Güler,"€ 100,000","€ 5,200,000","€ 5,200,000",F,18,Turkey,Real Madrid,spain,2324
Brais Méndez,"€ 100,000","€ 5,200,000","€ 5,200,000",F,27,Spain,Real Sociedad,spain,2324
Sergi Roberto,"€ 96,154","€ 5,000,000","€ 5,000,000",M,31,Spain,Barcelona,spain,2324
André Silva,"€ 96,154","€ 5,000,000","€ 5,000,000",F,28,Portugal,Real Sociedad,spain,2324
Boubakary Soumaré,"€ 93,269","€ 4,850,000","€ 4,850,000",M,24,France,Sevilla,spain,2324
Borja Mayoral,"€ 92,115","€ 4,790,000","€ 4,790,000",F,26,Spain,Getafe,spain,2324
Vedat Muriqi,"€ 88,077","€ 4,580,000","€ 4,580,000",F,29,Kosovo,Mallorca,spain,2324
José Gayà,"€ 88,077","€ 4,580,000","€ 4,580,000",D,28,Spain,Valencia,spain,2324
Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,33,Montenegro,Atletico Madrid,spain,2324
Marcão,"€ 84,231","€ 4,380,000","€ 4,380,000",D,27,Brazil,Sevilla,spain,2324
Yuri Berchiche,"€ 82,308","€ 4,280,000","€ 4,280,000",D,34,Spain,Athletic Club,spain,2324
Djibril Sow,"€ 80,192","€ 4,170,000","€ 4,170,000",M,26,Switzerland,Sevilla,spain,2324
Tanguy Nianzou,"€ 80,192","€ 4,170,000","€ 4,170,000",D,21,France,Sevilla,spain,2324
Jonathan Bamba,"€ 80,000","€ 4,160,000","€ 4,160,000",F,27,Cote d'Ivoire,Celta Vigo,spain,2324
Oihan Sancet,"€ 80,000","€ 4,160,000","€ 4,160,000",F,23,Spain,Athletic Club,spain,2324
Álex Remiro,"€ 80,000","€ 4,160,000","€ 4,160,000",K,28,Spain,Real Sociedad,spain,2324
Pau Cubarsí,"€ 76,923","€ 4,000,000","€ 4,000,000",D,17,Spain,Barcelona,spain,2324
Mouctar Diakhaby,"€ 76,923","€ 4,000,000","€ 4,000,000",D,27,Guinea,Valencia,spain,2324
Nemanja Gudelj,"€ 76,154","€ 3,960,000","€ 3,960,000",D,32,Serbia,Sevilla,spain,2324
Diadié Samassékou,"€ 75,000","€ 3,900,000","€ 3,900,000",M,28,Mali,Cadiz,spain,2324
Nahuel Molina,"€ 72,308","€ 3,760,000","€ 3,760,000",D,25,Argentina,Atletico Madrid,spain,2324
Gerard Moreno,"€ 72,115","€ 3,750,000","€ 3,750,000",F,31,Spain,Villarreal,spain,2324
David López,"€ 72,115","€ 3,750,000","€ 3,750,000",D,34,Spain,Girona,spain,2324
Dani Parejo,"€ 72,115","€ 3,750,000","€ 3,750,000",M,34,Spain,Villarreal,spain,2324
Mauro Arambarri,"€ 71,923","€ 3,740,000","€ 3,740,000",M,28,Uruguay,Getafe,spain,2324
Francis Coquelin,"€ 71,923","€ 3,740,000","€ 3,740,000",M,32,France,Villarreal,spain,2324
Maxi Gómez,"€ 70,192","€ 3,650,000","€ 3,650,000",F,27,Uruguay,Cadiz,spain,2324
Alexander Sörloth,"€ 69,231","€ 3,600,000","€ 3,600,000",F,28,Norway,Villarreal,spain,2324
Joan Jordán,"€ 68,077","€ 3,540,000","€ 3,540,000",M,29,Spain,Sevilla,spain,2324
Vitor Roque,"€ 67,308","€ 3,500,000","€ 3,500,000",F,18,Brazil,Barcelona,spain,2324
Ángel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,28,Argentina,Atletico Madrid,spain,2324
