,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Gareth Bale,"€ 695,083","€ 36,144,307","€ 41,657,846",F,31,Wales,Tottenham,england,2021
Kevin De Bruyne,"€ 463,389","€ 24,096,205","€ 27,771,897",F,29,Belgium,Manchester City,england,2021
David de Gea,"€ 434,427","€ 22,590,192","€ 26,036,154",K,29,Spain,Manchester United,england,2021
Mesut Özil,"€ 405,465","€ 21,084,179","€ 24,300,410",F,32,Germany,Arsenal,england,2021
Raheem Sterling,"€ 347,541","€ 18,072,154","€ 20,828,923",F,25,England,Manchester City,england,2021
N'Golo Kanté,"€ 335,957","€ 17,469,749","€ 20,134,625",M,29,France,Chelsea,england,2021
Paul Pogba,"€ 335,957","€ 17,469,749","€ 20,134,625",M,27,France,Manchester United,england,2021
Timo Werner,"€ 312,787","€ 16,264,938","€ 18,746,031",F,24,Germany,Chelsea,england,2021
Pierre-Emerick Aubameyang,"€ 289,618","€ 15,060,128","€ 17,357,436",F,31,Gabon,Arsenal,england,2021
Kai Havertz,"€ 289,618","€ 15,060,128","€ 17,357,436",F,21,Germany,Chelsea,england,2021
Anthony Martial,"€ 289,618","€ 15,060,128","€ 17,357,436",F,24,France,Manchester United,england,2021
Edinson Cavani,"€ 289,618","€ 15,060,128","€ 17,357,436",F,33,Uruguay,Manchester United,england,2021
Sergio Agüero,"€ 266,671","€ 13,866,903","€ 15,982,193",F,32,Argentina,Manchester City,england,2021
Tanguy Ndombélé,"€ 231,694","€ 12,048,102","€ 13,885,949",M,23,France,Tottenham,england,2021
Mohamed Salah,"€ 231,694","€ 12,048,102","€ 13,885,949",F,28,Egypt,Liverpool,england,2021
Harry Kane,"€ 231,694","€ 12,048,102","€ 13,885,949",F,27,England,Tottenham,england,2021
Marcus Rashford,"€ 231,694","€ 12,048,102","€ 13,885,949",F,22,England,Manchester United,england,2021
Thomas Partey,"€ 231,694","€ 12,048,102","€ 13,885,949",M,27,Ghana,Arsenal,england,2021
Thiago,"€ 231,694","€ 12,048,102","€ 13,885,949",M,29,Spain,Liverpool,england,2021
Ben Chilwell,"€ 220,110","€ 11,445,697","€ 13,191,651",D,23,England,Chelsea,england,2021
Harry Maguire,"€ 220,110","€ 11,445,697","€ 13,191,651",D,27,England,Manchester United,england,2021
Alexandre Lacazette,"€ 210,975","€ 10,970,724","€ 12,644,224",F,29,France,Arsenal,england,2021
Roberto Firmino,"€ 208,525","€ 10,843,292","€ 12,497,354",F,29,Brazil,Liverpool,england,2021
Bruno Fernandes,"€ 208,525","€ 10,843,292","€ 12,497,354",F,26,Portugal,Manchester United,england,2021
Virgil van Dijk,"€ 208,525","€ 10,843,292","€ 12,497,354",D,29,Netherlands,Liverpool,england,2021
Callum Hudson-Odoi,"€ 208,525","€ 10,843,292","€ 12,497,354",F,19,England,Chelsea,england,2021
Juan Mata,"€ 185,355","€ 9,638,482","€ 11,108,759",F,32,Spain,Manchester United,england,2021
Kyle Walker,"€ 185,355","€ 9,638,482","€ 11,108,759",D,30,England,Manchester City,england,2021
César Azpilicueta,"€ 173,771","€ 9,036,077","€ 10,414,461",D,31,Spain,Chelsea,england,2021
Christian Pulisic,"€ 173,771","€ 9,036,077","€ 10,414,461",F,22,United States,Chelsea,england,2021
Fernandinho,"€ 173,771","€ 9,036,077","€ 10,414,461",M,35,Brazil,Manchester City,england,2021
Bernardo Silva,"€ 173,771","€ 9,036,077","€ 10,414,461",F,26,Portugal,Manchester City,england,2021
Kepa,"€ 173,771","€ 9,036,077","€ 10,414,461",K,26,Spain,Chelsea,england,2021
