,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Danilo Pereira,"€ 61,538","€ 3,200,000","€ 3,200,000",M,31,Portugal,PSG,france,2223
Moussa Dembélé,"€ 60,000","€ 3,120,000","€ 3,120,000",F,26,France,Lyon,france,2223
Amine Harit,"€ 59,615","€ 3,100,000","€ 3,100,000",F,25,Morocco,Marseille,france,2223
Wahbi Khazri,"€ 57,692","€ 3,000,000","€ 3,000,000",F,31,Tunisia,Montpellier,france,2223
Martin Terrier,"€ 57,692","€ 3,000,000","€ 3,000,000",F,25,France,Rennes,france,2223
Vitinha,"€ 57,692","€ 3,000,000","€ 3,000,000",F,22,Portugal,Marseille,france,2223
Vanderson,"€ 57,692","€ 3,000,000","€ 3,000,000",D,21,Brazil,Monaco,france,2223
Krépin Diatta,"€ 57,500","€ 2,990,000","€ 2,990,000",F,23,Senegal,Monaco,france,2223
Arthur Theate,"€ 55,962","€ 2,910,000","€ 2,910,000",D,22,Belgium,Rennes,france,2223
Adrien Thomasson,"€ 55,962","€ 2,910,000","€ 2,910,000",F,29,France,Lens,france,2223
Nicolás Tagliafico,"€ 52,500","€ 2,730,000","€ 2,730,000",D,30,Argentina,Lyon,france,2223
Adam Ounas,"€ 52,500","€ 2,730,000","€ 2,730,000",F,26,Algeria,Lille,france,2223
Caio Henrique,"€ 51,923","€ 2,700,000","€ 2,700,000",D,25,Brazil,Monaco,france,2223
Morgan Sanson,"€ 50,000","€ 2,600,000","€ 2,600,000",M,28,France,Strasbourg,france,2223
Sead Kolasinac,"€ 49,615","€ 2,580,000","€ 2,580,000",D,29,Bosnia-Herzegovina,Marseille,france,2223
Sofiane Diop,"€ 49,038","€ 2,550,000","€ 2,550,000",F,22,France,Nice,france,2223
Andy Delort,"€ 48,462","€ 2,520,000","€ 2,520,000",F,30,Algeria,Nice,france,2223
Andy Delort,"€ 48,462","€ 2,520,000","€ 2,520,000",F,31,Algeria,Nantes,france,2223
Rubén Blanco,"€ 45,000","€ 2,340,000","€ 2,340,000",K,27,Spain,Marseille,france,2223
Benjamin Bourigeaud,"€ 43,846","€ 2,280,000","€ 2,280,000",M,29,France,Rennes,france,2223
Steve Mandanda,"€ 43,846","€ 2,280,000","€ 2,280,000",K,37,France,Rennes,france,2223
Samuel Gigot,"€ 43,654","€ 2,270,000","€ 2,270,000",D,29,France,Marseille,france,2223
Rony Lopes,"€ 42,308","€ 2,200,000","€ 2,200,000",F,27,Portugal,Troyes,france,2223
Benjamin André,"€ 41,538","€ 2,160,000","€ 2,160,000",M,32,France,Lille,france,2223
Hamari Traoré,"€ 41,538","€ 2,160,000","€ 2,160,000",D,31,Mali,Rennes,france,2223
Sergio Rico,"€ 39,423","€ 2,050,000","€ 2,050,000",K,29,Spain,PSG,france,2223
Pierre Lees-Melou,"€ 39,231","€ 2,040,000","€ 2,040,000",M,29,France,Brest,france,2223
Wesley Saïd,"€ 38,462","€ 2,000,000","€ 2,000,000",F,27,France,Lens,france,2223
Jonathan David,"€ 37,500","€ 1,950,000","€ 1,950,000",F,23,Canada,Lille,france,2223
Valère Germain,"€ 35,192","€ 1,830,000","€ 1,830,000",F,32,France,Montpellier,france,2223
Angelo Fulgini,"€ 35,000","€ 1,820,000","€ 1,820,000",F,26,France,Lens,france,2223
Yvon Mvogo,"€ 35,000","€ 1,820,000","€ 1,820,000",K,28,Switzerland,Lorient,france,2223
Ionut Radu,"€ 35,000","€ 1,820,000","€ 1,820,000",K,25,Romania,Auxerre,france,2223
Florian Sotoca,"€ 35,000","€ 1,820,000","€ 1,820,000",F,32,France,Lens,france,2223
Deiver Machado,"€ 35,000","€ 1,820,000","€ 1,820,000",D,29,Colombia,Lens,france,2223
Benjamin Lecomte,"€ 35,000","€ 1,820,000","€ 1,820,000",K,31,France,Montpellier,france,2223
Folarin Balogun,"€ 34,615","€ 1,800,000","€ 1,800,000",F,21,England,Reims,france,2223
Mohamed Bayo,"€ 34,615","€ 1,800,000","€ 1,800,000",F,24,Guinea,Lille,france,2223
Seko Fofana,"€ 34,615","€ 1,800,000","€ 1,800,000",M,27,Cote d'Ivoire,Lens,france,2223
Youcef Atal,"€ 34,615","€ 1,800,000","€ 1,800,000",D,26,Algeria,Nice,france,2223
Ismaily,"€ 34,615","€ 1,800,000","€ 1,800,000",D,33,Brazil,Lille,france,2223
Sofiane Boufal,"€ 34,615","€ 1,800,000","€ 1,800,000",F,28,Morocco,Angers,france,2223
Moses Simon,"€ 34,615","€ 1,800,000","€ 1,800,000",F,27,Nigeria,Nantes,france,2223
Joe Bryan,"€ 34,615","€ 1,800,000","€ 1,800,000",D,29,England,Nice,france,2223
Guillermo Maripán,"€ 34,615","€ 1,800,000","€ 1,800,000",D,28,Chile,Monaco,france,2223
Mostafa Mohamed,"€ 34,038","€ 1,770,000","€ 1,770,000",F,25,Egypt,Nantes,france,2223
José Fonte,"€ 32,308","€ 1,680,000","€ 1,680,000",D,39,Portugal,Lille,france,2223
Nuno Tavares,"€ 32,115","€ 1,670,000","€ 1,670,000",D,23,Portugal,Marseille,france,2223
Florent Mollet,"€ 31,538","€ 1,640,000","€ 1,640,000",F,31,France,Nantes,france,2223
João Victor,"€ 31,346","€ 1,630,000","€ 1,630,000",D,24,Brazil,Nantes,france,2223
Baptiste Santamaria,"€ 30,192","€ 1,570,000","€ 1,570,000",M,27,France,Rennes,france,2223
Birger Meling,"€ 30,000","€ 1,560,000","€ 1,560,000",D,28,Norway,Rennes,france,2223
Lovro Majer,"€ 30,000","€ 1,560,000","€ 1,560,000",F,25,Croatia,Rennes,france,2223
Ross Barkley,"€ 30,000","€ 1,560,000","€ 1,560,000",M,29,England,Nice,france,2223
Jérémy Doku,"€ 30,000","€ 1,560,000","€ 1,560,000",F,20,Belgium,Rennes,france,2223
Morgan Schneiderlin,"€ 29,615","€ 1,540,000","€ 1,540,000",M,32,France,Nice,france,2223
Karl Toko Ekambi,"€ 29,423","€ 1,530,000","€ 1,530,000",F,30,Cameroon,Rennes,france,2223
Karl Toko Ekambi,"€ 29,423","€ 1,530,000","€ 1,530,000",F,29,Cameroon,Lyon,france,2223
Ruben Aguilar,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,France,Monaco,france,2223
Luis Suárez,"€ 28,846","€ 1,500,000","€ 1,500,000",F,24,Colombia,Marseille,france,2223
Amin Sarr,"€ 28,846","€ 1,500,000","€ 1,500,000",F,21,Sweden,Lyon,france,2223
Pape Gueye,"€ 28,846","€ 1,500,000","€ 1,500,000",M,23,Senegal,Marseille,france,2223
Xeka,"€ 28,846","€ 1,500,000","€ 1,500,000",M,28,Portugal,Rennes,france,2223
Arnaud Kalimuendo,"€ 28,846","€ 1,500,000","€ 1,500,000",F,21,France,Rennes,france,2223
Benoît Costil,"€ 27,885","€ 1,450,000","€ 1,450,000",K,35,France,Auxerre,france,2223
Kévin Gameiro,"€ 27,692","€ 1,440,000","€ 1,440,000",F,35,France,Strasbourg,france,2223
Jordan Ferri,"€ 27,692","€ 1,440,000","€ 1,440,000",M,30,France,Montpellier,france,2223
Nuno Mendes,"€ 27,692","€ 1,440,000","€ 1,440,000",D,20,Portugal,PSG,france,2223
Rémy Cabella,"€ 27,692","€ 1,440,000","€ 1,440,000",F,32,France,Lille,france,2223
Jonathan Bamba,"€ 27,692","€ 1,440,000","€ 1,440,000",F,26,France,Lille,france,2223
Flavien Tait,"€ 27,692","€ 1,440,000","€ 1,440,000",M,29,France,Rennes,france,2223
Myron Boadu,"€ 27,115","€ 1,410,000","€ 1,410,000",F,22,Netherlands,Monaco,france,2223
Tetê,"€ 26,538","€ 1,380,000","€ 1,380,000",F,22,Brazil,Lyon,france,2223
Loïs Diony,"€ 26,154","€ 1,360,000","€ 1,360,000",F,30,France,Angers,france,2223
Youssouf Koné,"€ 26,154","€ 1,360,000","€ 1,360,000",D,27,Mali,Ajaccio,france,2223
Téji Savanier,"€ 25,385","€ 1,320,000","€ 1,320,000",F,31,France,Montpellier,france,2223
Nicolas Pallois,"€ 25,385","€ 1,320,000","€ 1,320,000",D,35,France,Nantes,france,2223
Frédéric Guilbert,"€ 24,615","€ 1,280,000","€ 1,280,000",D,28,France,Strasbourg,france,2223
Djed Spence,"€ 24,423","€ 1,270,000","€ 1,270,000",D,22,England,Rennes,france,2223
Jean-Victor Makengo,"€ 24,423","€ 1,270,000","€ 1,270,000",M,24,France,Lorient,france,2223
Hicham Boudaoui,"€ 24,423","€ 1,270,000","€ 1,270,000",M,23,Algeria,Nice,france,2223
Abdallah Sima,"€ 23,846","€ 1,240,000","€ 1,240,000",F,21,Senegal,Angers,france,2223
Alexis Claude-Maurice,"€ 23,077","€ 1,200,000","€ 1,200,000",F,24,France,Lens,france,2223
Romain Faivre,"€ 23,077","€ 1,200,000","€ 1,200,000",M,24,France,Lorient,france,2223
Edon Zhegrova,"€ 23,077","€ 1,200,000","€ 1,200,000",F,23,Kosovo,Lille,france,2223
Benoît Costil,"€ 23,077","€ 1,200,000","€ 1,200,000",K,35,France,Lille,france,2223
Romain Faivre,"€ 23,077","€ 1,200,000","€ 1,200,000",M,24,France,Lyon,france,2223
Paul Bernardoni,"€ 23,077","€ 1,200,000","€ 1,200,000",K,25,France,Angers,france,2223
Amine Gouiri,"€ 23,077","€ 1,200,000","€ 1,200,000",F,22,France,Rennes,france,2223
Yunis Abdelhamid,"€ 23,077","€ 1,200,000","€ 1,200,000",D,35,Morocco,Reims,france,2223
Mohamed Camara,"€ 23,077","€ 1,200,000","€ 1,200,000",M,23,Mali,Monaco,france,2223
Jeff Reine-Adélaïde,"€ 23,077","€ 1,200,000","€ 1,200,000",F,24,France,Lyon,france,2223
Jeffinho,"€ 23,077","€ 1,200,000","€ 1,200,000",F,23,Brazil,Lyon,france,2223
Brice Samba,"€ 23,077","€ 1,200,000","€ 1,200,000",K,28,France,Lens,france,2223
Junya Ito,"€ 23,077","€ 1,200,000","€ 1,200,000",F,29,Japan,Reims,france,2223
Jeff Reine-Adélaïde,"€ 23,077","€ 1,200,000","€ 1,200,000",F,25,France,Troyes,france,2223
