,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Kylian Mbappé,"€ 1,384,615","€ 72,000,000","€ 75,512,417",F,23,France,PSG,france,2122
Lionel Messi,"€ 1,223,846","€ 63,640,000","€ 66,744,587",F,34,Argentina,PSG,france,2122
Neymar,"€ 1,083,846","€ 56,360,000","€ 59,109,442",F,29,Brazil,PSG,france,2122
Keylor Navas,"€ 314,615","€ 16,360,000","€ 17,158,099",K,35,Costa Rica,PSG,france,2122
Mauro Icardi,"€ 279,808","€ 14,550,000","€ 15,259,801",F,28,Argentina,PSG,france,2122
Marco Verratti,"€ 276,923","€ 14,400,000","€ 15,102,483",M,29,Italy,PSG,france,2122
Ángel Di María,"€ 253,846","€ 13,200,000","€ 13,843,943",F,33,Argentina,PSG,france,2122
Georginio Wijnaldum,"€ 244,808","€ 12,730,000","€ 13,351,015",M,31,Netherlands,PSG,france,2122
Gianluigi Donnarumma,"€ 244,808","€ 12,730,000","€ 13,351,015",K,22,Italy,PSG,france,2122
Tanguy Ndombélé,"€ 237,308","€ 12,340,000","€ 12,941,989",M,25,France,Lyon,france,2122
Marquinhos,"€ 209,808","€ 10,910,000","€ 11,442,229",D,27,Brazil,PSG,france,2122
Sergio Ramos,"€ 209,615","€ 10,900,000","€ 11,431,741",D,35,Spain,PSG,france,2122
Achraf Hakimi,"€ 174,808","€ 9,090,000","€ 9,533,443",D,23,Morocco,PSG,france,2122
Leandro Paredes,"€ 173,077","€ 9,000,000","€ 9,439,052",M,27,Argentina,PSG,france,2122
Juan Bernat,"€ 168,462","€ 8,760,000","€ 9,187,344",D,28,Spain,PSG,france,2122
Ander Herrera,"€ 150,000","€ 7,800,000","€ 8,180,512",M,32,Spain,PSG,france,2122
Wissam Ben Yedder,"€ 150,000","€ 7,800,000","€ 8,180,512",F,31,France,Monaco,france,2122
Presnel Kimpembe,"€ 147,692","€ 7,680,000","€ 8,054,658",D,26,France,PSG,france,2122
Julian Draxler,"€ 138,462","€ 7,200,000","€ 7,551,242",F,28,Germany,PSG,france,2122
Cesc Fàbregas,"€ 138,462","€ 7,200,000","€ 7,551,242",M,34,Spain,Monaco,france,2122
Layvin Kurzawa,"€ 115,385","€ 6,000,000","€ 6,292,701",D,29,France,PSG,france,2122
Idrissa Gueye,"€ 115,385","€ 6,000,000","€ 6,292,701",M,32,Senegal,PSG,france,2122
Dimitri Payet,"€ 115,385","€ 6,000,000","€ 6,292,701",F,34,France,Marseille,france,2122
Abdou Diallo,"€ 103,846","€ 5,400,000","€ 5,663,431",D,25,Senegal,PSG,france,2122
Alexander Nübel,"€ 96,154","€ 5,000,000","€ 5,243,918",K,25,Germany,Monaco,france,2122
Thilo Kehrer,"€ 94,615","€ 4,920,000","€ 5,160,015",D,25,Germany,PSG,france,2122
Cédric Bakambu,"€ 92,308","€ 4,800,000","€ 5,034,161",F,30,Democratic Republic of the Congo,Marseille,france,2122
Jérôme Boateng,"€ 92,308","€ 4,800,000","€ 5,034,161",D,33,Germany,Lyon,france,2122
Arkadiusz Milik,"€ 92,308","€ 4,800,000","€ 5,034,161",F,27,Poland,Marseille,france,2122
Islam Slimani,"€ 87,692","€ 4,560,000","€ 4,782,453",F,33,Algeria,Lyon,france,2122
Dante,"€ 87,500","€ 4,550,000","€ 4,771,965",D,38,Brazil,Nice,france,2122
Anthony Lopes,"€ 80,769","€ 4,200,000","€ 4,404,891",K,31,Portugal,Lyon,france,2122
Xherdan Shaqiri,"€ 80,769","€ 4,200,000","€ 4,404,891",F,30,Switzerland,Lyon,france,2122
Gerson,"€ 76,923","€ 4,000,000","€ 4,195,134",M,24,Brazil,Marseille,france,2122
Cengiz Ünder,"€ 76,154","€ 3,960,000","€ 4,153,183",F,24,Turkey,Marseille,france,2122
Pau López,"€ 74,038","€ 3,850,000","€ 4,037,817",K,27,Spain,Marseille,france,2122
Mattéo Guendouzi,"€ 73,846","€ 3,840,000","€ 4,027,329",M,22,France,Marseille,france,2122
Justin Kluivert,"€ 71,538","€ 3,720,000","€ 3,901,475",F,22,Netherlands,Nice,france,2122
Houssem Aouar,"€ 71,538","€ 3,720,000","€ 3,901,475",M,23,France,Lyon,france,2122
Thiago Mendes,"€ 69,231","€ 3,600,000","€ 3,775,621",M,29,Brazil,Lyon,france,2122
Renato Sanches,"€ 69,231","€ 3,600,000","€ 3,775,621",M,24,Portugal,Lille,france,2122
Steve Mandanda,"€ 69,231","€ 3,600,000","€ 3,775,621",K,36,France,Marseille,france,2122
