,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Mauro Icardi,"€ 144,231","€ 7,500,000","€ 7,500,000",F,30,Argentina,Galatasaray,turkey,2324
Wilfried Zaha,"€ 104,615","€ 5,440,000","€ 5,440,000",F,31,Cote d'Ivoire,Galatasaray,turkey,2324
Fred,"€ 100,962","€ 5,250,000","€ 5,250,000",M,30,Brazil,Fenerbahce,turkey,2324
Dusan Tadic,"€ 100,962","€ 5,250,000","€ 5,250,000",F,35,Serbia,Fenerbahce,turkey,2324
Edin Dzeko,"€ 100,962","€ 5,250,000","€ 5,250,000",F,37,Bosnia-Herzegovina,Fenerbahce,turkey,2324
Jonjo Shelvey,"€ 92,308","€ 4,800,000","€ 4,800,000",M,31,England,Caykur Rizespor,turkey,2324
Hakim Ziyech,"€ 86,346","€ 4,490,000","€ 4,490,000",F,30,Morocco,Galatasaray,turkey,2324
Krzysztof Piatek,"€ 84,231","€ 4,380,000","€ 4,380,000",F,28,Poland,Basaksehir,turkey,2324
Davinson Sánchez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,27,Colombia,Galatasaray,turkey,2324
Tanguy Ndombélé,"€ 75,577","€ 3,930,000","€ 3,930,000",M,27,France,Galatasaray,turkey,2324
Michy Batshuayi,"€ 72,115","€ 3,750,000","€ 3,750,000",F,30,Belgium,Fenerbahce,turkey,2324
Dries Mertens,"€ 69,808","€ 3,630,000","€ 3,630,000",F,36,Belgium,Galatasaray,turkey,2324
Tetê,"€ 67,308","€ 3,500,000","€ 3,500,000",F,23,Brazil,Galatasaray,turkey,2324
Sérgio Oliveira,"€ 66,154","€ 3,440,000","€ 3,440,000",M,31,Portugal,Galatasaray,turkey,2324
Nicolò Zaniolo,"€ 66,154","€ 3,440,000","€ 3,440,000",F,24,Italy,Galatasaray,turkey,2324
Lucas Torreira,"€ 66,154","€ 3,440,000","€ 3,440,000",M,28,Uruguay,Galatasaray,turkey,2324
Ante Rebic,"€ 60,192","€ 3,130,000","€ 3,130,000",F,30,Croatia,Besiktas,turkey,2324
Sebastian Szymanski,"€ 60,192","€ 3,130,000","€ 3,130,000",F,24,Poland,Fenerbahce,turkey,2324
Vincent Aboubakar,"€ 60,192","€ 3,130,000","€ 3,130,000",F,32,Cameroon,Besiktas,turkey,2324
Al-Musrati,"€ 60,192","€ 3,130,000","€ 3,130,000",M,27,Libya,Besiktas,turkey,2324
Alex Oxlade-Chamberlain,"€ 60,192","€ 3,130,000","€ 3,130,000",M,30,England,Besiktas,turkey,2324
Joshua King,"€ 60,192","€ 3,130,000","€ 3,130,000",F,32,Norway,Fenerbahce,turkey,2324
Fernando Muslera,"€ 60,192","€ 3,130,000","€ 3,130,000",K,37,Uruguay,Galatasaray,turkey,2324
Rade Krunic,"€ 60,192","€ 3,130,000","€ 3,130,000",M,30,Bosnia-Herzegovina,Fenerbahce,turkey,2324
Rachid Ghezzal,"€ 60,192","€ 3,130,000","€ 3,130,000",F,31,Algeria,Besiktas,turkey,2324
Cengiz Ünder,"€ 60,192","€ 3,130,000","€ 3,130,000",F,26,Turkey,Fenerbahce,turkey,2324
Angeliño,"€ 55,385","€ 2,880,000","€ 2,880,000",D,26,Spain,Galatasaray,turkey,2324
Eric Bailly,"€ 55,385","€ 2,880,000","€ 2,880,000",D,29,Cote d'Ivoire,Besiktas,turkey,2324
Cenk Tosun,"€ 54,038","€ 2,810,000","€ 2,810,000",F,32,Turkey,Besiktas,turkey,2324
Emmanuel Dennis,"€ 49,038","€ 2,550,000","€ 2,550,000",F,25,Nigeria,Basaksehir,turkey,2324
Arthur Masuaku,"€ 49,038","€ 2,550,000","€ 2,550,000",D,30,Democratic Republic of the Congo,Besiktas,turkey,2324
Mario Balotelli,"€ 48,077","€ 2,500,000","€ 2,500,000",F,33,Italy,Adana Demirspor,turkey,2324
Milot Rashica,"€ 48,077","€ 2,500,000","€ 2,500,000",F,27,Kosovo,Besiktas,turkey,2324
Steven Nzonzi,"€ 48,077","€ 2,500,000","€ 2,500,000",M,35,France,Konyaspor,turkey,2324
Bright Osayi-Samuel,"€ 43,269","€ 2,250,000","€ 2,250,000",D,26,Nigeria,Fenerbahce,turkey,2324
Léo Dubois,"€ 43,269","€ 2,250,000","€ 2,250,000",D,29,France,Basaksehir,turkey,2324
Rodrigo Becão,"€ 43,269","€ 2,250,000","€ 2,250,000",D,28,Brazil,Fenerbahce,turkey,2324
Joe Worrall,"€ 43,269","€ 2,250,000","€ 2,250,000",D,27,England,Besiktas,turkey,2324
Daniel Amartey,"€ 43,269","€ 2,250,000","€ 2,250,000",D,29,Ghana,Besiktas,turkey,2324
Ernest Muci,"€ 43,269","€ 2,250,000","€ 2,250,000",F,22,Albania,Besiktas,turkey,2324
Ferdi Kadıoğlu,"€ 42,115","€ 2,190,000","€ 2,190,000",D,24,Turkey,Fenerbahce,turkey,2324
Nicolas Pépé,"€ 42,115","€ 2,190,000","€ 2,190,000",F,28,Cote d'Ivoire,Trabzonspor,turkey,2324
Paul Onuachu,"€ 41,923","€ 2,180,000","€ 2,180,000",F,29,Nigeria,Trabzonspor,turkey,2324
Gedson Fernandes,"€ 40,962","€ 2,130,000","€ 2,130,000",M,25,Portugal,Besiktas,turkey,2324
Ryan Kent,"€ 40,962","€ 2,130,000","€ 2,130,000",F,27,England,Fenerbahce,turkey,2324
Umut Bozok,"€ 40,962","€ 2,130,000","€ 2,130,000",F,27,Turkey,Trabzonspor,turkey,2324
Alexander Djiku,"€ 40,962","€ 2,130,000","€ 2,130,000",D,29,Ghana,Fenerbahce,turkey,2324
Ui-jo Hwang,"€ 39,615","€ 2,060,000","€ 2,060,000",F,31,South Korea,Alanyaspor,turkey,2324
Younès Belhanda,"€ 39,038","€ 2,030,000","€ 2,030,000",F,33,Morocco,Adana Demirspor,turkey,2324
Mislav Orsic,"€ 38,462","€ 2,000,000","€ 2,000,000",F,31,Croatia,Trabzonspor,turkey,2324
Dominik Livakovic,"€ 38,462","€ 2,000,000","€ 2,000,000",K,29,Croatia,Fenerbahce,turkey,2324
Trezeguet,"€ 37,308","€ 1,940,000","€ 1,940,000",F,29,Egypt,Trabzonspor,turkey,2324
Ömer Toprak,"€ 37,308","€ 1,940,000","€ 1,940,000",D,34,Turkey,Antalyaspor,turkey,2324
Cédric Bakambu,"€ 36,154","€ 1,880,000","€ 1,880,000",F,32,Democratic Republic of the Congo,Galatasaray,turkey,2324
Edin Visca,"€ 36,154","€ 1,880,000","€ 1,880,000",F,33,Bosnia-Herzegovina,Trabzonspor,turkey,2324
Jean Onana,"€ 36,154","€ 1,880,000","€ 1,880,000",M,23,Cameroon,Besiktas,turkey,2324
Benjamin Stambouli,"€ 36,154","€ 1,880,000","€ 1,880,000",M,33,France,Adana Demirspor,turkey,2324
Badou Ndiaye,"€ 36,154","€ 1,880,000","€ 1,880,000",M,32,Senegal,Adana Demirspor,turkey,2324
Çağlar Söyüncü,"€ 36,154","€ 1,880,000","€ 1,880,000",D,27,Turkey,Fenerbahce,turkey,2324
Batista Mendy,"€ 34,423","€ 1,790,000","€ 1,790,000",M,24,France,Trabzonspor,turkey,2324
Jonas Svensson,"€ 34,231","€ 1,780,000","€ 1,780,000",D,30,Norway,Adana Demirspor,turkey,2324
Omar Colley,"€ 33,654","€ 1,750,000","€ 1,750,000",D,31,The Gambia,Besiktas,turkey,2324
Valentin Rosier,"€ 33,654","€ 1,750,000","€ 1,750,000",D,27,France,Besiktas,turkey,2324
Pedrinho,"€ 33,269","€ 1,730,000","€ 1,730,000",M,31,Portugal,Ankaragucu,turkey,2324
Papy Djilobodji,"€ 32,885","€ 1,710,000","€ 1,710,000",D,35,Senegal,Gaziantep BB,turkey,2324
Joaquín Fernández,"€ 32,500","€ 1,690,000","€ 1,690,000",D,27,Spain,Trabzonspor,turkey,2324
Leonardo Bonucci,"€ 31,346","€ 1,630,000","€ 1,630,000",D,36,Italy,Fenerbahce,turkey,2324
Enis Bardhi,"€ 31,346","€ 1,630,000","€ 1,630,000",F,28,North Macedonia,Trabzonspor,turkey,2324
Uğurcan Çakır,"€ 31,346","€ 1,630,000","€ 1,630,000",K,27,Turkey,Trabzonspor,turkey,2324
Sam Larsson,"€ 31,346","€ 1,630,000","€ 1,630,000",F,30,Sweden,Antalyaspor,turkey,2324
Luan Peres,"€ 31,346","€ 1,630,000","€ 1,630,000",D,29,Brazil,Fenerbahce,turkey,2324
Emre Mor,"€ 30,000","€ 1,560,000","€ 1,560,000",F,26,Turkey,Karagumrukspor,turkey,2324
Emre Mor,"€ 30,000","€ 1,560,000","€ 1,560,000",F,26,Turkey,Fenerbahce,turkey,2324
Jamiro Monteiro,"€ 30,000","€ 1,560,000","€ 1,560,000",M,30,Cape Verde,Gaziantep BB,turkey,2324
Lucas Lima,"€ 29,423","€ 1,530,000","€ 1,530,000",D,32,Brazil,Basaksehir,turkey,2324
Alassane Ndao,"€ 28,846","€ 1,500,000","€ 1,500,000",F,26,Senegal,Istanbulspor,turkey,2324
Baktiyar Zaynutdinov,"€ 28,846","€ 1,500,000","€ 1,500,000",D,25,Kazakhstan,Besiktas,turkey,2324
Dorukhan Toköz,"€ 28,846","€ 1,500,000","€ 1,500,000",M,27,Turkey,Adana Demirspor,turkey,2324
Jens Stryger Larsen,"€ 28,846","€ 1,500,000","€ 1,500,000",D,32,Denmark,Trabzonspor,turkey,2324
Mert Müldür,"€ 28,846","€ 1,500,000","€ 1,500,000",D,24,Turkey,Fenerbahce,turkey,2324
Kerem Aktürkoğlu,"€ 28,462","€ 1,480,000","€ 1,480,000",F,25,Turkey,Galatasaray,turkey,2324
Amir Hadziahmetovic,"€ 27,885","€ 1,450,000","€ 1,450,000",M,26,Bosnia-Herzegovina,Besiktas,turkey,2324
Berat Özdemir,"€ 27,692","€ 1,440,000","€ 1,440,000",M,25,Turkey,Trabzonspor,turkey,2324
Naldo,"€ 26,731","€ 1,390,000","€ 1,390,000",D,35,Brazil,Antalyaspor,turkey,2324
Taxiarchis Fountas,"€ 26,731","€ 1,390,000","€ 1,390,000",F,28,Greece,Trabzonspor,turkey,2324
Paul Bernardoni,"€ 26,538","€ 1,380,000","€ 1,380,000",K,26,France,Konyaspor,turkey,2324
Emrecan Uzunhan,"€ 26,538","€ 1,380,000","€ 1,380,000",D,22,Turkey,Besiktas,turkey,2324
Filip Benkovic,"€ 26,538","€ 1,380,000","€ 1,380,000",D,26,Croatia,Trabzonspor,turkey,2324
Youcef Atal,"€ 25,962","€ 1,350,000","€ 1,350,000",D,27,Algeria,Adana Demirspor,turkey,2324
Adolfo Gaich,"€ 25,192","€ 1,310,000","€ 1,310,000",F,24,Argentina,Caykur Rizespor,turkey,2324
Abdülkadir Ömür,"€ 24,615","€ 1,280,000","€ 1,280,000",F,24,Turkey,Trabzonspor,turkey,2324
Landry Dimata,"€ 24,615","€ 1,280,000","€ 1,280,000",F,26,Belgium,Samsunspor,turkey,2324
Faouzi Ghoulam,"€ 24,615","€ 1,280,000","€ 1,280,000",D,33,Algeria,Hatayspor,turkey,2324
Mame Thiam,"€ 24,615","€ 1,280,000","€ 1,280,000",F,30,Senegal,Kayserispor,turkey,2324
Helton Leite,"€ 24,038","€ 1,250,000","€ 1,250,000",K,33,Brazil,Antalyaspor,turkey,2324
Sergio Córdova,"€ 24,038","€ 1,250,000","€ 1,250,000",F,26,Venezuela,Alanyaspor,turkey,2324
Okechukwu Azubuike,"€ 24,038","€ 1,250,000","€ 1,250,000",M,26,Nigeria,Caykur Rizespor,turkey,2324
Miguel Crespo,"€ 24,038","€ 1,250,000","€ 1,250,000",M,27,Portugal,Fenerbahce,turkey,2324
Miha Zajc,"€ 24,038","€ 1,250,000","€ 1,250,000",M,29,Slovenia,Fenerbahce,turkey,2324
Nélson Oliveira,"€ 24,038","€ 1,250,000","€ 1,250,000",F,32,Portugal,Konyaspor,turkey,2324
Kerem Demirbay,"€ 24,038","€ 1,250,000","€ 1,250,000",M,30,Germany,Galatasaray,turkey,2324
Mert Günok,"€ 24,038","€ 1,250,000","€ 1,250,000",K,34,Turkey,Besiktas,turkey,2324
Jonas Svensson,"€ 24,038","€ 1,250,000","€ 1,250,000",D,30,Norway,Besiktas,turkey,2324
Riccardo Saponara,"€ 24,038","€ 1,250,000","€ 1,250,000",F,32,Italy,Ankaragucu,turkey,2324
Jackson Muleka,"€ 24,038","€ 1,250,000","€ 1,250,000",F,24,Democratic Republic of the Congo,Besiktas,turkey,2324
Mijo Caktas,"€ 24,038","€ 1,250,000","€ 1,250,000",F,31,Croatia,Sivasspor,turkey,2324
Victor Nelsson,"€ 24,038","€ 1,250,000","€ 1,250,000",D,25,Denmark,Galatasaray,turkey,2324
Léo Duarte,"€ 24,038","€ 1,250,000","€ 1,250,000",D,27,Brazil,Basaksehir,turkey,2324
Nikola Maksimovic,"€ 24,038","€ 1,250,000","€ 1,250,000",D,32,Serbia,Hatayspor,turkey,2324
Rayane Aabid,"€ 24,038","€ 1,250,000","€ 1,250,000",M,32,France,Hatayspor,turkey,2324
Deniz Türüç,"€ 24,038","€ 1,250,000","€ 1,250,000",F,31,Turkey,Basaksehir,turkey,2324
Dimitrios Kourbelis,"€ 23,654","€ 1,230,000","€ 1,230,000",M,30,Greece,Karagumrukspor,turkey,2324
Dimitrios Kourbelis,"€ 23,654","€ 1,230,000","€ 1,230,000",M,29,Greece,Trabzonspor,turkey,2324
Ali Sowe,"€ 22,308","€ 1,160,000","€ 1,160,000",F,29,The Gambia,Ankaragucu,turkey,2324
Alexandru Maxim,"€ 22,308","€ 1,160,000","€ 1,160,000",F,33,Romania,Gaziantep BB,turkey,2324
Guilherme,"€ 22,115","€ 1,150,000","€ 1,150,000",D,33,Brazil,Konyaspor,turkey,2324
Olimpiu Moruţan,"€ 22,115","€ 1,150,000","€ 1,150,000",F,24,Romania,Ankaragucu,turkey,2324
Alexandru Cicâldău,"€ 21,731","€ 1,130,000","€ 1,130,000",F,26,Romania,Konyaspor,turkey,2324
Queensy Menig,"€ 21,731","€ 1,130,000","€ 1,130,000",F,28,Netherlands,Sivasspor,turkey,2324
