,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Harry Kane,"€ 480,769","€ 25,000,000","€ 25,000,000",F,30,England,Bayern Munich,germany,2324
Manuel Neuer,"€ 403,846","€ 21,000,000","€ 21,000,000",K,37,Germany,Bayern Munich,germany,2324
Joshua Kimmich,"€ 375,000","€ 19,500,000","€ 19,500,000",M,28,Germany,Bayern Munich,germany,2324
Serge Gnabry,"€ 362,885","€ 18,870,000","€ 18,870,000",F,28,Germany,Bayern Munich,germany,2324
Kingsley Coman,"€ 326,923","€ 17,000,000","€ 17,000,000",F,27,France,Bayern Munich,germany,2324
Matthijs de Ligt,"€ 307,692","€ 16,000,000","€ 16,000,000",D,24,Netherlands,Bayern Munich,germany,2324
Leroy Sané,"€ 288,462","€ 15,000,000","€ 15,000,000",F,28,Germany,Bayern Munich,germany,2324
Thomas Müller,"€ 288,462","€ 15,000,000","€ 15,000,000",F,34,Germany,Bayern Munich,germany,2324
Leon Goretzka,"€ 250,000","€ 13,000,000","€ 13,000,000",M,28,Germany,Bayern Munich,germany,2324
Min-jae Kim,"€ 230,769","€ 12,000,000","€ 12,000,000",D,27,South Korea,Bayern Munich,germany,2324
Alphonso Davies,"€ 216,346","€ 11,250,000","€ 11,250,000",D,23,Canada,Bayern Munich,germany,2324
Sébastien Haller,"€ 211,538","€ 11,000,000","€ 11,000,000",F,29,Cote d'Ivoire,Borussia Dortmund,germany,2324
Dayot Upamecano,"€ 192,308","€ 10,000,000","€ 10,000,000",D,25,France,Bayern Munich,germany,2324
Niklas Süle,"€ 192,308","€ 10,000,000","€ 10,000,000",D,28,Germany,Borussia Dortmund,germany,2324
Dani Olmo,"€ 181,346","€ 9,430,000","€ 9,430,000",F,25,Spain,Leipzig,germany,2324
Gregor Kobel,"€ 174,231","€ 9,060,000","€ 9,060,000",K,26,Switzerland,Borussia Dortmund,germany,2324
Konrad Laimer,"€ 173,077","€ 9,000,000","€ 9,000,000",M,26,Austria,Bayern Munich,germany,2324
Raphaël Guerreiro,"€ 153,846","€ 8,000,000","€ 8,000,000",D,30,Portugal,Bayern Munich,germany,2324
Emre Can,"€ 153,846","€ 8,000,000","€ 8,000,000",M,30,Germany,Borussia Dortmund,germany,2324
Noussair Mazraoui,"€ 153,846","€ 8,000,000","€ 8,000,000",D,26,Morocco,Bayern Munich,germany,2324
Benjamin Henrichs,"€ 145,192","€ 7,550,000","€ 7,550,000",D,27,Germany,Leipzig,germany,2324
David Raum,"€ 145,192","€ 7,550,000","€ 7,550,000",D,25,Germany,Leipzig,germany,2324
Thomas Meunier,"€ 144,231","€ 7,500,000","€ 7,500,000",D,31,Belgium,Borussia Dortmund,germany,2324
Marcel Sabitzer,"€ 144,231","€ 7,500,000","€ 7,500,000",M,29,Austria,Borussia Dortmund,germany,2324
