,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Aïssa Mandi,,"€ 38,462","€ 2,000,000","€ 500,000","Aug 1, 2024","Jun 30, 2026",1,"€ 2,000,000",,Starter,D,CB,34,Algeria,Lille,True,,france,2526
Angel Gomes,,"€ 38,462","€ 2,000,000","€ 500,000","Jul 4, 2025","Jun 30, 2028",3,"€ 6,000,000",,Reserve,F,AM,25,England,Marseille,False,,france,2526
Jérémie Boga,,"€ 38,462","€ 2,000,000","€ 500,000","Jul 25, 2023","Jun 30, 2027",2,"€ 4,000,000",,Reserve,F,LW,29,Cote d'Ivoire,Nice,False,,france,2526
Endrick,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 1, 2026","Jun 30, 2026",1,"€ 1,820,000",,Starter,F,CF,19,Brazil,Lyon,True,,france,2526
Anthony Rouault,,"€ 35,000","€ 1,820,000","€ 450,000","Feb 3, 2025","Jun 30, 2029",4,"€ 7,280,000",,Starter,D,CB,24,France,Rennes,True,,france,2526
Hugo Magnetti,,"€ 35,000","€ 1,820,000","€ 450,000","Mar 4, 2024","Jun 30, 2027",2,"€ 3,640,000",,Starter,M,CM,27,France,Brest,True,,france,2526
Samson Baidoo,,"€ 35,000","€ 1,820,000","€ 450,000","Jul 17, 2025","Jun 30, 2030",5,"€ 9,100,000",,Reserve,D,CB,21,Austria,Lens,True,,france,2526
Ilan Kebbal,,"€ 35,000","€ 1,820,000","€ 450,000","Oct 10, 2024","Jun 30, 2028",3,"€ 5,460,000",,Starter,F,RW,27,Algeria,Paris FC,True,,france,2526
Ismaël Doukouré,,"€ 35,000","€ 1,820,000","€ 450,000","Aug 20, 2025","Jun 30, 2028",3,"€ 5,460,000",,Starter,D,CB,22,France,Strasbourg,True,,france,2526
Yvon Mvogo,,"€ 35,000","€ 1,820,000","€ 450,000","Sep 1, 2025","Jun 30, 2027",2,"€ 3,640,000",,Starter,K,GK,31,Switzerland,Lorient,True,,france,2526
Romain Faivre,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 15, 2026","Jun 30, 2026",1,"€ 1,820,000",,Reserve,F,AM,27,France,Auxerre,True,,france,2526
Jessy Deminguet,,"€ 35,000","€ 1,820,000","€ 450,000","Jul 1, 2025","Jun 30, 2028",3,"€ 5,460,000",,Reserve,M,CM,28,France,Metz,True,,france,2526
Allan Saint-Maximin,,"€ 35,000","€ 1,820,000","€ 450,000","Feb 2, 2026","Jun 30, 2026",1,"€ 1,820,000",,Starter,F,LW,28,France,Lens,True,,france,2526
Dro Fernández,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 26, 2026","Jun 30, 2030",5,"€ 9,100,000",,Starter,F,AM,18,Spain,PSG,True,,france,2526
Saud Abdulhamid,,"€ 35,000","€ 1,820,000","€ 450,000","Aug 3, 2025","Jun 30, 2026",1,"€ 1,820,000",,Starter,D,RB,26,Saudi Arabia,Lens,True,,france,2526
Benjamin Stambouli,,"€ 35,000","€ 1,820,000","€ 450,000","Sep 10, 2024","Jun 30, 2026",1,"€ 1,820,000",,Reserve,M,DM,35,France,Metz,True,,france,2526
Hicham Boudaoui,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 25, 2023","Jun 30, 2027",2,"€ 3,640,000",,Reserve,M,CM,26,Algeria,Nice,True,,france,2526
Tiago Santos,,"€ 35,000","€ 1,820,000","€ 450,000","Oct 29, 2024","Jun 30, 2029",4,"€ 7,280,000",,Starter,D,RB,23,Portugal,Lille,True,,france,2526
Elye Wahi,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 1, 2026","Jun 30, 2026",1,"€ 1,820,000",,Reserve,F,CF,23,France,Nice,True,,france,2526
Nabil Bentaleb,,"€ 35,000","€ 1,820,000","€ 450,000","Aug 28, 2023","Jun 30, 2026",1,"€ 1,820,000",,Reserve,M,DM,31,Algeria,Lille,True,,france,2526
Dominik Greif,,"€ 35,000","€ 1,820,000","€ 450,000","Aug 18, 2025","Jun 30, 2029",4,"€ 7,280,000",,Starter,K,GK,28,Slovakia,Lyon,True,,france,2526
Kenny Lala,,"€ 35,000","€ 1,820,000","€ 450,000","Dec 11, 2024","Jun 30, 2027",2,"€ 3,640,000",,Starter,D,RB,34,France,Brest,True,,france,2526
Florian Sotoca,,"€ 35,000","€ 1,820,000","€ 450,000","Jan 24, 2023","Jun 30, 2026",1,"€ 1,820,000",,Reserve,F,CF,35,France,Lens,True,,france,2526
Carlens Arcus,,"€ 35,000","€ 1,820,000","€ 450,000","Jul 1, 2024","Jun 30, 2026",1,"€ 1,820,000",,Reserve,D,RB,29,Haiti,Angers,True,,france,2526
Mark McKenzie,,"€ 35,000","€ 1,820,000","€ 450,000","Aug 16, 2024","Jun 30, 2027",2,"€ 3,640,000",,Reserve,D,CB,26,United States,Toulouse,True,,france,2526
CJ Egan-Riley,,"€ 35,000","€ 1,820,000","€ 450,000","Jul 1, 2025","Jun 30, 2029",4,"€ 7,280,000",,Reserve,D,CB,23,England,Marseille,True,,france,2526
Philipp Köhn,,"€ 33,077","€ 1,720,000","€ 430,000","Jul 15, 2023","Jun 30, 2028",3,"€ 5,160,000",,Starter,K,GK,27,Switzerland,Monaco,True,,france,2526
Arthur Masuaku,,"€ 31,731","€ 1,650,000","€ 410,000","Jan 27, 2026","Jun 30, 2026",1,"€ 1,650,000",,Reserve,D,LB,32,Democratic Republic of the Congo,Lens,True,,france,2526
Jean-Victor Makengo,,"€ 31,538","€ 1,640,000","€ 410,000","Jan 30, 2023","Jun 30, 2027",2,"€ 3,280,000",,Reserve,F,AM,27,France,Lorient,True,,france,2526
Berke Özer,,"€ 31,538","€ 1,640,000","€ 410,000","Aug 14, 2025","Jun 30, 2029",4,"€ 6,560,000",,Starter,K,GK,25,Turkey,Lille,True,,france,2526
Jean-Philippe Gbamin,,"€ 31,538","€ 1,640,000","€ 410,000","Jul 15, 2025","Jun 30, 2026",1,"€ 1,640,000",,Starter,D,CB,30,Cote d'Ivoire,Metz,True,,france,2526
Rémy Descamps,,"€ 31,538","€ 1,640,000","€ 410,000","Aug 23, 2024","Jun 30, 2027",2,"€ 3,280,000",,Reserve,K,GK,29,France,Lyon,True,,france,2526
Boubacar Traoré,,"€ 31,538","€ 1,640,000","€ 410,000","Jul 24, 2025","Jun 30, 2026",1,"€ 1,640,000",,Starter,M,DM,24,Mali,Metz,True,,france,2526
Maxime Lopez,,"€ 31,538","€ 1,640,000","€ 410,000","Aug 29, 2024","Jun 30, 2027",2,"€ 3,280,000",,Reserve,M,DM,28,France,Paris FC,True,,france,2526
Jonathan Ikoné,,"€ 31,538","€ 1,640,000","€ 410,000","Sep 1, 2025","Jun 30, 2027",2,"€ 3,280,000",,Starter,F,RW,27,France,Paris FC,True,,france,2526
Aron Dønnum,,"€ 31,538","€ 1,640,000","€ 410,000","Sep 1, 2023","Jun 30, 2027",2,"€ 3,280,000",,Reserve,M,RM,27,Norway,Toulouse,True,,france,2526
Fabien Centonze,,"€ 31,538","€ 1,640,000","€ 410,000","Sep 22, 2022","Jun 30, 2027",2,"€ 3,280,000",,Starter,D,RB,30,France,Nantes,True,,france,2526
Joaquín Panichelli,,"€ 31,538","€ 1,640,000","€ 410,000","Jul 27, 2025","Jun 30, 2030",5,"€ 8,200,000",,Starter,F,CF,23,Argentina,Strasbourg,True,,france,2526
Moïse Bombito,,"€ 31,538","€ 1,640,000","€ 410,000","Aug 19, 2024","Jun 30, 2028",3,"€ 4,920,000",,Reserve,D,CB,25,Canada,Nice,True,,france,2526
Gideon Mensah,,"€ 31,538","€ 1,640,000","€ 410,000","Oct 3, 2024","Jun 30, 2026",1,"€ 1,640,000",,Reserve,D,LB,27,Ghana,Auxerre,True,,france,2526
Sékou Mara,,"€ 29,808","€ 1,550,000","€ 390,000","Sep 5, 2025","Jun 30, 2026",1,"€ 1,550,000",,Starter,F,CF,23,France,Auxerre,True,,france,2526
Neal Maupay,,"€ 29,808","€ 1,550,000","€ 390,000","Jul 1, 2025","Jun 30, 2028",3,"€ 4,650,000",,Reserve,F,CF,29,France,Marseille,False,,france,2526
Amine Harit,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2023","Jun 30, 2027",2,"€ 3,020,000",,Reserve,F,AM,28,Morocco,Marseille,False,,france,2526
Wout Faes,,"€ 28,654","€ 1,490,000","€ 370,000","Jan 13, 2026","Jun 30, 2026",1,"€ 1,490,000",,Starter,D,CB,27,Belgium,Monaco,True,,france,2526
Lukas Hradecky,,"€ 28,654","€ 1,490,000","€ 370,000","Aug 8, 2025","Jun 30, 2027",2,"€ 2,980,000",,Reserve,K,GK,36,Finland,Monaco,True,,france,2526
Willem Geubbels,,"€ 27,885","€ 1,450,000","€ 360,000","Aug 17, 2025","Jun 30, 2030",5,"€ 7,250,000",,Reserve,F,CF,24,France,Paris FC,True,,france,2526
Abdoulaye Touré,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 26, 2023","Jun 30, 2026",1,"€ 1,450,000",,Reserve,M,DM,31,Guinea,Le Havre,True,,france,2526
Gautier Lloris,,"€ 27,885","€ 1,450,000","€ 360,000","Oct 17, 2023","Jun 30, 2026",1,"€ 1,450,000",,Starter,D,CB,30,France,Le Havre,True,,france,2526
Chidozie Awaziem,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 23, 2025","Jun 30, 2028",3,"€ 4,350,000",,Starter,D,CB,29,Nigeria,Nantes,True,,france,2526
Jean-Philippe Krasso,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 6, 2024","Jun 30, 2027",2,"€ 2,900,000",,Reserve,F,CF,28,Cote d'Ivoire,Paris FC,True,,france,2526
Mohamed Bayo,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 13, 2022","Jun 30, 2027",2,"€ 2,900,000",,Reserve,F,CF,27,Guinea,Lille,False,,france,2526
Mohamed Abdelmonem,,"€ 27,885","€ 1,450,000","€ 360,000","Aug 29, 2024","Jun 30, 2028",3,"€ 4,350,000",,Reserve,D,CB,27,Egypt,Nice,True,,france,2526
Quentin Ndjantou,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 28, 2025","Jun 30, 2028",3,"€ 4,350,000",,Reserve,F,LW,18,France,PSG,True,,france,2526
Emanuel Emegha,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 22, 2023","Jun 30, 2028",3,"€ 4,350,000",,Reserve,F,CF,23,Netherlands,Strasbourg,True,,france,2526
Francisco Sierralta,,"€ 27,885","€ 1,450,000","€ 360,000","Jul 1, 2025","Jun 30, 2029",4,"€ 5,800,000",,Reserve,D,CB,28,Chile,Auxerre,True,,france,2526
Elisha Owusu,,"€ 27,885","€ 1,450,000","€ 360,000","Jun 26, 2024","Jun 30, 2027",2,"€ 2,900,000",,Starter,M,DM,28,Ghana,Auxerre,True,,france,2526
Hans Hateboer,,"€ 27,885","€ 1,450,000","€ 360,000","Oct 17, 2025","Jun 30, 2026",1,"€ 1,450,000",,Reserve,D,RB,32,Netherlands,Lyon,True,,france,2526
Kevin Carlos,,"€ 27,885","€ 1,450,000","€ 360,000","Aug 18, 2025","Jun 30, 2030",5,"€ 7,250,000",,Starter,F,CF,24,Spain,Nice,True,,france,2526
Calvin Verdonk,,"€ 27,885","€ 1,450,000","€ 360,000","Sep 1, 2025","Jun 30, 2028",3,"€ 4,350,000",,Starter,D,LB,28,Indonesia,Lille,True,,france,2526
Lamine Camara,,"€ 26,538","€ 1,380,000","€ 340,000","Jul 30, 2024","Jun 30, 2029",4,"€ 5,520,000",,Starter,M,CM,22,Senegal,Monaco,True,,france,2526
Joris Chotard,,"€ 26,154","€ 1,360,000","€ 340,000","Aug 23, 2025","Jun 30, 2029",4,"€ 5,440,000",,Starter,M,DM,24,France,Brest,True,,france,2526
Hákon Arnar Haraldsson,,"€ 26,154","€ 1,360,000","€ 340,000","Jan 24, 2026","Jun 30, 2030",5,"€ 6,800,000",,Reserve,F,AM,22,Iceland,Lille,True,,france,2526
Osame Sahraoui,,"€ 26,154","€ 1,360,000","€ 340,000","Aug 1, 2024","Jun 30, 2029",4,"€ 5,440,000",,Reserve,F,LW,24,Morocco,Lille,True,,france,2526
Isak Jansson,,"€ 26,154","€ 1,360,000","€ 340,000","Jul 10, 2025","Jun 30, 2026",1,"€ 1,360,000",,Reserve,F,LW,24,Sweden,Nice,True,,france,2526
Alidu Seidu,,"€ 26,154","€ 1,360,000","€ 340,000","Mar 28, 2025","Jun 30, 2029",4,"€ 5,440,000",,Reserve,D,CB,25,Ghana,Rennes,True,,france,2526
Simon Adingra,,"€ 25,385","€ 1,320,000","€ 330,000","Feb 2, 2026","Jun 30, 2026",1,"€ 1,320,000",,Starter,F,LW,24,Cote d'Ivoire,Monaco,True,,france,2526
Hamza Igamane,,"€ 24,423","€ 1,270,000","€ 320,000","Aug 29, 2025","Jun 30, 2030",5,"€ 6,350,000",,Reserve,F,CF,23,Morocco,Lille,True,,france,2526
Kelvin Amian,,"€ 24,423","€ 1,270,000","€ 320,000","Jan 25, 2024","Jun 30, 2028",3,"€ 3,810,000",,Reserve,D,RB,27,France,Nantes,True,,france,2526
Sebastian Nanasi,,"€ 24,423","€ 1,270,000","€ 320,000","Aug 23, 2024","Jun 30, 2029",4,"€ 5,080,000",,Reserve,M,LM,23,Sweden,Strasbourg,True,,france,2526
Mathieu Cafaro,,"€ 24,423","€ 1,270,000","€ 320,000","Feb 3, 2025","Jun 30, 2027",2,"€ 2,540,000",,Reserve,F,RW,28,France,Paris FC,True,,france,2526
Félix Correia,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 17, 2025","Jun 30, 2029",4,"€ 5,080,000",,Starter,F,LW,25,Portugal,Lille,True,,france,2526
Guela Doué,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 26, 2024","Jun 30, 2029",4,"€ 5,080,000",,Starter,D,RB,23,Cote d'Ivoire,Strasbourg,True,,france,2526
Hervé Koffi,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 1, 2025","Jun 30, 2026",1,"€ 1,270,000",,Starter,K,GK,29,Burkina Faso,Angers,True,,france,2526
Diego Moreira,,"€ 24,423","€ 1,270,000","€ 320,000","Aug 16, 2024","Jun 30, 2029",4,"€ 5,080,000",,Starter,M,LM,21,Belgium,Strasbourg,True,,france,2526
Donovan Léon,,"€ 24,423","€ 1,270,000","€ 320,000","Jan 17, 2025","Jun 30, 2027",2,"€ 2,540,000",,Starter,K,GK,33,French Guiana,Auxerre,True,,france,2526
Andrew Omobamidele,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 1, 2025","Jun 30, 2029",4,"€ 5,080,000",,Starter,D,CB,23,Ireland,Strasbourg,True,,france,2526
Pierre-Yves Hamel,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 1, 2022","Jun 30, 2026",1,"€ 1,270,000",,Reserve,F,CF,32,France,Paris FC,True,,france,2526
Arnaud Bodart,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 1, 2025","Jun 30, 2027",2,"€ 2,540,000",,Reserve,K,GK,27,Belgium,Lille,True,,france,2526
Bamo Meïté,,"€ 24,423","€ 1,270,000","€ 320,000","Sep 1, 2025","Jun 30, 2026",1,"€ 1,270,000",,Reserve,D,CB,24,Cote d'Ivoire,Lorient,True,,france,2526
Tyler Morton,,"€ 24,423","€ 1,270,000","€ 320,000","Aug 5, 2025","Jun 30, 2030",5,"€ 6,350,000",,Starter,M,DM,23,England,Lyon,True,,france,2526
Frank Magri,,"€ 24,423","€ 1,270,000","€ 320,000","Jul 21, 2023","Jun 30, 2026",1,"€ 1,270,000",,Reserve,F,CF,26,Cameroon,Toulouse,True,,france,2526
Christian Mawissa,,"€ 24,231","€ 1,260,000","€ 320,000","Aug 11, 2024","Jun 30, 2029",4,"€ 5,040,000",,Reserve,D,CB,20,France,Monaco,True,,france,2526
Matthis Abline,,"€ 22,692","€ 1,180,000","€ 300,000","Jul 3, 2024","Jun 30, 2028",3,"€ 3,540,000",,Reserve,F,CF,22,France,Nantes,True,,france,2526
Danny Loader,,"€ 22,692","€ 1,180,000","€ 300,000","Aug 17, 2025","Jun 30, 2026",1,"€ 1,180,000",,Starter,F,LW,25,Cameroon,Auxerre,True,,france,2526
Matías Fernández-Pardo,,"€ 22,692","€ 1,180,000","€ 300,000","Aug 30, 2024","Jun 30, 2029",4,"€ 4,720,000",,Starter,F,LW,21,Spain,Lille,True,,france,2526
Salis Abdul Samed,,"€ 22,692","€ 1,180,000","€ 300,000","Aug 14, 2025","Jun 30, 2028",3,"€ 3,540,000",,Reserve,M,DM,25,Ghana,Nice,True,,france,2526
Lassine Sinayoko,,"€ 22,692","€ 1,180,000","€ 300,000","Jan 23, 2026","Jun 30, 2027",2,"€ 2,360,000",,Starter,F,CF,26,Mali,Auxerre,True,,france,2526
Souleymane Isaak Touré,,"€ 22,692","€ 1,180,000","€ 300,000","Sep 1, 2023","Jun 30, 2028",3,"€ 3,540,000",,Reserve,D,CB,22,France,Lorient,True,,france,2526
Roman Yaremchuk,,"€ 21,923","€ 1,140,000","€ 280,000","Feb 2, 2026","Jun 30, 2026",1,"€ 1,140,000",,Reserve,F,CF,30,Ukraine,Lyon,True,,france,2526
Fodé Ballo-Touré,,"€ 20,962","€ 1,090,000","€ 270,000","Sep 3, 2025","Jun 30, 2026",1,"€ 1,090,000",,Starter,D,LB,29,Senegal,Metz,True,,france,2526
Lucas Høgsberg,,"€ 20,962","€ 1,090,000","€ 270,000","Aug 9, 2025","Jun 30, 2030",5,"€ 5,450,000",,Reserve,D,CB,19,Denmark,Strasbourg,True,,france,2526
Ayyoub Bouaddi,,"€ 20,962","€ 1,090,000","€ 270,000","Dec 5, 2025","Jun 30, 2029",4,"€ 4,360,000",,Starter,M,CM,18,France,Lille,True,,france,2526
Ruben Kluivert,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 25, 2025","Jun 30, 2030",5,"€ 5,450,000",,Starter,D,CB,24,Netherlands,Lyon,True,,france,2526
Maxime Colin,,"€ 20,962","€ 1,090,000","€ 270,000","Aug 13, 2024","Jun 30, 2027",2,"€ 2,180,000",,Reserve,D,RB,34,France,Metz,True,,france,2526
Aarón Anselmino,,"€ 20,962","€ 1,090,000","€ 270,000","Feb 2, 2026","Jun 30, 2026",1,"€ 1,090,000",,Reserve,D,CB,20,Argentina,Strasbourg,True,,france,2526
Montassar Talbi,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 18, 2022","Jun 30, 2027",2,"€ 2,180,000",,Starter,D,CB,27,Tunisia,Lorient,True,,france,2526
Tiago Gouveia,,"€ 20,962","€ 1,090,000","€ 270,000","Aug 31, 2025","Jun 30, 2026",1,"€ 1,090,000",,Reserve,F,RW,24,Portugal,Nice,True,,france,2526
Nouha Dicko,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 31, 2025","Jun 30, 2026",1,"€ 1,090,000",,Reserve,F,CF,33,Mali,Paris FC,True,,france,2526
Branco van den Boomen,,"€ 20,962","€ 1,090,000","€ 270,000","Jan 21, 2026","Jun 30, 2026",1,"€ 1,090,000",,Starter,M,CM,30,Netherlands,Angers,True,,france,2526
Sinaly Diomandé,,"€ 20,962","€ 1,090,000","€ 270,000","Aug 30, 2024","Jun 30, 2027",2,"€ 2,180,000",,Starter,D,CB,24,Cote d'Ivoire,Auxerre,True,,france,2526
Mohamed-Ali Cho,,"€ 20,962","€ 1,090,000","€ 270,000","Jan 8, 2024","Jun 30, 2028",3,"€ 3,270,000",,Starter,F,RW,22,France,Nice,True,,france,2526
Valentín Barco,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 2, 2025","Jun 30, 2029",4,"€ 4,360,000",,Starter,M,CM,21,Argentina,Strasbourg,True,,france,2526
Aiyegun Tosin,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 25, 2023","Jun 30, 2027",2,"€ 2,180,000",,Reserve,F,CF,27,Benin,Lorient,True,,france,2526
Naouirou Ahamada,,"€ 20,962","€ 1,090,000","€ 270,000","Jan 7, 2026","Jun 30, 2027",2,"€ 2,180,000",,Starter,M,CM,23,France,Auxerre,True,,france,2526
Josué Casimir,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 1, 2025","Jun 30, 2028",3,"€ 3,270,000",,Reserve,F,RW,24,Haiti,Auxerre,True,,france,2526
Rachid Ghezzal,,"€ 20,962","€ 1,090,000","€ 270,000","Sep 5, 2025","Jun 30, 2026",1,"€ 1,090,000",,Reserve,F,RW,33,Algeria,Lyon,True,,france,2526
Mathis Amougou,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 12, 2025","Jun 30, 2030",5,"€ 5,450,000",,Reserve,M,CM,20,France,Strasbourg,True,,france,2526
Ignatius Ganago,,"€ 20,962","€ 1,090,000","€ 270,000","Sep 13, 2023","Jun 30, 2027",2,"€ 2,180,000",,Starter,F,CF,26,Cameroon,Nantes,True,,france,2526
Cheikh Sabaly,,"€ 20,962","€ 1,090,000","€ 270,000","Jul 10, 2023","Jun 30, 2026",1,"€ 1,090,000",,Reserve,F,LW,26,Senegal,Metz,True,,france,2526
Ngal'ayel Mukau,,"€ 19,231","€ 1,000,000","€ 250,000","Jul 11, 2024","Jun 30, 2028",3,"€ 3,000,000",,Reserve,M,DM,21,Democratic Republic of the Congo,Lille,True,,france,2526
Cristian Cásseres Jr,,"€ 19,231","€ 1,000,000","€ 250,000","Jul 7, 2023","Jun 30, 2027",2,"€ 2,000,000",,Starter,M,CM,26,Venezuela,Toulouse,True,,france,2526
Terry Yegbe,,"€ 19,231","€ 1,000,000","€ 250,000","Aug 30, 2025","Jun 30, 2029",4,"€ 4,000,000",,Starter,D,CB,25,Ghana,Metz,True,,france,2526
Mike Penders,,"€ 19,231","€ 1,000,000","€ 250,000","Jul 28, 2025","Jun 30, 2026",1,"€ 1,000,000",,Starter,K,GK,20,Belgium,Strasbourg,True,,france,2526
Guillaume Restes,,"€ 19,231","€ 1,000,000","€ 250,000","Oct 31, 2023","Jun 30, 2028",3,"€ 3,000,000",,Starter,K,GK,20,France,Toulouse,True,,france,2526
Ulisses Garcia,,"€ 19,231","€ 1,000,000","€ 250,000","Jan 16, 2024","Jun 30, 2028",3,"€ 3,000,000",,Reserve,D,LB,29,Switzerland,Marseille,False,,france,2526
Djaoui Cissé,,"€ 19,231","€ 1,000,000","€ 250,000","Sep 26, 2025","Jun 30, 2030",5,"€ 5,000,000",,Reserve,M,CM,22,France,Rennes,True,,france,2526
Charlie Cresswell,,"€ 19,231","€ 1,000,000","€ 250,000","Jul 8, 2024","Jun 30, 2028",3,"€ 3,000,000",,Starter,D,CB,23,England,Toulouse,True,,france,2526
Soumaïla Coulibaly,,"€ 19,231","€ 1,000,000","€ 250,000","Oct 4, 2025","Jun 30, 2026",1,"€ 1,000,000",,Reserve,D,CB,22,France,Brest,True,,france,2526
Kévin Danois,,"€ 19,231","€ 1,000,000","€ 250,000","Oct 3, 2025","Jun 30, 2029",4,"€ 4,000,000",,Starter,M,CM,21,France,Auxerre,True,,france,2526
Kassoum Ouattara,,"€ 17,692","€ 920,000","€ 230,000","Nov 1, 2023","Jun 30, 2028",3,"€ 2,760,000",,Reserve,D,LB,21,France,Monaco,True,,france,2526
Timothée Kolodziejczak,,"€ 17,500","€ 910,000","€ 230,000","Jul 14, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,D,CB,34,France,Paris FC,True,,france,2526
Maxime Dupé,,"€ 17,500","€ 910,000","€ 230,000","Jan 28, 2024","Jun 30, 2026",1,"€ 910,000",,Starter,K,GK,32,France,Nice,True,,france,2526
Étienne Youté Kinkoué,,"€ 17,500","€ 910,000","€ 230,000","Sep 17, 2024","Jun 30, 2026",1,"€ 910,000",,Reserve,D,CB,24,France,Le Havre,True,,france,2526
Arouna Sangante,,"€ 17,500","€ 910,000","€ 230,000","Jul 27, 2023","Jun 30, 2026",1,"€ 910,000",,Reserve,D,CB,23,Senegal,Le Havre,True,,france,2526
Noah Cadiou,,"€ 17,500","€ 910,000","€ 230,000","Jul 4, 2025","Jun 30, 2029",4,"€ 3,640,000",,Starter,M,CM,27,Guadeloupe,Lorient,True,,france,2526
Nathaniel Adjei,,"€ 17,500","€ 910,000","€ 230,000","Jul 1, 2024","Jun 30, 2026",1,"€ 910,000",,Reserve,D,CB,23,Ghana,Lorient,True,,france,2526
Mohamed Bamba,,"€ 17,500","€ 910,000","€ 230,000","Jan 26, 2024","Jun 30, 2028",3,"€ 2,730,000",,Reserve,F,CF,24,Cote d'Ivoire,Lorient,True,,france,2526
Igor Silva,,"€ 17,500","€ 910,000","€ 230,000","Jul 23, 2021","Jun 30, 2026",1,"€ 910,000",,Starter,D,RB,29,Brazil,Lorient,True,,france,2526
Khalis Merah,,"€ 17,500","€ 910,000","€ 230,000","Aug 26, 2025","Jun 30, 2029",4,"€ 3,640,000",,Reserve,M,CM,18,France,Lyon,True,,france,2526
Bamba Dieng,,"€ 17,500","€ 910,000","€ 230,000","Jan 27, 2023","Jun 30, 2026",1,"€ 910,000",,Starter,F,CF,25,Senegal,Lorient,True,,france,2526
Himad Abdelli,,"€ 17,500","€ 910,000","€ 230,000","Feb 2, 2026","Jun 30, 2030",5,"€ 4,550,000",,Reserve,F,AM,26,Algeria,Marseille,True,,france,2526
Jeffrey de Lange,,"€ 17,500","€ 910,000","€ 230,000","Aug 8, 2024","Jun 30, 2027",2,"€ 1,820,000",,Reserve,K,GK,27,Netherlands,Marseille,True,,france,2526
Samir El Mourabet,,"€ 17,500","€ 910,000","€ 230,000","Nov 10, 2025","Jun 30, 2030",5,"€ 4,550,000",,Starter,M,CM,20,Morocco,Strasbourg,True,,france,2526
Nathan Ngoy,,"€ 17,500","€ 910,000","€ 230,000","Jul 24, 2025","Jun 30, 2029",4,"€ 3,640,000",,Starter,D,CB,22,Belgium,Lille,True,,france,2526
Marius Broholm,,"€ 17,500","€ 910,000","€ 230,000","Jul 1, 2025","Jun 30, 2030",5,"€ 4,550,000",,Reserve,F,RW,21,Norway,Lille,True,,france,2526
Bouna Sarr,,"€ 17,500","€ 910,000","€ 230,000","Feb 2, 2026","Jun 30, 2026",1,"€ 910,000",,Reserve,D,RB,34,Senegal,Metz,True,,france,2526
Martial Godo,,"€ 17,500","€ 910,000","€ 230,000","Sep 1, 2025","Jun 30, 2030",5,"€ 4,550,000",,Starter,F,LW,22,Cote d'Ivoire,Strasbourg,True,,france,2526
Joel Asoro,,"€ 17,500","€ 910,000","€ 230,000","Aug 24, 2023","Jun 30, 2027",2,"€ 1,820,000",,Reserve,F,RW,26,Sweden,Metz,True,,france,2526
Junior Mwanga,,"€ 17,500","€ 910,000","€ 230,000","Aug 8, 2023","Jun 30, 2027",2,"€ 1,820,000",,Reserve,M,DM,22,France,Strasbourg,True,,france,2526
Koffi Kouao,,"€ 17,500","€ 910,000","€ 230,000","Aug 12, 2022","Jun 30, 2026",1,"€ 910,000",,Starter,D,RB,27,Cote d'Ivoire,Metz,True,,france,2526
Florent Hanin,,"€ 17,500","€ 910,000","€ 230,000","Jul 3, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,D,LB,36,France,Angers,True,,france,2526
David Datro Fofana,,"€ 17,500","€ 910,000","€ 230,000","Feb 2, 2026","Jun 30, 2026",1,"€ 910,000",,Reserve,F,CF,23,Cote d'Ivoire,Strasbourg,True,,france,2526
