,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Robert Lewandowski,"€ 640,962","€ 33,330,000","€ 33,330,000",F,36,Poland,Barcelona,spain,2425
Kylian Mbappé,"€ 600,962","€ 31,250,000","€ 31,250,000",F,26,France,Real Madrid,spain,2425
Vinicius Junior,"€ 480,769","€ 25,000,000","€ 25,000,000",F,24,Brazil,Real Madrid,spain,2425
David Alaba,"€ 432,692","€ 22,500,000","€ 22,500,000",D,32,Austria,Real Madrid,spain,2425
Jan Oblak,"€ 400,577","€ 20,830,000","€ 20,830,000",K,32,Slovenia,Atletico Madrid,spain,2425
Jude Bellingham,"€ 400,577","€ 20,830,000","€ 20,830,000",F,21,England,Real Madrid,spain,2425
Frenkie de Jong,"€ 365,385","€ 19,000,000","€ 19,000,000",M,27,Netherlands,Barcelona,spain,2425
Federico Valverde,"€ 320,577","€ 16,670,000","€ 16,670,000",M,26,Uruguay,Real Madrid,spain,2425
Rodrygo,"€ 320,577","€ 16,670,000","€ 16,670,000",F,24,Brazil,Real Madrid,spain,2425
Raphinha,"€ 320,577","€ 16,670,000","€ 16,670,000",F,28,Brazil,Barcelona,spain,2425
Thibaut Courtois,"€ 288,462","€ 15,000,000","€ 15,000,000",K,32,Belgium,Real Madrid,spain,2425
Antonio Rüdiger,"€ 280,385","€ 14,580,000","€ 14,580,000",D,31,Germany,Real Madrid,spain,2425
Éder Militão,"€ 280,385","€ 14,580,000","€ 14,580,000",D,27,Brazil,Real Madrid,spain,2425
Ansu Fati,"€ 268,269","€ 13,950,000","€ 13,950,000",F,22,Spain,Barcelona,spain,2425
Jules Koundé,"€ 260,577","€ 13,550,000","€ 13,550,000",D,26,France,Barcelona,spain,2425
Aurélien Tchouaméni,"€ 240,385","€ 12,500,000","€ 12,500,000",M,25,France,Real Madrid,spain,2425
Antoine Griezmann,"€ 240,385","€ 12,500,000","€ 12,500,000",F,34,France,Atletico Madrid,spain,2425
Dani Olmo,"€ 240,385","€ 12,500,000","€ 12,500,000",F,26,Spain,Barcelona,spain,2425
Ronald Araujo,"€ 240,385","€ 12,500,000","€ 12,500,000",D,25,Uruguay,Barcelona,spain,2425
Eduardo Camavinga,"€ 240,385","€ 12,500,000","€ 12,500,000",M,22,France,Real Madrid,spain,2425
Pedri,"€ 240,385","€ 12,500,000","€ 12,500,000",M,22,Spain,Barcelona,spain,2425
Marc-André ter Stegen,"€ 240,385","€ 12,500,000","€ 12,500,000",K,32,Germany,Barcelona,spain,2425
Iñaki Williams,"€ 219,231","€ 11,400,000","€ 11,400,000",F,30,Ghana,Athletic Club,spain,2425
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 10,420,000",D,29,France,Real Madrid,spain,2425
Nico Williams,"€ 200,385","€ 10,420,000","€ 10,420,000",F,22,Spain,Athletic Club,spain,2425
Luka Modric,"€ 200,385","€ 10,420,000","€ 10,420,000",M,39,Croatia,Real Madrid,spain,2425
Julián Alvarez,"€ 200,385","€ 10,420,000","€ 10,420,000",F,25,Argentina,Atletico Madrid,spain,2425
