,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Cristiano Ronaldo,"€ 596,613","€ 31,023,864","€ 31,023,864",F,37,Portugal,Manchester United,england,2223
Kevin De Bruyne,"€ 463,389","€ 24,096,205","€ 24,096,205",F,31,Belgium,Manchester City,england,2223
David de Gea,"€ 434,427","€ 22,590,192","€ 22,590,192",K,32,Spain,Manchester United,england,2223
Erling Haaland,"€ 434,427","€ 22,590,192","€ 22,590,192",F,22,Norway,Manchester City,england,2223
Casemiro,"€ 405,465","€ 21,084,179","€ 21,084,179",M,30,Brazil,Manchester United,england,2223
Mohamed Salah,"€ 405,465","€ 21,084,179","€ 21,084,179",F,30,Egypt,Liverpool,england,2223
Raphaël Varane,"€ 393,880","€ 20,481,774","€ 20,481,774",D,29,France,Manchester United,england,2223
Raheem Sterling,"€ 376,503","€ 19,578,166","€ 19,578,166",F,28,England,Chelsea,england,2223
Jack Grealish,"€ 347,541","€ 18,072,154","€ 18,072,154",F,27,England,Manchester City,england,2223
Kalidou Koulibaly,"€ 341,749","€ 17,770,951","€ 17,770,951",D,31,Senegal,Chelsea,england,2223
N'Golo Kanté,"€ 335,957","€ 17,469,749","€ 17,469,749",M,31,France,Chelsea,england,2223
Gabriel Jesus,"€ 306,995","€ 15,963,736","€ 15,963,736",F,25,Brazil,Arsenal,england,2223
Anthony Martial,"€ 289,618","€ 15,060,128","€ 15,060,128",F,27,France,Manchester United,england,2223
Kai Havertz,"€ 289,618","€ 15,060,128","€ 15,060,128",F,23,Germany,Chelsea,england,2223
Jadon Sancho,"€ 289,618","€ 15,060,128","€ 15,060,128",F,22,England,Manchester United,england,2223
John Stones,"€ 289,618","€ 15,060,128","€ 15,060,128",D,28,England,Manchester City,england,2223
João Cancelo,"€ 289,618","€ 15,060,128","€ 15,060,128",D,28,Portugal,Manchester City,england,2223
Reece James,"€ 289,618","€ 15,060,128","€ 15,060,128",D,23,England,Chelsea,england,2223
Bruno Fernandes,"€ 278,033","€ 14,457,723","€ 14,457,723",F,28,Portugal,Manchester United,england,2223
Phil Foden,"€ 260,656","€ 13,554,115","€ 13,554,115",M,22,England,Manchester City,england,2223
Virgil van Dijk,"€ 254,864","€ 13,252,913","€ 13,252,913",D,31,Netherlands,Liverpool,england,2223
Rodri,"€ 254,864","€ 13,252,913","€ 13,252,913",M,26,Spain,Manchester City,england,2223
Marcel Sabitzer,"€ 243,279","€ 12,650,508","€ 12,650,508",M,28,Austria,Manchester United,england,2223
Marcus Rashford,"€ 231,694","€ 12,048,102","€ 12,048,102",F,25,England,Manchester United,england,2223
Wesley Fofana,"€ 231,694","€ 12,048,102","€ 12,048,102",D,22,France,Chelsea,england,2223
Thomas Partey,"€ 231,694","€ 12,048,102","€ 12,048,102",M,29,Ghana,Arsenal,england,2223
Jordan Henderson,"€ 231,694","€ 12,048,102","€ 12,048,102",M,32,England,Liverpool,england,2223
Ben Chilwell,"€ 231,694","€ 12,048,102","€ 12,048,102",D,26,England,Chelsea,england,2223
Harry Kane,"€ 231,694","€ 12,048,102","€ 12,048,102",F,29,England,Tottenham,england,2223
Thiago,"€ 231,694","€ 12,048,102","€ 12,048,102",M,31,Spain,Liverpool,england,2223
João Félix,"€ 225,902","€ 11,746,900","€ 11,746,900",F,23,Portugal,Chelsea,england,2223
Bukayo Saka,"€ 225,902","€ 11,746,900","€ 11,746,900",M,21,England,Arsenal,england,2223
Harry Maguire,"€ 220,110","€ 11,445,697","€ 11,445,697",D,29,England,Manchester United,england,2223
Heung-min Son,"€ 220,110","€ 11,445,697","€ 11,445,697",F,30,South Korea,Tottenham,england,2223
Roberto Firmino,"€ 208,525","€ 10,843,292","€ 10,843,292",F,31,Brazil,Liverpool,england,2223
Gabriel Martinelli,"€ 208,525","€ 10,843,292","€ 10,843,292",F,21,Brazil,Arsenal,england,2223
Enzo Fernández,"€ 208,525","€ 10,843,292","€ 10,843,292",M,22,Argentina,Chelsea,england,2223
César Azpilicueta,"€ 208,525","€ 10,843,292","€ 10,843,292",D,33,Spain,Chelsea,england,2223
Manuel Akanji,"€ 208,525","€ 10,843,292","€ 10,843,292",D,27,Switzerland,Manchester City,england,2223
Ivan Perisic,"€ 208,525","€ 10,843,292","€ 10,843,292",M,33,Croatia,Tottenham,england,2223
Trent Alexander-Arnold,"€ 208,525","€ 10,843,292","€ 10,843,292",D,24,England,Liverpool,england,2223
Rúben Dias,"€ 208,525","€ 10,843,292","€ 10,843,292",D,25,Portugal,Manchester City,england,2223
Fabinho,"€ 208,525","€ 10,843,292","€ 10,843,292",M,29,Brazil,Liverpool,england,2223
Marc Cucurella,"€ 202,733","€ 10,542,090","€ 10,542,090",D,24,Spain,Chelsea,england,2223
Cristian Romero,"€ 191,148","€ 9,939,685","€ 9,939,685",D,24,Argentina,Tottenham,england,2223
Kyle Walker,"€ 185,355","€ 9,638,482","€ 9,638,482",D,32,England,Manchester City,england,2223
Riyad Mahrez,"€ 185,355","€ 9,638,482","€ 9,638,482",F,31,Algeria,Manchester City,england,2223
Pierre-Emerick Aubameyang,"€ 185,355","€ 9,638,482","€ 9,638,482",F,33,Gabon,Chelsea,england,2223
Andrew Robertson,"€ 185,355","€ 9,638,482","€ 9,638,482",D,28,Scotland,Liverpool,england,2223
Oleksandr Zinchenko,"€ 173,771","€ 9,036,077","€ 9,036,077",D,26,Ukraine,Arsenal,england,2223
Lucas Paquetá,"€ 173,771","€ 9,036,077","€ 9,036,077",F,25,Brazil,West Ham,england,2223
Alisson,"€ 173,771","€ 9,036,077","€ 9,036,077",K,30,Brazil,Liverpool,england,2223
Bernardo Silva,"€ 173,771","€ 9,036,077","€ 9,036,077",F,28,Portugal,Manchester City,england,2223
Christian Pulisic,"€ 173,771","€ 9,036,077","€ 9,036,077",F,24,United States,Chelsea,england,2223
Kepa Arrizabalaga,"€ 173,771","€ 9,036,077","€ 9,036,077",K,28,Spain,Chelsea,england,2223
Christian Eriksen,"€ 173,771","€ 9,036,077","€ 9,036,077",M,30,Denmark,Manchester United,england,2223
Kalvin Phillips,"€ 173,771","€ 9,036,077","€ 9,036,077",M,27,England,Manchester City,england,2223
Luke Shaw,"€ 173,771","€ 9,036,077","€ 9,036,077",D,27,England,Manchester United,england,2223
Clément Lenglet,"€ 167,978","€ 8,734,874","€ 8,734,874",D,27,France,Tottenham,england,2223
Jamie Vardy,"€ 162,186","€ 8,433,672","€ 8,433,672",F,36,England,Leicester,england,2223
Darwin Núñez,"€ 162,186","€ 8,433,672","€ 8,433,672",F,23,Uruguay,Liverpool,england,2223
Diogo Jota,"€ 162,186","€ 8,433,672","€ 8,433,672",F,26,Portugal,Liverpool,england,2223
Ilkay Gündogan,"€ 162,186","€ 8,433,672","€ 8,433,672",M,32,Germany,Manchester City,england,2223
Wilfried Zaha,"€ 150,601","€ 7,831,267","€ 7,831,267",F,30,Cote d'Ivoire,Crystal Palace,england,2223
Kurt Zouma,"€ 144,809","€ 7,530,064","€ 7,530,064",D,28,France,West Ham,england,2223
Danny Ings,"€ 144,809","€ 7,530,064","€ 7,530,064",F,30,England,West Ham,england,2223
Philippe Coutinho,"€ 144,809","€ 7,530,064","€ 7,530,064",F,30,Brazil,Aston Villa,england,2223
Jordan Pickford,"€ 144,809","€ 7,530,064","€ 7,530,064",K,28,England,Everton,england,2223
Abdoulaye Doucouré,"€ 139,017","€ 7,228,861","€ 7,228,861",M,30,Mali,Everton,england,2223
Cody Gakpo,"€ 139,017","€ 7,228,861","€ 7,228,861",F,23,Netherlands,Liverpool,england,2223
Danny Ings,"€ 139,017","€ 7,228,861","€ 7,228,861",F,30,England,Aston Villa,england,2223
Emiliano Martínez,"€ 139,017","€ 7,228,861","€ 7,228,861",K,30,Argentina,Aston Villa,england,2223
Yerry Mina,"€ 139,017","€ 7,228,861","€ 7,228,861",D,28,Colombia,Everton,england,2223
Kieran Trippier,"€ 139,017","€ 7,228,861","€ 7,228,861",D,32,England,Newcastle,england,2223
Fred,"€ 139,017","€ 7,228,861","€ 7,228,861",M,29,Brazil,Manchester United,england,2223
Lucas Digne,"€ 139,017","€ 7,228,861","€ 7,228,861",D,29,France,Aston Villa,england,2223
Idrissa Gueye,"€ 139,017","€ 7,228,861","€ 7,228,861",M,33,Senegal,Everton,england,2223
John McGinn,"€ 139,017","€ 7,228,861","€ 7,228,861",M,28,Scotland,Aston Villa,england,2223
Donny van de Beek,"€ 139,017","€ 7,228,861","€ 7,228,861",M,25,Netherlands,Manchester United,england,2223
Bruno Guimarães,"€ 139,017","€ 7,228,861","€ 7,228,861",M,25,Brazil,Newcastle,england,2223
Alex Oxlade-Chamberlain,"€ 139,017","€ 7,228,861","€ 7,228,861",M,29,England,Liverpool,england,2223
Victor Lindelöf,"€ 139,017","€ 7,228,861","€ 7,228,861",D,28,Sweden,Manchester United,england,2223
Ruben Loftus-Cheek,"€ 139,017","€ 7,228,861","€ 7,228,861",M,27,England,Chelsea,england,2223
Ben White,"€ 139,017","€ 7,228,861","€ 7,228,861",D,25,England,Arsenal,england,2223
Alphonse Areola,"€ 139,017","€ 7,228,861","€ 7,228,861",K,29,France,West Ham,england,2223
Naby Keïta,"€ 139,017","€ 7,228,861","€ 7,228,861",M,27,Guinea,Liverpool,england,2223
Aymeric Laporte,"€ 139,017","€ 7,228,861","€ 7,228,861",D,28,Spain,Manchester City,england,2223
Boubacar Kamara,"€ 139,017","€ 7,228,861","€ 7,228,861",M,23,France,Aston Villa,england,2223
Granit Xhaka,"€ 139,017","€ 7,228,861","€ 7,228,861",M,30,Switzerland,Arsenal,england,2223
Aaron Ramsdale,"€ 139,017","€ 7,228,861","€ 7,228,861",K,25,England,Arsenal,england,2223
Lisandro Martínez,"€ 139,017","€ 7,228,861","€ 7,228,861",D,25,Argentina,Manchester United,england,2223
Alexander Isak,"€ 139,017","€ 7,228,861","€ 7,228,861",F,23,Sweden,Newcastle,england,2223
Martin Ødegaard,"€ 133,224","€ 6,927,659","€ 6,927,659",F,24,Norway,Arsenal,england,2223
Kieran Tierney,"€ 127,432","€ 6,626,456","€ 6,626,456",D,25,Scotland,Arsenal,england,2223
Thiago Silva,"€ 127,432","€ 6,626,456","€ 6,626,456",D,38,Brazil,Chelsea,england,2223
