,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Neymar,"€ 1,083,846","€ 56,360,000","€ 62,196,354",F,28,Brazil,PSG,france,2021
Kylian Mbappé,"€ 617,115","€ 32,090,000","€ 35,413,077",F,21,France,PSG,france,2021
Keylor Navas,"€ 314,615","€ 16,360,000","€ 18,054,158",K,34,Costa Rica,PSG,france,2021
Mauro Icardi,"€ 279,808","€ 14,550,000","€ 16,056,724",F,27,Argentina,PSG,france,2021
Marco Verratti,"€ 276,923","€ 14,400,000","€ 15,891,191",M,27,Italy,PSG,france,2021
Ángel Di María,"€ 253,846","€ 13,200,000","€ 14,566,925",F,32,Argentina,PSG,france,2021
Marquinhos,"€ 209,808","€ 10,910,000","€ 12,039,784",D,26,Brazil,PSG,france,2021
Leandro Paredes,"€ 173,077","€ 9,000,000","€ 9,931,994",M,26,Argentina,PSG,france,2021
Juan Bernat,"€ 168,462","€ 8,760,000","€ 9,667,141",D,27,Spain,PSG,france,2021
Wissam Ben Yedder,"€ 150,000","€ 7,800,000","€ 8,607,728",F,30,France,Monaco,france,2021
Ander Herrera,"€ 150,000","€ 7,800,000","€ 8,607,728",M,31,Spain,PSG,france,2021
Presnel Kimpembe,"€ 147,692","€ 7,680,000","€ 8,475,302",D,25,France,PSG,france,2021
Cesc Fàbregas,"€ 138,462","€ 7,200,000","€ 7,945,595",M,33,Spain,Monaco,france,2021
Julian Draxler,"€ 138,462","€ 7,200,000","€ 7,945,595",F,27,Germany,PSG,france,2021
Layvin Kurzawa,"€ 115,385","€ 6,000,000","€ 6,621,329",D,28,France,PSG,france,2021
Kevin Strootman,"€ 115,385","€ 6,000,000","€ 6,621,329",M,30,Netherlands,Marseille,france,2021
Dimitri Payet,"€ 115,385","€ 6,000,000","€ 6,621,329",F,33,France,Marseille,france,2021
Idrissa Gueye,"€ 115,385","€ 6,000,000","€ 6,621,329",M,31,Senegal,PSG,france,2021
Pablo Sarabia,"€ 103,846","€ 5,400,000","€ 5,959,196",F,28,Spain,PSG,france,2021
Abdou Diallo,"€ 103,846","€ 5,400,000","€ 5,959,196",D,24,France,PSG,france,2021
Gelson Martins,"€ 101,346","€ 5,270,000","€ 5,815,734",F,25,Portugal,Monaco,france,2021
Alessandro Florenzi,"€ 100,962","€ 5,250,000","€ 5,793,663",D,29,Italy,PSG,france,2021
Florian Thauvin,"€ 97,308","€ 5,060,000","€ 5,583,988",F,27,France,Marseille,france,2021
Memphis Depay,"€ 96,923","€ 5,040,000","€ 5,561,917",F,26,Netherlands,Lyon,france,2021
Thilo Kehrer,"€ 94,615","€ 4,920,000","€ 5,429,490",D,24,Germany,PSG,france,2021
Thiago Mendes,"€ 92,308","€ 4,800,000","€ 5,297,064",M,28,Brazil,Lyon,france,2021
Steven Nzonzi,"€ 92,308","€ 4,800,000","€ 5,297,064",M,31,France,Rennes,france,2021
Anthony Lopes,"€ 92,308","€ 4,800,000","€ 5,297,064",K,30,Portugal,Lyon,france,2021
Arkadiusz Milik,"€ 92,308","€ 4,800,000","€ 5,297,064",F,26,Poland,Marseille,france,2021
Islam Slimani,"€ 87,692","€ 4,560,000","€ 5,032,210",F,32,Algeria,Lyon,france,2021
Valère Germain,"€ 76,154","€ 3,960,000","€ 4,370,077",F,30,France,Marseille,france,2021
Jean Michaël Seri,"€ 72,308","€ 3,760,000","€ 4,149,366",M,29,Cote d'Ivoire,Bordeaux,france,2021
Steve Mandanda,"€ 69,231","€ 3,600,000","€ 3,972,798",K,35,France,Marseille,france,2021
Renato Sanches,"€ 69,231","€ 3,600,000","€ 3,972,798",M,23,Portugal,Lille,france,2021
Houssem Aouar,"€ 69,231","€ 3,600,000","€ 3,972,798",M,22,France,Lyon,france,2021
Aleksandr Golovin,"€ 69,231","€ 3,600,000","€ 3,972,798",F,24,Russia,Monaco,france,2021
Kevin Volland,"€ 69,231","€ 3,600,000","€ 3,972,798",F,28,Germany,Monaco,france,2021
Clément Grenier,"€ 64,615","€ 3,360,000","€ 3,707,944",M,29,France,Rennes,france,2021
Jemerson,"€ 64,615","€ 3,360,000","€ 3,707,944",D,28,Brazil,Monaco,france,2021
Lucas Paquetá,"€ 62,500","€ 3,250,000","€ 3,586,553",F,23,Brazil,Lyon,france,2021
Rafinha,"€ 62,500","€ 3,250,000","€ 3,586,553",F,27,Brazil,PSG,france,2021
Djibril Sidibé,"€ 61,731","€ 3,210,000","€ 3,542,411",D,28,France,Monaco,france,2021
Danilo Pereira,"€ 61,538","€ 3,200,000","€ 3,531,376",M,29,Portugal,PSG,france,2021
Moussa Dembélé,"€ 60,000","€ 3,120,000","€ 3,443,091",F,24,France,Lyon,france,2021
Jesé,"€ 59,808","€ 3,110,000","€ 3,432,056",F,27,Spain,PSG,france,2021
Darío Benedetto,"€ 59,615","€ 3,100,000","€ 3,421,020",F,30,Argentina,Marseille,france,2021
Benjamin Lecomte,"€ 59,423","€ 3,090,000","€ 3,409,985",K,29,France,Monaco,france,2021
Jordan Amavi,"€ 57,692","€ 3,000,000","€ 3,310,665",D,26,France,Marseille,france,2021
Krépin Diatta,"€ 57,692","€ 3,000,000","€ 3,310,665",F,21,Senegal,Monaco,france,2021
Kasper Dolberg,"€ 57,692","€ 3,000,000","€ 3,310,665",F,23,Denmark,Nice,france,2021
Laurent Koscielny,"€ 55,385","€ 2,880,000","€ 3,178,238",D,35,France,Bordeaux,france,2021
M'Baye Niang,"€ 50,769","€ 2,640,000","€ 2,913,385",F,25,Senegal,Rennes,france,2021
Jason Denayer,"€ 50,577","€ 2,630,000","€ 2,902,349",D,25,Belgium,Lyon,france,2021
Stevan Jovetic,"€ 47,692","€ 2,480,000","€ 2,736,816",F,30,Montenegro,Monaco,france,2021
Marcelo,"€ 46,346","€ 2,410,000","€ 2,659,567",D,33,Brazil,Lyon,france,2021
Bruno Guimarães,"€ 46,154","€ 2,400,000","€ 2,648,532",M,22,Brazil,Lyon,france,2021
William Saliba,"€ 44,423","€ 2,310,000","€ 2,549,212",D,19,France,Nice,france,2021
Frédéric Guilbert,"€ 44,423","€ 2,310,000","€ 2,549,212",D,26,France,Strasbourg,france,2021
Ryad Boudebouz,"€ 43,846","€ 2,280,000","€ 2,516,105",F,30,Algeria,St-Etienne,france,2021
Caio Henrique,"€ 42,115","€ 2,190,000","€ 2,416,785",D,23,Brazil,Monaco,france,2021
Burak Yilmaz,"€ 42,115","€ 2,190,000","€ 2,416,785",F,35,Turkey,Lille,france,2021
Stéphane Ruffier,"€ 41,538","€ 2,160,000","€ 2,383,679",K,34,France,St-Etienne,france,2021
Hamari Traoré,"€ 41,538","€ 2,160,000","€ 2,383,679",D,28,Mali,Rennes,france,2021
Benoît Costil,"€ 41,538","€ 2,160,000","€ 2,383,679",K,33,France,Bordeaux,france,2021
Serhou Guirassy,"€ 41,538","€ 2,160,000","€ 2,383,679",F,24,France,Rennes,france,2021
Maxwel Cornet,"€ 41,000","€ 2,132,000","€ 2,352,779",F,24,Cote d'Ivoire,Lyon,france,2021
Sergio Rico,"€ 39,423","€ 2,050,000","€ 2,262,288",K,27,Spain,PSG,france,2021
Léo Dubois,"€ 38,077","€ 1,980,000","€ 2,185,039",D,26,France,Lyon,france,2021
Mattia De Sciglio,"€ 37,885","€ 1,970,000","€ 2,174,003",D,28,Italy,Lyon,france,2021
Jonathan David,"€ 37,500","€ 1,950,000","€ 2,151,932",F,20,Canada,Lille,france,2021
Moise Kean,"€ 35,577","€ 1,850,000","€ 2,041,577",F,20,Italy,PSG,france,2021
Duje Caleta-Car,"€ 34,808","€ 1,810,000","€ 1,997,434",D,24,Croatia,Marseille,france,2021
Otávio,"€ 34,615","€ 1,800,000","€ 1,986,399",M,26,Brazil,Bordeaux,france,2021
Youcef Atal,"€ 34,615","€ 1,800,000","€ 1,986,399",D,24,Algeria,Nice,france,2021
Sofiane Boufal,"€ 34,615","€ 1,800,000","€ 1,986,399",F,27,Morocco,Angers,france,2021
Nicolas de Préville,"€ 34,615","€ 1,800,000","€ 1,986,399",F,29,France,Bordeaux,france,2021
Moses Simon,"€ 34,615","€ 1,800,000","€ 1,986,399",F,25,Nigeria,Nantes,france,2021
Rony Lopes,"€ 34,231","€ 1,780,000","€ 1,964,328",F,24,Portugal,Nice,france,2021
Konstantinos Mitroglou,"€ 33,846","€ 1,760,000","€ 1,942,257",F,32,Greece,Marseille,france,2021
Valentin Rongier,"€ 33,077","€ 1,720,000","€ 1,898,114",M,25,France,Marseille,france,2021
José Fonte,"€ 32,308","€ 1,680,000","€ 1,853,972",D,36,Portugal,Lille,france,2021
Adrien Hunou,"€ 32,308","€ 1,680,000","€ 1,853,972",F,26,France,Rennes,france,2021
Benjamin Bourigeaud,"€ 32,308","€ 1,680,000","€ 1,853,972",M,26,France,Rennes,france,2021
Morgan Sanson,"€ 31,923","€ 1,660,000","€ 1,831,901",M,26,France,Marseille,france,2021
Pol Lirola,"€ 31,346","€ 1,630,000","€ 1,798,794",D,23,Spain,Marseille,france,2021
Adama Soumaoro,"€ 30,385","€ 1,580,000","€ 1,743,617",D,28,France,Lille,france,2021
Seko Fofana,"€ 30,000","€ 1,560,000","€ 1,721,546",M,25,Cote d'Ivoire,Lens,france,2021
Benjamin André,"€ 30,000","€ 1,560,000","€ 1,721,546",M,30,France,Lille,france,2021
Jérémy Doku,"€ 30,000","€ 1,560,000","€ 1,721,546",F,18,Belgium,Rennes,france,2021
Morgan Schneiderlin,"€ 29,615","€ 1,540,000","€ 1,699,475",M,30,France,Nice,france,2021
Florent Mollet,"€ 29,423","€ 1,530,000","€ 1,688,439",F,28,France,Montpellier,france,2021
Karl Toko Ekambi,"€ 29,423","€ 1,530,000","€ 1,688,439",F,28,Cameroon,Lyon,france,2021
Dante,"€ 28,846","€ 1,500,000","€ 1,655,332",D,37,Brazil,Nice,france,2021
Pape Gueye,"€ 28,846","€ 1,500,000","€ 1,655,332",M,21,France,Marseille,france,2021
Kalifa Coulibaly,"€ 28,846","€ 1,500,000","€ 1,655,332",F,29,Mali,Nantes,france,2021
Mathieu Debuchy,"€ 28,846","€ 1,500,000","€ 1,655,332",D,35,France,St-Etienne,france,2021
Michaël Cuisance,"€ 28,846","€ 1,500,000","€ 1,655,332",M,21,France,Marseille,france,2021
Orestis Karnezis,"€ 28,462","€ 1,480,000","€ 1,633,261",K,35,Greece,Lille,france,2021
Kévin Monnet-Paquet,"€ 28,077","€ 1,460,000","€ 1,611,190",F,32,France,St-Etienne,france,2021
