,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Kevin De Bruyne,"€ 463,389","€ 24,096,205","€ 24,096,205",F,32,Belgium,Manchester City,england,2324
Erling Haaland,"€ 434,427","€ 22,590,192","€ 22,590,192",F,23,Norway,Manchester City,england,2324
Casemiro,"€ 405,465","€ 21,084,179","€ 21,084,179",M,31,Brazil,Manchester United,england,2324
Mohamed Salah,"€ 405,465","€ 21,084,179","€ 21,084,179",F,31,Egypt,Liverpool,england,2324
Raphaël Varane,"€ 393,880","€ 20,481,774","€ 20,481,774",D,30,France,Manchester United,england,2324
Raheem Sterling,"€ 376,503","€ 19,578,166","€ 19,578,166",F,29,England,Chelsea,england,2324
Marcus Rashford,"€ 347,541","€ 18,072,154","€ 18,072,154",F,26,England,Manchester United,england,2324
Jack Grealish,"€ 347,541","€ 18,072,154","€ 18,072,154",F,28,England,Manchester City,england,2324
Bernardo Silva,"€ 347,541","€ 18,072,154","€ 18,072,154",F,29,Portugal,Manchester City,england,2324
Kai Havertz,"€ 324,372","€ 16,867,343","€ 16,867,343",F,24,Germany,Arsenal,england,2324
Gabriel Jesus,"€ 306,995","€ 15,963,736","€ 15,963,736",F,26,Brazil,Arsenal,england,2324
Anthony Martial,"€ 289,618","€ 15,060,128","€ 15,060,128",F,28,France,Manchester United,england,2324
Reece James,"€ 289,618","€ 15,060,128","€ 15,060,128",D,24,England,Chelsea,england,2324
John Stones,"€ 289,618","€ 15,060,128","€ 15,060,128",D,29,England,Manchester City,england,2324
Declan Rice,"€ 278,033","€ 14,457,723","€ 14,457,723",M,25,England,Arsenal,england,2324
Martin Ødegaard,"€ 278,033","€ 14,457,723","€ 14,457,723",F,25,Norway,Arsenal,england,2324
Bruno Fernandes,"€ 278,033","€ 14,457,723","€ 14,457,723",F,29,Portugal,Manchester United,england,2324
Phil Foden,"€ 260,656","€ 13,554,115","€ 13,554,115",F,23,England,Manchester City,england,2324
Rodri,"€ 254,864","€ 13,252,913","€ 13,252,913",M,27,Spain,Manchester City,england,2324
Virgil van Dijk,"€ 254,864","€ 13,252,913","€ 13,252,913",D,32,Netherlands,Liverpool,england,2324
Mason Mount,"€ 231,694","€ 12,048,102","€ 12,048,102",F,25,England,Manchester United,england,2324
Josko Gvardiol,"€ 231,694","€ 12,048,102","€ 12,048,102",D,22,Croatia,Manchester City,england,2324
Thiago,"€ 231,694","€ 12,048,102","€ 12,048,102",M,32,Spain,Liverpool,england,2324
Ben Chilwell,"€ 231,694","€ 12,048,102","€ 12,048,102",D,27,England,Chelsea,england,2324
Wesley Fofana,"€ 231,694","€ 12,048,102","€ 12,048,102",D,23,France,Chelsea,england,2324
Thomas Partey,"€ 231,694","€ 12,048,102","€ 12,048,102",M,30,Ghana,Arsenal,england,2324
Jadon Sancho,"€ 225,902","€ 11,746,900","€ 11,746,900",F,23,England,Manchester United,england,2324
Bukayo Saka,"€ 225,902","€ 11,746,900","€ 11,746,900",F,22,England,Arsenal,england,2324
Christopher Nkunku,"€ 225,902","€ 11,746,900","€ 11,746,900",F,26,France,Chelsea,england,2324
William Saliba,"€ 220,110","€ 11,445,697","€ 11,445,697",D,22,France,Arsenal,england,2324
Heung-min Son,"€ 220,110","€ 11,445,697","€ 11,445,697",F,31,South Korea,Tottenham,england,2324
Harry Maguire,"€ 220,110","€ 11,445,697","€ 11,445,697",D,30,England,Manchester United,england,2324
Enzo Fernández,"€ 208,525","€ 10,843,292","€ 10,843,292",M,23,Argentina,Chelsea,england,2324
Rúben Dias,"€ 208,525","€ 10,843,292","€ 10,843,292",D,26,Portugal,Manchester City,england,2324
Gabriel Martinelli,"€ 208,525","€ 10,843,292","€ 10,843,292",F,22,Brazil,Arsenal,england,2324
Ivan Perisic,"€ 208,525","€ 10,843,292","€ 10,843,292",M,34,Croatia,Tottenham,england,2324
Trent Alexander-Arnold,"€ 208,525","€ 10,843,292","€ 10,843,292",D,25,England,Liverpool,england,2324
Manuel Akanji,"€ 208,525","€ 10,843,292","€ 10,843,292",D,28,Switzerland,Manchester City,england,2324
Kyle Walker,"€ 202,733","€ 10,542,090","€ 10,542,090",D,33,England,Manchester City,england,2324
Marc Cucurella,"€ 202,733","€ 10,542,090","€ 10,542,090",D,25,Spain,Chelsea,england,2324
James Maddison,"€ 196,940","€ 10,240,887","€ 10,240,887",F,27,England,Tottenham,england,2324
Cristian Romero,"€ 191,148","€ 9,939,685","€ 9,939,685",D,25,Argentina,Tottenham,england,2324
Timo Werner,"€ 191,148","€ 9,939,685","€ 9,939,685",F,27,Germany,Tottenham,england,2324
Ansu Fati,"€ 185,355","€ 9,638,482","€ 9,638,482",F,21,Spain,Brighton,england,2324
Bruno Guimarães,"€ 185,355","€ 9,638,482","€ 9,638,482",M,26,Brazil,Newcastle,england,2324
Andrew Robertson,"€ 185,355","€ 9,638,482","€ 9,638,482",D,29,Scotland,Liverpool,england,2324
Nathan Aké,"€ 185,355","€ 9,638,482","€ 9,638,482",D,28,Netherlands,Manchester City,england,2324
Alisson,"€ 173,771","€ 9,036,077","€ 9,036,077",K,31,Brazil,Liverpool,england,2324
Ben White,"€ 173,771","€ 9,036,077","€ 9,036,077",D,26,England,Arsenal,england,2324
