,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Dusan Vlahovic,"€ 249,231","€ 12,960,000","€ 12,960,000",F,23,Serbia,Juventus,italy,2223
Samuel Umtiti,"€ 236,731","€ 12,310,000","€ 12,310,000",D,29,France,Lecce,italy,2223
Wojciech Szczesny,"€ 231,538","€ 12,040,000","€ 12,040,000",K,33,Poland,Juventus,italy,2223
Leonardo Bonucci,"€ 231,538","€ 12,040,000","€ 12,040,000",D,35,Italy,Juventus,italy,2223
Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,110,000",F,25,Argentina,Inter Milan,italy,2223
Alex Sandro,"€ 213,654","€ 11,110,000","€ 11,110,000",D,32,Brazil,Juventus,italy,2223
Marcelo Brozovic,"€ 213,654","€ 11,110,000","€ 11,110,000",M,30,Croatia,Inter Milan,italy,2223
Romelu Lukaku,"€ 209,615","€ 10,900,000","€ 10,900,000",F,29,Belgium,Inter Milan,italy,2223
Paul Pogba,"€ 197,308","€ 10,260,000","€ 10,260,000",M,29,France,Juventus,italy,2223
Nicolò Barella,"€ 178,077","€ 9,260,000","€ 9,260,000",M,25,Italy,Inter Milan,italy,2223
Juan Cuadrado,"€ 178,077","€ 9,260,000","€ 9,260,000",M,34,Colombia,Juventus,italy,2223
Federico Chiesa,"€ 178,077","€ 9,260,000","€ 9,260,000",F,25,Italy,Juventus,italy,2223
Bremer,"€ 178,077","€ 9,260,000","€ 9,260,000",D,25,Brazil,Juventus,italy,2223
Hakan Calhanoglu,"€ 178,077","€ 9,260,000","€ 9,260,000",M,28,Turkey,Inter Milan,italy,2223
Edin Dzeko,"€ 178,077","€ 9,260,000","€ 9,260,000",F,36,Bosnia-Herzegovina,Inter Milan,italy,2223
Georginio Wijnaldum,"€ 178,077","€ 9,260,000","€ 9,260,000",M,32,Netherlands,Roma,italy,2223
Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 8,970,000",M,28,France,Juventus,italy,2223
Leandro Paredes,"€ 172,500","€ 8,970,000","€ 8,970,000",M,28,Argentina,Juventus,italy,2223
Ángel Di María,"€ 147,885","€ 7,690,000","€ 7,690,000",F,34,Argentina,Juventus,italy,2223
Nemanja Matić,"€ 142,500","€ 7,410,000","€ 7,410,000",M,34,Serbia,Roma,italy,2223
Ciro Immobile,"€ 142,500","€ 7,410,000","€ 7,410,000",F,32,Italy,Lazio,italy,2223
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,30,Netherlands,Inter Milan,italy,2223
Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 7,040,000",M,25,Algeria,AC Milan,italy,2223
Paulo Dybala,"€ 135,385","€ 7,040,000","€ 7,040,000",F,29,Argentina,Roma,italy,2223
Piotr Zielinski,"€ 124,615","€ 6,480,000","€ 6,480,000",M,28,Poland,Napoli,italy,2223
Daniele Rugani,"€ 124,615","€ 6,480,000","€ 6,480,000",D,28,Italy,Juventus,italy,2223
Joaquín Correa,"€ 124,615","€ 6,480,000","€ 6,480,000",F,28,Argentina,Inter Milan,italy,2223
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 6,480,000",D,26,Italy,Roma,italy,2223
Stephan El Shaarawy,"€ 124,615","€ 6,480,000","€ 6,480,000",F,30,Italy,Roma,italy,2223
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,480,000",F,26,Italy,Roma,italy,2223
Rafael Leão,"€ 123,269","€ 6,410,000","€ 6,410,000",F,23,Portugal,AC Milan,italy,2223
Sergiño Dest,"€ 115,385","€ 6,000,000","€ 6,000,000",D,22,United States,AC Milan,italy,2223
Sergej Milinković-Savić,"€ 114,038","€ 5,930,000","€ 5,930,000",M,27,Serbia,Lazio,italy,2223
Tammy Abraham,"€ 110,962","€ 5,770,000","€ 5,770,000",F,25,England,Roma,italy,2223
Alexis Sánchez,"€ 110,962","€ 5,770,000","€ 5,770,000",F,33,Chile,Inter Milan,italy,2223
Nikola Milenković,"€ 106,923","€ 5,560,000","€ 5,560,000",D,25,Serbia,Fiorentina,italy,2223
Alessio Romagnoli,"€ 106,923","€ 5,560,000","€ 5,560,000",D,28,Italy,Lazio,italy,2223
Domenico Berardi,"€ 106,923","€ 5,560,000","€ 5,560,000",F,28,Italy,Sassuolo,italy,2223
Milan Skriniar,"€ 106,923","€ 5,560,000","€ 5,560,000",D,27,Slovakia,Inter Milan,italy,2223
