,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Paulo Dybala,"€ 260,000","€ 13,520,000","€ 14,280,121",F,28,Argentina,Juventus,italy,2122
Dusan Vlahovic,"€ 249,231","€ 12,960,000","€ 13,688,636",F,22,Serbia,Juventus,italy,2122
Wojciech Szczesny,"€ 231,538","€ 12,040,000","€ 12,716,912",K,31,Poland,Juventus,italy,2122
Leonardo Bonucci,"€ 231,538","€ 12,040,000","€ 12,716,912",D,34,Italy,Juventus,italy,2122
Marcelo Brozovic,"€ 213,654","€ 11,110,000","€ 11,734,626",M,29,Croatia,Inter Milan,italy,2122
Alex Sandro,"€ 213,654","€ 11,110,000","€ 11,734,626",D,31,Brazil,Juventus,italy,2122
Kalidou Koulibaly,"€ 213,654","€ 11,110,000","€ 11,734,626",D,30,Senegal,Napoli,italy,2122
Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,734,626",F,24,Argentina,Inter Milan,italy,2122
Matthijs de Ligt,"€ 197,308","€ 10,260,000","€ 10,836,837",D,22,Netherlands,Juventus,italy,2122
Christian Eriksen,"€ 185,000","€ 9,620,000","€ 10,160,855",F,29,Denmark,Inter Milan,italy,2122
Alessio Romagnoli,"€ 178,077","€ 9,260,000","€ 9,780,615",D,27,Italy,AC Milan,italy,2122
Hakan Calhanoglu,"€ 178,077","€ 9,260,000","€ 9,780,615",M,27,Turkey,Inter Milan,italy,2122
Ivan Perisic,"€ 178,077","€ 9,260,000","€ 9,780,615",M,33,Croatia,Inter Milan,italy,2122
Edin Dzeko,"€ 178,077","€ 9,260,000","€ 9,780,615",F,35,Bosnia-Herzegovina,Inter Milan,italy,2122
Nicolò Barella,"€ 178,077","€ 9,260,000","€ 9,780,615",M,24,Italy,Inter Milan,italy,2122
Juan Cuadrado,"€ 178,077","€ 9,260,000","€ 9,780,615",D,33,Colombia,Juventus,italy,2122
Federico Chiesa,"€ 178,077","€ 9,260,000","€ 9,780,615",F,24,Italy,Juventus,italy,2122
Zlatan Ibrahimovic,"€ 172,500","€ 8,970,000","€ 9,474,311",F,40,Sweden,AC Milan,italy,2122
Alexis Sánchez,"€ 172,500","€ 8,970,000","€ 9,474,311",F,33,Chile,Inter Milan,italy,2122
Aaron Ramsey,"€ 172,500","€ 8,970,000","€ 9,474,311",M,30,Wales,Juventus,italy,2122
Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 9,474,311",M,26,France,Juventus,italy,2122
Lorenzo Insigne,"€ 163,846","€ 8,520,000","€ 8,999,011",F,30,Italy,Napoli,italy,2122
Arturo Vidal,"€ 160,192","€ 8,330,000","€ 8,798,329",M,34,Chile,Inter Milan,italy,2122
Dries Mertens,"€ 160,192","€ 8,330,000","€ 8,798,329",F,34,Belgium,Napoli,italy,2122
Federico Bernardeschi,"€ 142,500","€ 7,410,000","€ 7,826,605",F,27,Italy,Juventus,italy,2122
Ciro Immobile,"€ 142,500","€ 7,410,000","€ 7,826,605",F,31,Italy,Lazio,italy,2122
Konstantinos Manolas,"€ 142,500","€ 7,410,000","€ 7,826,605",D,30,Greece,Napoli,italy,2122
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,435,802",D,29,Netherlands,Inter Milan,italy,2122
Stephan El Shaarawy,"€ 124,615","€ 6,480,000","€ 6,844,318",F,29,Italy,Roma,italy,2122
Joaquín Correa,"€ 124,615","€ 6,480,000","€ 6,844,318",F,27,Argentina,Inter Milan,italy,2122
Piotr Zielinski,"€ 124,615","€ 6,480,000","€ 6,844,318",F,27,Poland,Napoli,italy,2122
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,844,318",M,25,Italy,Roma,italy,2122
Daniele Rugani,"€ 124,615","€ 6,480,000","€ 6,844,318",D,27,Italy,Juventus,italy,2122
Arthur,"€ 123,269","€ 6,410,000","€ 6,770,383",M,25,Brazil,Juventus,italy,2122
Álvaro Morata,"€ 123,269","€ 6,410,000","€ 6,770,383",F,29,Spain,Juventus,italy,2122
Sergej Milinković-Savić,"€ 114,038","€ 5,930,000","€ 6,263,396",M,26,Serbia,Lazio,italy,2122
Samir Handanovic,"€ 114,038","€ 5,930,000","€ 6,263,396",K,37,Slovenia,Inter Milan,italy,2122
Tammy Abraham,"€ 110,962","€ 5,770,000","€ 6,094,401",F,24,England,Roma,italy,2122
Steven Nzonzi,"€ 110,385","€ 5,740,000","€ 6,062,714",M,32,France,Roma,italy,2122
Milan Skriniar,"€ 106,923","€ 5,560,000","€ 5,872,594",D,26,Slovakia,Inter Milan,italy,2122
Manuel Locatelli,"€ 106,923","€ 5,560,000","€ 5,872,594",M,24,Italy,Juventus,italy,2122
Giorgio Chiellini,"€ 106,923","€ 5,560,000","€ 5,872,594",D,37,Italy,Juventus,italy,2122
Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,872,594",D,30,Italy,AC Milan,italy,2122
Leonardo Spinazzola,"€ 106,923","€ 5,560,000","€ 5,872,594",D,28,Italy,Roma,italy,2122
Jordan Veretout,"€ 106,923","€ 5,560,000","€ 5,872,594",M,28,France,Roma,italy,2122
Pablo Marí,"€ 101,731","€ 5,290,000","€ 5,587,414",D,28,Spain,Udinese,italy,2122
Alessandro Bastoni,"€ 99,808","€ 5,190,000","€ 5,481,792",D,22,Italy,Inter Milan,italy,2122
Theo Hernández,"€ 98,654","€ 5,130,000","€ 5,418,419",D,24,France,AC Milan,italy,2122
Victor Osimhen,"€ 98,654","€ 5,130,000","€ 5,418,419",F,23,Nigeria,Napoli,italy,2122
Danilo,"€ 98,654","€ 5,130,000","€ 5,418,419",D,30,Brazil,Juventus,italy,2122
Hirving Lozano,"€ 98,654","€ 5,130,000","€ 5,418,419",F,26,Mexico,Napoli,italy,2122
Chris Smalling,"€ 93,654","€ 4,870,000","€ 5,143,801",D,32,England,Roma,italy,2122
Matías Vecino,"€ 89,038","€ 4,630,000","€ 4,890,308",M,30,Uruguay,Inter Milan,italy,2122
Nikola Milenkovic,"€ 89,038","€ 4,630,000","€ 4,890,308",D,24,Serbia,Fiorentina,italy,2122
Tiemoué Bakayoko,"€ 89,038","€ 4,630,000","€ 4,890,308",M,27,France,AC Milan,italy,2122
Felipe Caicedo,"€ 89,038","€ 4,630,000","€ 4,890,308",F,32,Ecuador,Genoa,italy,2122
Robin Gosens,"€ 89,038","€ 4,630,000","€ 4,890,308",M,27,Germany,Inter Milan,italy,2122
Francesco Acerbi,"€ 89,038","€ 4,630,000","€ 4,890,308",D,33,Italy,Lazio,italy,2122
Dejan Kulusevski,"€ 89,038","€ 4,630,000","€ 4,890,308",F,21,Sweden,Juventus,italy,2122
Rodrigo Bentancur,"€ 89,038","€ 4,630,000","€ 4,890,308",M,24,Uruguay,Juventus,italy,2122
Nicolò Zaniolo,"€ 89,038","€ 4,630,000","€ 4,890,308",F,22,Italy,Roma,italy,2122
Federico Fazio,"€ 89,038","€ 4,630,000","€ 4,890,308",D,34,Argentina,Salernitana,italy,2122
