,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Alexis Sánchez,,"€ 60,192","€ 3,130,000","€ 790,000","Sep 1, 2025","Jun 30, 2026",1,"€ 3,130,000",,Reserve,F,CF,37,Chile,Sevilla,True,,spain,2526
Djibril Sow,,"€ 60,192","€ 3,130,000","€ 1,040,000","Sep 1, 2025","Jun 30, 2029",4,"€ 12,520,000",,Starter,M,CM,28,Switzerland,Sevilla,True,,spain,2526
Isaac Romero,,"€ 60,192","€ 3,130,000","€ 790,000","May 24, 2024","Jun 30, 2028",3,"€ 9,390,000","€ 30,000,000",Reserve,F,CF,25,Spain,Sevilla,True,,spain,2526
Marcão,,"€ 60,192","€ 3,130,000","€ 790,000","Sep 1, 2025","Jun 30, 2028",3,"€ 9,390,000",,Reserve,D,CB,29,Brazil,Sevilla,True,,spain,2526
Djené,,"€ 60,192","€ 3,130,000","€ 770,000","Jul 1, 2020","Jun 30, 2026",1,"€ 3,130,000",,Starter,D,CB,34,Togo,Getafe,True,,spain,2526
Rubén Vargas,,"€ 60,192","€ 3,130,000","€ 790,000","Jan 10, 2025","Jun 30, 2029",4,"€ 12,520,000",,Reserve,F,LW,27,Switzerland,Sevilla,True,,spain,2526
Donny van de Beek,,"€ 60,192","€ 3,130,000","€ 790,000","Jul 11, 2024","Jun 30, 2028",3,"€ 9,390,000",,Reserve,M,CM,28,Netherlands,Girona,True,,spain,2526
Batista Mendy,,"€ 58,077","€ 3,020,000","€ 750,000","Sep 1, 2025","Jun 30, 2026",1,"€ 3,020,000",,Starter,M,DM,26,France,Sevilla,True,,spain,2526
Odysseas Vlachodimos,,"€ 58,077","€ 3,020,000","€ 750,000","Aug 12, 2025","Jun 30, 2026",1,"€ 3,020,000",,Starter,K,GK,31,Greece,Sevilla,True,,spain,2526
Wojciech Szczęsny,,"€ 57,692","€ 3,000,000","€ 750,000","Jul 7, 2025","Jun 30, 2027",2,"€ 6,000,000",,Reserve,K,GK,35,Poland,Barcelona,True,,spain,2526
Bryan Gil,,"€ 56,154","€ 2,920,000","€ 730,000","Sep 1, 2025","Jun 30, 2030",5,"€ 14,600,000",,Starter,F,LW,24,Spain,Girona,True,,spain,2526
Álex Moreno,,"€ 56,154","€ 2,920,000","€ 730,000","Aug 22, 2025","Jun 30, 2027",2,"€ 5,840,000",,Reserve,D,LB,32,Spain,Girona,True,,spain,2526
Iago Aspas,,"€ 56,154","€ 2,920,000","€ 730,000","Dec 25, 2024","Jun 30, 2026",1,"€ 2,920,000",,Reserve,F,CF,38,Spain,Celta Vigo,True,,spain,2526
Borja Iglesias,,"€ 56,154","€ 2,920,000","€ 730,000","Aug 12, 2025","Jun 30, 2027",2,"€ 5,840,000",,Reserve,F,CF,33,Spain,Celta Vigo,True,,spain,2526
Matías Vecino,,"€ 56,154","€ 2,920,000","€ 730,000","Feb 2, 2026","Jun 30, 2027",2,"€ 5,840,000",,Starter,M,CM,34,Uruguay,Celta Vigo,True,,spain,2526
Cédric Bakambu,,"€ 52,115","€ 2,710,000","€ 670,000","Feb 1, 2024","Jun 30, 2026",1,"€ 2,710,000",,Starter,F,CF,34,Democratic Republic of the Congo,Real Betis,True,,spain,2526
Tani Oluwaseyi,,"€ 52,115","€ 2,710,000","€ 670,000","Aug 29, 2025","Jun 30, 2030",5,"€ 13,550,000",,Reserve,F,CF,25,Canada,Villarreal,True,,spain,2526
Álvaro Odriozola,,"€ 52,115","€ 2,710,000","€ 670,000","Sep 1, 2023","Jun 30, 2029",4,"€ 10,840,000",,Reserve,D,RB,30,Spain,Real Sociedad,True,,spain,2526
Álvaro Fidalgo,,"€ 52,115","€ 2,710,000","€ 690,000","Feb 1, 2026","Jun 30, 2030",5,"€ 13,550,000",,Starter,M,CM,28,Spain,Real Betis,True,,spain,2526
Viktor Tsyhankov,,"€ 52,115","€ 2,710,000","€ 670,000","Jan 17, 2023","Jun 30, 2027",2,"€ 5,420,000","€ 30,000,000",Reserve,F,RW,28,Ukraine,Girona,True,,spain,2526
Sergi Darder,,"€ 52,115","€ 2,710,000","€ 670,000","Aug 11, 2023","Jun 30, 2028",3,"€ 8,130,000",,Starter,M,CM,32,Spain,Mallorca,True,,spain,2526
Baptiste Santamaria,,"€ 52,115","€ 2,710,000","€ 670,000","Aug 7, 2025","Jun 30, 2027",2,"€ 5,420,000",,Reserve,M,DM,30,France,Valencia,True,,spain,2526
Julen Agirrezabala,,"€ 52,115","€ 2,710,000","€ 670,000","Jul 11, 2025","Jun 30, 2026",1,"€ 2,710,000",,Reserve,K,GK,25,Spain,Valencia,True,,spain,2526
Vladyslav Vanat,,"€ 52,115","€ 2,710,000","€ 670,000","Sep 1, 2025","Jun 30, 2030",5,"€ 13,550,000",,Starter,F,CF,24,Ukraine,Girona,True,,spain,2526
Guido Rodríguez,,"€ 50,000","€ 2,600,000","€ 650,000","Jan 26, 2026","Jun 30, 2026",1,"€ 2,600,000",,Starter,M,DM,31,Argentina,Valencia,True,,spain,2526
Axel Witsel,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 12, 2025","Jun 30, 2026",1,"€ 2,500,000",,Starter,M,DM,37,Belgium,Girona,True,,spain,2526
Sergio Gómez,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 12, 2024","Jun 30, 2030",5,"€ 12,500,000",,Starter,D,LB,25,Spain,Real Sociedad,True,,spain,2526
Iñaki Peña,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 27, 2025","Jun 30, 2026",1,"€ 2,500,000",,Reserve,K,GK,26,Spain,Elche,True,,spain,2526
Logan Costa,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 22, 2024","Jun 30, 2030",5,"€ 12,500,000",,Reserve,D,CB,24,Cape Verde,Villarreal,True,,spain,2526
Rafa Marín,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 3, 2025","Jun 30, 2026",1,"€ 2,500,000",,Reserve,D,CB,23,Spain,Villarreal,True,,spain,2526
Juanmi,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 1, 2025","Jun 30, 2027",2,"€ 5,000,000",,Reserve,F,LW,32,Spain,Getafe,True,,spain,2526
Fran Beltrán,,"€ 48,077","€ 2,500,000","€ 630,000","Jan 20, 2026","Jun 30, 2030",5,"€ 12,500,000",,Reserve,M,CM,27,Spain,Girona,True,,spain,2526
David Carmo,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 29, 2025","Jun 30, 2026",1,"€ 2,500,000",,Starter,D,CB,26,Angola,Real Oviedo,True,,spain,2526
José Ángel Carmona,,"€ 48,077","€ 2,500,000","€ 630,000","Nov 28, 2024","Jun 30, 2028",3,"€ 7,500,000","€ 30,000,000",Reserve,D,RB,24,Spain,Sevilla,True,,spain,2526
Juanlu Sánchez,,"€ 48,077","€ 2,500,000","€ 630,000","Apr 10, 2025","Jun 30, 2029",4,"€ 10,000,000","€ 40,000,000",Reserve,D,RB,22,Spain,Sevilla,True,,spain,2526
Abdel Abqar,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 29, 2025","Jun 30, 2028",3,"€ 7,500,000",,Starter,D,CB,26,Morocco,Getafe,True,,spain,2526
Marc Roca,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 1, 2024","Jun 30, 2029",4,"€ 10,000,000",,Starter,M,DM,29,Spain,Real Betis,True,,spain,2526
Marc Bartra,,"€ 48,077","€ 2,500,000","€ 630,000","Apr 23, 2025","Jun 30, 2027",2,"€ 5,000,000",,Reserve,D,CB,35,Spain,Real Betis,True,,spain,2526
David Soria,,"€ 48,077","€ 2,500,000","€ 630,000","May 25, 2021","Jun 30, 2026",1,"€ 2,500,000",,Starter,K,GK,32,Spain,Getafe,True,,spain,2526
Pau López,,"€ 48,077","€ 2,500,000","€ 630,000","Jul 22, 2025","Jun 30, 2028",3,"€ 7,500,000",,Reserve,K,GK,31,Spain,Real Betis,True,,spain,2526
Ricardo Rodríguez,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 5, 2024","Jun 30, 2026",1,"€ 2,500,000",,Starter,D,LB,33,Switzerland,Real Betis,True,,spain,2526
Azzedine Ounahi,,"€ 48,077","€ 2,500,000","€ 630,000","Aug 30, 2025","Jun 30, 2030",5,"€ 12,500,000",,Reserve,M,CM,25,Morocco,Girona,True,,spain,2526
Vitor Reis,,"€ 46,154","€ 2,400,000","€ 600,000","Aug 8, 2025","Jun 30, 2026",1,"€ 2,400,000",,Starter,D,CB,20,Brazil,Girona,True,,spain,2526
Yeray Álvarez,,"€ 46,154","€ 2,400,000","€ 600,000","Jul 18, 2019","Jun 30, 2026",1,"€ 2,400,000","€ 70,000,000",Reserve,D,CB,31,Spain,Athletic Club,True,,spain,2526
Lucien Agoume,,"€ 44,038","€ 2,290,000","€ 580,000","Aug 6, 2024","Jun 30, 2028",3,"€ 6,870,000",,Starter,M,DM,23,France,Sevilla,True,,spain,2526
Santi Comesaña,,"€ 44,038","€ 2,290,000","€ 580,000","Feb 11, 2025","Jun 30, 2028",3,"€ 6,870,000",,Starter,M,CM,29,Spain,Villarreal,True,,spain,2526
Nelson Deossa,,"€ 44,038","€ 2,290,000","€ 580,000","Aug 4, 2025","Jun 30, 2030",5,"€ 11,450,000",,Reserve,M,CM,25,Colombia,Real Betis,True,,spain,2526
Ferran Jutglà,,"€ 44,038","€ 2,290,000","€ 580,000","Jul 1, 2025","Jun 30, 2029",4,"€ 9,160,000",,Starter,F,CF,27,Spain,Celta Vigo,True,,spain,2526
Umar Sadiq,,"€ 44,038","€ 2,290,000","€ 580,000","Jan 8, 2026","Jun 30, 2028",3,"€ 6,870,000",,Starter,F,CF,29,Nigeria,Valencia,True,,spain,2526
Iván Martín,,"€ 44,038","€ 2,290,000","€ 580,000","Nov 19, 2024","Jun 30, 2028",3,"€ 6,870,000",,Starter,F,AM,26,Spain,Girona,True,,spain,2526
Álvaro Valles,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2025","Jun 30, 2030",5,"€ 10,400,000",,Starter,K,GK,28,Spain,Real Betis,True,,spain,2526
Kike Salas,,"€ 40,000","€ 2,080,000","€ 520,000","Dec 26, 2024","Jun 30, 2029",4,"€ 8,320,000",,Starter,D,CB,23,Spain,Sevilla,True,,spain,2526
Sergi Altimira,,"€ 40,000","€ 2,080,000","€ 520,000","Apr 11, 2025","Jun 30, 2029",4,"€ 8,320,000","€ 60,000,000",Reserve,M,CM,24,Spain,Real Betis,True,,spain,2526
Javi Guerra,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 9, 2025","Jun 30, 2029",4,"€ 8,320,000","€ 100,000,000",Starter,M,CM,22,Spain,Valencia,True,,spain,2526
Isi Palazón,,"€ 40,000","€ 2,080,000","€ 520,000","May 8, 2023","Jun 30, 2028",3,"€ 6,240,000","€ 50,000,000",Starter,F,SS,31,Spain,Rayo Vallecano,True,,spain,2526
Aritz Elustondo,,"€ 40,000","€ 2,080,000","€ 520,000","Mar 5, 2023","Jun 30, 2026",1,"€ 2,080,000","€ 60,000,000",Reserve,D,CB,31,Spain,Real Sociedad,True,,spain,2526
Luiz Felipe,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 7, 2025","Jun 30, 2026",1,"€ 2,080,000",,Reserve,D,CB,28,Italy,Rayo Vallecano,True,,spain,2526
Jon Aramburu,,"€ 40,000","€ 2,080,000","€ 520,000","Jan 3, 2025","Jun 30, 2030",5,"€ 10,400,000","€ 60,000,000",Starter,D,RB,23,Venezuela,Real Sociedad,True,,spain,2526
Chimy Ávila,,"€ 40,000","€ 2,080,000","€ 520,000","Feb 1, 2024","Jun 30, 2027",2,"€ 4,160,000",,Reserve,F,CF,31,Argentina,Real Betis,True,,spain,2526
Matteo Ruggeri,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2025","Jun 30, 2030",5,"€ 10,400,000",,Starter,D,LB,23,Italy,Atletico Madrid,True,,spain,2526
Rafa Mir,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 17, 2025","Jun 30, 2026",1,"€ 2,080,000",,Reserve,F,CF,28,Spain,Elche,True,,spain,2526
Rubén García,,"€ 40,000","€ 2,080,000","€ 520,000","Jan 28, 2026","Jun 30, 2027",2,"€ 4,160,000","€ 8,000,000",Starter,F,RW,32,Spain,Osasuna,True,,spain,2526
Lucas Torró,,"€ 40,000","€ 2,080,000","€ 520,000","Jun 9, 2022","Jun 30, 2027",2,"€ 4,160,000",,Starter,M,DM,31,Spain,Osasuna,True,,spain,2526
Sergio Herrera,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 28, 2025","Jun 30, 2028",3,"€ 6,240,000",,Starter,K,GK,32,Spain,Osasuna,True,,spain,2526
Gorka Guruzeta,,"€ 40,000","€ 2,080,000","€ 520,000","Feb 20, 2024","Jun 30, 2028",3,"€ 6,240,000",,Starter,F,CF,29,Spain,Athletic Club,True,,spain,2526
Jesús Areso,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 22, 2025","Jun 30, 2031",6,"€ 12,480,000",,Reserve,D,RB,26,Spain,Athletic Club,True,,spain,2526
Luiz Júnior,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 20, 2024","Jun 30, 2030",5,"€ 10,400,000",,Starter,K,GK,25,Brazil,Villarreal,True,,spain,2526
Endrick,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 21, 2024","Jun 30, 2030",5,"€ 10,400,000",,Reserve,F,CF,19,Brazil,Real Madrid,False,,spain,2526
Javi Puado,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 4, 2025","Jun 30, 2030",5,"€ 10,400,000",,Reserve,F,LW,27,Spain,Espanyol,True,,spain,2526
Diego Rico,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 16, 2024","Jun 30, 2026",1,"€ 2,080,000",,Reserve,D,LB,32,Spain,Getafe,True,,spain,2526
Augusto Batalla,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2025","Jun 30, 2030",5,"€ 10,400,000",,Starter,K,GK,29,Argentina,Rayo Vallecano,True,,spain,2526
Sergi Cardona,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 18, 2024","Jun 30, 2027",2,"€ 4,160,000","€ 15,000,000",Starter,D,LB,26,Spain,Villarreal,True,,spain,2526
Fábio Cardoso,,"€ 40,000","€ 2,080,000","€ 520,000","Sep 1, 2025","Jun 30, 2028",3,"€ 6,240,000",,Reserve,D,CB,31,Portugal,Sevilla,True,,spain,2526
Lucas Boyé,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 22, 2025","Jun 30, 2029",4,"€ 8,320,000",,Starter,F,CF,29,Argentina,Alaves,True,,spain,2526
Florian Lejeune,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 28, 2023","Jun 30, 2027",2,"€ 4,160,000",,Starter,D,CB,34,France,Rayo Vallecano,True,,spain,2526
Abel Ruiz,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2024","Jun 30, 2029",4,"€ 8,320,000",,Reserve,F,CF,26,Spain,Girona,True,,spain,2526
Álvaro García,,"€ 40,000","€ 2,080,000","€ 520,000","Feb 11, 2025","Jun 30, 2028",3,"€ 6,240,000",,Reserve,F,LW,33,Spain,Rayo Vallecano,True,,spain,2526
Aitor Paredes,,"€ 40,000","€ 2,080,000","€ 520,000","Mar 21, 2024","Jun 30, 2029",4,"€ 8,320,000",,Reserve,D,CB,25,Spain,Athletic Club,True,,spain,2526
Mikel Jauregizar,,"€ 40,000","€ 2,080,000","€ 520,000","May 30, 2025","Jun 30, 2031",6,"€ 12,480,000",,Reserve,M,CM,22,Spain,Athletic Club,True,,spain,2526
Mikel Vesga,,"€ 40,000","€ 2,080,000","€ 520,000","Dec 21, 2023","Jun 30, 2027",2,"€ 4,160,000","€ 50,000,000",Reserve,M,DM,32,Spain,Athletic Club,True,,spain,2526
Iñaki Peña,,"€ 38,462","€ 2,000,000","€ 500,000","Aug 27, 2025","Jun 30, 2029",4,"€ 8,000,000","€ 400,000,000",Reserve,K,GK,26,Spain,Barcelona,False,,spain,2526
Valentin Rosier,,"€ 36,154","€ 1,880,000","€ 480,000","Jul 1, 2025","Jun 30, 2028",3,"€ 5,640,000",,Starter,D,RB,29,France,Osasuna,True,,spain,2526
Toni Martínez,,"€ 36,154","€ 1,880,000","€ 460,000","Aug 27, 2024","Jun 30, 2028",3,"€ 5,640,000",,Starter,F,CF,28,Spain,Alaves,True,,spain,2526
Diego Conde,,"€ 36,154","€ 1,880,000","€ 480,000","Jul 2, 2024","Jun 30, 2029",4,"€ 7,520,000",,Reserve,K,GK,27,Spain,Villarreal,True,,spain,2526
Ionut Radu,,"€ 36,154","€ 1,880,000","€ 480,000","Jul 1, 2025","Jun 30, 2029",4,"€ 7,520,000",,Starter,K,GK,28,Romania,Celta Vigo,True,,spain,2526
Luis Rioja,,"€ 36,154","€ 1,880,000","€ 480,000","Nov 27, 2025","Jun 30, 2027",2,"€ 3,760,000",,Starter,F,LW,32,Spain,Valencia,True,,spain,2526
Edu Expósito,,"€ 36,154","€ 1,880,000","€ 480,000","Aug 8, 2022","Jun 30, 2027",2,"€ 3,760,000",,Reserve,M,CM,29,Spain,Espanyol,True,,spain,2526
Filip Ugrinic,,"€ 36,154","€ 1,880,000","€ 480,000","Aug 8, 2025","Jun 30, 2029",4,"€ 7,520,000",,Starter,M,CM,27,Switzerland,Valencia,True,,spain,2526
Arnaut Danjuma,,"€ 36,154","€ 1,880,000","€ 480,000","Aug 10, 2025","Jun 30, 2028",3,"€ 5,640,000",,Reserve,F,LW,29,Netherlands,Valencia,True,,spain,2526
Portu,,"€ 36,154","€ 1,880,000","€ 480,000","Sep 1, 2023","Jun 30, 2027",2,"€ 3,760,000",,Reserve,F,RW,33,Spain,Girona,True,,spain,2526
Denis Suárez,,"€ 36,154","€ 1,880,000","€ 460,000","Aug 29, 2025","Jun 30, 2027",2,"€ 3,760,000",,Starter,F,AM,32,Spain,Alaves,True,,spain,2526
Antonio Raíllo,,"€ 36,154","€ 1,880,000","€ 480,000","Jan 13, 2026","Jun 30, 2027",2,"€ 3,760,000",,Starter,D,CB,34,Spain,Mallorca,True,,spain,2526
Chidera Ejuke,,"€ 36,154","€ 1,880,000","€ 480,000","Jul 1, 2024","Jun 30, 2027",2,"€ 3,760,000",,Reserve,F,LW,28,Nigeria,Sevilla,True,,spain,2526
Johan Mojica,,"€ 36,154","€ 1,880,000","€ 480,000","Jul 23, 2024","Jun 30, 2027",2,"€ 3,760,000",,Reserve,D,LB,33,Colombia,Mallorca,True,,spain,2526
Akor Adams,,"€ 36,154","€ 1,880,000","€ 480,000","Jan 27, 2025","Jun 30, 2029",4,"€ 7,520,000",,Starter,F,CF,26,Nigeria,Sevilla,True,,spain,2526
Andrei Rațiu,,"€ 36,154","€ 1,880,000","€ 420,000","Nov 21, 2025","Jun 30, 2030",5,"€ 9,400,000",,Starter,D,RB,27,Romania,Rayo Vallecano,True,,spain,2526
Jorge de Frutos,,"€ 36,154","€ 1,880,000","€ 480,000","Aug 17, 2023","Jun 30, 2028",3,"€ 5,640,000",,Starter,F,RW,28,Spain,Rayo Vallecano,True,,spain,2526
Óscar Valentín,,"€ 36,154","€ 1,880,000","€ 480,000","Sep 13, 2023","Jun 30, 2027",2,"€ 3,760,000",,Starter,M,CM,31,Spain,Rayo Vallecano,True,,spain,2526
Pep Chavarría,,"€ 36,154","€ 1,880,000","€ 480,000","Jun 16, 2025","Jun 30, 2030",5,"€ 9,400,000",,Reserve,D,LB,27,Spain,Rayo Vallecano,True,,spain,2526
Eric Bailly,,"€ 36,154","€ 1,880,000","€ 480,000","Aug 18, 2025","Jun 30, 2027",2,"€ 3,760,000",,Starter,D,CB,31,Cote d'Ivoire,Real Oviedo,True,,spain,2526
Neal Maupay,,"€ 34,038","€ 1,770,000","€ 440,000","Jan 27, 2026","Jun 30, 2026",1,"€ 1,770,000",,Starter,F,CF,29,France,Sevilla,True,,spain,2526
Alejandro Catena,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 1, 2023","Jun 30, 2028",3,"€ 5,010,000",,Starter,D,CB,31,Spain,Osasuna,True,,spain,2526
Alejandro Balde,,"€ 32,115","€ 1,670,000","€ 420,000","Sep 20, 2023","Jun 30, 2028",3,"€ 5,010,000","€ 1,000,000,000",Reserve,D,LB,22,Spain,Barcelona,True,,spain,2526
Diego López,,"€ 32,115","€ 1,670,000","€ 420,000","Aug 25, 2025","Jun 30, 2029",4,"€ 6,680,000","€ 100,000,000",Reserve,F,RW,23,Spain,Valencia,True,,spain,2526
Willy Kambwala,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 15, 2024","Jun 30, 2029",4,"€ 6,680,000",,Reserve,D,CB,21,France,Villarreal,True,,spain,2526
Aimar Oroz,,"€ 32,115","€ 1,670,000","€ 420,000","Sep 1, 2024","Jun 30, 2029",4,"€ 6,680,000","€ 30,000,000",Starter,F,AM,24,Spain,Osasuna,True,,spain,2526
Roger Brugué,,"€ 32,115","€ 1,670,000","€ 420,000","Jun 2, 2025","Jun 30, 2028",3,"€ 5,010,000",,Reserve,F,LW,29,Spain,Levante,True,,spain,2526
Jeremy Toljan,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 8, 2025","Jun 30, 2027",2,"€ 3,340,000",,Starter,D,RB,31,Germany,Levante,True,,spain,2526
Jon Gorrotxategi,,"€ 32,115","€ 1,670,000","€ 420,000","Oct 6, 2025","Jun 30, 2030",5,"€ 8,350,000",,Starter,M,DM,24,Spain,Real Sociedad,True,,spain,2526
Luka Sucic,,"€ 32,115","€ 1,670,000","€ 420,000","Aug 2, 2024","Jun 30, 2029",4,"€ 6,680,000",,Reserve,M,CM,23,Croatia,Real Sociedad,True,,spain,2526
Aihen Muñoz,,"€ 32,115","€ 1,670,000","€ 420,000","Nov 3, 2023","Jun 30, 2027",2,"€ 3,340,000","€ 50,000,000",Reserve,D,LB,28,Spain,Real Sociedad,True,,spain,2526
Jonny Otto,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 2, 2025","Jun 30, 2027",2,"€ 3,340,000",,Reserve,D,RB,31,Spain,Alaves,True,,spain,2526
Beñat Turrientes,,"€ 32,115","€ 1,670,000","€ 420,000","Nov 29, 2024","Jun 30, 2030",5,"€ 8,350,000",,Starter,M,CM,24,Spain,Real Sociedad,True,,spain,2526
Unai López,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 1, 2024","Jun 30, 2026",1,"€ 1,670,000",,Reserve,M,CM,30,Spain,Rayo Vallecano,True,,spain,2526
Mathew Ryan,,"€ 32,115","€ 1,670,000","€ 420,000","Aug 26, 2025","Jun 30, 2026",1,"€ 1,670,000",,Starter,K,GK,33,Australia,Levante,True,,spain,2526
Aitor Ruibal,,"€ 32,115","€ 1,670,000","€ 420,000","Sep 11, 2024","Jun 30, 2028",3,"€ 5,010,000",,Starter,F,RW,29,Spain,Real Betis,True,,spain,2526
Pepelu,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 8, 2023","Jun 30, 2028",3,"€ 5,010,000","€ 100,000,000",Reserve,M,DM,27,Spain,Valencia,True,,spain,2526
Javi Muñoz,,"€ 32,115","€ 1,670,000","€ 420,000","Jul 4, 2025","Jun 30, 2028",3,"€ 5,010,000",,Reserve,M,CM,30,Spain,Getafe,True,,spain,2526
César Tárrega,,"€ 32,115","€ 1,670,000","€ 420,000","Aug 9, 2025","Jun 30, 2030",5,"€ 8,350,000",,Reserve,D,CB,23,Spain,Valencia,True,,spain,2526
Gonzalo García,,"€ 32,115","€ 1,670,000","€ 420,000","Aug 8, 2025","Jun 30, 2030",5,"€ 8,350,000",,Reserve,F,CF,21,Spain,Real Madrid,True,,spain,2526
Rodrigo Mendoza,,"€ 32,115","€ 1,670,000","€ 420,000","Feb 2, 2026","Jun 30, 2031",6,"€ 10,020,000",,Reserve,M,CM,20,Spain,Atletico Madrid,True,,spain,2526
André Almeida,,"€ 32,115","€ 1,670,000","€ 420,000","Sep 26, 2025","Jun 30, 2029",4,"€ 6,680,000",,Reserve,F,AM,25,Portugal,Valencia,True,,spain,2526
Dimitri Foulquier,,"€ 32,115","€ 1,670,000","€ 420,000","Jun 12, 2025","Jun 30, 2027",2,"€ 3,340,000",,Reserve,D,RB,32,Guadeloupe,Valencia,True,,spain,2526
Thomas Lemar,,"€ 31,346","€ 1,630,000","€ 420,000","Jul 30, 2025","Jun 30, 2026",1,"€ 1,630,000",,Starter,F,AM,30,France,Girona,True,,spain,2526
Thomas Lemar,,"€ 31,346","€ 1,630,000","€ 420,000","Jul 20, 2022","Jun 30, 2027",2,"€ 3,260,000",,Reserve,F,AM,29,France,Atletico Madrid,False,,spain,2526
Andoni Gorosabel,,"€ 30,000","€ 1,560,000","€ 400,000","Jul 1, 2024","Jun 30, 2028",3,"€ 4,680,000",,Reserve,D,RB,29,Spain,Athletic Club,True,,spain,2526
Pedro Díaz,,"€ 30,000","€ 1,560,000","€ 400,000","Aug 5, 2024","Jun 30, 2028",3,"€ 4,680,000",,Reserve,M,CM,27,Spain,Rayo Vallecano,True,,spain,2526
Antonio Sivera,,"€ 30,000","€ 1,560,000","€ 400,000","Dec 13, 2023","Jun 30, 2027",2,"€ 3,120,000",,Starter,K,GK,29,Spain,Alaves,True,,spain,2526
Carl Starfelt,,"€ 30,000","€ 1,560,000","€ 400,000","Aug 10, 2023","Jun 30, 2027",2,"€ 3,120,000",,Reserve,D,CB,30,Sweden,Celta Vigo,True,,spain,2526
Unai Vencedor,,"€ 30,000","€ 1,560,000","€ 400,000","Sep 1, 2025","Jun 30, 2026",1,"€ 1,560,000","€ 40,000,000",Reserve,M,CM,25,Spain,Levante,True,,spain,2526
Gerard Martín,,"€ 30,000","€ 1,560,000","€ 400,000","Jan 23, 2025","Jun 30, 2028",3,"€ 4,680,000","€ 100,000,000",Starter,D,LB,23,Spain,Barcelona,True,,spain,2526
Adrià Pedrosa,,"€ 30,000","€ 1,560,000","€ 400,000","Sep 1, 2025","Jun 30, 2026",1,"€ 1,560,000",,Reserve,D,LB,27,Spain,Elche,True,,spain,2526
Mariano Díaz,,"€ 30,000","€ 1,560,000","€ 400,000","Aug 7, 2025","Jun 30, 2027",2,"€ 3,120,000",,Reserve,F,CF,32,Dominican Republic,Alaves,True,,spain,2526
Joseph Aidoo,,"€ 30,000","€ 1,560,000","€ 400,000","Feb 7, 2022","Jun 30, 2026",1,"€ 1,560,000",,Starter,D,CB,30,Ghana,Celta Vigo,True,,spain,2526
Paulo Gazzaniga,,"€ 30,000","€ 1,560,000","€ 400,000","Feb 14, 2024","Jun 30, 2027",2,"€ 3,120,000",,Starter,K,GK,34,Argentina,Girona,True,,spain,2526
Antonio Sánchez,,"€ 28,077","€ 1,460,000","€ 380,000","Mar 27, 2024","Jun 30, 2027",2,"€ 2,920,000",,Starter,M,CM,28,Spain,Mallorca,True,,spain,2526
Álvaro Núñez,,"€ 28,077","€ 1,460,000","€ 380,000","Feb 2, 2026","Jun 30, 2030",5,"€ 7,300,000",,Reserve,D,RB,25,Spain,Celta Vigo,True,,spain,2526
Abde Ezzalzouli,,"€ 28,077","€ 1,460,000","€ 380,000","Oct 30, 2024","Jun 30, 2029",4,"€ 5,840,000",,Starter,F,LW,24,Morocco,Real Betis,True,,spain,2526
