,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Cristiano Ronaldo,"€ 596,613","€ 31,023,864","€ 33,131,615",F,36,Portugal,Manchester United,england,2122
Kevin De Bruyne,"€ 463,389","€ 24,096,205","€ 25,733,293",F,30,Belgium,Manchester City,england,2122
David de Gea,"€ 434,427","€ 22,590,192","€ 24,124,962",K,31,Spain,Manchester United,england,2122
Raphaël Varane,"€ 393,880","€ 20,481,774","€ 21,873,299",D,28,France,Manchester United,england,2122
Romelu Lukaku,"€ 376,503","€ 19,578,166","€ 20,908,301",F,28,Belgium,Chelsea,england,2122
Jack Grealish,"€ 347,541","€ 18,072,154","€ 19,299,970",F,26,England,Manchester City,england,2122
Raheem Sterling,"€ 347,541","€ 18,072,154","€ 19,299,970",F,27,England,Manchester City,england,2122
Paul Pogba,"€ 335,957","€ 17,469,749","€ 18,656,638",M,28,France,Manchester United,england,2122
N'Golo Kanté,"€ 335,957","€ 17,469,749","€ 18,656,638",M,30,France,Chelsea,england,2122
Timo Werner,"€ 312,787","€ 16,264,938","€ 17,369,973",F,25,Germany,Chelsea,england,2122
Jadon Sancho,"€ 289,618","€ 15,060,128","€ 16,083,308",F,21,England,Manchester United,england,2122
Anthony Martial,"€ 289,618","€ 15,060,128","€ 16,083,308",F,25,France,Manchester United,england,2122
Kai Havertz,"€ 289,618","€ 15,060,128","€ 16,083,308",F,22,Germany,Chelsea,england,2122
João Cancelo,"€ 289,618","€ 15,060,128","€ 16,083,308",D,27,Portugal,Manchester City,england,2122
Edinson Cavani,"€ 289,618","€ 15,060,128","€ 16,083,308",F,34,Uruguay,Manchester United,england,2122
John Stones,"€ 289,618","€ 15,060,128","€ 16,083,308",D,27,England,Manchester City,england,2122
Pierre-Emerick Aubameyang,"€ 289,618","€ 15,060,128","€ 16,083,308",F,32,Gabon,Arsenal,england,2122
Bruno Fernandes,"€ 278,033","€ 14,457,723","€ 15,439,976",F,27,Portugal,Manchester United,england,2122
Virgil van Dijk,"€ 254,864","€ 13,252,913","€ 14,153,311",D,30,Netherlands,Liverpool,england,2122
Tanguy Ndombélé,"€ 231,694","€ 12,048,102","€ 12,866,647",M,24,France,Tottenham,england,2122
Thomas Partey,"€ 231,694","€ 12,048,102","€ 12,866,647",M,28,Ghana,Arsenal,england,2122
Harry Kane,"€ 231,694","€ 12,048,102","€ 12,866,647",F,28,England,Tottenham,england,2122
Thiago,"€ 231,694","€ 12,048,102","€ 12,866,647",M,30,Spain,Liverpool,england,2122
Mohamed Salah,"€ 231,694","€ 12,048,102","€ 12,866,647",F,29,Egypt,Liverpool,england,2122
Jordan Henderson,"€ 231,694","€ 12,048,102","€ 12,866,647",M,31,England,Liverpool,england,2122
Marcus Rashford,"€ 231,694","€ 12,048,102","€ 12,866,647",F,24,England,Manchester United,england,2122
Saúl Ñíguez,"€ 229,689","€ 11,943,840","€ 12,755,301",M,27,Spain,Chelsea,england,2122
Heung-min Son,"€ 220,110","€ 11,445,697","€ 12,223,314",F,29,South Korea,Tottenham,england,2122
Harry Maguire,"€ 220,110","€ 11,445,697","€ 12,223,314",D,28,England,Manchester United,england,2122
Ben Chilwell,"€ 220,110","€ 11,445,697","€ 12,223,314",D,25,England,Chelsea,england,2122
Alexandre Lacazette,"€ 210,975","€ 10,970,724","€ 11,716,071",F,30,France,Arsenal,england,2122
Roberto Firmino,"€ 208,525","€ 10,843,292","€ 11,579,982",F,30,Brazil,Liverpool,england,2122
