,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Vincent Aboubakar,"€ 36,154","€ 1,880,000","€ 1,880,000",F,33,Cameroon,Hatayspor,turkey,2425
Mert Günok,"€ 36,154","€ 1,880,000","€ 1,880,000",K,35,Turkey,Besiktas,turkey,2425
Edin Visca,"€ 36,154","€ 1,880,000","€ 1,880,000",F,34,Bosnia-Herzegovina,Trabzonspor,turkey,2425
Batista Mendy,"€ 34,423","€ 1,790,000","€ 1,790,000",M,25,France,Trabzonspor,turkey,2425
Muhammed Cham,"€ 33,269","€ 1,730,000","€ 1,730,000",F,24,Austria,Trabzonspor,turkey,2425
Sam Larsson,"€ 31,346","€ 1,630,000","€ 1,630,000",F,31,Sweden,Antalyaspor,turkey,2425
Enis Bardhi,"€ 31,346","€ 1,630,000","€ 1,630,000",F,29,North Macedonia,Trabzonspor,turkey,2425
Abdülkadir Ömür,"€ 31,346","€ 1,630,000","€ 1,630,000",F,25,Turkey,Caykur Rizespor,turkey,2425
Uğurcan Çakır,"€ 31,346","€ 1,630,000","€ 1,630,000",K,28,Turkey,Trabzonspor,turkey,2425
Emre Mor,"€ 30,000","€ 1,560,000","€ 1,560,000",F,27,Turkey,Eyupspor,turkey,2425
Al Musrati,"€ 30,000","€ 1,560,000","€ 1,560,000",M,28,Libya,Besiktas,turkey,2425
Cenk Tosun,"€ 30,000","€ 1,560,000","€ 1,560,000",F,33,Turkey,Fenerbahce,turkey,2425
Mario Lemina,"€ 30,000","€ 1,560,000","€ 1,560,000",M,31,Gabon,Galatasaray,turkey,2425
Lucas Lima,"€ 29,423","€ 1,530,000","€ 1,530,000",D,33,Brazil,Basaksehir,turkey,2425
Moussa Djenepo,"€ 28,846","€ 1,500,000","€ 1,500,000",F,26,Mali,Antalyaspor,turkey,2425
Mert Müldür,"€ 28,846","€ 1,500,000","€ 1,500,000",D,25,Turkey,Fenerbahce,turkey,2425
Jonjo Shelvey,"€ 28,846","€ 1,500,000","€ 1,500,000",M,32,England,Eyupspor,turkey,2425
Baktiyar Zaynutdinov,"€ 28,846","€ 1,500,000","€ 1,500,000",D,26,Kazakhstan,Besiktas,turkey,2425
Léo Dubois,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,France,Eyupspor,turkey,2425
Ozan Tufan,"€ 28,846","€ 1,500,000","€ 1,500,000",M,29,Turkey,Trabzonspor,turkey,2425
Okay Yokuşlu,"€ 28,846","€ 1,500,000","€ 1,500,000",M,30,Turkey,Trabzonspor,turkey,2425
David Tijanic,"€ 28,654","€ 1,490,000","€ 1,490,000",F,27,Slovenia,Goztepe,turkey,2425
Amir Hadziahmetovic,"€ 27,885","€ 1,450,000","€ 1,450,000",M,27,Bosnia-Herzegovina,Caykur Rizespor,turkey,2425
Amir Hadziahmetovic,"€ 27,885","€ 1,450,000","€ 1,450,000",M,27,Bosnia-Herzegovina,Besiktas,turkey,2425
Berat Özdemir,"€ 27,692","€ 1,440,000","€ 1,440,000",M,26,Turkey,Basaksehir,turkey,2425
David Datro Fofana,"€ 26,731","€ 1,390,000","€ 1,390,000",F,21,Cote d'Ivoire,Goztepe,turkey,2425
Emrecan Uzunhan,"€ 26,538","€ 1,380,000","€ 1,380,000",D,23,Turkey,Antalyaspor,turkey,2425
Adolfo Gaich,"€ 25,192","€ 1,310,000","€ 1,310,000",F,25,Argentina,Antalyaspor,turkey,2425
Landry Dimata,"€ 24,615","€ 1,280,000","€ 1,280,000",F,27,Belgium,Samsunspor,turkey,2425
Enis Bardhi,"€ 24,038","€ 1,250,000","€ 1,250,000",F,29,North Macedonia,Bodrum,turkey,2425
Sergio Córdova,"€ 24,038","€ 1,250,000","€ 1,250,000",F,27,Venezuela,Alanyaspor,turkey,2425
Tonny Vilhena,"€ 24,038","€ 1,250,000","€ 1,250,000",M,30,Netherlands,Alanyaspor,turkey,2425
Kerem Demirbay,"€ 24,038","€ 1,250,000","€ 1,250,000",M,31,Germany,Galatasaray,turkey,2425
Samet Akaydin,"€ 24,038","€ 1,250,000","€ 1,250,000",D,30,Turkey,Caykur Rizespor,turkey,2425
George Pușcaș,"€ 24,038","€ 1,250,000","€ 1,250,000",F,28,Romania,Bodrum,turkey,2425
Jonas Svensson,"€ 24,038","€ 1,250,000","€ 1,250,000",D,32,Norway,Besiktas,turkey,2425
Deniz Türüç,"€ 24,038","€ 1,250,000","€ 1,250,000",F,32,Turkey,Basaksehir,turkey,2425
