,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Lionel Messi,"€ 1,365,385","€ 71,000,000","€ 79,675,725",F,33,Argentina,Barcelona,spain,2021
Antoine Griezmann,"€ 721,154","€ 37,500,000","€ 42,082,249",F,29,France,Barcelona,spain,2021
Samuel Umtiti,"€ 615,385","€ 32,000,000","€ 35,910,186",D,26,France,Barcelona,spain,2021
Eden Hazard,"€ 600,962","€ 31,250,000","€ 35,068,541",F,29,Belgium,Real Madrid,spain,2021
Sergio Ramos,"€ 468,846","€ 24,380,000","€ 27,359,073",D,34,Spain,Real Madrid,spain,2021
Toni Kroos,"€ 468,846","€ 24,380,000","€ 27,359,073",M,30,Germany,Real Madrid,spain,2021
Marcelo,"€ 468,846","€ 24,380,000","€ 27,359,073",D,32,Brazil,Real Madrid,spain,2021
Sergio Busquets,"€ 461,538","€ 24,000,000","€ 26,932,639",M,32,Spain,Barcelona,spain,2021
Luka Modric,"€ 420,769","€ 21,880,000","€ 24,553,590",M,35,Croatia,Real Madrid,spain,2021
Philippe Coutinho,"€ 420,769","€ 21,880,000","€ 24,553,590",F,28,Brazil,Barcelona,spain,2021
Jan Oblak,"€ 400,000","€ 20,800,000","€ 23,341,621",K,27,Slovenia,Atletico Madrid,spain,2021
Karim Benzema,"€ 348,654","€ 18,130,000","€ 20,345,365",F,32,France,Real Madrid,spain,2021
Gerard Piqué,"€ 346,154","€ 18,000,000","€ 20,199,479",D,33,Spain,Barcelona,spain,2021
Jordi Alba,"€ 338,462","€ 17,600,000","€ 19,750,602",D,31,Spain,Barcelona,spain,2021
Raphaël Varane,"€ 328,462","€ 17,080,000","€ 19,167,062",D,27,France,Real Madrid,spain,2021
Koke,"€ 307,692","€ 16,000,000","€ 17,955,093",M,28,Spain,Atletico Madrid,spain,2021
Miralem Pjanic,"€ 300,385","€ 15,620,000","€ 17,528,659",M,30,Bosnia-Herzegovina,Barcelona,spain,2021
Luis Suárez,"€ 300,385","€ 15,620,000","€ 17,528,659",F,33,Uruguay,Atletico Madrid,spain,2021
Isco,"€ 280,385","€ 14,580,000","€ 16,361,578",F,28,Spain,Real Madrid,spain,2021
João Félix,"€ 280,385","€ 14,580,000","€ 16,361,578",F,20,Portugal,Atletico Madrid,spain,2021
Yannick Carrasco,"€ 252,500","€ 13,130,000","€ 14,734,398",F,27,Belgium,Atletico Madrid,spain,2021
Thibaut Courtois,"€ 252,500","€ 13,130,000","€ 14,734,398",K,28,Belgium,Real Madrid,spain,2021
Clément Lenglet,"€ 230,769","€ 12,000,000","€ 13,466,320",D,25,France,Barcelona,spain,2021
Ousmane Dembélé,"€ 230,769","€ 12,000,000","€ 13,466,320",F,23,France,Barcelona,spain,2021
Saúl Ñíguez,"€ 230,769","€ 12,000,000","€ 13,466,320",M,25,Spain,Atletico Madrid,spain,2021
Iñaki Williams,"€ 219,231","€ 11,400,000","€ 12,793,004",F,26,Spain,Athletic Club,spain,2021
Casemiro,"€ 210,385","€ 10,940,000","€ 12,276,795",M,28,Brazil,Real Madrid,spain,2021
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 11,693,254",D,25,France,Real Madrid,spain,2021
Daniel Carvajal,"€ 196,346","€ 10,210,000","€ 11,457,594",D,28,Spain,Real Madrid,spain,2021
Marco Asensio,"€ 189,038","€ 9,830,000","€ 11,031,160",F,24,Spain,Real Madrid,spain,2021
Lucas Vázquez,"€ 180,385","€ 9,380,000","€ 10,526,173",F,29,Spain,Real Madrid,spain,2021
Diego Costa,"€ 178,846","€ 9,300,000","€ 10,436,398",F,32,Spain,Atletico Madrid,spain,2021
Marc-André ter Stegen,"€ 173,077","€ 9,000,000","€ 10,099,740",K,28,Germany,Barcelona,spain,2021
Sergi Roberto,"€ 173,077","€ 9,000,000","€ 10,099,740",D,28,Spain,Barcelona,spain,2021
Kévin Gameiro,"€ 171,923","€ 8,940,000","€ 10,032,408",F,33,France,Valencia,spain,2021
Iñigo Martínez,"€ 170,577","€ 8,870,000","€ 9,953,855",D,29,Spain,Athletic Club,spain,2021
Nacho Fernández,"€ 164,231","€ 8,540,000","€ 9,583,531",D,30,Spain,Real Madrid,spain,2021
Luka Jovic,"€ 160,192","€ 8,330,000","€ 9,347,870",F,22,Serbia,Real Madrid,spain,2021
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 9,347,870",D,25,Spain,Atletico Madrid,spain,2021
Mariano Díaz,"€ 160,192","€ 8,330,000","€ 9,347,870",F,27,Spain,Real Madrid,spain,2021
Rodrygo,"€ 160,192","€ 8,330,000","€ 9,347,870",F,19,Brazil,Real Madrid,spain,2021
Felipe,"€ 145,385","€ 7,560,000","€ 8,483,781",D,31,Brazil,Atletico Madrid,spain,2021
Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 8,225,677",D,28,Croatia,Atletico Madrid,spain,2021
Álvaro Odriozola,"€ 140,192","€ 7,290,000","€ 8,180,789",D,24,Spain,Real Madrid,spain,2021
Éder Militão,"€ 140,192","€ 7,290,000","€ 8,180,789",D,22,Brazil,Real Madrid,spain,2021
