,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Andrej Kramaric,"€ 76,923","€ 4,000,000","€ 4,000,000",F,31,Croatia,Hoffenheim,germany,2223
Koen Casteels,"€ 76,923","€ 4,000,000","€ 4,000,000",K,30,Belgium,Wolfsburg,germany,2223
Mathys Tel,"€ 76,923","€ 4,000,000","€ 4,000,000",F,17,France,Bayern Munich,germany,2223
Yussuf Poulsen,"€ 76,923","€ 4,000,000","€ 4,000,000",F,28,Denmark,Leipzig,germany,2223
Yann Sommer,"€ 76,923","€ 4,000,000","€ 4,000,000",K,33,Switzerland,Monchengladbach,germany,2223
Mahmoud Dahoud,"€ 76,923","€ 4,000,000","€ 4,000,000",M,27,Germany,Borussia Dortmund,germany,2223
Xaver Schlager,"€ 76,923","€ 4,000,000","€ 4,000,000",M,25,Austria,Leipzig,germany,2223
Callum Hudson-Odoi,"€ 76,923","€ 4,000,000","€ 4,000,000",F,22,England,Bayer Leverkusen,germany,2223
Sebastian Rudy,"€ 73,846","€ 3,840,000","€ 3,840,000",M,32,Germany,Hoffenheim,germany,2223
Simon Terodde,"€ 73,654","€ 3,830,000","€ 3,830,000",F,35,Germany,Schalke 04,germany,2223
Benjamin Henrichs,"€ 73,077","€ 3,800,000","€ 3,800,000",D,25,Germany,Leipzig,germany,2223
Max Kruse,"€ 73,077","€ 3,800,000","€ 3,800,000",F,34,Germany,Wolfsburg,germany,2223
Charles Aránguiz,"€ 72,692","€ 3,780,000","€ 3,780,000",M,33,Chile,Bayer Leverkusen,germany,2223
Salih Özcan,"€ 72,692","€ 3,780,000","€ 3,780,000",M,25,Turkey,Borussia Dortmund,germany,2223
Maxence Lacroix,"€ 69,615","€ 3,620,000","€ 3,620,000",D,22,France,Wolfsburg,germany,2223
Yannick Gerhardt,"€ 69,231","€ 3,600,000","€ 3,600,000",M,28,Germany,Wolfsburg,germany,2223
Munas Dabbur,"€ 67,308","€ 3,500,000","€ 3,500,000",F,30,Israel,Hoffenheim,germany,2223
Mario Götze,"€ 67,308","€ 3,500,000","€ 3,500,000",F,31,Germany,Eintracht Frankfurt,germany,2223
Jonas Hector,"€ 67,308","€ 3,500,000","€ 3,500,000",D,32,Germany,Koln,germany,2223
Kevin Trapp,"€ 67,308","€ 3,500,000","€ 3,500,000",K,32,Germany,Eintracht Frankfurt,germany,2223
Christoph Kramer,"€ 67,308","€ 3,500,000","€ 3,500,000",M,31,Germany,Monchengladbach,germany,2223
Timo Horn,"€ 67,308","€ 3,500,000","€ 3,500,000",K,29,Germany,Koln,germany,2223
Amadou Haidara,"€ 67,308","€ 3,500,000","€ 3,500,000",M,25,Mali,Leipzig,germany,2223
Angeliño,"€ 67,308","€ 3,500,000","€ 3,500,000",D,26,Spain,Hoffenheim,germany,2223
Thomas Delaney,"€ 66,731","€ 3,470,000","€ 3,470,000",M,31,Denmark,Hoffenheim,germany,2223
Luca Waldschmidt,"€ 65,385","€ 3,400,000","€ 3,400,000",F,26,Germany,Wolfsburg,germany,2223
