,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Dusan Vlahovic,"€ 249,231","€ 12,960,000","€ 12,960,000",F,24,Serbia,Juventus,italy,2324
Victor Osimhen,"€ 246,538","€ 12,820,000","€ 12,820,000",F,25,Nigeria,Napoli,italy,2324
Wojciech Szczesny,"€ 231,538","€ 12,040,000","€ 12,040,000",K,33,Poland,Juventus,italy,2324
Nicolò Barella,"€ 231,538","€ 12,040,000","€ 12,040,000",M,27,Italy,Inter Milan,italy,2324
Lautaro Martínez,"€ 213,654","€ 11,110,000","€ 11,110,000",F,26,Argentina,Inter Milan,italy,2324
Hakan Çalhanoğlu,"€ 213,654","€ 11,110,000","€ 11,110,000",M,29,Turkey,Inter Milan,italy,2324
Alex Sandro,"€ 213,654","€ 11,110,000","€ 11,110,000",D,33,Brazil,Juventus,italy,2324
Alessandro Bastoni,"€ 195,962","€ 10,190,000","€ 10,190,000",D,24,Italy,Inter Milan,italy,2324
Bremer,"€ 178,077","€ 9,260,000","€ 9,260,000",D,26,Brazil,Juventus,italy,2324
Federico Chiesa,"€ 178,077","€ 9,260,000","€ 9,260,000",F,26,Italy,Juventus,italy,2324
Adrien Rabiot,"€ 172,500","€ 8,970,000","€ 8,970,000",M,28,France,Juventus,italy,2324
Romelu Lukaku,"€ 172,500","€ 8,970,000","€ 8,970,000",F,30,Belgium,Roma,italy,2324
Marcus Thuram,"€ 147,885","€ 7,690,000","€ 7,690,000",F,26,France,Inter Milan,italy,2324
Ciro Immobile,"€ 142,500","€ 7,410,000","€ 7,410,000",F,33,Italy,Lazio,italy,2324
Luis Alberto,"€ 142,500","€ 7,410,000","€ 7,410,000",M,31,Spain,Lazio,italy,2324
Stefan de Vrij,"€ 135,385","€ 7,040,000","€ 7,040,000",D,31,Netherlands,Inter Milan,italy,2324
Paulo Dybala,"€ 135,385","€ 7,040,000","€ 7,040,000",F,30,Argentina,Roma,italy,2324
Ismaël Bennacer,"€ 135,385","€ 7,040,000","€ 7,040,000",M,26,Algeria,AC Milan,italy,2324
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 6,480,000",D,27,Italy,Roma,italy,2324
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 6,480,000",F,27,Italy,Roma,italy,2324
Piotr Zieliński,"€ 124,615","€ 6,480,000","€ 6,480,000",M,29,Poland,Napoli,italy,2324
Federico Dimarco,"€ 124,615","€ 6,480,000","€ 6,480,000",D,26,Italy,Inter Milan,italy,2324
Benjamin Pavard,"€ 123,269","€ 6,410,000","€ 6,410,000",D,27,France,Inter Milan,italy,2324
Rafael Leão,"€ 123,269","€ 6,410,000","€ 6,410,000",F,24,Portugal,AC Milan,italy,2324
Manuel Locatelli,"€ 117,500","€ 6,110,000","€ 6,110,000",M,26,Italy,Juventus,italy,2324
Matteo Politano,"€ 114,038","€ 5,930,000","€ 5,930,000",F,30,Italy,Napoli,italy,2324
Gianluca Scamacca,"€ 114,038","€ 5,930,000","€ 5,930,000",F,25,Italy,Atalanta,italy,2324
Tammy Abraham,"€ 110,962","€ 5,770,000","€ 5,770,000",F,26,England,Roma,italy,2324
Leandro Paredes,"€ 110,962","€ 5,770,000","€ 5,770,000",M,29,Argentina,Roma,italy,2324
Leander Dendoncker,"€ 106,923","€ 5,560,000","€ 5,560,000",M,28,Belgium,Napoli,italy,2324
Alessandro Florenzi,"€ 106,923","€ 5,560,000","€ 5,560,000",D,32,Italy,AC Milan,italy,2324
Alessio Romagnoli,"€ 106,923","€ 5,560,000","€ 5,560,000",D,29,Italy,Lazio,italy,2324
Domenico Berardi,"€ 106,923","€ 5,560,000","€ 5,560,000",F,29,Italy,Sassuolo,italy,2324
Giovanni Di Lorenzo,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,Napoli,italy,2324
Nikola Milenkovic,"€ 106,923","€ 5,560,000","€ 5,560,000",D,26,Serbia,Fiorentina,italy,2324
Leonardo Spinazzola,"€ 106,923","€ 5,560,000","€ 5,560,000",D,30,Italy,Roma,italy,2324
Bryan Cristante,"€ 99,808","€ 5,190,000","€ 5,190,000",M,28,Italy,Roma,italy,2324
Davide Frattesi,"€ 99,808","€ 5,190,000","€ 5,190,000",M,24,Italy,Inter Milan,italy,2324
Danilo,"€ 98,654","€ 5,130,000","€ 5,130,000",D,32,Brazil,Juventus,italy,2324
Theo Hernández,"€ 98,654","€ 5,130,000","€ 5,130,000",D,26,France,AC Milan,italy,2324
Samuel Chukwueze,"€ 98,654","€ 5,130,000","€ 5,130,000",F,24,Nigeria,AC Milan,italy,2324
Christian Pulisic,"€ 98,654","€ 5,130,000","€ 5,130,000",F,25,United States,AC Milan,italy,2324
Evan N'Dicka,"€ 98,654","€ 5,130,000","€ 5,130,000",D,24,Cote d'Ivoire,Roma,italy,2324
Ruben Loftus-Cheek,"€ 98,654","€ 5,130,000","€ 5,130,000",M,28,England,AC Milan,italy,2324
Henrikh Mkhitaryan,"€ 93,654","€ 4,870,000","€ 4,870,000",M,35,Armenia,Inter Milan,italy,2324
Alexis Sánchez,"€ 89,038","€ 4,630,000","€ 4,630,000",F,35,Chile,Inter Milan,italy,2324
Giacomo Raspadori,"€ 89,038","€ 4,630,000","€ 4,630,000",F,23,Italy,Napoli,italy,2324
Juan Cuadrado,"€ 89,038","€ 4,630,000","€ 4,630,000",M,35,Colombia,Inter Milan,italy,2324
Federico Fazio,"€ 89,038","€ 4,630,000","€ 4,630,000",D,36,Argentina,Salernitana,italy,2324
Duván Zapata,"€ 89,038","€ 4,630,000","€ 4,630,000",F,32,Colombia,Torino,italy,2324
Stephan El Shaarawy,"€ 89,038","€ 4,630,000","€ 4,630,000",F,31,Italy,Roma,italy,2324
Renato Sanches,"€ 88,846","€ 4,620,000","€ 4,620,000",M,26,Portugal,Roma,italy,2324
Chris Smalling,"€ 86,346","€ 4,490,000","€ 4,490,000",D,34,England,Roma,italy,2324
Fikayo Tomori,"€ 86,346","€ 4,490,000","€ 4,490,000",D,26,England,AC Milan,italy,2324
Arkadiusz Milik,"€ 86,346","€ 4,490,000","€ 4,490,000",F,29,Poland,Juventus,italy,2324
Olivier Giroud,"€ 86,346","€ 4,490,000","€ 4,490,000",F,37,France,AC Milan,italy,2324
Andrea Pinamonti,"€ 85,385","€ 4,440,000","€ 4,440,000",F,24,Italy,Sassuolo,italy,2324
Andrea Cambiaso,"€ 85,385","€ 4,440,000","€ 4,440,000",D,24,Italy,Juventus,italy,2324
Rick Karsdorp,"€ 78,269","€ 4,070,000","€ 4,070,000",D,28,Netherlands,Roma,italy,2324
Elseid Hysaj,"€ 78,269","€ 4,070,000","€ 4,070,000",D,30,Albania,Lazio,italy,2324
Andrea Petagna,"€ 78,269","€ 4,070,000","€ 4,070,000",F,28,Italy,Cagliari,italy,2324
Mattia Caldara,"€ 78,269","€ 4,070,000","€ 4,070,000",D,29,Italy,AC Milan,italy,2324
Rui Patrício,"€ 74,038","€ 3,850,000","€ 3,850,000",K,35,Portugal,Roma,italy,2324
Marko Arnautovic,"€ 74,038","€ 3,850,000","€ 3,850,000",F,34,Austria,Inter Milan,italy,2324
Nicolás González,"€ 74,038","€ 3,850,000","€ 3,850,000",F,25,Argentina,Fiorentina,italy,2324
Moise Kean,"€ 74,038","€ 3,850,000","€ 3,850,000",F,23,Italy,Juventus,italy,2324
Daichi Kamada,"€ 74,038","€ 3,850,000","€ 3,850,000",F,27,Japan,Lazio,italy,2324
Stefano Sensi,"€ 71,154","€ 3,700,000","€ 3,700,000",M,28,Italy,Inter Milan,italy,2324
Davide Calabria,"€ 71,154","€ 3,700,000","€ 3,700,000",D,27,Italy,AC Milan,italy,2324
Daniele Rugani,"€ 71,154","€ 3,700,000","€ 3,700,000",D,29,Italy,Juventus,italy,2324
Tiago Djaló,"€ 71,154","€ 3,700,000","€ 3,700,000",D,23,Portugal,Juventus,italy,2324
Alex Meret,"€ 71,154","€ 3,700,000","€ 3,700,000",K,26,Italy,Napoli,italy,2324
Nicolò Rovella,"€ 71,154","€ 3,700,000","€ 3,700,000",M,22,Italy,Lazio,italy,2324
Riccardo Orsolini,"€ 71,154","€ 3,700,000","€ 3,700,000",F,27,Italy,Bologna,italy,2324
Junior Messias,"€ 71,154","€ 3,700,000","€ 3,700,000",F,32,Brazil,Genoa,italy,2324
Stanislav Lobotka,"€ 69,038","€ 3,590,000","€ 3,590,000",M,29,Slovakia,Napoli,italy,2324
Mike Maignan,"€ 69,038","€ 3,590,000","€ 3,590,000",K,28,France,AC Milan,italy,2324
Houssem Aouar,"€ 69,038","€ 3,590,000","€ 3,590,000",M,25,Algeria,Roma,italy,2324
Mattia Zaccagni,"€ 67,692","€ 3,520,000","€ 3,520,000",F,28,Italy,Lazio,italy,2324
Leonardo Bonucci,"€ 67,308","€ 3,500,000","€ 3,500,000",D,36,Italy,Juventus,italy,2324
André Zambo Anguissa,"€ 66,538","€ 3,460,000","€ 3,460,000",M,28,Cameroon,Napoli,italy,2324
Diego Llorente,"€ 66,538","€ 3,460,000","€ 3,460,000",D,30,Spain,Roma,italy,2324
Matías Vecino,"€ 64,038","€ 3,330,000","€ 3,330,000",M,32,Uruguay,Lazio,italy,2324
Mário Rui,"€ 64,038","€ 3,330,000","€ 3,330,000",D,32,Portugal,Napoli,italy,2324
Giovanni Simeone,"€ 64,038","€ 3,330,000","€ 3,330,000",F,28,Argentina,Napoli,italy,2324
Marash Kumbulla,"€ 64,038","€ 3,330,000","€ 3,330,000",D,23,Albania,Roma,italy,2324
Adam Marusic,"€ 64,038","€ 3,330,000","€ 3,330,000",D,31,Montenegro,Lazio,italy,2324
Marash Kumbulla,"€ 64,038","€ 3,330,000","€ 3,330,000",D,23,Albania,Sassuolo,italy,2324
Charles De Ketelaere,"€ 61,731","€ 3,210,000","€ 3,210,000",F,23,Belgium,Atalanta,italy,2324
Arthur,"€ 61,731","€ 3,210,000","€ 3,210,000",M,26,Brazil,Juventus,italy,2324
Filip Kostic,"€ 61,731","€ 3,210,000","€ 3,210,000",M,31,Serbia,Juventus,italy,2324
Weston McKennie,"€ 61,731","€ 3,210,000","€ 3,210,000",M,25,United States,Juventus,italy,2324
Amir Rrahmani,"€ 61,731","€ 3,210,000","€ 3,210,000",D,29,Kosovo,Napoli,italy,2324
Diego Demme,"€ 61,731","€ 3,210,000","€ 3,210,000",M,32,Germany,Napoli,italy,2324
Luka Jovic,"€ 61,731","€ 3,210,000","€ 3,210,000",F,26,Serbia,AC Milan,italy,2324
Denzel Dumfries,"€ 61,731","€ 3,210,000","€ 3,210,000",M,27,Netherlands,Inter Milan,italy,2324
Matteo Darmian,"€ 61,731","€ 3,210,000","€ 3,210,000",D,34,Italy,Inter Milan,italy,2324
Arthur,"€ 61,731","€ 3,210,000","€ 3,210,000",M,27,Brazil,Fiorentina,italy,2324
Yann Sommer,"€ 61,731","€ 3,210,000","€ 3,210,000",K,35,Switzerland,Inter Milan,italy,2324
Manuel Lazzari,"€ 60,577","€ 3,150,000","€ 3,150,000",M,30,Italy,Lazio,italy,2324
Armando Izzo,"€ 60,577","€ 3,150,000","€ 3,150,000",D,31,Italy,Monza,italy,2324
Cristiano Biraghi,"€ 60,577","€ 3,150,000","€ 3,150,000",D,31,Italy,Fiorentina,italy,2324
Vitinha,"€ 57,692","€ 3,000,000","€ 3,000,000",F,23,Portugal,Genoa,italy,2324
Rolando Mandragora,"€ 56,923","€ 2,960,000","€ 2,960,000",M,26,Italy,Fiorentina,italy,2324
Juan Musso,"€ 56,923","€ 2,960,000","€ 2,960,000",K,29,Argentina,Atalanta,italy,2324
Antonio Sanabria,"€ 56,923","€ 2,960,000","€ 2,960,000",F,27,Paraguay,Torino,italy,2324
Jesper Lindstrøm,"€ 56,731","€ 2,950,000","€ 2,950,000",F,23,Denmark,Napoli,italy,2324
Felipe Anderson,"€ 54,231","€ 2,820,000","€ 2,820,000",F,30,Brazil,Lazio,italy,2324
Pedro,"€ 54,231","€ 2,820,000","€ 2,820,000",F,36,Spain,Lazio,italy,2324
Carlos Augusto,"€ 54,231","€ 2,820,000","€ 2,820,000",M,25,Brazil,Inter Milan,italy,2324
Mitchel Bakker,"€ 54,231","€ 2,820,000","€ 2,820,000",M,23,Netherlands,Atalanta,italy,2324
M'Bala Nzola,"€ 53,462","€ 2,780,000","€ 2,780,000",F,27,Angola,Fiorentina,italy,2324
Mattia De Sciglio,"€ 53,462","€ 2,780,000","€ 2,780,000",D,31,Italy,Juventus,italy,2324
Fabiano Parisi,"€ 53,462","€ 2,780,000","€ 2,780,000",D,23,Italy,Fiorentina,italy,2324
Rade Krunic,"€ 53,462","€ 2,780,000","€ 2,780,000",M,29,Bosnia-Herzegovina,AC Milan,italy,2324
Aleksey Miranchuk,"€ 53,462","€ 2,780,000","€ 2,780,000",F,28,Russia,Atalanta,italy,2324
Giacomo Bonaventura,"€ 53,462","€ 2,780,000","€ 2,780,000",M,34,Italy,Fiorentina,italy,2324
Danilo Cataldi,"€ 53,462","€ 2,780,000","€ 2,780,000",M,29,Italy,Lazio,italy,2324
Roberto Gagliardini,"€ 53,462","€ 2,780,000","€ 2,780,000",M,30,Italy,Monza,italy,2324
Tajon Buchanan,"€ 53,462","€ 2,780,000","€ 2,780,000",M,24,Canada,Inter Milan,italy,2324
Giorgio Scalvini,"€ 53,462","€ 2,780,000","€ 2,780,000",D,20,Italy,Atalanta,italy,2324
Eljif Elmas,"€ 53,462","€ 2,780,000","€ 2,780,000",M,23,North Macedonia,Napoli,italy,2324
Antonin Barak,"€ 53,462","€ 2,780,000","€ 2,780,000",F,29,Czech Republic,Fiorentina,italy,2324
