,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)",POS.,AGE,COUNTRY,CLUB,,
Ousmane Dembélé,"€ 346,154","€ 18,000,000","€ 18,000,000",F,27,France,PSG,france,2425
Khvicha Kvaratskhelia,"€ 314,615","€ 16,360,000","€ 16,360,000",F,23,Georgia,PSG,france,2425
Marquinhos,"€ 258,654","€ 13,450,000","€ 13,450,000",D,30,Brazil,PSG,france,2425
Lucas Hernández,"€ 253,846","€ 13,200,000","€ 13,200,000",D,28,France,PSG,france,2425
Achraf Hakimi,"€ 253,846","€ 13,200,000","€ 13,200,000",D,26,Morocco,PSG,france,2425
Gianluigi Donnarumma,"€ 244,808","€ 12,730,000","€ 12,730,000",K,25,Italy,PSG,france,2425
Warren Zaïre-Emery,"€ 219,231","€ 11,400,000","€ 11,400,000",M,18,France,PSG,france,2425
Vitinha,"€ 209,615","€ 10,900,000","€ 10,900,000",M,24,Portugal,PSG,france,2425
Nuno Mendes,"€ 192,308","€ 10,000,000","€ 10,000,000",D,22,Portugal,PSG,france,2425
Milan Skriniar,"€ 157,308","€ 8,180,000","€ 8,180,000",D,29,Slovakia,PSG,france,2425
Presnel Kimpembe,"€ 147,692","€ 7,680,000","€ 7,680,000",D,29,France,PSG,france,2425
Marco Asensio,"€ 139,808","€ 7,270,000","€ 7,270,000",F,28,Spain,PSG,france,2425
Bradley Barcola,"€ 126,923","€ 6,600,000","€ 6,600,000",F,22,France,PSG,france,2425
Adrien Rabiot,"€ 122,308","€ 6,360,000","€ 6,360,000",M,29,France,Marseille,france,2425
Corentin Tolisso,"€ 122,308","€ 6,360,000","€ 6,360,000",M,30,France,Lyon,france,2425
Pierre-Emile Højbjerg,"€ 118,846","€ 6,180,000","€ 6,180,000",M,29,Denmark,Marseille,france,2425
Désiré Doué,"€ 115,385","€ 6,000,000","€ 6,000,000",F,19,France,PSG,france,2425
Alexandre Lacazette,"€ 115,385","€ 6,000,000","€ 6,000,000",F,33,France,Lyon,france,2425
Gonçalo Ramos,"€ 105,769","€ 5,500,000","€ 5,500,000",F,23,Portugal,PSG,france,2425
Fabián Ruiz,"€ 104,808","€ 5,450,000","€ 5,450,000",M,28,Spain,PSG,france,2425
Tanguy Ndombélé,"€ 104,808","€ 5,450,000","€ 5,450,000",M,28,France,Nice,france,2425
Mason Greenwood,"€ 104,808","€ 5,450,000","€ 5,450,000",F,23,Jamaica,Marseille,france,2425
Ismaël Bennacer,"€ 104,808","€ 5,450,000","€ 5,450,000",M,27,Algeria,Marseille,france,2425
Geoffrey Kondogbia,"€ 104,808","€ 5,450,000","€ 5,450,000",M,31,Central African Republic,Marseille,france,2425
Moussa Niakhaté,"€ 104,808","€ 5,450,000","€ 5,450,000",D,28,Senegal,Lyon,france,2425
Seko Fofana,"€ 104,808","€ 5,450,000","€ 5,450,000",M,29,Cote d'Ivoire,Rennes,france,2425
Saïd Benrahma,"€ 97,885","€ 5,090,000","€ 5,090,000",F,29,Algeria,Lyon,france,2425
Brice Samba,"€ 97,885","€ 5,090,000","€ 5,090,000",K,30,France,Rennes,france,2425
Morgan Sanson,"€ 97,885","€ 5,090,000","€ 5,090,000",M,30,France,Nice,france,2425
João Neves,"€ 92,692","€ 4,820,000","€ 4,820,000",M,20,Portugal,PSG,france,2425
Nemanja Matic,"€ 92,692","€ 4,820,000","€ 4,820,000",M,36,Serbia,Lyon,france,2425
Randal Kolo Muani,"€ 87,500","€ 4,550,000","€ 4,550,000",F,26,France,PSG,france,2425
Jonathan Clauss,"€ 87,500","€ 4,550,000","€ 4,550,000",D,32,France,Nice,france,2425
André Gomes,"€ 87,500","€ 4,550,000","€ 4,550,000",M,31,Portugal,Lille,france,2425
Thomas Meunier,"€ 87,500","€ 4,550,000","€ 4,550,000",D,33,Belgium,Lille,france,2425
Dante,"€ 87,500","€ 4,550,000","€ 4,550,000",D,41,Brazil,Nice,france,2425
Elye Wahi,"€ 87,500","€ 4,550,000","€ 4,550,000",F,21,France,Marseille,france,2425
Amine Gouiri,"€ 87,500","€ 4,550,000","€ 4,550,000",F,24,Algeria,Marseille,france,2425
Willian Pacho,"€ 87,308","€ 4,540,000","€ 4,540,000",D,23,Ecuador,PSG,france,2425
Juan Bernat,"€ 84,231","€ 4,380,000","€ 4,380,000",D,31,Spain,PSG,france,2425
Denis Zakaria,"€ 84,038","€ 4,370,000","€ 4,370,000",M,28,Switzerland,Monaco,france,2425
Leonardo Balerdi,"€ 83,846","€ 4,360,000","€ 4,360,000",D,26,Argentina,Marseille,france,2425
Anthony Lopes,"€ 80,769","€ 4,200,000","€ 4,200,000",K,33,Portugal,Lyon,france,2425
Ludovic Blas,"€ 80,385","€ 4,180,000","€ 4,180,000",F,27,France,Rennes,france,2425
Azzedine Ounahi,"€ 79,808","€ 4,150,000","€ 4,150,000",M,24,Morocco,Marseille,france,2425
Takumi Minamino,"€ 79,615","€ 4,140,000","€ 4,140,000",F,30,Japan,Monaco,france,2425
Aleksandr Golovin,"€ 77,308","€ 4,020,000","€ 4,020,000",F,28,Russia,Monaco,france,2425
Rayan Cherki,"€ 76,923","€ 4,000,000","€ 4,000,000",F,21,France,Lyon,france,2425
Mitchel Bakker,"€ 76,923","€ 4,000,000","€ 4,000,000",D,24,Netherlands,Lille,france,2425
Valentin Rongier,"€ 76,154","€ 3,960,000","€ 3,960,000",M,30,France,Marseille,france,2425
Gaëtan Laborde,"€ 74,038","€ 3,850,000","€ 3,850,000",F,30,France,Nice,france,2425
Chancel Mbemba,"€ 73,846","€ 3,840,000","€ 3,840,000",D,30,Democratic Republic of the Congo,Marseille,france,2425
Ernest Nuamah,"€ 70,000","€ 3,640,000","€ 3,640,000",F,21,Ghana,Lyon,france,2425
Anthony Lopes,"€ 70,000","€ 3,640,000","€ 3,640,000",K,34,Portugal,Nantes,france,2425
Glen Kamara,"€ 70,000","€ 3,640,000","€ 3,640,000",M,28,Finland,Rennes,france,2425
Kang-in Lee,"€ 70,000","€ 3,640,000","€ 3,640,000",F,23,South Korea,PSG,france,2425
Jérémie Boga,"€ 70,000","€ 3,640,000","€ 3,640,000",F,28,Cote d'Ivoire,Nice,france,2425
Luiz Felipe,"€ 70,000","€ 3,640,000","€ 3,640,000",D,27,Italy,Marseille,france,2425
Breel Embolo,"€ 66,346","€ 3,450,000","€ 3,450,000",F,27,Switzerland,Monaco,france,2425
