,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Josip Stanisic,,"€ 126,923","€ 6,600,000","€ 1,650,000","Jun 27, 2024","Jun 30, 2029",4,"€ 26,400,000",,Starter,D,RB,25,Croatia,Bayern Munich,True,,germany,2526
Carney Chukwuemeka,,"€ 115,385","€ 6,000,000","€ 1,500,000","Aug 26, 2025","Jun 30, 2030",5,"€ 30,000,000",,Reserve,M,CM,22,England,Borussia Dortmund,True,,germany,2526
Matthias Ginter,,"€ 108,846","€ 5,660,000","€ 1,420,000","Jul 1, 2022","Jun 30, 2027",2,"€ 11,320,000",,Starter,D,CB,32,Germany,Freiburg,True,,germany,2526
Willi Orbán,,"€ 108,846","€ 5,660,000","€ 1,420,000","Oct 6, 2023","Jun 30, 2027",2,"€ 11,320,000",,Starter,D,CB,33,Hungary,Leipzig,True,,germany,2526
Lukas Klostermann,,"€ 108,846","€ 5,660,000","€ 1,420,000","Jan 11, 2024","Jun 30, 2028",3,"€ 16,980,000",,Reserve,D,CB,29,Germany,Leipzig,True,,germany,2526
Robin Koch,,"€ 108,846","€ 5,660,000","€ 1,320,000","Jun 10, 2025","Jun 30, 2030",5,"€ 28,300,000",,Reserve,D,CB,29,Germany,Eintracht Frankfurt,True,,germany,2526
Edmond Tapsoba,,"€ 108,846","€ 5,660,000","€ 1,420,000","Sep 4, 2023","Jun 30, 2028",3,"€ 16,980,000","€ 100,000,000",Starter,D,CB,27,Burkina Faso,Bayer Leverkusen,True,,germany,2526
Ritsu Doan,,"€ 108,846","€ 5,660,000","€ 1,420,000","Aug 7, 2025","Jun 30, 2030",5,"€ 28,300,000",,Starter,F,RW,27,Japan,Eintracht Frankfurt,True,,germany,2526
Aleksandar Pavlovic,,"€ 108,846","€ 5,660,000","€ 1,420,000","Jun 16, 2024","Jun 30, 2029",4,"€ 22,640,000",,Starter,M,DM,21,Germany,Bayern Munich,True,,germany,2526
Péter Gulácsi,,"€ 108,846","€ 5,660,000","€ 1,420,000","Feb 9, 2026","Jun 30, 2027",2,"€ 11,320,000",,Reserve,K,GK,35,Hungary,Leipzig,True,,germany,2526
Lovro Majer,,"€ 108,846","€ 5,660,000","€ 1,420,000","Aug 16, 2023","Jun 30, 2028",3,"€ 16,980,000",,Starter,F,AM,28,Croatia,Wolfsburg,True,,germany,2526
Waldemar Anton,,"€ 101,538","€ 5,280,000","€ 1,320,000","Jul 8, 2024","Jun 30, 2028",3,"€ 15,840,000",,Starter,D,CB,29,Germany,Borussia Dortmund,True,,germany,2526
Aleix García,,"€ 101,538","€ 5,280,000","€ 1,320,000","Jul 1, 2024","Jun 30, 2029",4,"€ 21,120,000",,Starter,M,CM,28,Spain,Bayer Leverkusen,True,,germany,2526
Castello Lukeba,,"€ 101,538","€ 5,280,000","€ 1,320,000","Oct 23, 2024","Jun 30, 2029",4,"€ 21,120,000","€ 80,000,000",Starter,D,CB,23,France,Leipzig,True,,germany,2526
Philipp Lienhart,,"€ 101,538","€ 5,280,000","€ 1,320,000","Jun 1, 2023","Jun 30, 2026",1,"€ 5,280,000",,Reserve,D,CB,29,Austria,Freiburg,True,,germany,2526
Felix Nmecha,,"€ 96,154","€ 5,000,000","€ 1,250,000","Jul 3, 2023","Jun 30, 2028",3,"€ 15,000,000",,Starter,M,CM,25,Germany,Borussia Dortmund,True,,germany,2526
Karim Adeyemi,,"€ 96,154","€ 5,000,000","€ 1,250,000","Jul 1, 2022","Jun 30, 2027",2,"€ 10,000,000",,Reserve,F,RW,24,Germany,Borussia Dortmund,True,,germany,2526
