,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Nadiem Amiri,,"€ 54,423","€ 2,830,000","€ 710,000","May 21, 2024","Jun 30, 2028",3,"€ 8,490,000",,Starter,M,CM,29,Germany,Mainz,True,,germany,2526
Atakan Karazor,,"€ 54,423","€ 2,830,000","€ 710,000","Jun 12, 2024","Jun 30, 2028",3,"€ 8,490,000",,Reserve,M,DM,29,Turkey,Stuttgart,True,,germany,2526
Christian Günter,,"€ 54,423","€ 2,830,000","€ 710,000","Feb 4, 2026","Jun 30, 2026",1,"€ 2,830,000",,Starter,D,LB,32,Germany,Freiburg,True,,germany,2526
Tom Bischof,,"€ 54,423","€ 2,830,000","€ 710,000","Jun 9, 2025","Jun 30, 2029",4,"€ 11,320,000",,Reserve,M,CM,20,Germany,Bayern Munich,True,,germany,2526
Fábio Vieira,,"€ 54,423","€ 2,830,000","€ 710,000","Sep 1, 2025","Jun 30, 2026",1,"€ 2,830,000",,Starter,F,AM,25,Portugal,Hamburg,True,,germany,2526
Ragnar Ache,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 1, 2025","Jun 30, 2029",4,"€ 11,320,000",,Starter,F,CF,27,Germany,Koln,True,,germany,2526
Kevin Stöger,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 1, 2024","Jun 30, 2027",2,"€ 5,660,000",,Reserve,F,AM,32,Austria,Monchengladbach,True,,germany,2526
Danilho Doekhi,,"€ 54,423","€ 2,830,000","€ 710,000","Oct 27, 2024","Jun 30, 2026",1,"€ 2,830,000",,Starter,D,CB,27,Netherlands,Union Berlin,True,,germany,2526
Josha Vagnoman,,"€ 54,423","€ 2,830,000","€ 710,000","Aug 31, 2025","Jun 30, 2028",3,"€ 8,490,000",,Reserve,D,RB,25,Germany,Stuttgart,True,,germany,2526
Victor Boniface,,"€ 54,423","€ 2,830,000","€ 710,000","Sep 1, 2025","Jun 30, 2026",1,"€ 2,830,000",,Reserve,F,CF,25,Nigeria,Werder Bremen,True,,germany,2526
Yussuf Poulsen,,"€ 50,769","€ 2,640,000","€ 660,000","Jul 13, 2025","Jun 30, 2027",2,"€ 5,280,000",,Reserve,F,CF,31,Denmark,Hamburg,True,,germany,2526
Niklas Stark,,"€ 50,769","€ 2,640,000","€ 660,000","Jun 19, 2025","Jun 30, 2026",1,"€ 2,640,000",,Starter,D,CB,30,Germany,Werder Bremen,True,,germany,2526
Timo Hübers,,"€ 50,769","€ 2,640,000","€ 660,000","Jul 13, 2023","Jun 30, 2026",1,"€ 2,640,000",,Reserve,D,CB,29,Germany,Koln,True,,germany,2526
Alessio Castro-Montes,,"€ 50,769","€ 2,640,000","€ 660,000","Sep 1, 2025","Jun 30, 2028",3,"€ 7,920,000",,Reserve,M,RM,28,Belgium,Koln,True,,germany,2526
Jae-sung Lee,,"€ 50,769","€ 2,640,000","€ 660,000","Jun 27, 2023","Jun 30, 2026",1,"€ 2,640,000",,Starter,F,AM,33,South Korea,Mainz,True,,germany,2526
Leonardo Bittencourt,,"€ 50,769","€ 2,640,000","€ 660,000","Oct 26, 2022","Jun 30, 2026",1,"€ 2,640,000",,Reserve,M,CM,32,Germany,Werder Bremen,True,,germany,2526
Senne Lynen,,"€ 50,769","€ 2,640,000","€ 660,000","Jul 18, 2025","Jun 30, 2026",1,"€ 2,640,000",,Starter,M,DM,26,Belgium,Werder Bremen,True,,germany,2526
Robin Zentner,,"€ 47,115","€ 2,450,000","€ 610,000","Dec 1, 2024","Jun 30, 2028",3,"€ 7,350,000",,Reserve,K,GK,31,Germany,Mainz,True,,germany,2526
Ezequiel Fernández,,"€ 47,115","€ 2,450,000","€ 610,000","Sep 1, 2025","Jun 30, 2030",5,"€ 12,250,000",,Starter,M,DM,23,Argentina,Bayer Leverkusen,True,,germany,2526
Daniel Svensson,,"€ 47,115","€ 2,450,000","€ 610,000","Jul 1, 2025","Jun 30, 2029",4,"€ 9,800,000",,Starter,D,LB,23,Sweden,Borussia Dortmund,True,,germany,2526
Philipp Treu,,"€ 47,115","€ 2,450,000","€ 610,000","Jul 1, 2025","Jun 30, 2026",1,"€ 2,450,000",,Starter,D,RB,25,Germany,Freiburg,True,,germany,2526
Valentin Gendrey,,"€ 47,115","€ 2,450,000","€ 610,000","Aug 27, 2024","Jun 30, 2028",3,"€ 7,350,000",,Reserve,D,RB,25,France,Hoffenheim,True,,germany,2526
Andreas Hanche-Olsen,,"€ 47,115","€ 2,450,000","€ 610,000","Jul 10, 2025","Jun 30, 2028",3,"€ 7,350,000",,Reserve,D,CB,29,Norway,Mainz,True,,germany,2526
Yukinari Sugawara,,"€ 45,385","€ 2,360,000","€ 590,000","Aug 26, 2025","Jun 30, 2026",1,"€ 2,360,000",,Reserve,D,RB,25,Japan,Werder Bremen,True,,germany,2526
Nathaniel Brown,,"€ 43,462","€ 2,260,000","€ 570,000","Feb 27, 2025","Jun 30, 2030",5,"€ 11,300,000",,Starter,D,LB,22,Germany,Eintracht Frankfurt,True,,germany,2526
Chrislain Matsima,,"€ 43,462","€ 2,260,000","€ 570,000","Nov 25, 2025","Jun 30, 2030",5,"€ 11,300,000",,Reserve,D,CB,23,France,Augsburg,True,,germany,2526
Finn Dahmen,,"€ 43,462","€ 2,260,000","€ 570,000","May 2, 2025","Jun 30, 2027",2,"€ 4,520,000",,Starter,K,GK,27,Germany,Augsburg,True,,germany,2526
Jeffrey Gouweleeuw,,"€ 43,462","€ 2,260,000","€ 570,000","Jan 30, 2026","Jun 30, 2027",2,"€ 4,520,000",,Reserve,D,CB,34,Netherlands,Augsburg,True,,germany,2526
Kristijan Jakic,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 1, 2024","Jun 30, 2028",3,"€ 6,780,000",,Starter,M,DM,28,Croatia,Augsburg,True,,germany,2526
Marius Wolf,,"€ 43,462","€ 2,260,000","€ 570,000","Aug 8, 2024","Jun 30, 2027",2,"€ 4,520,000",,Reserve,D,RB,30,Germany,Augsburg,True,,germany,2526
Josip Juranovic,,"€ 43,462","€ 2,260,000","€ 570,000","Aug 22, 2025","Jun 30, 2026",1,"€ 2,260,000",,Reserve,D,RB,30,Croatia,Union Berlin,True,,germany,2526
Alex Král,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 1, 2024","Jun 30, 2026",1,"€ 2,260,000",,Reserve,M,CM,27,Czech Republic,Union Berlin,True,,germany,2526
Lorenz Assignon,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 1, 2025","Jun 30, 2029",4,"€ 9,040,000",,Starter,D,RB,25,France,Stuttgart,True,,germany,2526
Dan-Axel Zagadou,,"€ 43,462","€ 2,260,000","€ 570,000","Sep 19, 2022","Jun 30, 2026",1,"€ 2,260,000","€ 15,000,000",Reserve,D,CB,26,France,Stuttgart,True,,germany,2526
Maximilian Philipp,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 1, 2024","Jun 30, 2026",1,"€ 2,260,000",,Reserve,F,SS,31,Germany,Freiburg,True,,germany,2526
Shuto Machino,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 26, 2025","Jun 30, 2029",4,"€ 9,040,000",,Reserve,F,CF,26,Japan,Monchengladbach,True,,germany,2526
Nicolás Capaldo,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 10, 2025","Jun 30, 2028",3,"€ 6,780,000",,Starter,M,CM,27,Argentina,Hamburg,True,,germany,2526
Robert Glatzel,,"€ 43,462","€ 2,260,000","€ 570,000","Jun 12, 2023","Jun 30, 2027",2,"€ 4,520,000",,Starter,F,CF,32,Germany,Hamburg,True,,germany,2526
Dominik Kohr,,"€ 43,462","€ 2,260,000","€ 570,000","Apr 11, 2025","Jun 30, 2028",3,"€ 6,780,000",,Starter,D,CB,32,Germany,Mainz,True,,germany,2526
Benedict Hollerbach,,"€ 43,462","€ 2,260,000","€ 570,000","Jul 1, 2025","Jun 30, 2029",4,"€ 9,040,000",,Reserve,F,CF,24,Germany,Mainz,True,,germany,2526
Ihlas Bebou,,"€ 43,462","€ 2,260,000","€ 570,000","Dec 17, 2021","Jun 30, 2026",1,"€ 2,260,000",,Reserve,F,CF,31,Togo,Hoffenheim,True,,germany,2526
Conrad Harder,,"€ 43,462","€ 2,260,000","€ 570,000","Sep 1, 2025","Jun 30, 2030",5,"€ 11,300,000",,Reserve,F,CF,20,Denmark,Leipzig,True,,germany,2526
Antonio Nusa,,"€ 43,462","€ 2,260,000","€ 570,000","Aug 13, 2024","Jun 30, 2029",4,"€ 9,040,000",,Reserve,F,LW,20,Norway,Leipzig,True,,germany,2526
Marvin Schwäbe,,"€ 43,462","€ 2,260,000","€ 570,000","Jun 28, 2023","Jun 30, 2027",2,"€ 4,520,000",,Starter,K,GK,30,Germany,Koln,True,,germany,2526
Silvan Widmer,,"€ 40,000","€ 2,080,000","€ 520,000","May 5, 2023","Jun 30, 2026",1,"€ 2,080,000",,Reserve,D,RB,32,Switzerland,Mainz,True,,germany,2526
Robert Skov,,"€ 40,000","€ 2,080,000","€ 520,000","Sep 4, 2024","Jun 30, 2026",1,"€ 2,080,000",,Reserve,M,LM,29,Denmark,Union Berlin,True,,germany,2526
Cédric Zesiger,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2025","Jun 30, 2029",4,"€ 8,320,000",,Starter,D,CB,27,Switzerland,Augsburg,True,,germany,2526
Marvin Friedrich,,"€ 40,000","€ 2,080,000","€ 520,000","Jan 11, 2022","Jun 30, 2026",1,"€ 2,080,000",,Reserve,D,CB,30,Germany,Monchengladbach,True,,germany,2526
Jordan Torunarigha,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2025","Jun 30, 2028",3,"€ 6,240,000",,Starter,D,CB,28,Nigeria,Hamburg,True,,germany,2526
Keven Schlotterbeck,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 1, 2024","Jun 30, 2027",2,"€ 4,160,000",,Starter,D,CB,28,Germany,Augsburg,True,,germany,2526
Samuel Mbangula,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 23, 2025","Jun 30, 2030",5,"€ 10,400,000",,Starter,F,LW,22,Belgium,Werder Bremen,True,,germany,2526
Jonas Wind,,"€ 40,000","€ 2,080,000","€ 520,000","Jan 31, 2022","Jun 30, 2026",1,"€ 2,080,000",,Reserve,F,CF,26,Denmark,Wolfsburg,True,,germany,2526
Maximilian Wöber,,"€ 40,000","€ 2,080,000","€ 520,000","Jul 4, 2025","Jun 30, 2026",1,"€ 2,080,000",,Reserve,D,CB,28,Austria,Werder Bremen,True,,germany,2526
Alexander Prass,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 5, 2024","Jun 30, 2028",3,"€ 6,240,000",,Reserve,M,LM,24,Austria,Hoffenheim,True,,germany,2526
Jackson Irvine,,"€ 40,000","€ 2,080,000","€ 520,000","Aug 24, 2024","Jun 30, 2026",1,"€ 2,080,000",,Starter,M,CM,32,Australia,St Pauli,True,,germany,2526
Lennart Karl,,"€ 38,462","€ 2,000,000","€ 500,000","Feb 22, 2026","Jun 30, 2029",4,"€ 8,000,000",,Reserve,F,AM,18,Germany,Bayern Munich,True,,germany,2526
Rani Khedira,,"€ 36,346","€ 1,890,000","€ 470,000","May 15, 2025","Jun 30, 2026",1,"€ 1,890,000",,Starter,M,DM,32,Germany,Union Berlin,True,,germany,2526
Tiago Tomás,,"€ 36,346","€ 1,890,000","€ 470,000","Aug 16, 2025","Jun 30, 2029",4,"€ 7,560,000",,Starter,F,CF,23,Portugal,Stuttgart,True,,germany,2526
Frederik Rönnow,,"€ 36,346","€ 1,890,000","€ 470,000","Sep 27, 2025","Jun 30, 2026",1,"€ 1,890,000",,Starter,K,GK,33,Denmark,Union Berlin,True,,germany,2526
Fisnik Asllani,,"€ 36,346","€ 1,890,000","€ 470,000","Jul 13, 2025","Jun 30, 2029",4,"€ 7,560,000","€ 29,000,000",Starter,F,CF,23,Kosovo,Hoffenheim,True,,germany,2526
Patrick Wimmer,,"€ 36,346","€ 1,890,000","€ 470,000","Jul 1, 2022","Jun 30, 2027",2,"€ 3,780,000",,Reserve,F,RW,24,Austria,Wolfsburg,True,,germany,2526
Jean-Luc Dompé,,"€ 36,346","€ 1,890,000","€ 470,000","Apr 27, 2025","Jun 30, 2027",2,"€ 3,780,000",,Reserve,F,LW,30,France,Hamburg,True,,germany,2526
Maarten Vandevoordt,,"€ 36,346","€ 1,890,000","€ 470,000","Jul 1, 2024","Jun 30, 2029",4,"€ 7,560,000",,Starter,K,GK,23,Belgium,Leipzig,True,,germany,2526
Miro Muheim,,"€ 36,346","€ 1,890,000","€ 470,000","Mar 19, 2024","Jun 30, 2027",2,"€ 3,780,000",,Starter,D,LB,27,Switzerland,Hamburg,True,,germany,2526
Farès Chaïbi,,"€ 36,346","€ 1,890,000","€ 470,000","Aug 30, 2023","Jun 30, 2028",3,"€ 5,670,000",,Reserve,M,CM,23,Algeria,Eintracht Frankfurt,True,,germany,2526
Andreas Skov Olsen,,"€ 36,346","€ 1,890,000","€ 470,000","Jan 17, 2025","Jun 30, 2029",4,"€ 7,560,000",,Reserve,F,RW,26,Denmark,Wolfsburg,False,,germany,2526
Anthony Caci,,"€ 36,346","€ 1,890,000","€ 470,000","Oct 28, 2025","Jun 30, 2028",3,"€ 5,670,000",,Reserve,D,RB,28,France,Mainz,True,,germany,2526
Patrick Mainka,,"€ 36,346","€ 1,890,000","€ 470,000","Aug 23, 2025","Jun 30, 2029",4,"€ 7,560,000",,Starter,D,CB,31,Germany,Heidenheim,True,,germany,2526
Rogério,,"€ 36,346","€ 1,890,000","€ 470,000","Aug 5, 2023","Jun 30, 2027",2,"€ 3,780,000",,Reserve,D,LB,28,Brazil,Wolfsburg,True,,germany,2526
Phillipp Mwene,,"€ 36,346","€ 1,890,000","€ 470,000","Aug 23, 2023","Jun 30, 2026",1,"€ 1,890,000",,Starter,D,LB,32,Austria,Mainz,True,,germany,2526
Sven Ulreich,,"€ 36,346","€ 1,890,000","€ 470,000","Jul 29, 2025","Jun 30, 2026",1,"€ 1,890,000",,Reserve,K,GK,37,Germany,Bayern Munich,True,,germany,2526
Haris Tabakovic,,"€ 36,346","€ 1,890,000","€ 470,000","Jul 18, 2025","Jun 30, 2026",1,"€ 1,890,000",,Starter,F,CF,31,Bosnia-Herzegovina,Monchengladbach,True,,germany,2526
Budu Zivzivadze,,"€ 36,346","€ 1,890,000","€ 470,000","Jan 3, 2025","Jun 30, 2029",4,"€ 7,560,000",,Reserve,F,CF,31,Georgia,Heidenheim,True,,germany,2526
Lukas Kübler,,"€ 36,346","€ 1,890,000","€ 470,000","Nov 26, 2024","Jun 30, 2026",1,"€ 1,890,000",,Reserve,D,RB,33,Germany,Freiburg,True,,germany,2526
Christopher Trimmel,,"€ 36,346","€ 1,890,000","€ 470,000","Jan 20, 2026","Jun 30, 2027",2,"€ 3,780,000",,Reserve,D,RB,38,Austria,Union Berlin,True,,germany,2526
Elye Wahi,,"€ 36,346","€ 1,890,000","€ 470,000","Jan 24, 2025","Jun 30, 2030",5,"€ 9,450,000",,Reserve,F,CF,22,France,Eintracht Frankfurt,False,,germany,2526
Eric Smith,,"€ 36,346","€ 1,890,000","€ 470,000","Oct 21, 2024","Jun 30, 2026",1,"€ 1,890,000",,Starter,D,CB,29,Sweden,St Pauli,True,,germany,2526
Arnaud Kalimuendo,,"€ 34,423","€ 1,790,000","€ 450,000","Jan 7, 2026","Jun 30, 2026",1,"€ 1,790,000",,Reserve,F,CF,24,France,Eintracht Frankfurt,True,,germany,2526
Felix Agu,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 16, 2024","Jun 30, 2027",2,"€ 3,400,000","€ 9,000,000",Reserve,D,LB,26,Nigeria,Werder Bremen,True,,germany,2526
Nikola Vasilj,,"€ 32,692","€ 1,700,000","€ 420,000","Jan 24, 2024","Jun 30, 2026",1,"€ 1,700,000",,Starter,K,GK,30,Bosnia-Herzegovina,St Pauli,True,,germany,2526
Patrick Osterhage,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 1, 2024","Jun 30, 2026",1,"€ 1,700,000",,Starter,M,DM,26,Germany,Freiburg,True,,germany,2526
Derrick Köhn,,"€ 32,692","€ 1,700,000","€ 420,000","Aug 19, 2025","Jun 30, 2029",4,"€ 6,800,000",,Starter,D,LB,27,Ghana,Union Berlin,True,,germany,2526
Manolis Saliakas,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 9, 2024","Jun 30, 2026",1,"€ 1,700,000",,Starter,D,RB,29,Greece,St Pauli,True,,germany,2526
Hauke Wahl,,"€ 32,692","€ 1,700,000","€ 420,000","Sep 22, 2025","Jun 30, 2026",1,"€ 1,700,000",,Starter,D,CB,31,Germany,St Pauli,True,,germany,2526
Daniel Elfadli,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 27, 2025","Jun 30, 2028",3,"€ 5,100,000",,Reserve,D,CB,28,Libya,Hamburg,True,,germany,2526
Wael Mohya,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 6, 2025","Jun 30, 2026",1,"€ 1,700,000",,Reserve,F,AM,17,Germany,Monchengladbach,True,,germany,2526
Rocco Reitz,,"€ 32,692","€ 1,700,000","€ 420,000","Feb 1, 2024","Jun 30, 2028",3,"€ 5,100,000","€ 28,000,000",Reserve,M,CM,23,Germany,Monchengladbach,True,,germany,2526
Janik Haberer,,"€ 32,692","€ 1,700,000","€ 420,000","Oct 24, 2024","Jun 30, 2027",2,"€ 3,400,000",,Starter,M,CM,31,Germany,Union Berlin,True,,germany,2526
Nathan N'Goumou,,"€ 32,692","€ 1,700,000","€ 420,000","Aug 30, 2022","Jun 30, 2027",2,"€ 3,400,000",,Reserve,F,RW,25,Cameroon,Monchengladbach,True,,germany,2526
Alexis Claude-Maurice,,"€ 32,692","€ 1,700,000","€ 420,000","Aug 30, 2024","Jun 30, 2027",2,"€ 3,400,000",,Starter,F,AM,27,France,Augsburg,True,,germany,2526
Benedikt Gimber,,"€ 32,692","€ 1,700,000","€ 420,000","Sep 1, 2024","Jun 30, 2028",3,"€ 5,100,000",,Starter,D,CB,28,Germany,Heidenheim,True,,germany,2526
Woo-yeong Jeong,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 1, 2025","Jun 30, 2026",1,"€ 1,700,000",,Starter,F,AM,26,South Korea,Union Berlin,True,,germany,2526
Stefan Bell,,"€ 32,692","€ 1,700,000","€ 420,000","May 2, 2025","Jun 30, 2026",1,"€ 1,700,000",,Reserve,D,CB,34,Germany,Mainz,True,,germany,2526
Niklas Dorsch,,"€ 32,692","€ 1,700,000","€ 420,000","Aug 30, 2024","Jun 30, 2028",3,"€ 5,100,000",,Reserve,M,DM,28,Germany,Heidenheim,True,,germany,2526
Moritz Jenz,,"€ 32,692","€ 1,700,000","€ 420,000","Jul 1, 2023","Jun 30, 2027",2,"€ 3,400,000",,Starter,D,CB,26,Germany,Wolfsburg,True,,germany,2526
András Schäfer,,"€ 32,692","€ 1,700,000","€ 420,000","May 1, 2024","Jun 30, 2027",2,"€ 3,400,000",,Starter,M,CM,26,Hungary,Union Berlin,True,,germany,2526
Mathias Pereira Lage,,"€ 30,769","€ 1,600,000","€ 400,000","Jul 1, 2025","Jun 30, 2028",3,"€ 4,800,000",,Reserve,F,LW,29,Portugal,St Pauli,True,,germany,2526
Martijn Kaars,,"€ 30,769","€ 1,600,000","€ 400,000","Aug 28, 2025","Jun 30, 2026",1,"€ 1,600,000",,Starter,F,CF,26,Netherlands,St Pauli,True,,germany,2526
Ezechiel Banzuzi,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2025","Jun 30, 2030",5,"€ 7,550,000","€ 65,000,000",Reserve,M,CM,20,Netherlands,Leipzig,True,,germany,2526
Ameen Al-Dakhil,,"€ 29,038","€ 1,510,000","€ 380,000","Aug 27, 2024","Jun 30, 2028",3,"€ 4,530,000",,Reserve,D,CB,23,Belgium,Stuttgart,True,,germany,2526
Kevin Akpoguma,,"€ 29,038","€ 1,510,000","€ 380,000","Jun 21, 2023","Jun 30, 2026",1,"€ 1,510,000",,Reserve,D,CB,30,Nigeria,Hoffenheim,True,,germany,2526
Adrian Beck,,"€ 29,038","€ 1,510,000","€ 380,000","Sep 1, 2024","Jun 30, 2028",3,"€ 4,530,000",,Reserve,F,AM,28,Germany,Heidenheim,True,,germany,2526
Joe Scally,,"€ 29,038","€ 1,510,000","€ 380,000","Apr 20, 2023","Jun 30, 2027",2,"€ 3,020,000",,Starter,D,RB,23,United States,Monchengladbach,True,,germany,2526
Jan Schöppner,,"€ 29,038","€ 1,510,000","€ 380,000","Jan 10, 2025","Jun 30, 2028",3,"€ 4,530,000",,Starter,M,CM,26,Germany,Heidenheim,True,,germany,2526
Jonas Omlin,,"€ 29,038","€ 1,510,000","€ 380,000","Jan 19, 2023","Jun 30, 2027",2,"€ 3,020,000",,Reserve,K,GK,31,Switzerland,Monchengladbach,False,,germany,2526
Daniel-Kofi Kyereh,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2022","Jun 30, 2026",1,"€ 1,510,000",,Reserve,F,AM,29,Ghana,Freiburg,True,,germany,2526
Badredine Bouanani,,"€ 29,038","€ 1,510,000","€ 380,000","Aug 31, 2025","Jun 30, 2030",5,"€ 7,550,000",,Reserve,F,RW,21,Algeria,Stuttgart,True,,germany,2526
Elvis Rexhbecaj,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 27, 2022","Jun 30, 2026",1,"€ 1,510,000",,Reserve,M,CM,28,Kosovo,Augsburg,True,,germany,2526
Lukas Ullrich,,"€ 29,038","€ 1,510,000","€ 380,000","Jan 8, 2026","Jun 30, 2029",4,"€ 6,040,000",,Starter,D,LB,21,Germany,Monchengladbach,True,,germany,2526
Andrej Ilic,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2025","Jun 30, 2027",2,"€ 3,020,000",,Starter,F,CF,25,Serbia,Union Berlin,True,,germany,2526
Danny da Costa,,"€ 29,038","€ 1,510,000","€ 380,000","Apr 11, 2025","Jun 30, 2026",1,"€ 1,510,000",,Starter,D,CB,32,Germany,Mainz,True,,germany,2526
Fabian Rieder,,"€ 29,038","€ 1,510,000","€ 380,000","Sep 1, 2025","Jun 30, 2030",5,"€ 7,550,000",,Reserve,F,AM,23,Switzerland,Augsburg,True,,germany,2526
Linton Maina,,"€ 29,038","€ 1,510,000","€ 380,000","May 18, 2025","Jun 30, 2026",1,"€ 1,510,000",,Reserve,F,LW,26,Germany,Koln,True,,germany,2526
Rayan Philippe,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 2, 2025","Jun 30, 2029",4,"€ 6,040,000",,Reserve,F,RW,25,France,Hamburg,True,,germany,2526
Oliver Burke,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2025","Jun 30, 2029",4,"€ 6,040,000",,Reserve,F,CF,28,Scotland,Union Berlin,True,,germany,2526
Max Rosenfelder,,"€ 29,038","€ 1,510,000","€ 380,000","Nov 28, 2024","Jun 30, 2026",1,"€ 1,510,000",,Reserve,D,CB,22,Germany,Freiburg,True,,germany,2526
Rômulo,,"€ 29,038","€ 1,510,000","€ 380,000","Aug 15, 2025","Jun 30, 2030",5,"€ 7,550,000",,Starter,F,CF,23,Brazil,Leipzig,True,,germany,2526
Justin Njinmah,,"€ 29,038","€ 1,510,000","€ 380,000","Jun 13, 2024","Jun 30, 2027",2,"€ 3,020,000",,Starter,F,RW,25,Germany,Werder Bremen,True,,germany,2526
Albian Hajdari,,"€ 29,038","€ 1,510,000","€ 380,000","Aug 25, 2025","Jun 30, 2029",4,"€ 6,040,000",,Starter,D,CB,22,Kosovo,Hoffenheim,True,,germany,2526
Diant Ramaj,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 28, 2025","Jun 30, 2026",1,"€ 1,510,000",,Starter,K,GK,24,Germany,Heidenheim,True,,germany,2526
Marco Grüll,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2024","Jun 30, 2026",1,"€ 1,510,000",,Starter,F,LW,27,Austria,Werder Bremen,True,,germany,2526
Jonas Omlin,,"€ 29,038","€ 1,510,000","€ 380,000","Jan 27, 2026","Jun 30, 2026",1,"€ 1,510,000",,Reserve,K,GK,32,Switzerland,Bayer Leverkusen,True,,germany,2526
Brajan Gruda,,"€ 29,038","€ 1,510,000","€ 380,000","Feb 2, 2026","Jun 30, 2026",1,"€ 1,510,000",,Starter,F,RW,21,Germany,Leipzig,True,,germany,2526
Han-Noah Massengo,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 15, 2025","Jun 30, 2030",5,"€ 7,550,000",,Starter,M,CM,24,France,Augsburg,True,,germany,2526
Diogo Leite,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2023","Jun 30, 2026",1,"€ 1,510,000",,Reserve,D,CB,27,Portugal,Union Berlin,True,,germany,2526
Philipp Sander,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2024","Jun 30, 2028",3,"€ 4,530,000",,Starter,M,CM,27,Germany,Monchengladbach,True,,germany,2526
Albert Sambi Lokonga,,"€ 29,038","€ 1,510,000","€ 380,000","Sep 1, 2025","Jun 30, 2028",3,"€ 4,530,000",,Reserve,M,CM,26,Belgium,Hamburg,True,,germany,2526
Florian Kainz,,"€ 29,038","€ 1,510,000","€ 380,000","Jun 13, 2024","Jun 30, 2026",1,"€ 1,510,000",,Reserve,F,AM,33,Austria,Koln,True,,germany,2526
Samuel Essende,,"€ 29,038","€ 1,510,000","€ 380,000","Jul 1, 2024","Jun 30, 2028",3,"€ 4,530,000",,Reserve,F,CF,28,Democratic Republic of the Congo,Augsburg,True,,germany,2526
David Nemeth,,"€ 27,308","€ 1,420,000","€ 350,000","May 21, 2025","Jun 30, 2026",1,"€ 1,420,000",,Reserve,D,CB,24,Austria,St Pauli,True,,germany,2526
Paul Nebel,,"€ 27,308","€ 1,420,000","€ 350,000","Jun 11, 2024","Jun 30, 2027",2,"€ 2,840,000",,Reserve,F,AM,23,Germany,Mainz,True,,germany,2526
Sacha Boey,,"€ 27,308","€ 1,420,000","€ 350,000","Jan 28, 2024","Jun 30, 2028",3,"€ 4,260,000",,Reserve,D,RB,25,France,Bayern Munich,False,,germany,2526
Noah Katterbach,,"€ 27,308","€ 1,420,000","€ 350,000","Jan 31, 2024","Jun 30, 2027",2,"€ 2,840,000",,Reserve,D,LB,24,Germany,Hamburg,True,,germany,2526
Tom Krauß,,"€ 27,308","€ 1,420,000","€ 350,000","Jul 5, 2025","Jun 30, 2026",1,"€ 1,420,000",,Starter,M,DM,24,Germany,Koln,True,,germany,2526
Leon Avdullahu,,"€ 27,308","€ 1,420,000","€ 350,000","Jul 1, 2025","Jun 30, 2029",4,"€ 5,680,000",,Starter,M,DM,21,Kosovo,Hoffenheim,True,,germany,2526
Konstantinos Koulierakis,,"€ 27,308","€ 1,420,000","€ 350,000","Aug 30, 2024","Jun 30, 2029",4,"€ 5,680,000",,Reserve,D,CB,22,Greece,Wolfsburg,True,,germany,2526
Tim Skarke,,"€ 27,308","€ 1,420,000","€ 350,000","Sep 20, 2024","Jun 30, 2026",1,"€ 1,420,000",,Reserve,F,CF,29,Germany,Union Berlin,True,,germany,2526
