player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Igor Paixão,981815,Olympique de Marseille,1641,france,2526,1774,27,20,6.93,6,5,11,5.86,2.44,22,6,12.5,240,27,62.79,394,129,523,82.75,15,31.25,33,0,0,0,80,4,5,9,2,21,27,0,0,18,20260428,16,132,0,0,18,0,12.77,0,25,25,0,4,2,,78,44.07,0,0,0,109,14,26,1,8,1.0,0,0,0,0,0.0,0,0,0,1,264,13,0,0,5,0,0,0,0,0,0,295.67,0.0,2,27,20,19,19,26,35.14,0,23,9,39.13,26,42,74,48,93,41.33,43,487,145,632,187.2,47,2,1015,30,3,0,97885.0,5090000.0,F,25.0,Brazil
Fode Sylla,1426222,RC Lens,1648,france,2526,78,3,1,6.93,0,0,0,,0.02,1,0,0.0,6,1,100.0,14,23,37,82.22,2,100.0,0,0,0,0,8,0,0,0,0,3,3,0,0,1,20260428,0,4,0,0,2,0,0.0,0,1,1,0,0,0,,8,66.67,0,0,0,8,3,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,8,6,75.0,1,2,1,0,10,71.43,1,18,27,45,20.8,0,0,65,0,0,0,8654.0,450000.0,M,19.0,France
Quentin Merlin,1102502,Stade Rennais,1658,france,2526,2262,30,24,6.93,1,4,5,1.22,4.07,47,25,17.48,301,47,35.07,561,381,942,78.37,13,41.94,18,0,0,0,111,5,1,11,7,51,30,0,0,20,20260428,23,92,1,1,17,0,4.17,0,35,29,6,1,0,,88,54.32,0,0,0,260,31,38,1,5,12.0,0,0,0,0,0.0,0,0,0,0,484,12,0,0,0,0,0,0,0,0,0,2262.0,0.0,1,12,12,6,7,12,44.44,0,48,33,68.75,38,116,27,143,101,52.33,134,736,466,1202,207.9,24,1,1943,29,1,0,52500.0,2730000.0,M,23.0,France
Chidozie Awaziem,804764,Nantes,1647,france,2526,2052,24,23,6.93,1,2,3,0.52,1.26,95,0,0.0,100,122,49.8,308,800,1108,84.77,41,67.21,20,0,0,0,88,2,0,2,4,171,24,0,0,3,20260428,10,59,0,3,22,0,11.11,77,39,34,5,1,0,,45,53.57,1,0,0,199,19,10,0,1,17.0,1,0,0,0,0.0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,2052.0,0.0,1,8,1,3,4,4,50.0,0,23,15,65.22,10,177,8,2,86,59.31,245,464,843,1307,166.3,9,2,1639,19,7,0,27885.0,1450000.0,D,29.0,Nigeria
Pierre Lees Melou,801306,Paris FC,6070,france,2526,1793,22,20,6.93,1,2,3,1.21,1.83,73,4,25.0,187,72,49.66,399,374,773,82.67,10,50.0,10,0,0,0,115,2,1,11,4,36,22,0,0,10,20260428,34,92,1,2,28,0,3.45,1,28,26,2,1,0,,97,54.19,0,0,0,162,19,14,0,0,8.0,0,0,0,2,0.0,0,0,0,0,221,11,0,1,1,0,0,0,0,0,0,1793.0,0.0,1,14,15,12,6,10,45.45,0,61,36,59.02,14,108,22,16,107,53.77,145,501,434,935,152.4,29,0,1256,26,5,1,45385.0,2360000.0,M,32.0,France
Philipp Köhn,868964,AS Monaco,1653,france,2526,1619,19,17,6.93,0,0,0,,0.01,35,0,0.0,4,81,43.32,31,320,351,75.65,6,100.0,0,0,0,0,170,0,0,0,5,9,19,0,0,1,20260428,0,1,1,0,0,0,0.0,103,27,25,2,0,0,-1.23,4,80.0,0,14,0,113,1,0,0,0,0.0,0,0,0,0,0.0,2,0,0,0,116,0,3,0,0,10,28,21,49,0,4,0.0,0.0,0,0,0,0,0,0,0.0,10,0,0,0.0,0,57,0,0,10,90.91,187,111,353,464,131.6,0,0,631,3,1,0,33077.0,1720000.0,K,27.0,Switzerland
Arsène Kouassi,1855502,Lorient,1656,france,2526,2342,28,27,6.93,2,5,7,0.54,3.03,10,19,16.96,180,14,34.15,343,319,662,86.42,8,29.63,19,0,0,0,105,7,1,1,4,48,28,0,0,16,20260428,7,82,1,0,13,1,28.57,0,37,34,3,1,1,,106,62.72,1,0,1,104,21,29,1,10,3.0,0,0,0,0,0.0,0,0,0,2,288,10,0,0,0,0,0,0,0,0,0,1171.0,50.0,2,4,3,2,4,34,53.13,0,23,17,73.91,29,27,64,112,114,58.16,41,409,357,766,193.9,7,3,1331,50,4,0,12308.0,640000.0,M,21.0,Burkina Faso
Matvey Safonov,800749,Paris Saint-Germain,1644,france,2526,1170,13,13,6.92,0,0,0,,0.0,16,0,0.0,2,43,51.19,11,242,253,85.19,3,100.0,0,0,0,0,74,0,0,0,7,11,13,0,0,0,20260428,0,0,1,1,0,0,0.0,44,12,9,3,0,0,-0.05,1,100.0,0,8,0,44,0,2,0,0,0.0,0,0,0,0,0.0,1,0,1,0,46,0,3,0,0,13,13,13,26,0,6,0.0,0.0,0,0,0,0,0,0,0.0,12,0,0,0.0,2,25,0,0,4,100.0,84,39,258,297,90.0,0,0,391,1,0,0,70000.0,3640000.0,K,26.0,Russia
Sadibou Sané,1471683,Metz,1651,france,2526,1673,20,19,6.92,2,1,3,0.28,0.43,49,0,0.0,92,80,54.05,316,811,1127,89.09,31,60.78,20,0,0,0,86,1,0,1,3,107,20,0,2,1,20260428,13,54,0,4,19,0,40.0,40,42,35,7,2,0,,57,62.64,1,0,0,138,33,3,1,0,18.0,1,0,0,2,0.0,0,0,0,0,158,1,0,2,0,0,0,0,0,0,0,836.5,0.0,0,5,0,2,2,3,50.0,0,42,31,73.81,3,89,6,0,88,61.97,148,388,877,1265,138.4,5,2,1551,12,4,0,5192.0,270000.0,D,21.0,Senegal
Michel Diaz,1400993,Stade Brestois,1715,france,2526,1380,18,15,6.92,0,0,0,0.27,0.19,23,0,0.0,39,47,58.75,133,342,475,85.43,32,57.14,24,0,0,0,50,0,1,2,6,85,18,0,0,0,20260428,4,36,0,0,7,0,0.0,0,21,19,2,0,0,,35,74.47,0,0,1,81,21,1,0,0,19.0,0,0,0,0,0.0,0,0,0,1,92,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,0,3,0,3,75.0,0,23,16,69.57,1,34,4,0,67,65.05,80,185,371,556,124.5,5,0,759,9,4,0,10577.0,550000.0,D,22.0,Cote d'Ivoire
Laurent Abergel,296434,Lorient,1656,france,2526,2078,25,24,6.92,1,0,1,0.73,0.91,75,3,37.5,242,95,60.51,548,780,1328,88.18,15,60.0,10,0,0,0,115,2,1,8,5,39,25,0,0,10,20260428,25,79,1,3,23,0,5.0,33,37,33,4,0,1,,65,48.51,0,0,0,178,25,15,1,0,4.0,0,0,0,1,0.0,0,0,0,0,226,9,0,0,0,0,0,0,0,0,0,2078.0,0.0,0,4,16,7,5,8,36.36,0,34,20,58.82,15,129,22,8,80,50.31,157,665,841,1506,172.9,20,0,1753,23,6,0,41923.0,2180000.0,M,33.0,France
Adrien Thomasson,231946,RC Lens,1648,france,2526,2481,29,29,6.91,3,8,11,6.84,6.97,58,39,34.51,306,35,54.69,566,488,1054,83.25,20,47.62,22,0,0,0,179,10,9,11,9,26,29,0,0,42,20260428,56,188,0,0,50,0,7.32,0,30,22,8,3,0,,144,46.45,0,0,2,212,17,77,2,3,4.0,0,0,0,0,0.0,0,0,0,0,406,15,0,0,1,0,0,0,0,0,0,827.0,0.0,2,32,9,18,12,17,42.5,0,86,43,50.0,77,102,40,113,164,46.59,64,716,550,1266,200.5,41,1,1872,42,10,0,55962.0,2910000.0,M,32.0,France
Alidu Seidu,1049515,Stade Rennais,1658,france,2526,1100,19,12,6.91,0,1,1,0.14,0.92,8,4,36.36,153,32,74.42,328,327,655,92.38,14,51.85,13,0,0,0,81,3,0,0,2,33,18,0,0,10,20260428,8,47,1,2,11,0,0.0,0,21,17,4,0,0,,68,66.67,0,0,1,54,16,8,0,3,2.0,0,0,0,0,0.0,0,0,0,0,107,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,5,4,1,7,53.85,0,34,20,58.82,8,20,13,11,82,63.57,43,362,347,709,124.4,5,0,974,27,1,0,26154.0,1360000.0,D,25.0,Ghana
Guéla Doué,1002033,RC Strasbourg,1659,france,2526,1793,21,20,6.9,2,6,8,2.11,1.92,18,14,31.11,146,17,36.17,415,560,975,87.13,50,64.1,28,0,0,0,83,5,3,3,5,90,21,0,0,21,20260428,17,116,0,0,40,0,16.67,3,26,23,3,2,0,,78,46.99,0,0,1,144,25,14,0,0,6.0,0,0,0,0,0.0,0,0,0,0,256,5,0,0,2,0,0,0,0,0,0,896.5,0.0,0,11,1,4,5,15,55.56,0,43,35,81.4,14,51,27,45,128,52.46,47,515,604,1119,145.0,12,3,1614,20,3,0,24423.0,1270000.0,D,23.0,Cote d'Ivoire
Hakon Arnar Haraldsson,1138804,Lille,1643,france,2526,2214,29,26,6.9,7,1,8,7.33,4.37,30,20,29.41,312,32,68.09,580,359,939,86.7,9,37.5,15,0,0,0,119,3,7,13,4,9,29,0,0,28,20260428,22,115,0,1,25,0,15.91,0,24,21,3,7,0,,75,42.86,0,0,2,144,10,49,3,0,0.0,0,3,0,0,0.0,0,0,0,1,292,22,0,0,4,0,0,0,0,0,0,316.29,0.0,1,26,18,17,14,18,41.86,0,21,11,52.38,46,49,43,68,84,42.21,47,694,389,1083,200.2,44,0,1466,36,5,0,26154.0,1360000.0,F,22.0,Iceland
Matthis Abline,999070,Nantes,1647,france,2526,2325,30,25,6.9,5,3,8,5.87,3.26,7,12,21.43,135,7,38.89,198,64,262,69.5,33,47.83,36,0,0,1,68,6,6,26,2,10,30,0,0,44,20260428,12,179,0,0,28,0,6.58,0,48,42,6,4,1,,106,42.57,1,0,4,115,8,27,0,5,0.0,0,0,1,0,0.0,0,0,0,2,351,14,0,0,4,0,0,0,0,0,0,465.0,0.0,7,40,36,29,21,46,42.59,0,19,12,63.16,27,22,108,56,139,43.71,18,288,89,377,207.0,76,3,899,42,5,0,22692.0,1180000.0,F,22.0,France
Amadou Haidara,822708,RC Lens,1648,france,2526,131,5,0,6.9,1,0,1,0.14,0.1,1,0,0.0,25,2,66.67,48,30,78,92.86,3,100.0,0,0,0,0,3,0,0,0,0,1,5,0,0,1,20260428,1,4,0,0,2,0,50.0,0,1,1,0,1,0,,2,33.33,0,0,0,6,2,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,131.0,0.0,0,1,1,0,2,0,0.0,0,0,0,0.0,0,1,0,0,5,55.56,3,54,30,84,34.5,2,1,94,2,0,0,55962.0,2910000.0,M,28.0,Mali
Krépin Diatta,873534,AS Monaco,1653,france,2526,1026,18,10,6.9,0,1,1,1.2,2.31,18,9,24.32,113,16,43.24,231,128,359,78.38,27,71.05,11,0,0,0,57,4,1,2,1,30,18,0,0,5,20260428,10,34,0,0,8,0,0.0,0,17,14,3,0,0,,46,66.67,0,0,0,99,16,13,0,4,3.0,0,0,0,1,0.0,0,0,0,0,162,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,2,4,1,6,66.67,0,31,18,58.06,13,35,9,37,73,68.22,37,307,151,458,124.2,7,1,749,10,2,0,57500.0,2990000.0,F,26.0,Senegal
Andre Gomes,235460,Lille,1643,france,2526,14,2,0,6.9,0,0,0,,0.02,1,0,0.0,2,1,100.0,4,3,7,100.0,0,0.0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,20260428,1,4,0,0,2,0,0.0,0,0,0,0,0,0,,3,42.86,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,100.0,0,0,0,0.0,0,1,3,0,3,42.86,1,4,3,7,6.9,0,0,11,0,0,0,87500.0,4550000.0,M,32.0,Portugal
Formose Mendy,982316,Lorient,1656,france,2526,135,2,2,6.9,0,0,0,,0.01,3,0,0.0,9,5,55.56,27,47,74,86.05,3,60.0,2,0,0,0,6,0,0,0,0,15,2,0,0,0,20260428,2,6,0,0,2,0,0.0,0,1,0,1,0,0,,6,60.0,0,0,0,12,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,3,2,66.67,0,7,0,1,9,60.0,9,37,49,86,13.8,0,0,124,3,1,0,,,,,
Thilo Kehrer,281277,AS Monaco,1653,france,2526,2167,25,25,6.9,0,0,0,1.6,0.51,40,0,0.0,193,59,44.03,588,732,1320,87.13,61,62.24,37,0,0,0,84,1,2,3,6,92,25,0,1,1,20260428,18,82,1,2,25,0,0.0,4,33,31,2,0,0,,88,66.17,0,0,1,195,29,6,0,2,23.0,0,1,0,0,0.0,0,0,0,0,228,3,0,2,0,0,0,0,0,0,0,0.0,0.0,0,15,0,11,1,3,60.0,0,59,37,62.71,5,105,5,5,149,64.5,134,724,791,1515,172.5,15,1,1881,26,6,1,70769.0,3680000.0,D,29.0,Germany
Emerson,155997,Olympique de Marseille,1641,france,2526,1854,25,20,6.9,0,3,3,0.45,4.81,35,31,27.93,291,20,36.36,607,413,1020,89.32,18,56.25,14,0,0,0,71,7,0,6,5,44,25,0,0,9,20260428,8,59,0,1,16,0,0.0,0,26,26,0,0,0,,56,55.45,0,0,0,122,31,38,0,2,8.0,0,0,0,1,0.0,0,0,0,0,256,9,0,0,0,0,0,0,0,0,0,0.0,0.0,2,3,10,5,2,5,29.41,0,36,24,66.67,38,67,17,111,74,55.64,55,695,447,1142,172.4,13,1,1619,15,3,0,70000.0,3640000.0,D,31.0,Italy
Sinaly Diomandé,996951,Auxerre,1646,france,2526,1864,21,21,6.9,2,2,4,1.7,0.24,33,0,0.0,74,53,44.92,222,474,696,86.35,34,59.65,23,0,0,0,63,1,1,2,6,99,21,0,0,3,20260428,12,63,0,3,27,0,25.0,4,27,21,6,2,0,,55,57.89,1,0,0,110,29,4,0,1,14.0,0,0,0,0,0.0,0,0,0,0,131,1,0,1,1,0,0,0,0,0,0,932.0,0.0,0,6,2,3,3,4,50.0,0,29,17,58.62,4,64,8,0,89,58.55,118,298,508,806,144.8,8,1,1079,25,2,1,20962.0,1090000.0,D,24.0,Cote d'Ivoire
Abdelhamid Ait Boudlal,1597145,Stade Rennais,1658,france,2526,1145,17,14,6.89,2,1,3,1.53,0.41,17,1,50.0,41,34,54.84,138,461,599,88.61,29,56.86,22,0,0,0,53,1,2,1,2,67,17,0,1,4,20260428,6,48,0,2,9,0,22.22,11,20,17,3,2,0,,34,56.67,1,0,0,77,17,1,0,0,10.0,0,0,0,0,0.0,0,0,0,0,109,2,0,1,1,0,0,0,0,0,0,572.5,0.0,0,7,2,4,4,8,53.33,0,19,11,57.89,1,35,15,2,63,56.76,62,180,496,676,117.2,9,0,879,7,3,0,12308.0,640000.0,D,19.0,Morocco
Félix Correia,934498,Lille,1643,france,2526,1861,31,23,6.89,4,5,9,4.66,4.61,34,23,30.67,279,34,61.82,442,177,619,78.75,11,37.93,18,0,0,0,76,9,6,9,0,9,30,0,0,20,20260428,12,89,1,1,12,0,13.79,0,20,18,2,3,1,,67,48.55,0,0,2,167,20,34,0,3,2.0,0,0,0,1,0.0,0,0,0,0,311,13,0,0,4,0,0,0,0,0,0,465.25,0.0,0,19,10,12,8,16,35.56,0,26,12,46.15,34,50,45,75,78,46.71,55,581,205,786,206.8,29,1,1161,26,2,0,24423.0,1270000.0,F,25.0,Portugal
Ousmane Camara,1049538,Angers,1684,france,2526,2449,29,28,6.89,1,0,1,0.36,0.24,27,0,0.0,31,39,41.94,231,915,1146,90.88,47,51.65,44,0,0,0,103,0,0,1,10,162,29,0,0,2,20260428,7,72,1,0,20,0,11.11,4,33,28,5,1,0,,53,65.43,0,0,0,115,31,4,0,1,23.0,0,0,0,0,0.0,0,0,0,0,137,1,0,0,1,0,0,0,0,0,0,2449.0,0.0,0,8,1,4,4,3,60.0,0,44,30,68.18,4,49,5,3,100,58.14,93,304,957,1261,199.9,9,0,1627,7,3,0,8654.0,450000.0,D,22.0,Mali
Joaquin Panichelli,1410925,RC Strasbourg,1659,france,2526,2195,27,24,6.89,16,1,17,14.21,1.48,11,0,0.0,113,3,27.27,197,141,338,72.53,60,43.17,79,0,0,1,71,5,13,8,6,32,27,0,0,26,20260428,12,169,0,0,43,0,27.12,0,29,27,2,15,1,,78,46.43,3,0,3,128,12,22,2,14,8.0,0,0,6,0,83.33,0,5,0,0,249,18,0,0,11,0,0,0,0,0,0,137.19,0.0,0,56,3,20,31,11,36.67,0,26,8,30.77,22,26,30,0,138,44.95,11,309,157,466,186.0,59,2,838,44,3,0,31538.0,1640000.0,F,23.0,Argentina
Otávio,1069159,Paris FC,6070,france,2526,1824,22,20,6.89,1,0,1,0.58,0.24,39,2,40.0,95,68,47.55,299,883,1182,88.21,22,48.89,23,0,0,0,74,0,0,4,5,130,22,0,1,7,20260428,13,69,1,3,23,0,8.33,7,30,29,1,1,0,,79,63.2,0,0,0,158,27,3,0,1,17.0,0,0,0,2,0.0,0,0,0,0,195,3,0,1,1,0,0,0,0,0,0,1824.0,0.0,0,6,6,5,3,6,60.0,0,42,24,57.14,3,90,10,5,101,59.41,143,402,938,1340,151.5,12,2,1688,31,6,0,41923.0,2180000.0,D,23.0,Brazil
Moustapha Mbow,982319,Paris FC,6070,france,2526,2536,29,28,6.89,0,1,1,0.6,0.49,48,2,100.0,100,101,63.13,353,1016,1369,91.69,59,65.56,31,0,0,0,118,1,1,1,7,147,29,0,0,7,20260428,11,73,0,2,24,0,0.0,6,41,38,3,0,0,,72,63.16,0,0,0,124,35,4,0,1,27.0,0,0,0,3,0.0,0,0,0,0,149,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0,5,3,6,85.71,0,51,30,58.82,4,80,7,2,131,64.22,160,431,1062,1493,199.7,9,0,1865,16,4,0,10577.0,550000.0,D,25.0,Senegal
Montassar Talbi,879618,Lorient,1656,france,2526,2340,26,26,6.88,0,1,1,0.54,0.46,55,0,0.0,107,61,45.19,337,829,1166,88.67,73,61.86,45,0,0,0,79,1,1,4,5,168,26,0,0,2,20260428,17,71,0,1,6,0,0.0,9,40,36,4,0,0,,34,56.67,0,0,0,149,23,7,0,0,19.0,0,0,0,0,0.0,0,0,0,0,172,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,2,5,2,2,50.0,0,20,16,80.0,7,110,4,5,107,60.11,135,437,878,1315,179.0,11,1,1636,12,3,0,20962.0,1090000.0,D,27.0,Tunisia
Frederic Guilbert,372430,Nantes,1647,france,2526,444,6,5,6.88,0,0,0,0.39,0.1,5,1,11.11,18,5,31.25,32,64,96,75.0,5,38.46,8,0,0,0,24,2,1,1,1,26,6,0,0,2,20260428,5,24,0,0,6,0,0.0,0,5,5,0,0,0,,21,56.76,0,0,0,32,11,3,0,0,4.0,0,0,0,0,0.0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,0,3,2,4,57.14,0,9,8,88.89,3,13,7,9,26,52.0,16,54,74,128,41.3,6,0,270,8,1,0,12308.0,640000.0,D,31.0,France
Mousa Tamari,876600,Stade Rennais,1658,france,2526,1980,30,22,6.88,5,5,10,4.76,3.69,8,13,16.05,186,13,59.09,318,159,477,81.68,2,25.0,6,0,0,0,105,6,2,17,3,6,29,0,0,41,20260428,12,128,0,1,17,0,8.93,0,24,22,2,4,1,,78,39.0,0,0,0,107,10,30,5,24,2.0,0,0,0,0,0.0,0,0,0,4,343,30,0,0,0,0,0,0,0,0,0,396.0,0.0,0,33,23,18,21,30,36.14,0,24,16,66.67,30,17,83,81,80,38.46,22,403,181,584,199.6,56,2,1075,25,4,0,41923.0,2180000.0,M,28.0,Jordan
Oussama El Azzouzi,1127191,Auxerre,1646,france,2526,813,11,10,6.88,1,0,1,0.52,0.49,15,0,0.0,106,25,78.13,186,164,350,90.67,11,73.33,4,0,0,0,41,1,1,1,0,13,11,0,1,7,20260428,8,47,0,0,18,0,20.0,0,11,8,3,1,0,,31,41.89,0,0,0,36,16,9,0,0,3.0,0,0,0,0,0.0,0,0,0,0,63,3,0,1,1,0,0,0,0,0,0,813.0,0.0,0,3,2,3,1,6,33.33,0,19,16,84.21,9,19,18,0,42,47.19,32,214,172,386,75.7,5,1,513,7,1,0,15769.0,820000.0,M,24.0,Morocco
Aladji Bamba,1868591,AS Monaco,1653,france,2526,671,15,9,6.88,0,1,1,0.1,1.47,14,2,66.67,81,17,89.47,192,160,352,84.01,15,57.69,11,0,0,0,38,4,0,0,0,12,15,0,0,9,20260428,10,57,0,1,21,0,0.0,0,12,10,2,0,0,,54,54.0,0,0,0,67,6,10,0,0,0.0,0,0,0,0,0.0,0,0,0,0,99,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,10,62.5,0,29,17,58.62,10,19,16,3,69,54.76,19,239,180,419,103.2,1,0,557,15,2,0,6538.0,340000.0,M,19.0,France
Maxime Lopez,352802,Paris FC,6070,france,2526,1867,23,22,6.88,0,3,3,1.08,4.33,94,17,22.08,352,72,58.54,759,717,1476,89.73,2,28.57,5,0,0,0,95,12,1,3,4,10,23,0,0,13,20260428,15,71,1,1,26,0,0.0,0,34,31,3,0,0,,40,37.74,0,0,0,169,10,41,0,3,3.0,0,0,0,0,0.0,0,0,0,0,288,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,6,1,6,9,36.0,0,23,17,73.91,41,157,25,77,42,37.17,123,887,758,1645,158.2,10,0,1906,8,9,0,31538.0,1640000.0,M,28.0,France
Sofiane Diop,944164,Nice,1661,france,2526,1902,30,23,6.88,7,2,9,5.73,4.03,37,7,24.14,223,46,64.79,370,230,600,77.42,6,24.0,19,0,0,0,93,6,2,13,0,8,30,0,0,33,20260428,15,114,0,0,21,0,15.22,0,40,35,5,6,1,,88,48.09,0,0,2,175,17,26,0,6,2.0,0,0,2,0,100.0,0,2,0,0,311,14,0,0,7,0,0,0,0,0,0,271.71,0.0,2,26,20,18,15,27,50.0,0,21,11,52.38,26,60,54,29,94,45.19,71,510,265,775,206.3,46,1,1153,41,5,0,62885.0,3270000.0,F,25.0,Morocco
Leonardo Balerdi,928236,Olympique de Marseille,1641,france,2526,1730,23,18,6.87,0,1,1,2.24,0.31,26,1,50.0,102,62,52.54,415,850,1265,92.54,36,58.06,26,0,0,0,101,0,4,3,2,82,23,0,0,4,20260428,20,71,1,0,17,0,0.0,18,29,28,1,0,0,,68,60.18,0,0,1,102,20,5,0,0,8.0,0,0,0,0,0.0,0,0,0,0,125,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,16,3,11,5,6,54.55,0,41,24,58.54,5,56,11,2,104,59.43,118,478,889,1367,158.1,19,0,1642,21,5,0,83846.0,4360000.0,D,27.0,Argentina
Lilian Brassier,988907,Stade Rennais,1658,france,2526,2162,26,24,6.87,0,1,1,0.78,1.14,36,6,25.0,224,50,32.68,529,803,1332,86.1,37,61.67,23,0,0,0,122,3,1,2,7,72,26,0,0,11,20260428,2,69,1,1,26,0,0.0,9,31,25,6,0,0,,56,54.9,0,0,0,215,37,13,0,0,23.0,0,0,0,0,0.0,0,0,0,0,299,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,4,6,2,7,46.67,0,29,12,41.38,13,98,15,24,93,57.41,153,672,875,1547,178.7,10,1,1929,21,2,0,52500.0,2730000.0,D,26.0,France
Abdoulaye Toure,149732,Le Havre,1662,france,2526,741,11,8,6.87,2,0,2,1.5,0.92,11,1,7.69,76,21,80.77,142,117,259,87.21,7,50.0,7,0,1,0,27,0,2,5,3,16,11,0,0,7,20260428,1,33,0,1,13,0,15.38,0,8,8,0,1,1,,32,55.17,0,0,1,38,9,3,1,0,4.0,0,0,1,0,0.0,0,0,0,0,84,3,0,0,1,0,0,0,0,0,0,370.5,0.0,0,4,9,4,4,3,33.33,0,12,6,50.0,3,16,9,13,39,54.17,26,171,126,297,75.6,13,0,439,17,2,0,27885.0,1450000.0,M,31.0,Guinea
Noah Cadiou,993952,Lorient,1656,france,2526,1611,25,17,6.87,2,1,3,1.5,1.5,32,0,0.0,161,49,54.44,352,518,870,87.61,18,54.55,15,0,0,0,97,0,2,2,3,34,25,0,0,15,20260428,13,77,0,1,24,0,12.5,20,29,28,1,2,0,,47,43.12,0,0,0,123,22,9,0,0,12.0,0,0,0,0,0.0,0,0,0,1,178,7,0,0,2,0,0,0,0,0,0,805.5,0.0,0,8,8,6,8,11,50.0,0,24,15,62.5,9,62,22,5,65,45.77,90,435,558,993,171.8,16,1,1217,12,1,0,17500.0,910000.0,M,27.0,Guadeloupe
Denis Zakaria,770677,AS Monaco,1653,france,2526,1763,21,20,6.87,2,1,3,1.53,0.87,8,1,11.11,135,17,54.84,421,464,885,93.75,14,50.0,14,0,0,0,81,1,2,5,3,54,21,0,1,9,20260428,9,58,0,2,20,0,13.33,3,25,23,2,2,0,,43,49.43,1,0,1,59,31,6,0,0,12.0,0,0,0,0,0.0,0,0,0,0,105,3,0,1,1,0,0,0,0,0,0,881.5,0.0,0,12,3,7,3,7,50.0,0,30,19,63.33,6,14,14,9,57,49.57,31,461,483,944,144.3,15,2,1194,6,4,0,88462.0,4600000.0,M,29.0,Switzerland
Diego Coppola,1050692,Paris FC,6070,france,2526,900,10,10,6.87,0,2,2,0.15,0.15,17,0,0.0,45,25,36.23,138,263,401,84.42,21,56.76,16,0,0,0,32,1,0,0,2,83,10,0,0,1,20260428,5,28,0,1,6,0,0.0,1,13,13,0,0,0,,13,52.0,0,0,0,74,5,3,0,0,8.0,0,0,0,0,0.0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,1,0,0.0,0,12,6,50.0,3,49,0,0,34,54.84,69,182,293,475,68.7,3,0,615,3,1,0,14038.0,730000.0,D,22.0,Italy
