player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Mohammed Salisu,946158,AS Monaco,1653,france,2526,1080,12,12,7.03,1,0,1,0.77,0.2,10,0,0.0,51,25,36.23,254,460,714,87.5,38,66.67,19,0,0,0,52,0,1,2,2,84,12,0,0,2,20260428,12,50,0,2,17,0,12.5,25,21,20,1,1,0,,30,49.18,1,0,1,102,17,2,0,4,21.0,1,0,0,0,0.0,0,0,0,0,111,2,0,0,0,0,0,0,0,0,0,1080.0,0.0,0,7,1,4,2,2,100.0,0,25,10,40.0,2,45,2,0,68,57.63,69,320,496,816,84.4,8,1,1009,3,3,0,61923.0,3220000.0,D,26.0,Ghana
Kang-in Lee,917087,Paris Saint-Germain,1644,france,2526,1347,24,16,7.03,3,4,7,2.53,5.06,50,39,45.35,361,52,66.67,588,259,847,91.37,5,45.45,6,0,0,0,59,11,1,9,1,6,24,0,0,15,20260428,9,68,2,3,18,0,8.82,0,12,9,3,3,0,,54,46.55,0,0,1,80,3,53,2,2,1.0,0,2,0,1,0.0,0,0,0,0,198,10,0,0,1,0,0,0,0,0,0,449.0,0.0,2,17,17,12,13,21,50.0,0,15,7,46.67,51,69,42,86,59,46.46,78,647,280,927,168.7,34,1,1227,19,3,0,87500.0,4550000.0,F,24.0,South Korea
Yehvann Diouf,845183,Nice,1661,france,2526,2070,23,23,7.03,0,0,0,,0.01,46,0,0.0,8,114,39.31,47,385,432,70.36,6,75.0,2,0,0,0,201,0,0,0,4,27,23,0,0,1,20260428,1,4,0,0,0,0,0.0,109,42,37,5,0,0,1.12,4,66.67,0,25,0,182,2,0,0,0,0.0,0,0,0,0,0.0,7,0,2,0,189,0,10,0,0,10,51,32,84,1,16,0.0,0.0,0,0,0,0,0,1,100.0,10,0,0,0.0,0,74,1,0,10,71.43,290,171,443,614,161.6,0,2,893,4,1,0,55962.0,2910000.0,K,26.0,Senegal
Malick Fofana,1195784,Olympique Lyonnais,1649,france,2526,740,10,9,7.02,2,1,3,2.71,1.84,8,7,29.17,71,4,40.0,120,47,167,79.9,0,0.0,4,0,0,0,19,3,4,7,3,2,10,0,0,4,20260428,2,33,0,0,11,0,11.11,0,7,7,0,2,0,,39,57.35,0,0,0,42,3,9,0,3,0.0,0,0,0,0,0.0,0,0,0,0,94,2,0,0,2,0,0,0,0,0,0,370.0,0.0,0,16,2,2,9,7,35.0,0,11,5,45.45,9,14,20,24,39,54.17,10,151,58,209,70.2,18,1,354,21,1,0,52500.0,2730000.0,F,20.0,Belgium
Ilya Zabarnyi,1023567,Paris Saint-Germain,1644,france,2526,2117,25,23,7.02,1,0,1,0.5,0.42,37,0,0.0,229,61,59.8,755,1090,1845,94.23,32,56.14,25,0,0,0,102,0,1,1,12,79,25,0,0,2,20260428,4,49,0,2,17,0,25.0,6,23,17,6,1,0,,34,58.62,0,0,0,113,16,4,1,0,8.0,0,0,0,1,0.0,0,0,0,0,132,1,0,0,0,0,0,0,0,0,0,2117.0,0.0,0,4,0,0,3,3,75.0,0,27,18,66.67,4,65,4,1,66,57.39,102,810,1148,1958,175.5,4,2,2182,4,5,0,104808.0,5450000.0,D,23.0,Ukraine
Lucas Hernandez,352370,Paris Saint-Germain,1644,france,2526,1510,22,17,7.02,0,2,2,0.3,0.65,22,2,16.67,229,29,44.62,611,706,1317,92.36,19,63.33,11,0,0,0,68,1,0,2,8,40,22,0,0,6,20260428,7,46,0,0,19,0,0.0,0,11,9,2,0,0,,38,52.05,0,0,0,109,18,13,0,0,7.0,0,0,0,0,0.0,0,0,0,1,141,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,2,3,2,3,42.86,0,20,10,50.0,13,51,7,12,57,55.34,65,683,743,1426,154.4,7,0,1718,17,3,0,255192.0,13270000.0,D,29.0,France
Ismaelo Ganiou,1408080,RC Lens,1648,france,2526,1693,19,19,7.02,3,0,3,1.8,0.85,22,4,25.0,158,37,38.14,408,570,978,87.79,40,57.14,30,0,0,0,93,1,2,4,7,90,19,0,0,6,20260428,8,67,1,0,22,0,17.65,5,22,17,5,3,0,,53,58.89,1,0,0,136,22,7,1,0,9.0,0,0,0,2,0.0,0,0,0,0,180,1,0,1,1,0,0,0,0,0,0,564.33,0.0,0,12,5,10,3,6,60.0,0,29,22,75.86,7,48,10,16,93,58.13,97,498,616,1114,133.3,17,3,1406,19,2,1,8654.0,450000.0,D,20.0,Burkina Faso
Arthur Avom Ebong,1465307,Lorient,1656,france,2526,2002,28,21,7.01,1,1,2,1.05,3.08,65,14,32.56,254,76,60.8,485,533,1018,84.13,9,39.13,14,0,0,0,119,4,0,6,4,24,28,0,0,22,20260428,25,98,0,2,21,0,5.0,7,29,27,2,0,1,,109,56.48,0,0,0,192,28,30,0,0,3.0,1,0,0,1,0.0,0,0,0,1,312,13,0,0,1,0,0,0,0,0,0,2002.0,0.0,1,6,14,9,5,21,55.26,0,54,31,57.41,30,127,38,43,118,54.63,125,619,591,1210,196.4,20,1,1589,37,3,0,10577.0,550000.0,M,21.0,Cameroon
Julio Enciso,973556,RC Strasbourg,1659,france,2526,1604,23,19,7.01,2,2,4,5.69,3.8,19,21,42.0,146,9,69.23,281,177,458,83.88,10,37.04,17,0,0,0,57,5,7,14,1,8,23,0,0,32,20260428,6,107,0,1,17,0,4.26,0,23,20,3,2,0,,92,50.55,0,0,0,88,6,22,1,1,1.0,0,0,0,0,0.0,0,0,0,0,234,11,0,0,1,0,0,0,0,0,0,802.0,0.0,4,25,22,15,18,47,55.95,0,19,9,47.37,22,31,84,50,102,48.8,13,352,194,546,161.3,47,2,927,26,2,0,49038.0,2550000.0,F,22.0,Paraguay
Fabián Ruiz,784655,Paris Saint-Germain,1644,france,2526,888,16,10,7.01,1,3,4,1.11,1.56,38,1,6.67,293,39,69.64,583,318,901,92.6,2,66.67,1,0,0,0,42,2,3,5,2,7,16,0,0,4,20260428,8,20,0,1,1,0,6.67,0,9,6,3,1,0,,12,38.71,0,0,2,72,9,14,0,1,0.0,0,0,0,0,0.0,0,0,0,0,116,6,0,0,1,0,0,0,0,0,0,888.0,0.0,0,9,6,6,4,1,12.5,0,10,6,60.0,14,58,8,15,14,41.18,56,646,327,973,112.1,15,1,1097,1,2,0,122308.0,6360000.0,M,29.0,Spain
