player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Abdoulaye Ndiaye,984527,Stade Brestois,1715,france,2425,1712,22,19,6.9,1,0,1,0.92,0.22,33,0,0.0,47,63,56.76,193,610,803,86.72,47,55.95,37,0,0,0,72,0,0,4,5,137,22,0,1,5,12,76,0,3,20,0,9.09,4,29,26,3,1,0,,68,63.55,0,0,1,123,11,1,0,0,,0,0,0,2,0.0,0,0,0,0,153,0,0,1,1,0,0,0,0,0,0,1712.0,0.0,0,11,0,5,2,2,25.0,0,49,33,67.35,1,59,8,2,115,60.21,111,260,668,926,151.9,11,2,1247,18,4,0,7500.0,390000.0,D,22.0,Senegal
Haris Belkebla,580642,Angers,1684,france,2425,1795,22,21,6.9,0,1,1,0.09,0.32,33,0,0.0,131,26,52.0,337,388,725,88.09,10,32.26,21,0,0,0,90,1,0,2,5,45,22,0,0,10,19,77,0,1,18,0,0.0,0,26,25,1,0,0,,95,62.91,0,0,0,98,35,5,0,1,,0,0,0,0,0.0,0,0,0,0,152,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,2,1,0,9,47.37,0,56,38,67.86,5,45,19,3,105,57.69,50,397,429,823,151.9,3,0,1135,32,1,0,41923.0,2180000.0,M,31.0,Algeria
Badredine Bouanani,1153265,Nice,1661,france,2425,1112,26,11,6.9,3,3,6,2.7,2.21,12,7,21.21,137,14,87.5,219,107,319,82.01,2,11.11,16,0,0,0,44,6,1,6,0,2,25,0,0,18,12,76,0,0,13,0,9.68,0,13,12,1,2,1,,42,41.18,0,0,1,70,11,20,3,2,,0,0,1,0,100.0,0,1,0,0,163,13,0,0,0,0,0,0,0,0,0,370.67,0.0,1,17,14,10,15,14,42.42,0,11,4,36.36,20,23,33,33,44,36.67,16,309,113,389,172.6,31,1,621,17,2,0,2308.0,120000.0,F,20.0,Algeria
Romain Faivre,913942,Stade Brestois,1715,france,2425,906,20,10,6.9,3,2,5,2.58,1.8,8,7,26.92,113,4,57.14,201,106,300,86.21,7,41.18,10,0,0,0,42,5,2,5,0,3,20,0,0,7,5,49,0,1,6,0,15.79,0,15,14,1,3,0,,53,57.61,0,0,0,48,4,10,3,1,,0,0,1,0,100.0,0,1,0,0,114,5,0,0,0,0,0,0,0,0,0,302.0,0.0,0,16,3,4,10,17,43.59,0,13,10,76.92,10,15,39,26,60,55.05,7,259,115,348,138.0,19,0,530,23,2,0,41923.0,2180000.0,M,26.0,France
Abner Vinícius,973838,Olympique Lyonnais,1649,france,2425,1099,19,12,6.9,1,1,2,0.57,2.31,13,9,29.03,154,17,48.57,281,210,482,86.07,7,43.75,9,0,0,0,45,1,1,2,2,35,18,0,0,8,11,50,0,0,16,0,14.29,0,15,12,3,1,0,,39,48.75,0,0,1,78,5,11,1,0,,0,0,0,0,0.0,0,0,0,0,135,4,0,0,0,0,0,0,0,0,0,1099.0,0.0,0,5,2,2,3,6,50.0,0,29,20,68.97,11,28,12,31,46,47.92,35,354,237,560,124.2,7,0,821,4,1,0,45385.0,2360000.0,D,24.0,Brazil
Lasso Coulibaly,1126588,Auxerre,1646,france,2425,53,3,0,6.9,1,0,1,0.27,0.06,0,1,50.0,2,0,0.0,6,6,11,100.0,0,0.0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,33.33,0,2,2,0,1,0,,3,60.0,0,0,0,0,0,1,0,0,,0,0,0,0,0.0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,53.0,0.0,0,2,1,1,2,1,33.33,0,1,1,100.0,1,0,3,2,3,42.86,0,7,6,11,20.7,3,0,23,1,0,0,6923.0,360000.0,F,22.0,Cote d'Ivoire
Matvey Safonov,800749,Paris Saint-Germain,1644,france,2425,878,10,9,6.9,0,0,0,,0.01,23,0,0.0,6,46,43.81,16,188,204,77.27,0,0.0,0,0,0,0,70,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0.0,48,9,8,1,0,0,-1.19,1,100.0,0,5,0,60,1,0,0,0,,0,0,0,0,0.0,2,0,0,0,61,0,2,0,0,2,10,7,17,1,3,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,35,0,0,1,100.0,105,50,214,264,69.0,0,1,342,1,0,0,59423.0,3090000.0,K,25.0,Russia
Mohamed Abdelmonem,926506,Nice,1661,france,2425,855,12,10,6.9,0,0,0,,0.19,12,0,0.0,68,18,52.94,205,261,466,90.66,31,62.0,19,0,0,0,50,0,0,0,1,54,11,0,0,3,9,42,0,1,9,0,0.0,2,14,11,3,0,0,,32,58.18,0,0,0,48,15,0,0,0,,0,0,0,0,0.0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,33.33,0,21,14,66.67,0,26,3,2,63,60.0,34,232,284,514,75.9,0,0,660,10,2,0,24423.0,1270000.0,D,26.0,Egypt
Dante,3577,Nice,1661,france,2425,1966,25,21,6.9,0,0,0,0.46,0.51,55,0,0.0,132,61,42.66,389,874,1263,88.76,41,64.06,23,0,0,0,112,0,1,3,5,71,24,0,1,5,14,66,1,0,19,0,0.0,26,23,19,4,0,0,,52,54.74,0,0,0,160,34,4,0,0,,0,0,0,0,0.0,0,0,0,0,193,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0,8,1,4,2,6,46.15,0,32,15,46.88,4,121,13,2,93,58.49,143,493,932,1423,165.6,9,0,1691,14,5,0,87500.0,4550000.0,D,41.0,Brazil
Yoram Zague,1403218,Paris Saint-Germain,1644,france,2425,183,4,2,6.9,0,0,0,0.05,0.11,2,1,25.0,19,2,66.67,72,86,157,95.73,1,50.0,1,0,0,0,5,0,1,0,0,2,4,0,0,0,2,4,0,0,2,0,0.0,0,3,3,0,0,0,,10,76.92,0,0,0,7,2,2,0,0,,0,0,0,0,0.0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,2,100.0,0,8,6,75.0,2,4,2,4,11,73.33,3,80,88,164,27.6,1,0,207,0,0,0,10385.0,540000.0,D,18.0,France
