player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Rodrigo Mendoza,1391752,Atlético Madrid,2836,spain,2526,1140,22,12,6.54,1,1,2,0.76,1.08,23,6,33.33,158,24,63.16,305,214,519,85.93,6,22.22,21,0,0,0,57,2,0,7,0,13,22,0,0,21,20260428,8,92,0,1,27,0,6.67,0,23,21,2,1,0,,53,42.74,0,0,1,85,4,15,0,2,1.0,0,0,0,0,0.0,0,0,0,0,174,6,0,0,1,0,0,0,0,0,0,1140.0,0.0,0,3,12,6,2,16,48.48,0,16,11,68.75,15,43,33,18,59,39.07,38,365,239,604,143.8,15,0,834,21,5,0,32115.0,1670000.0,M,20.0,Spain
Thierry Correia,851282,Valencia,2828,spain,2526,1367,22,17,6.53,0,1,1,0.35,1.86,18,6,15.0,142,18,36.0,295,229,524,81.75,14,37.84,23,0,0,0,54,2,0,3,2,27,22,0,0,10,20260428,4,72,0,1,28,0,0.0,0,24,22,2,0,0,,61,55.45,0,0,0,117,16,11,0,3,0.0,0,0,0,1,0.0,0,0,0,0,218,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,1,1,1,8,50.0,0,29,21,72.41,11,37,16,40,75,51.02,50,375,266,641,143.7,5,0,1013,24,4,0,24038.0,1250000.0,D,26.0,Portugal
Unai Gómez,1391375,Athletic Club,2825,spain,2526,701,21,8,6.53,1,1,2,1.54,0.94,5,4,18.18,54,5,41.67,88,45,133,73.48,10,29.41,24,0,0,0,26,0,2,4,0,6,20,0,0,6,20260428,7,55,0,1,9,0,7.14,0,17,13,4,1,0,,19,38.0,0,0,0,48,0,8,1,3,1.0,0,0,0,0,0.0,0,0,0,0,104,6,0,0,0,0,0,0,0,0,0,701.0,0.0,0,10,4,7,3,4,30.77,0,11,6,54.55,8,12,13,22,29,34.52,12,127,54,181,130.6,14,0,309,4,1,0,7308.0,380000.0,F,22.0,Spain
Tani Oluwaseyi,1172477,Villarreal,2819,spain,2526,796,25,7,6.53,2,2,4,3.24,0.47,2,2,66.67,27,2,66.67,39,21,60,63.83,19,40.43,28,0,0,0,14,3,6,3,0,8,23,0,0,18,20260428,5,71,1,0,11,0,13.33,0,12,11,1,2,0,,20,31.75,0,0,0,34,0,5,1,10,3.0,0,0,0,0,0.0,0,0,0,0,90,2,0,0,1,0,0,0,0,0,0,398.0,0.0,0,12,3,5,7,7,43.75,0,5,3,60.0,5,2,16,3,39,35.45,3,65,29,94,150.1,15,0,232,8,1,0,52115.0,2710000.0,F,25.0,Canada
Kareem Tunde,1649919,Levante UD,2849,spain,2526,985,16,14,6.52,0,1,1,0.95,0.3,5,0,0.0,45,4,50.0,87,48,135,76.7,9,33.33,18,0,0,0,43,1,1,3,0,3,15,0,0,15,20260428,6,66,0,0,16,0,0.0,0,14,13,1,0,0,,51,51.52,0,0,1,41,12,6,0,1,0.0,0,0,0,0,0.0,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,6,10,2,13,48.15,0,20,11,55.0,6,11,27,8,60,47.62,8,118,58,176,97.8,15,0,367,18,3,0,4808.0,250000.0,F,20.0,Spain
Arsen Zakharyan,1066045,Real Sociedad,2824,spain,2526,391,16,2,6.52,0,0,0,1.02,1.08,11,5,20.0,63,10,62.5,104,41,145,79.67,2,33.33,4,0,0,0,14,2,2,6,0,1,15,0,0,2,20260428,5,28,0,0,8,0,0.0,0,11,11,0,0,0,,11,31.43,0,0,0,37,0,9,0,4,0.0,0,0,0,0,0.0,0,0,0,0,86,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,8,5,3,0,0.0,0,9,4,44.44,9,19,10,25,13,31.71,16,133,49,182,97.8,14,0,292,2,1,0,24038.0,1250000.0,F,22.0,Russia
Aitor Mañas,1639543,Deportivo Alavés,2885,spain,2526,76,6,0,6.52,0,0,0,0.22,0.01,0,0,0.0,3,0,0.0,7,5,12,85.71,0,0.0,3,0,0,0,4,0,1,0,0,0,5,0,0,4,20260428,2,15,0,0,1,0,0.0,0,3,3,0,0,0,,4,25.0,0,0,0,2,0,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,1,16.67,0,3,1,33.33,2,0,6,0,4,21.05,0,8,6,14,32.6,1,0,35,0,0,0,4038.0,210000.0,F,23.0,Spain
Adrià Pedrosa,928672,Elche,2846,spain,2526,975,23,7,6.52,1,1,2,0.51,1.61,8,16,33.33,84,9,29.03,177,145,322,83.85,7,33.33,14,0,0,0,34,3,1,4,0,35,22,0,0,4,20260428,10,66,1,0,18,0,10.0,1,25,21,4,1,0,,46,46.94,0,0,0,62,12,22,1,1,1.0,0,0,0,0,0.0,0,0,0,0,151,4,0,0,0,0,0,0,0,0,0,975.0,0.0,0,5,5,3,3,5,20.0,0,32,16,50.0,22,18,25,48,53,44.54,31,217,167,384,143.4,10,0,687,9,4,0,30000.0,1560000.0,D,27.0,Spain
Mateu Morey,879543,Mallorca,2826,spain,2526,666,17,8,6.52,1,0,1,0.3,0.32,11,4,44.44,37,10,37.04,79,80,159,76.44,5,31.25,11,0,0,0,26,1,0,1,0,29,17,0,0,3,20260428,13,42,1,0,13,0,25.0,0,17,15,2,1,0,,31,50.0,0,0,0,49,6,3,0,1,3.0,0,0,0,0,0.0,0,0,0,0,85,4,0,0,1,0,0,0,0,0,0,666.0,0.0,0,3,1,1,2,4,66.67,0,18,7,38.89,3,22,6,9,36,46.15,27,112,96,208,110.8,4,0,371,9,2,0,15962.0,830000.0,D,25.0,Spain
Mario Martín,1154549,Getafe,2859,spain,2526,1825,31,22,6.52,2,1,3,2.01,1.01,13,2,16.67,97,20,58.82,211,158,369,73.8,60,38.96,94,0,0,0,66,1,2,11,1,22,31,0,0,28,20260428,30,227,0,1,60,0,8.0,0,25,21,4,2,0,,92,40.89,2,0,0,131,15,8,0,3,5.0,0,0,0,0,0.0,0,0,0,0,247,9,0,0,0,0,0,0,0,0,0,912.5,0.0,0,17,8,9,5,12,36.36,0,52,32,61.54,8,27,33,12,152,40.11,34,319,181,500,202.0,25,0,877,28,10,0,10000.0,520000.0,M,21.0,Spain
