player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Erdem Canpolat,1066726,Kasımpaşa,6063,turkey,2021,90,1,1,8.1,0,0,0,,,0,0,0.0,0,3,21.43,1,16,17,60.71,0,0.0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0.0,,2,2,0,0,0,,0,0.0,0,0,0,11,0,0,0,0,,0,0,0,0,0.0,1,0,1,0,12,0,0,0,0,0,5,2,7,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,14,10,18,28,8.1,0,0,44,0,1,0,481.0,25000.0,K,19.0,Germany
Cenk Tosun,72127,Beşiktaş JK,3050,turkey,2021,175,3,2,7.8,3,1,4,,,0,0,0.0,9,3,100.0,18,8,26,74.29,4,44.44,5,0,0,0,,1,0,0,0,0,3,0,0,1,2,12,0,0,3,0,30.0,,2,1,1,3,0,,5,41.67,0,0,1,9,1,3,0,0,,0,0,0,0,0.0,0,0,0,0,14,2,0,0,3,0,0,0,0,0,0,58.33,0.0,0,8,2,4,6,2,66.67,0,1,1,100.0,3,1,3,0,9,42.86,3,26,9,35,23.4,10,1,61,2,0,0,70962.0,3690000.0,F,29.0,Turkey
Mustafa Burak Bozan,934201,Gaziantep FK,5138,turkey,2021,90,1,1,7.8,0,0,0,,,0,0,0.0,5,12,50.0,7,8,15,55.56,2,100.0,0,0,0,0,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,,0,0.0,0,1,0,12,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,12,0,1,0,0,0,3,1,4,1,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,2,100.0,24,18,9,27,7.8,0,0,40,1,0,0,2115.0,110000.0,K,20.0,Turkey
Mert Topuz,1046684,MKE Ankaragücü,3103,turkey,2021,90,1,1,7.7,0,0,0,,,2,0,0.0,1,9,36.0,5,19,24,57.14,0,0.0,1,0,0,0,,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.0,,1,1,0,0,0,,0,0.0,0,0,0,18,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,19,0,0,0,0,0,4,4,8,0,5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,25,16,26,42,7.7,0,0,57,0,0,0,481.0,25000.0,K,19.0,Turkey
Diego Perotti,47171,Fenerbahçe,3052,turkey,2021,193,4,2,7.55,3,0,3,,,2,0,0.0,20,2,100.0,36,21,57,82.61,2,66.67,1,0,0,0,,1,0,3,0,0,4,0,0,3,1,11,0,0,1,0,27.27,,5,5,0,3,0,,19,65.52,0,0,0,12,4,2,0,1,,0,0,2,0,100.0,0,2,0,2,30,2,0,0,3,0,0,0,0,0,0,64.33,0.0,0,9,2,4,4,6,54.55,0,9,6,66.67,2,2,11,7,21,65.63,2,50,26,69,30.2,11,1,126,4,0,0,72115.0,3750000.0,F,32.0,Argentina
Silviu Lung Jr.,44556,Kayserispor,3072,turkey,2021,675,8,8,7.51,0,0,0,,,11,0,0.0,8,38,36.89,20,114,134,67.0,1,100.0,0,0,0,0,,0,0,0,2,3,8,0,0,0,0,0,1,0,0,0,0.0,,10,10,0,0,0,,1,100.0,0,0,0,66,1,0,0,0,,0,0,0,0,0.0,1,0,1,0,67,1,1,0,0,1,29,11,40,0,10,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0,25,0,0,2,100.0,103,73,127,200,60.1,0,2,274,0,1,0,7885.0,410000.0,K,31.0,Romania
Mario Šitum,108030,Kayserispor,3072,turkey,2021,90,1,1,7.5,0,0,0,,,3,1,100.0,8,3,60.0,12,10,21,67.74,3,75.0,1,0,0,0,,0,0,0,1,3,1,0,0,0,0,3,0,0,2,0,0.0,,0,0,0,0,0,,5,71.43,0,0,0,10,4,0,0,0,,0,0,0,0,0.0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,2,100.0,0,1,0,0.0,0,4,2,1,8,72.73,5,18,14,31,7.5,1,0,51,2,0,0,,,,,
Rachid Ghezzal,123228,Beşiktaş JK,3050,turkey,2021,2419,31,30,7.48,8,17,25,,,75,68,30.77,437,61,55.96,843,340,1115,80.27,34,57.63,25,0,0,0,,22,2,15,2,11,31,0,0,57,50,211,0,1,36,0,14.29,,27,23,4,4,4,,149,44.48,0,0,1,274,18,93,7,0,,0,4,3,1,100.0,0,3,0,0,615,25,0,0,1,0,0,0,0,0,0,302.38,0.0,6,20,36,20,21,57,55.88,0,46,33,71.74,89,153,102,221,183,46.45,109,1220,390,1389,232.0,56,6,2145,48,5,0,60192.0,3130000.0,F,28.0,Algeria
Anastasios Bakasetas,114076,Trabzonspor,3051,turkey,2021,3225,38,36,7.47,13,4,17,,,104,52,28.57,563,116,67.84,1003,558,1509,85.25,30,46.88,34,0,0,1,,7,2,33,5,13,38,0,0,46,30,178,1,0,50,0,11.82,,28,25,3,11,2,,169,53.99,0,0,2,261,17,72,8,0,,0,0,5,0,80.0,0,4,0,0,531,32,0,0,5,0,0,0,0,0,0,248.08,0.0,12,43,67,30,47,53,71.62,0,53,33,62.26,72,195,74,182,199,52.79,171,1358,594,1770,284.0,110,8,2498,65,8,0,5577.0,290000.0,F,27.0,Greece
Caner Erkin,15680,Fenerbahçe,3052,turkey,2021,2702,34,30,7.42,0,9,9,,,163,86,23.24,414,116,47.15,807,414,1135,75.87,32,51.61,30,0,0,1,,17,1,6,6,40,34,0,0,4,28,106,0,0,35,0,0.0,,30,25,5,0,0,,80,51.28,0,0,0,361,50,90,0,2,,0,2,1,0,0.0,0,0,0,0,758,14,0,0,0,0,0,0,0,0,0,0.0,0.0,9,5,13,4,8,24,70.59,0,46,29,63.04,88,290,34,370,112,51.38,246,1371,495,1496,252.4,18,9,2434,10,8,0,20385.0,1060000.0,D,32.0,Turkey
Erten Ersu,188265,Konyaspor,3085,turkey,2021,90,1,1,7.4,0,0,0,,,1,0,0.0,0,5,62.5,1,14,15,83.33,0,0.0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,,0,0.0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,2,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,8,3,15,18,7.4,0,0,27,0,0,0,2115.0,110000.0,K,26.0,Turkey
Fayçal Fajr,143786,Sivasspor,3076,turkey,2021,3098,36,36,7.38,4,5,9,,,207,63,29.03,482,235,72.31,1016,602,1555,86.53,17,43.59,22,0,1,0,,11,1,8,8,16,36,0,0,27,40,135,0,0,36,0,11.11,,33,29,4,2,2,,144,56.03,0,0,2,242,24,91,2,3,,0,1,1,0,0.0,0,0,0,0,497,21,0,0,2,0,0,0,0,0,0,774.5,0.0,4,8,28,15,13,34,70.83,0,52,28,53.85,90,308,48,217,161,54.39,325,1355,659,1797,265.7,36,7,2429,58,6,0,22115.0,1150000.0,M,32.0,Morocco
Salih Uçan,135695,Alanyaspor,6362,turkey,2021,2438,35,29,7.37,2,6,8,,,96,40,26.32,349,111,63.79,740,592,1292,84.01,14,33.33,28,0,0,0,,9,2,14,2,17,34,0,0,39,29,165,0,0,54,0,3.64,,29,25,4,2,0,,160,53.87,0,0,4,246,27,53,0,2,,0,0,0,0,0.0,0,0,0,0,472,21,0,0,2,0,0,0,0,0,0,1219.0,0.0,9,17,38,24,17,49,73.13,0,76,47,61.84,53,179,67,152,174,51.33,174,1053,637,1538,250.5,55,7,2159,35,10,0,18269.0,950000.0,M,26.0,Turkey
Muammer Yıldırım,130582,Sivasspor,3076,turkey,2021,330,4,4,7.3,0,0,0,,,4,0,0.0,0,26,36.62,18,28,46,50.55,0,0.0,0,0,0,0,,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0.0,,1,1,0,0,0,,0,0.0,0,1,0,45,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,45,0,2,0,0,0,9,3,12,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6,0,0,0,0.0,71,52,39,91,29.2,0,0,118,0,1,0,1538.0,80000.0,K,30.0,Turkey
Aykut Özer,111808,Fatih Karagümrük,4954,turkey,2021,780,9,8,7.22,0,0,0,,,14,0,0.0,5,40,28.57,28,131,159,60.69,7,87.5,1,0,0,0,,0,0,0,4,10,9,1,0,0,0,1,2,0,0,0,0.0,,9,9,0,0,0,,0,0.0,0,4,0,103,0,0,0,0,,0,0,0,0,0.0,2,0,1,0,106,0,6,0,0,2,23,13,36,1,4,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,30,0,0,7,87.5,140,94,168,262,65.0,0,1,363,1,0,0,3077.0,160000.0,K,27.0,Turkey
Souza,119035,Beşiktaş JK,3050,turkey,2021,2880,33,32,7.21,2,3,5,,,59,0,0.0,440,89,49.17,1081,838,1919,85.78,49,56.98,37,0,0,0,,5,1,8,11,55,33,0,1,15,37,128,0,0,32,0,4.76,,33,29,4,2,0,,144,61.28,0,0,0,318,65,32,0,0,,0,0,0,0,0.0,0,0,0,0,395,19,0,1,2,0,0,0,0,0,0,1440.0,0.0,1,14,28,27,7,17,58.62,0,86,42,48.84,32,144,29,11,193,60.12,181,1331,917,2237,238.0,42,4,2739,41,7,0,31346.0,1630000.0,M,31.0,Brazil
Adem Büyük,60250,Yeni Malatyaspor,24759,turkey,2021,2897,34,34,7.21,17,3,20,,,54,9,22.5,257,71,58.68,404,181,576,70.16,74,50.0,74,0,1,0,,3,5,14,1,29,34,0,0,59,27,249,0,1,61,0,22.67,,41,35,6,16,1,,221,55.81,2,0,3,245,25,36,1,8,,0,0,10,1,90.0,0,9,0,3,464,29,0,0,14,0,0,0,0,0,0,170.41,0.0,5,51,24,28,33,53,56.38,0,56,35,62.5,36,96,94,40,295,54.23,121,643,218,821,245.2,75,5,1497,114,10,0,8462.0,440000.0,F,33.0,Turkey
Edin Višća,109779,Başakşehir FK,3086,turkey,2021,2071,26,23,7.2,5,8,13,,,67,27,17.53,425,69,62.16,611,218,802,75.52,1,14.29,6,0,0,2,,7,4,9,4,7,26,0,0,17,30,87,0,1,11,0,10.87,,28,26,2,5,0,,56,40.88,0,0,2,260,14,69,0,3,,0,0,3,0,33.33,0,1,0,0,488,16,0,0,5,0,0,0,0,0,0,414.2,0.0,1,24,22,21,16,11,31.43,0,24,12,50.0,69,110,35,154,57,39.58,111,969,247,1062,187.2,46,3,1522,21,2,0,14423.0,750000.0,F,30.0,Bosnia-Herzegovina
