player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Aitor Fernández,99516,Osasuna,2820,spain,2425,90,1,1,8.4,0,0,0,,0.0,3,0,0.0,3,19,54.29,13,12,25,60.98,0,0.0,0,0,0,0,10,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0,1.17,0,0.0,0,1,0,16,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,16,0,0,0,0,0,3,2,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,35,27,14,41,8.4,0,1,53,0,0,0,16154.0,840000.0,K,33.0,Spain
Leo Román,1131909,Mallorca,2826,spain,2425,630,7,7,7.83,0,0,0,,0.02,8,0,0.0,11,63,38.41,40,79,119,53.6,1,100.0,0,0,0,0,50,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0.0,52,10,9,1,0,0,3.61,1,100.0,0,8,0,103,0,0,0,0,,0,0,0,0,0.0,1,0,0,0,103,0,3,0,0,5,19,20,40,0,14,0.0,0.0,0,0,0,0,0,1,100.0,5,0,0,0.0,0,12,1,0,2,100.0,164,126,96,222,54.8,0,3,299,1,0,0,5192.0,270000.0,K,24.0,Spain
Raphinha,831005,Barcelona,2817,spain,2425,2844,36,32,7.8,18,9,27,19.38,10.11,62,53,24.65,511,46,58.97,838,209,994,79.46,9,60.0,6,0,0,0,94,26,20,27,7,22,36,0,0,29,20,109,0,0,11,0,15.79,0,31,29,2,16,2,,125,54.82,1,0,5,257,11,92,13,10,,0,1,2,0,100.0,0,2,0,2,563,25,0,0,4,0,0,0,0,0,0,158.0,0.0,18,66,48,44,43,52,54.17,0,36,22,61.11,91,109,96,215,134,55.14,78,1224,242,1251,280.7,114,14,1993,37,4,0,320577.0,16670000.0,F,28.0,Brazil
Lamine Yamal,1402912,Barcelona,2817,spain,2425,2861,35,31,7.79,9,13,22,9.81,11.61,45,22,20.37,633,30,48.39,980,158,1116,78.93,1,25.0,3,0,0,0,123,28,14,46,10,3,35,0,0,49,22,230,0,0,30,0,6.25,0,28,27,1,4,5,,263,53.67,0,0,5,298,16,65,8,13,,0,1,0,0,0.0,0,0,0,2,691,35,0,0,1,0,0,0,0,0,0,317.89,0.0,0,77,67,51,47,161,55.71,0,42,28,66.67,64,97,289,108,264,53.44,62,1330,192,1414,272.8,144,11,2361,60,3,0,64038.0,3330000.0,F,17.0,Spain
Kylian Mbappé,826643,Real Madrid,2829,spain,2425,2915,34,34,7.7,31,3,34,25.93,6.59,49,6,17.14,573,45,78.95,800,139,933,85.28,4,40.0,6,0,0,2,36,15,29,39,5,0,34,0,1,49,4,172,1,0,25,1,19.25,0,32,30,2,26,5,,131,44.11,0,0,4,161,1,52,4,44,,0,1,9,0,77.78,0,7,0,3,434,16,0,1,27,0,0,0,0,0,0,94.03,33.33,3,116,45,37,85,83,47.7,0,8,5,62.5,51,70,174,35,135,43.97,57,976,153,1094,261.7,161,12,1734,40,3,0,600962.0,31250000.0,F,26.0,France
Sergio Arribas,1119678,Real Betis,2816,spain,2425,90,1,1,7.6,0,0,0,,0.0,0,0,0.0,1,0,0.0,7,21,28,68.29,1,100.0,0,0,0,0,3,0,0,0,1,4,1,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,,7,87.5,0,0,0,13,3,0,0,0,,0,0,0,0,0.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,7,4,57.14,0,1,0,0,8,88.89,2,17,24,41,7.6,0,0,72,0,0,0,,,,,
Unai Marrero,1094782,Real Sociedad,2824,spain,2425,180,2,2,7.6,0,0,0,,0.0,4,0,0.0,0,9,50.0,3,32,35,77.78,0,0.0,0,0,0,0,12,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,15,3,3,0,0,0,0.89,0,0.0,0,1,0,10,0,0,0,0,,0,0,0,0,0.0,1,0,1,0,11,0,1,0,0,2,6,3,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,5,0,0,0,0.0,18,11,34,45,15.2,0,0,69,0,0,0,3462.0,180000.0,K,23.0,Spain
Pedri,992587,Barcelona,2817,spain,2425,2892,37,35,7.59,4,5,9,2.18,9.0,132,10,17.24,918,145,70.05,1718,671,2379,89.03,7,53.85,6,0,0,0,254,14,2,6,6,12,37,0,0,35,46,116,0,1,10,0,16.0,0,30,28,2,3,1,,152,58.02,0,0,1,293,26,70,2,2,,0,0,0,0,0.0,0,0,0,0,449,28,0,0,2,0,0,0,0,0,0,723.0,0.0,0,11,14,8,11,40,66.67,0,61,34,55.74,70,220,60,58,159,57.82,207,2016,714,2672,281.0,25,6,3191,51,3,0,240385.0,12500000.0,M,22.0,Spain
Isco,103417,Real Betis,2816,spain,2425,1551,22,17,7.54,9,8,17,8.62,3.86,70,27,29.35,453,68,71.58,708,244,925,86.21,13,37.14,22,0,0,1,71,5,3,21,2,6,22,0,0,27,21,118,0,0,23,0,20.45,0,24,21,3,9,0,,91,48.66,1,0,0,148,11,61,0,4,,0,0,6,0,83.33,0,5,0,0,327,14,0,0,8,0,0,0,0,0,0,172.33,0.0,4,22,22,8,15,27,49.09,0,20,13,65.0,61,110,55,92,104,46.85,95,893,272,1073,165.8,44,6,1494,44,5,0,120192.0,6250000.0,F,32.0,Spain
Alejandro Baena,910031,Villarreal,2819,spain,2425,2602,32,30,7.48,7,9,16,7.18,12.58,77,69,33.33,351,70,56.45,610,231,772,74.02,17,45.95,20,0,0,1,140,21,6,21,5,14,32,0,0,32,29,148,0,2,43,0,10.0,0,36,27,9,7,0,,95,42.6,0,0,2,271,22,98,3,5,,0,3,1,0,0.0,0,0,0,0,532,16,0,0,4,0,0,0,0,0,0,371.71,0.0,8,35,35,31,18,21,43.75,0,28,15,53.57,95,148,48,207,112,43.08,124,960,290,1043,239.5,70,9,1675,47,9,0,38462.0,2000000.0,F,23.0,Spain
