player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Adrien Rabiot,250737,Milan,2692,italy,2526,2190,25,24,7.28,6,4,10,3.75,2.58,34,13,25.49,289,38,61.29,597,396,993,85.6,40,59.7,27,0,0,0,128,6,2,11,13,39,25,0,0,30,20260428,16,123,0,1,31,0,16.22,0,17,17,0,4,2,,110,53.4,0,0,0,167,16,22,6,6,5,0,0,0,0,0.0,0,0,0,1,300,10,0,1,0,0,0,0,0,0,0,365.0,0.0,0,27,10,15,11,18,48.65,0,49,24,48.98,22,70,37,51,150,54.95,62,728,432,1160,182.0,37,3,1607,45,4,1,178077.0,9260000.0,M,30.0,France
Mario Gila,965828,Lazio,2699,italy,2526,2290,28,28,7.27,0,0,0,0.94,0.62,52,1,100.0,129,126,67.74,501,1031,1532,90.65,55,66.27,28,0,0,0,125,1,3,3,7,106,28,0,1,7,20260428,10,61,0,2,17,0,0.0,7,23,21,2,0,0,,70,67.96,0,0,2,158,23,5,0,0,14,0,0,0,2,0.0,0,0,0,0,178,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,10,1,5,3,6,85.71,0,44,30,68.18,5,95,7,1,125,67.2,186,600,1090,1690,203.5,11,6,1997,21,3,0,24615.0,1280000.0,D,25.0,Spain
Nicolò Fagioli,901850,Fiorentina,2693,italy,2526,2335,30,27,7.27,2,3,5,2.49,3.63,90,20,24.39,336,101,67.33,736,653,1389,90.08,1,33.33,2,0,0,0,140,11,1,13,3,26,30,0,0,29,20260428,24,87,1,1,21,0,6.45,0,38,30,8,2,0,,102,54.55,0,0,1,153,15,60,0,0,10,0,0,0,0,0.0,0,0,0,0,303,16,0,0,2,0,0,0,0,0,0,1167.5,0.0,4,11,20,11,7,19,63.33,0,43,31,72.09,60,162,30,82,103,54.21,150,864,678,1542,218.0,31,4,1960,40,5,0,64038.0,3330000.0,M,24.0,Italy
Alessandro Bastoni,826188,Inter,2697,italy,2526,2119,26,26,7.27,1,4,5,1.35,2.66,76,20,25.64,341,109,51.66,705,777,1482,86.97,50,63.29,29,0,0,0,95,7,3,3,8,79,26,0,0,3,20260428,9,88,0,0,44,0,5.88,34,21,17,4,1,0,,74,55.64,1,0,2,222,22,23,0,0,5,0,0,0,0,0.0,0,0,0,0,352,6,0,0,0,0,0,0,0,0,0,2119.0,0.0,0,15,2,6,8,6,60.0,0,50,38,76.0,23,151,10,78,124,58.49,211,881,823,1704,188.9,17,4,2227,18,6,0,195962.0,10190000.0,D,26.0,Italy
Charles De Ketelaere,960441,Atalanta,2686,italy,2526,1939,27,23,7.26,3,5,8,3.29,8.18,39,12,30.0,391,34,61.82,570,128,698,78.78,38,46.91,43,0,0,0,105,17,3,16,5,11,27,0,0,54,20260428,18,181,0,0,20,0,7.14,0,19,17,2,3,0,,99,41.77,1,0,0,188,3,56,1,3,2,0,0,0,0,0.0,0,0,0,0,375,14,0,0,1,0,0,0,0,0,0,646.33,0.0,0,29,13,11,15,46,48.94,0,19,12,63.16,56,75,94,40,137,43.08,55,726,160,886,196.0,42,5,1323,34,4,0,61731.0,3210000.0,F,24.0,Belgium
Mike Maignan,191210,Milan,2692,italy,2526,2936,33,33,7.24,0,0,0,,0.03,54,0,0.0,23,158,42.47,68,706,774,77.79,5,100.0,0,0,0,0,251,0,0,0,13,21,33,0,0,0,20260428,0,0,1,2,0,0,0.0,153,27,26,1,0,0,10.03,7,100.0,0,34,0,221,1,0,0,0,0,0,0,0,0,0.0,8,0,2,0,231,0,7,0,0,9,58,31,94,3,17,0.0,0.0,0,0,0,0,0,3,100.0,9,0,0,0.0,0,99,3,0,12,100.0,372,251,744,995,238.8,0,5,1327,5,3,0,123269.0,6410000.0,K,30.0,France
Donyell Malen,803039,Roma,2702,italy,2526,1138,14,14,7.24,11,1,12,9.66,1.11,2,1,20.0,62,2,100.0,94,35,129,76.33,9,34.62,17,0,0,0,24,1,6,18,1,0,14,0,0,31,20260428,1,78,0,0,10,0,19.64,0,15,10,5,11,0,,28,31.46,0,0,0,40,0,6,1,13,0,0,0,2,0,100.0,0,2,0,0,143,8,0,0,10,0,0,0,0,0,0,103.45,0.0,1,49,7,16,22,13,39.39,0,2,1,50.0,6,6,33,5,37,32.17,2,126,43,169,101.3,56,3,378,13,1,0,81923.0,4260000.0,F,27.0,Netherlands
Nicolo Barella,363856,Inter,2697,italy,2526,2345,31,28,7.22,3,8,11,2.93,5.84,80,33,35.11,521,70,57.85,897,480,1377,85.9,13,38.24,21,0,0,0,154,14,3,11,5,10,31,0,0,19,20260428,21,111,0,2,31,0,9.68,0,22,20,2,3,0,,95,51.35,0,0,0,226,8,68,1,4,3,0,1,0,0,0.0,0,0,0,0,372,23,0,0,2,0,0,0,0,0,0,781.67,0.0,1,18,13,15,5,24,51.06,0,50,28,56.0,67,146,47,94,108,49.32,121,1089,514,1603,223.7,31,5,2015,21,7,0,231538.0,12040000.0,M,28.0,Italy
Medon Berisha,1142149,Lecce,2689,italy,2526,880,13,12,7.2,2,3,5,1.22,2.0,21,20,33.9,95,28,51.85,186,110,296,81.32,7,46.67,8,0,0,0,41,5,0,9,0,3,13,0,0,11,20260428,2,33,0,1,11,1,8.33,0,10,10,0,1,1,,34,57.63,0,0,0,68,5,20,1,1,2,0,0,0,0,0.0,0,0,0,0,132,2,0,0,1,0,0,0,0,0,0,440.0,16.67,6,5,19,10,5,3,75.0,0,21,12,57.14,20,49,4,59,41,55.41,54,244,120,364,93.6,24,3,546,10,0,0,7115.0,370000.0,M,22.0,Albania
Samuel Chukwueze,822470,Milan,2692,italy,2526,25,1,0,7.2,0,0,0,,0.15,0,1,33.33,6,0,0.0,10,1,11,84.62,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20260428,1,1,0,0,0,0,0.0,0,0,0,0,0,0,,4,80.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0,0.0,0,0,1,3,4,80.0,0,12,1,13,7.2,0,0,21,3,0,0,,,F,26.0,Nigeria
Jean Butez,599114,Como,2704,italy,2526,3060,34,34,7.18,0,1,1,,0.11,145,0,0.0,43,211,50.72,97,890,987,81.98,12,92.31,1,0,0,0,354,1,0,0,16,44,34,1,0,0,20260428,1,2,2,0,0,0,0.0,101,28,22,6,0,0,1.5,7,87.5,0,30,0,217,1,3,0,0,0,0,0,0,0,0.0,5,0,1,0,225,0,11,0,0,60,53,26,82,1,9,0.0,0.0,0,0,0,0,0,1,100.0,59,2,2,100.0,3,201,1,0,19,90.48,416,255,949,1204,244.2,0,2,1562,9,3,0,17885.0,930000.0,K,30.0,France
Ivan Provedel,308182,Lazio,2699,italy,2526,2430,27,27,7.18,0,0,0,,0.03,42,0,0.0,19,173,45.29,71,578,649,75.29,10,90.91,1,0,0,0,174,1,0,0,12,23,27,1,0,0,20260428,1,2,1,0,0,0,0.0,135,27,24,3,0,0,5.91,2,66.67,0,16,0,213,0,1,0,0,0,0,0,0,0,0.0,4,0,1,0,216,0,11,0,0,9,55,33,90,1,29,0.0,0.0,0,0,0,0,0,1,100.0,9,0,0,0.0,1,77,1,0,12,85.71,382,227,635,862,193.8,0,0,1101,2,1,0,71154.0,3700000.0,K,31.0,Italy
Arijanet Murić,888971,Sassuolo,2793,italy,2526,2790,31,31,7.17,0,0,0,,0.08,36,0,0.0,55,206,37.25,140,405,545,60.62,17,94.44,1,0,0,0,322,0,0,0,6,47,31,1,0,0,20260428,1,2,2,5,1,0,0.0,213,41,37,4,0,0,5.85,2,66.67,0,68,0,354,0,1,0,0,0,0,0,0,1,0.0,6,0,1,0,365,0,21,0,0,20,77,39,117,2,23,0.0,0.0,0,0,0,0,0,0,0.0,17,0,0,0.0,1,63,0,0,19,90.48,553,449,450,899,222.3,0,3,1334,3,4,0,40962.0,2130000.0,K,27.0,Kosovo
Federico Ravaglia,850952,Bologna,2685,italy,2526,1469,17,16,7.17,0,0,0,,0.03,48,0,0.0,16,122,39.61,71,494,565,74.44,6,75.0,2,0,0,0,145,0,0,0,2,20,17,0,0,0,20260428,2,6,1,2,2,0,0.0,93,29,24,5,0,0,0.87,5,55.56,0,9,0,194,1,0,0,0,0,0,0,0,2,0.0,2,0,0,0,201,0,6,0,0,17,39,13,52,0,16,0.0,0.0,0,0,0,0,0,1,100.0,14,3,1,33.33,0,99,1,0,11,64.71,308,210,549,759,121.9,0,1,929,3,4,0,14231.0,740000.0,K,26.0,Italy
Stefano Turati,893752,Sassuolo,2793,italy,2526,270,3,3,7.17,0,0,0,,0.01,1,0,0.0,7,14,22.58,14,20,34,41.46,2,100.0,0,0,0,0,32,0,0,0,1,4,3,0,0,0,20260428,0,0,0,0,0,0,0.0,21,3,2,1,0,0,0.3,1,100.0,0,7,0,48,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,49,0,2,0,0,1,4,5,9,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,2,4,0,0,3,100.0,62,61,21,82,21.5,0,0,120,1,0,0,16346.0,850000.0,K,24.0,Italy
Alexis Saelemaekers,901891,Milan,2692,italy,2526,2558,32,30,7.16,2,3,5,2.98,4.5,27,19,24.68,343,24,44.44,641,397,1038,84.25,10,47.62,11,0,0,0,151,5,4,14,8,22,32,0,0,14,20260428,30,126,0,3,22,0,5.0,0,23,23,0,1,1,,169,59.51,0,0,3,194,28,47,1,2,4,0,0,0,0,0.0,0,0,0,1,388,20,0,0,1,0,0,0,0,0,0,1279.0,0.0,0,17,23,17,9,47,48.45,0,66,36,54.55,47,56,97,77,179,58.69,54,786,446,1232,229.2,40,5,1900,57,4,0,24615.0,1280000.0,M,26.0,Belgium
Nicolò Rovella,937324,Lazio,2699,italy,2526,342,8,4,7.16,0,1,1,0.03,0.98,8,4,36.36,61,9,56.25,156,148,304,92.12,3,100.0,0,0,0,0,22,2,0,0,1,4,8,0,0,2,20260428,5,13,0,1,3,0,0.0,0,2,1,1,0,0,,23,63.89,0,0,0,26,6,12,0,0,1,0,0,0,0,0.0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,6,66.67,0,9,9,100.0,12,18,9,11,26,66.67,16,175,155,330,57.3,1,1,400,8,2,0,71154.0,3700000.0,M,24.0,Italy
Nikola Moro,814882,Bologna,2685,italy,2526,1654,26,18,7.16,2,0,2,0.88,2.13,84,15,31.25,289,142,64.84,629,401,1030,84.84,18,51.43,17,0,0,0,74,2,1,4,3,31,26,0,0,8,20260428,11,56,0,0,15,1,10.0,0,16,13,3,1,1,,54,58.06,0,0,2,184,15,23,1,1,6,0,0,0,0,0.0,0,0,0,0,247,7,0,0,1,0,0,0,0,0,0,827.0,25.0,4,2,18,14,2,12,66.67,0,28,8,28.57,23,138,18,48,72,56.25,219,768,446,1214,186.2,20,2,1473,15,1,0,23846.0,1240000.0,M,27.0,Croatia
Piotr Zielinski,138605,Inter,2697,italy,2526,1871,31,20,7.16,6,2,8,2.33,2.67,38,9,39.13,399,48,64.86,783,483,1266,92.21,12,57.14,9,0,0,0,105,6,1,11,3,23,31,0,0,7,20260428,12,48,0,1,16,0,21.43,0,22,20,2,1,5,,61,61.0,0,0,1,107,5,27,3,0,3,0,0,1,0,100.0,0,1,0,0,157,9,0,0,3,0,0,0,0,0,0,311.83,0.0,0,8,20,7,10,17,73.91,0,28,16,57.14,27,56,23,23,73,60.33,74,867,506,1373,222.0,28,4,1591,17,2,0,160192.0,8330000.0,M,31.0,Poland
Leo Østigård,879746,Genoa,2713,italy,2526,2443,28,28,7.16,5,1,6,3.18,0.75,41,0,0.0,90,82,50.31,374,1072,1446,89.2,96,71.11,39,0,0,0,75,1,5,4,6,194,28,0,0,2,20260428,7,79,1,0,36,0,26.32,5,38,36,2,5,0,,44,52.38,3,0,1,175,26,10,1,3,24,0,0,0,1,0.0,0,0,0,0,202,2,0,0,0,0,0,0,0,0,0,488.6,0.0,0,18,1,4,11,1,100.0,0,32,22,68.75,10,90,1,1,140,63.93,163,499,1122,1621,200.5,19,5,2006,14,7,0,42692.0,2220000.0,D,26.0,Norway
