player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Salvatore Sirigu,18954,Fiorentina,2693,italy,2223,90,1,1,8.1,0,0,0,0.0,0.0,3,0,0.0,0,9,47.37,3,16,19,65.52,0,0.0,0,0,0,0,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0.96,0,0.0,0,0,0,10,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,10,0,0,0,0,0,4,1,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,6,0,0,0,0.0,19,10,19,29,8.1,0,0,44,0,0,0,25000.0,1300000.0,K,36.0,Italy
Simone Perilli,253369,Hellas Verona,2701,italy,2223,90,1,1,7.7,0,0,0,0.0,0.0,1,0,0.0,4,6,20.0,6,4,10,29.41,0,0.0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0.75,0,0.0,0,0,0,24,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,24,0,0,0,0,1,2,2,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1,0,0,0,0.0,30,30,4,34,7.7,0,0,40,0,0,0,8846.0,460000.0,K,28.0,Italy
Francesco Bardi,80203,Bologna,2685,italy,2223,90,1,1,7.6,0,0,0,0.0,0.0,4,0,0.0,2,6,60.0,4,9,13,76.47,0,0.0,0,0,0,0,,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0.0,,0,0,0,0,0,0.63,0,0.0,0,0,0,4,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,1,3,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,10,6,11,17,7.6,0,1,28,0,0,0,25000.0,1300000.0,K,31.0,Italy
Paulo Dybala,256219,Roma,2702,italy,2223,1751,25,21,7.49,12,6,18,9.27,4.51,43,35,42.68,209,58,76.32,425,218,608,82.27,4,20.0,16,0,0,0,,12,5,17,1,3,25,0,0,32,18,102,0,0,10,0,18.46,,20,17,3,9,3,,97,53.01,0,0,3,131,8,53,11,5,,0,0,5,0,100.0,0,5,0,2,310,13,0,0,1,0,0,0,0,0,0,145.92,0.0,3,36,29,25,23,27,50.0,0,14,4,28.57,53,68,54,82,101,49.75,76,572,249,739,187.2,65,8,1191,56,5,0,135385.0,7040000.0,F,29.0,Argentina
Domenico Berardi,253367,Sassuolo,2793,italy,2223,1878,26,22,7.43,12,7,19,11.35,5.89,53,27,32.53,262,81,69.23,459,145,577,71.06,13,37.14,22,0,0,1,,8,5,19,2,16,26,0,0,23,31,127,0,0,33,0,14.46,,32,23,9,11,1,,94,47.24,1,0,4,235,19,45,9,8,,0,0,8,0,87.5,0,7,0,2,400,22,0,0,2,0,0,0,0,0,0,156.5,0.0,4,44,39,37,27,22,52.38,0,23,14,60.87,45,93,42,83,107,45.73,117,709,186,812,193.3,83,6,1285,49,7,0,106923.0,5560000.0,F,28.0,Italy
Hakan Çalhanoğlu,135700,Inter,2697,italy,2223,2375,33,28,7.31,3,6,9,3.09,5.98,79,68,40.72,384,98,67.12,772,619,1323,88.26,14,48.28,15,0,0,0,,3,0,21,3,8,33,0,0,12,27,108,1,0,46,0,5.36,,25,23,2,2,1,,82,46.86,0,0,2,176,25,72,0,2,,0,2,1,0,100.0,0,1,0,0,337,18,0,0,3,0,0,0,0,0,0,791.67,0.0,10,10,46,18,17,8,44.44,0,48,27,56.25,70,141,18,167,96,47.06,146,1010,656,1499,241.2,56,8,1992,26,3,0,178077.0,9260000.0,M,28.0,Turkey
Khvicha Kvaratskhelia,889259,Napoli,2714,italy,2223,2539,34,30,7.3,12,10,22,7.38,6.64,44,14,18.42,432,44,60.27,675,208,869,83.72,8,38.1,13,0,0,0,,14,3,22,3,6,34,0,0,48,26,213,0,1,20,0,14.12,,21,18,3,11,1,,163,44.9,1,0,1,169,5,54,2,6,,0,0,2,0,100.0,0,2,0,4,474,38,0,0,9,0,0,0,0,0,0,211.58,0.0,3,53,32,31,32,75,41.21,0,43,23,53.49,54,76,182,76,171,44.53,73,883,231,1038,248.3,85,8,1714,45,1,0,39423.0,2050000.0,F,21.0,Georgia
Andrea Ranocchia,49518,Monza,2729,italy,2223,48,1,1,7.3,0,0,0,0.0,0.0,2,0,0.0,2,2,66.67,3,13,16,84.21,1,33.33,2,0,0,0,,0,0,0,0,7,1,0,0,0,1,5,0,0,2,0,0.0,,2,1,1,0,0,,3,50.0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,3,1,33.33,0,3,0,0,4,44.44,3,5,14,19,7.3,0,0,35,0,0,0,,,,,
Mário Rui,99546,Napoli,2714,italy,2223,1760,22,21,7.28,0,6,6,0.61,4.39,113,35,31.82,357,113,59.16,699,539,1203,84.18,14,35.9,25,0,0,0,,5,1,2,6,17,22,0,1,7,21,77,0,1,19,0,0.0,,16,13,3,0,0,,72,58.06,0,0,2,226,15,47,0,0,,0,1,0,0,0.0,0,0,0,0,351,8,0,1,0,0,0,0,0,0,0,0.0,0.0,2,4,7,5,4,8,61.54,0,34,22,64.71,46,193,13,110,86,52.76,191,944,595,1429,160.2,11,3,1925,31,2,0,74808.0,3890000.0,D,31.0,Portugal
Lucas Martínez Quarta,795297,Fiorentina,2693,italy,2223,2170,27,25,7.25,1,1,2,2.49,0.74,117,3,75.0,170,171,56.07,476,763,1236,81.85,76,67.86,36,0,0,0,,1,3,3,4,76,27,0,0,6,19,85,0,1,21,0,3.7,,31,30,1,1,0,,117,70.48,0,0,0,274,48,8,0,1,,0,0,0,0,0.0,0,0,0,0,301,1,0,0,1,0,0,0,0,0,0,2170.0,0.0,0,22,5,13,11,12,80.0,0,80,48,60.0,8,213,15,4,193,69.42,305,662,852,1510,195.8,27,4,1897,25,6,0,24615.0,1280000.0,D,26.0,Argentina
