player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Simone Perilli,253369,Hellas Verona,2701,italy,2324,90,1,1,8.1,0,0,0,0.0,0.01,0,0,0.0,6,8,28.57,8,7,15,42.86,0,0.0,0,0,0,0,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,5.0,2,2,0,0,0,0.92,0,0.0,0,0,0,20,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,21,0,0,0,0,1,7,1,8,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,28,26,9,35,8.1,0,1,47,0,0,0,8846.0,460000.0,K,29.0,Italy
Hakan Çalhanoğlu,135700,Inter,2697,italy,2324,2576,32,32,7.68,13,3,16,10.15,5.83,108,55,35.95,470,148,76.29,1038,1003,1986,92.37,26,59.09,18,0,0,0,166.0,5,0,17,6,21,32,0,0,7,17,90,0,0,43,0,20.97,0.0,19,16,3,12,1,,96,57.14,0,0,3,164,24,53,1,0,,0,1,10,0,100.0,0,10,0,0,312,15,0,0,12,0,0,0,0,0,0,198.15,0.0,12,16,46,22,23,7,50.0,0,66,33,50.0,52,162,14,153,122,57.55,194,1254,1049,2150,245.8,62,12,2648,23,5,0,213654.0,11110000.0,M,29.0,Turkey
Davide Biraschi,233252,Genoa,2713,italy,2324,90,1,1,7.6,1,0,1,0.1,0.01,4,0,0.0,4,3,100.0,11,14,25,83.33,1,100.0,0,0,0,0,4.0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,100.0,0.0,4,4,0,1,0,,6,75.0,0,0,0,5,2,0,1,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,90.0,0.0,0,1,0,0,1,1,100.0,0,3,3,100.0,0,5,1,0,7,77.78,3,14,16,30,7.6,1,0,51,2,0,0,,,,,
Raffaele Di Gennaro,301162,Inter,2697,italy,2324,23,1,0,7.6,0,0,0,,0.0,1,0,0.0,0,1,50.0,0,12,12,92.31,0,0.0,0,0,0,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0.53,0,0.0,0,0,0,1,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2,1,12,13,7.6,0,0,21,0,0,0,5385.0,280000.0,K,30.0,Italy
Nicolas Haas,587126,Empoli,2705,italy,2324,90,1,1,7.6,0,0,0,0.1,0.04,6,0,0.0,14,4,100.0,20,26,46,90.2,3,100.0,0,0,0,0,9.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.0,0.0,2,1,1,0,0,,6,85.71,0,0,0,5,1,0,0,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0,5,3,60.0,0,7,0,0,9,90.0,4,23,28,51,7.6,1,0,63,1,1,0,,,,,
Mile Svilar,793986,Roma,2702,italy,2324,1350,15,15,7.51,0,0,0,,0.02,6,0,0.0,7,59,43.38,36,413,449,85.04,6,100.0,0,0,0,0,124.0,0,0,0,5,7,15,0,0,0,0,0,0,1,0,0,0.0,89.0,19,17,2,0,0,1.16,4,100.0,0,16,0,79,0,1,0,0,,0,0,0,0,0.0,2,0,1,0,79,0,5,0,0,1,36,23,61,0,21,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,1,14,1,0,10,100.0,136,103,425,528,112.7,0,2,697,4,1,0,24615.0,1280000.0,K,24.0,Serbia
Lautaro Martínez,823984,Inter,2697,italy,2324,2668,33,31,7.5,24,3,27,17.64,1.96,19,2,13.33,233,21,65.63,401,202,601,79.08,38,58.46,27,0,0,1,90.0,7,13,27,8,9,33,0,0,45,15,166,0,0,46,0,22.22,0.0,16,12,4,21,3,,100,41.84,2,0,5,159,20,36,5,12,,0,0,3,1,66.67,0,2,0,2,331,28,0,0,17,0,0,0,0,0,0,111.17,0.0,0,88,20,34,47,19,32.76,0,22,16,72.73,36,42,58,15,138,45.39,32,536,239,760,247.5,108,4,1291,59,5,0,213654.0,11110000.0,F,26.0,Argentina
Khvicha Kvaratskhelia,889259,Napoli,2714,italy,2324,2750,34,32,7.48,11,6,17,11.15,5.4,56,23,23.23,373,63,73.26,692,252,921,85.67,14,41.18,20,0,0,0,99.0,11,14,46,2,7,34,0,0,48,34,223,0,0,25,1,8.59,0.0,40,34,6,9,2,,220,52.01,1,0,2,154,13,63,2,4,,0,0,0,0,0.0,0,0,0,2,452,20,0,0,8,0,0,0,0,0,0,250.0,25.0,4,79,49,37,45,101,50.75,0,42,21,50.0,63,95,199,99,234,51.2,86,900,274,1075,254.2,128,7,1873,80,8,0,39423.0,2050000.0,F,22.0,Georgia
Michele Di Gregorio,844609,Monza,2729,italy,2324,2874,33,33,7.45,0,0,0,0.0,0.05,87,0,0.0,42,243,45.94,124,730,854,74.39,8,88.89,1,0,0,0,291.0,0,0,0,12,25,33,0,0,1,3,5,1,1,0,0,0.0,223.0,35,29,6,0,0,12.29,6,60.0,0,17,0,294,1,0,0,0,,0,0,0,0,0.0,5,0,2,0,299,0,15,0,0,5,72,52,127,0,31,0.0,0.0,0,0,0,0,0,3,100.0,5,1,0,0.0,0,168,3,0,14,73.68,529,323,825,1148,245.7,0,7,1547,4,0,0,25000.0,1300000.0,K,26.0,Italy
Domenico Berardi,253367,Sassuolo,2793,italy,2324,1438,17,17,7.42,9,3,12,6.54,2.53,52,12,16.67,202,49,55.68,319,84,391,69.95,9,33.33,18,0,0,0,57.0,4,2,13,0,8,17,0,0,24,19,103,0,0,28,0,17.65,0.0,27,23,4,7,2,,56,39.72,0,0,1,168,13,27,8,4,,0,0,5,0,100.0,0,5,0,1,303,12,0,0,1,0,0,0,0,0,0,159.78,0.0,2,24,27,14,24,11,44.0,0,17,8,47.06,27,95,25,72,65,38.69,88,524,107,559,126.2,51,4,897,28,6,0,106923.0,5560000.0,F,29.0,Italy
