player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Vinicius Júnior,868812,Real Madrid,2829,spain,2324,1872,26,22,7.33,15,5,20,13.11,4.38,35,6,10.71,268,32,61.54,415,77,486,78.14,1,12.5,7,0,0,0,44.0,9,17,16,4,0,26,0,0,40,9,174,1,1,24,0,19.23,0.0,12,11,1,13,2,,137,45.07,1,0,0,136,1,32,1,10,,0,1,1,0,100.0,0,1,0,0,414,16,0,0,11,0,0,0,0,0,0,124.8,0.0,0,60,18,23,39,65,40.63,0,18,13,72.22,31,62,160,56,138,44.23,52,583,95,622,190.5,78,5,1206,54,7,0,480769.0,25000000.0,F,23.0,Brazil
Iñaki Williams,783374,Athletic Club,2825,spain,2324,2855,34,32,7.32,12,3,15,9.44,5.76,8,19,17.12,291,7,35.0,494,157,632,73.75,32,58.18,23,0,0,0,119.0,10,11,18,8,27,34,0,0,47,21,183,0,0,32,0,12.9,0.0,31,25,6,10,2,,118,42.45,1,0,5,225,14,44,2,25,,1,0,0,0,0.0,0,0,0,0,529,29,0,0,9,0,0,0,0,0,0,237.92,0.0,0,71,22,32,43,49,44.95,0,24,17,70.83,44,30,109,111,150,45.05,20,774,194,857,248.9,93,4,1570,45,4,0,219231.0,11400000.0,F,29.0,Ghana
Rodrygo,910536,Real Madrid,2829,spain,2324,2388,34,28,7.31,10,5,15,11.74,4.19,4,9,28.13,497,9,81.82,736,137,864,89.91,5,19.23,21,0,0,1,61.0,5,12,20,4,4,34,0,0,30,14,143,0,0,10,0,11.49,0.0,20,18,2,9,1,,122,50.0,0,0,2,97,8,46,1,13,,0,0,1,0,0.0,0,0,0,1,304,13,0,0,9,0,0,0,0,0,0,238.8,0.0,4,67,20,31,36,60,46.88,0,16,15,93.75,46,13,128,32,127,47.04,11,850,143,961,248.4,87,3,1470,46,2,0,320577.0,16670000.0,F,23.0,Brazil
Iván Cuéllar,19013,Mallorca,2826,spain,2324,90,1,1,7.3,0,0,0,,0.0,4,0,0.0,0,4,28.57,0,16,16,59.26,0,0.0,0,0,0,0,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,1,1,0,0,0,0.17,0,0.0,0,1,0,11,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,11,0,0,0,0,0,2,3,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,11,0,0,0,0.0,14,6,21,27,7.3,0,0,41,0,0,0,3462.0,180000.0,K,39.0,Spain
Antal Yaakobishvili,1471513,Girona FC,24264,spain,2324,60,1,0,7.3,0,0,0,0.0,0.12,2,0,0.0,2,5,62.5,6,31,37,88.1,2,66.67,1,0,0,0,3.0,1,0,0,0,3,1,0,0,1,0,3,0,0,1,0,0.0,0.0,0,0,0,0,0,,2,50.0,0,0,0,5,3,1,0,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,1,3,0,0,4,57.14,8,6,36,42,7.3,0,0,51,0,0,0,,,,,
Savinho,1046795,Girona FC,24264,spain,2324,2989,37,35,7.29,9,10,19,6.06,9.88,25,29,24.17,356,19,61.29,585,216,772,83.19,4,23.53,13,0,0,0,171.0,14,5,11,4,5,37,0,0,49,12,190,0,1,30,0,20.0,0.0,39,38,1,8,1,,212,54.5,0,0,2,156,18,54,9,16,,0,1,0,0,0.0,0,0,0,2,511,23,0,0,0,0,0,0,0,0,0,332.11,0.0,0,32,13,14,20,104,53.61,0,42,25,59.52,53,43,194,120,216,53.2,31,809,239,928,269.7,45,3,1686,66,5,0,20000.0,1040000.0,F,19.0,Brazil
Raphinha,831005,Barcelona,2817,spain,2324,1379,28,17,7.28,6,9,15,7.38,4.99,21,28,34.57,203,28,59.57,354,149,475,80.92,9,64.29,5,0,0,0,74.0,11,10,12,2,11,28,0,1,8,14,63,0,0,17,0,10.17,0.0,14,13,1,4,2,,63,52.07,1,0,3,112,13,41,5,7,,0,0,1,0,100.0,0,1,0,1,241,13,0,1,0,0,0,0,0,0,0,229.83,0.0,10,29,30,25,22,24,55.81,0,14,8,57.14,41,44,43,81,72,53.33,47,506,162,587,203.9,59,5,956,25,4,0,240385.0,12500000.0,F,27.0,Brazil
Jesús Owono,990659,Deportivo Alavés,2885,spain,2324,360,4,4,7.28,0,0,0,,0.02,7,0,0.0,17,38,47.5,34,34,68,61.82,2,100.0,0,0,0,0,38.0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0.0,31.0,8,8,0,0,0,-1.61,0,0.0,0,4,0,42,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,42,0,2,0,0,3,11,5,16,1,3,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,10,0,0,2,100.0,80,71,39,110,29.1,0,0,146,0,1,0,4615.0,240000.0,K,22.0,Equatorial Guinea
Arda Güler,1091116,Real Madrid,2829,spain,2324,390,10,4,7.27,6,0,6,1.44,0.54,10,2,15.38,64,9,75.0,121,60,179,88.18,0,0.0,0,0,0,0,21.0,0,0,5,1,1,10,0,0,5,3,28,0,0,11,0,40.0,0.0,5,5,0,6,0,,25,47.17,0,0,1,24,2,2,5,1,,0,0,0,0,0.0,0,0,0,1,56,4,0,0,1,0,0,0,0,0,0,65.0,0.0,1,8,7,4,6,11,55.0,0,6,4,66.67,2,15,20,13,25,47.17,12,147,69,203,72.7,15,1,298,8,1,0,100000.0,5200000.0,F,18.0,Turkey
João Cancelo,138892,Barcelona,2817,spain,2324,2506,32,29,7.25,2,4,6,1.63,6.75,73,18,21.95,374,71,58.68,777,559,1318,84.65,24,50.0,24,0,0,0,165.0,11,1,14,10,42,32,0,0,25,20,146,1,0,40,0,6.25,0.0,35,30,5,2,0,,150,55.15,0,0,1,239,29,35,0,4,,0,0,0,0,0.0,0,0,0,0,448,13,0,0,2,0,0,0,0,0,0,1253.0,0.0,0,16,16,8,10,60,61.22,0,64,44,68.75,35,135,98,82,174,54.38,121,1012,627,1557,232.1,32,6,2342,26,7,0,240385.0,12500000.0,D,29.0,Portugal
